"common_name"	"family"	"order"	"scientific_name"	"status"	"taxon_id"	long_list	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
"lumpfish"	"Cyclopteridae"	"Scorpaeniformes"	"Cyclopterus lumpus"	"8-NCBI"	"8103"	VGP	VGP	VGP	VGP	VGP	VGP	
"yellow-spotted hyrax"	"Procaviidae"	"Hyracoidea"	"Heterohyrax brucei"	"5-asm_done"	"77598"	VGP	VGP	VGP	VGP			
"grey catbird"	"Mimidae"	"Passeriformes"	"Dumetella carolinensis"	"0-data_queued"	"111981"	VGP	VGP	VGP				
"sand lizard"	"Lacertidae"	"Squamata"	"Lacerta agilis"	"8-NCBI"	"80427"	VGP	VGP	VGP	VGP	VGP	VGP	
"common frog"	"Ranidae"	"Anura"	"Rana temporaria"	"8-NCBI"	"8407"	VGP	VGP	VGP	VGP	VGP	VGP	
"Humboldt's penguin"	"Spheniscidae"	"Sphenisciformes"	"Spheniscus humboldti"	"2-data_progress"	"9240"	VGP	VGP	VGP	VGP			
"blackcap"	"Sylviidae"	"Passeriformes"	"Sylvia atricapilla"	"8-NCBI"	"48155"	VGP	VGP	VGP	VGP	VGP	VGP	
"northern pike"	"Esocidae"	"Esociformes"	"Esox lucius"	"8-NCBI"	"8010"	VGP	VGP	VGP	VGP	VGP	VGP	
"speckled mousebird"	"Coliidae"	"Coliiformes"	"Colius striatus"	"2-data_progress"	"57412"	VGP	VGP	VGP	VGP			
"Red-legged seriema"	"Cariamidae"	"Cariamiformes"	"Cariama cristata"	"8-NCBI"	"54380"	VGP	VGP	VGP	VGP	VGP	VGP	
"pygmy sperm whale"	"Physeteridae"	"Artiodactyla"	"Kogia breviceps"	"3-data_done"	"27615"	VGP	VGP	VGP	VGP			
"common brushtail"	"Phalangeridae"	"Diprotodontia"	"Trichosurus vulpecula"	"8-NCBI"	"9337"	VGP	VGP	VGP	VGP	VGP	VGP	
"Blainville's beaked whale"	"Ziphiidae"	"Artiodactyla"	"Mesoplodon densirostris"	"3-data_done"	"48708"	VGP	VGP	VGP	VGP			
"snub-nosed viper"	"Viperidae"	"Squamata"	"Vipera latastei"	"7-asm_curated"	"246179"	VGP	VGP	VGP	VGP			
"chicken"	"Phasianidae"	"Galliformes"	"Gallus gallus"	"7-asm_curated"	"9031"	VGP	VGP	VGP	VGP			
"Common canary"	"Fringillidae"	"Passeriformes"	"Serinus canaria"	"1-DNA_isolation"	"9135"	VGP	VGP	VGP	VGP			
"blunt-snouted clingfish"	"Gobiesocidae"	"Blenniiformes"	"Gouania willdenowi"	"8-NCBI"	"441366"	VGP	VGP	VGP	VGP	VGP	VGP	
"cinnamon teal"	"Anatidae"	"Anseriformes"	"Spatula cyanoptera"	"5-asm_done"	"75840"	VGP	VGP	VGP	VGP			
"Canada lynx"	"Felidae"	"Carnivora"	"Lynx canadensis"	"8-NCBI"	"61383"	VGP	VGP	VGP	VGP	VGP	VGP	
"slow loris"	"Lorisidae"	"Primates"	"Nycticebus coucang"	"2-data_progress"	"9470"	VGP	VGP	VGP	VGP			
"European shrew"	"Soricidae"	"Eulipotyphla"	"Sorex araneus"	"5-asm_done"	"42254"	VGP	VGP	VGP	VGP			
"Adriatic sturgeon"	"Acipenseridae"	"Acipenseriformes"	"Acipenser naccarii"	"2-data_progress"	"42330"	VGP	VGP	VGP	VGP			
"great cormorant"	"Phalacrocoracidae"	"Pelecaniformes"	"Phalacrocorax carbo"	"1-DNA_isolation"	"9209"	VGP	VGP	VGP	VGP			
"Blue whale"	"Balaenopteridae"	"Artiodactyla"	"Balaenoptera musculus"	"8-NCBI"	"9771"	VGP	VGP	VGP	VGP	VGP	VGP	
"tufted titmouse"	"Paridae"	"Passeriformes"	"Baeolophus bicolor"	"1-DNA_isolation"	"88114"	VGP	VGP	VGP	VGP			
"yellow-throated sandgrouse"	"Pteroclidae"	"Pterocliformes"	"Pterocles gutturalis"	"8-NCBI"	"240206"	VGP	VGP	VGP	VGP	VGP	VGP	
"acorn worm"	"Harrimaniidae"	"Enteropneusta"	"Saccoglossus kowalevskii"	"0-data_queued"	"10224"	VGP	VGP	VGP				
"thorny skate"	"Rajidae"	"Rajiformes"	"Amblyraja radiata"	"8-NCBI"	"386614"	VGP	VGP	VGP	VGP	VGP	VGP	
"wood frog"	"Ranidae"	"Anura"	"Rana sylvatica"	"3-data_done"	"45438"	VGP	VGP	VGP	VGP			
"electric eel"	"Gymnotidae"	"Gymnotiformes"	"Electrophorus electricus"	"8-NCBI"	"8005"	VGP	VGP	VGP	VGP	VGP	VGP	
"Botta's pocket gopher"	"Geomyidae"	"Rodentia"	"Thomomys bottae"	"0-data_queued"	"10013"	VGP	VGP	VGP				
"torafugu"	"Tetraodontidae"	"Tetraodontiformes"	"Takifugu rubripes"	"8-NCBI"	"31033"	VGP	VGP	VGP	VGP	VGP	VGP	
"Atlantic ridley"	"Cheloniidae"	"Testudines"	"Lepidochelys kempii"	"0-data_queued"	"8472"	VGP	VGP	VGP				
"American goldfinch"	"Fringillidae"	"Passeriformes"	"Spinus tristis"	"1-DNA_isolation"	"54773"	VGP	VGP	VGP	VGP			
"jewelled blenny"	"Blenniidae"	"Blenniiformes"	"Salarias fasciatus"	"8-NCBI"	"181472"	VGP	VGP	VGP	VGP	VGP	VGP	
"rainbow smelt"	"Osmeridae"	"Osmeriformes"	"Osmerus mordax"	"3-data_done"	"8014"	VGP	VGP	VGP	VGP			
"Ring-tailed lemur"	"Lemuridae"	"Lemuriformes"	"Lemur catta"	"8-NCBI"	"9447"	VGP	VGP	VGP	VGP	VGP	VGP	
"warty frogfish"	"Antennariidae"	"Lophiiformes"	"Antennarius maculatus"	"8-NCBI"	"882753"	VGP	VGP	VGP	VGP	VGP	VGP	
"blue jay"	"Corvidae"	"Passeriformes"	"Cyanocitta cristata"	"2-data_progress"	"28727"	VGP	VGP	VGP	VGP			
"white-breasted nuthatch"	"Sittidae"	"Passeriformes"	"Sitta carolinensis"	"0-data_queued"	"50250"	VGP	VGP	VGP				
"lammergeier"	"Accipitridae"	"Falconiformes"	"Gypaetus barbatus"	"6-asm_curation"	"33610"	VGP	VGP	VGP	VGP			
"blackbird"	"Turdidae"	"Passeriformes"	"Turdus merula"	"5-asm_done"	"9187"	VGP	VGP	VGP	VGP			
"House wren"	"Certhiidae"	"Passeriformes"	"Troglodytes aedon"	"0-data_queued"	"58211"	VGP	VGP	VGP				
"Suruca trogon"	"Trogonidae"	"Trogoniformes"	"Trogon surrucura"	"8-NCBI"	"297711"	VGP	VGP	VGP	VGP	VGP	VGP	
"tammar wallaby"	"Macropodidae"	"Diprotodontia"	"Macropus eugenii"	"4-asm_progress"	"9315"	VGP	VGP	VGP	VGP			
"Swamp sparrow"	"Passerellidae"	"Passeriformes"	"Melospiza georgiana"	"3-data_done"	"44398"	VGP	VGP	VGP	VGP			
"chub mackerel"	"Scombridae"	"Scombriformes"	"Scomber japonicus"	"5-asm_done"	"13676"	VGP	VGP	VGP	VGP			
"sea lamprey"	"Petromyzontidae"	"Petromyzontiformes"	"Petromyzon marinus"	"8-NCBI"	"7757"	VGP	VGP	VGP	VGP	VGP	VGP	
"Swift parrot"	"Psittacidae"	"Psittaciformes"	"Lathamus discolor"	"2-data_progress"	"678569"	VGP	VGP	VGP	VGP			
"largescale foureyes"	"Anablepidae"	"Cyprinodontiformes"	"Anableps anableps"	"8-NCBI"	"195821"	VGP	VGP	VGP	VGP	VGP	VGP	
"saltmarsh sparrow"	"Passerellidae"	"Passeriformes"	"Ammodramus caudacutus"	"3-data_done"	"69262"	VGP	VGP	VGP	VGP			
"lesser Egyptian jerboa"	"Dipodidae"	"Rodentia"	"Jaculus jaculus"	"8-NCBI"	"51337"	VGP	VGP	VGP	VGP	VGP	VGP	
"red-crested turaco"	"Musophagidae"	"Musophagiformes"	"Tauraco erythrolophus"	"8-NCBI"	"121530"	VGP	VGP	VGP	VGP	VGP	VGP	
"sharpnose sevengill shark"	"Hexanchidae"	"Hexanchiformes"	"Heptranchias perlo"	"1-DNA_isolation"	"212740"	VGP	VGP	VGP	VGP			
"Gharial"	"Gavialidae"	"Crocodylia"	"Gavialis gangeticus"	"2-data_progress"	"94835"	VGP	VGP	VGP	VGP			
"Yucatan manta ray"	"Mobulidae"	"Myliobatiformes"	"Manta giorna"	"2-data_progress"	"000000"	VGP	VGP	VGP	VGP			
"prehistoric monster fish"	"Batrachoididae"	"Batrachoidiformes"	"Thalassophryne amazonica"	"8-NCBI"	"390379"	VGP	VGP	VGP	VGP	VGP	VGP	
"rocket frog"	"Dendrobatidae"	"Anura"	"Anomaloglossus baeobatrachus"	"2-data_progress"	"238106"	VGP	VGP	VGP	VGP			
"plains spadefoot toad"	"Pelobatidae"	"Anura"	"Spea bombifrons"	"2-data_progress"	"233779"	VGP	VGP	VGP	VGP			
"yellowfin tuna"	"Scombridae"	"Scombriformes"	"Thunnus albacares"	"8-NCBI"	"8236"	VGP	VGP	VGP	VGP	VGP	VGP	
"emu"	"Dromaiidae"	"Casuariiformes"	"Dromaius novaehollandiae"	"8-NCBI"	"8790"	VGP	VGP	VGP	VGP	VGP	VGP	
"mallard"	"Anatidae"	"Anseriformes"	"Anas platyrhynchos"	"8-NCBI"	"8839"	VGP	VGP	VGP	VGP	VGP	VGP	
"yellowfin seabream"	"Sparidae"	"Spariformes"	"Acanthopagrus latus"	"8-NCBI"	"8177"	VGP	VGP	VGP	VGP	VGP	VGP	
"Siamese fighting fish"	"Osphronemidae"	"Anabantiformes"	"Betta splendens"	"8-NCBI"	"158456"	VGP	VGP	VGP	VGP	VGP	VGP	
"golden spiny mouse"	"Muridae"	"Rodentia"	"Acomys russatus"	"8-NCBI"	"60746"	VGP	VGP	VGP	VGP	VGP	VGP	
"southern grasshopper mouse"	"Cricetidae"	"Rodentia"	"Onychomys torridus"	"8-NCBI"	"38674"	VGP	VGP	VGP	VGP	VGP	VGP	
"zebrafish"	"Danionidae"	"Cypriniformes"	"Danio rerio"	"8-NCBI"	"7955"	VGP	VGP	VGP	VGP	VGP	VGP	
