"common_name"	"family"	"order"	"scientific_name"	"status"	"taxon_id"	long_list	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
"great crested grebe"	"Podicipedidae"	"Podicipediformes"	"Podiceps cristatus"	"0-data_queued"	"345573"	VGP	VGP	VGP				
"Loggerhead turtle"	"Cheloniidae"	"Testudines"	"Caretta caretta"	"2-data_progress"	"8467"	VGP	VGP	VGP	VGP			
"Eurasian nightjar"	"Caprimulgidae"	"Caprimulgiformes"	"Caprimulgus europaeus"	"8-NCBI"	"111811"	VGP	VGP	VGP	VGP	VGP	VGP	
"human"	"Hominidae"	"Primates"	"Homo sapiens"	"8-NCBI"	"9606"	VGP	VGP	VGP	VGP	VGP	VGP	
"Eurasian badger"	"Mustelidae"	"Carnivora"	"Meles meles"	"7-asm_curated"	"9662"	VGP	VGP	VGP	VGP			
"denticle herring"	"Denticipitidae"	"Clupeiformes"	"Denticeps clupeoides"	"8-NCBI"	"299321"	VGP	VGP	VGP	VGP	VGP	VGP	
"convict blenny"	"Pholidichthyidae"	"Cichliformes"	"Pholidichthys leucotaenia"	"8-NCBI"	"390368"	VGP	VGP	VGP	VGP	VGP	VGP	
"zig-zag eel"	"Mastacembelidae"	"Synbranchiformes"	"Mastacembelus armatus"	"8-NCBI"	"205130"	VGP	VGP	VGP	VGP	VGP	VGP	
"Eurasian river otter"	"Mustelidae"	"Carnivora"	"Lutra lutra"	"8-NCBI"	"9657"	VGP	VGP	VGP	VGP	VGP	VGP	
"eastern happy"	"Cichlidae"	"Cichliformes"	"Astatotilapia calliptera"	"8-NCBI"	"8154"	VGP	VGP	VGP	VGP	VGP	VGP	
"Saker falcon"	"Falconidae"	"Falconiformes"	"Falco cherrug"	"7-asm_curated"	"345164"	VGP	VGP	VGP	VGP			
"red-winged blackbird"	"Icteridae"	"Passeriformes"	"Agelaius phoeniceus"	"2-data_progress"	"39638"	VGP	VGP	VGP	VGP			
"whiskered treeswift"	"Apodidae"	"Apodiformes"	"Hemiprocne comata"	"8-NCBI"	"243314"	VGP	VGP	VGP	VGP	VGP	VGP	
"white-toothed pygmy shrew"	"Soricidae"	"Eulipotyphla"	"Suncus etruscus"	"7-asm_curated"	"109475"	VGP	VGP	VGP	VGP			
"fire-bellied toad"	"Bombinatoridae"	"Anura"	"Bombina bombina"	"5-asm_done"	"8345"	VGP	VGP	VGP	VGP			
