superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	open	insdc_open	published
Laurasiatheria	Cetartiodactyla (Cetacea, Delphinidae)	Tursiops truncatus		VGP	Cetacean GP	Chordata	VGP						
		Tursiops truncatus				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Iniidae)	Inia geoffrensis				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Delphinidae)	Peponocephala electra				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Balaenopteridae)	Balaenoptera musculus				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Balaenopteridae)	Eschrichtius robustus		Cetacean GP		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Balaenopteridae)	Balaenoptera ricei		Cetacean GP		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Delphinidae)	Orcinus orca		DToL	Cetacean GP	Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Ziphiidae)	Mesoplodon densirostris		Cetacean GP		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Ziphiidae)	Hyperoodon ampullatus		DToL		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Kogiidae)	Kogia breviceps		Cetacean GP		Chordata	VGP						
		Kogia breviceps				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Balaenidae)	Eubalaena glacialis		Cetacean GP		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Cetacea, Balaenidae)	Eubalaena glacialis				Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Hippopotamidae)	Hippopotamus amphibius	open			Chordata	VGP	VGP	VGP	VGP	VGP		
Laurasiatheria	Cetartiodactyla (non Cetacea ungulates, Bovidae)	Bos taurus	open	Cattle		Chordata	VGP	VGP	VGP	VGP	VGP		
Laurasiatheria	Cetartiodactyla (non Cetacea ungulates, Bovidae)	Bos indicus		Cattle		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (non Cetacea ungulates, Cervidae)	Cervus elaphus		DToL		Chordata	VGP						
Laurasiatheria	Cetartiodactyla (Suidae)	Sus scrofa	in_progress			Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Cetartiodactyla (Camelidae)	Camelus dromedarius	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Perissodactyla (Equidae)	Equus caballus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Perissodactyla (Rhinoceratidae)	Diceros bicornis minor	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
		Diceros bicornis minor		VGP		Chordata	VGP						
Laurasiatheria	Perissodactyla (Tapiridae)	Tapirus indicus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Laurasiatheria	Chiroptera (Yangochiroptera, Phyllostomidae)	Phyllostomus discolor	open	VGP		Chordata	VGP	VGP	VGP	VGP	VGP		
Laurasiatheria	Chiroptera (Yangochiroptera, Molossidae)	Molossus molossus		Bat1K		Chordata	VGP						
Laurasiatheria	Chiroptera (Yangochiroptera, Vespertilionidae)	Myotis myotis		Bat1K		Chordata	VGP						
Laurasiatheria	Chiroptera (Yangochiroptera, Vespertilionidae)	Pipistrellus kuhlii		Bat1K		Chordata	VGP						
Laurasiatheria	Chiroptera (Yangochiroptera, Vespertilionidae)	Pipistrellus pipistrellus		Sanger 25G		Chordata	VGP						
