db_id	provider_name	scientific_name	taxon_family	ncbi_id	long_list	sequencing_status_phyloalps
PHA000115	Aconitum lycoctonum vulparia	Aconitum vulparia Rchb.	Ranunculaceae	516012	PHYLOALPS	sample_acquired
CAR000117	Aconitum moldavicum	Aconitum moldavicum Hacq.	Ranunculaceae	112590	PHYLOALPS	sample_acquired
PHA000119	Aconitum napellus lusitanicum	Aconitum napellus L. subsp. lusitanicum Rouy	Ranunculaceae	1532242	PHYLOALPS	sample_acquired
PHA000120	Aconitum napellus tauricum	Aconitum tauricum Wulfen.	Ranunculaceae	1532244	PHYLOALPS	sample_acquired
PHA000122	Aconitum napellus vulgare	Aconitum napellus L. subsp. vulgare (DC.) Rouy & Foucaud	Ranunculaceae	1532243	PHYLOALPS	sample_acquired
PHA000124	Aconitum variegatum paniculatum	Aconitum degenii Gáyer subsp. paniculatum (Arcang.) Mucher.	Ranunculaceae	1532239	PHYLOALPS	sample_acquired
PHA000125	Aconitum variegatum valesiacum	Aconitum degenii Gáyer subsp. valesiacum (Gáyer) Mucher	Ranunculaceae	1532240	PHYLOALPS	sample_acquired
PHA000128	Actaea spicata	Actaea spicata L.	Ranunculaceae	64025	PHYLOALPS	sample_acquired
FAM000131	Actinidia sp.	Actinidia sp.	Actinidiaceae	1927898	PHYLOALPS	sample_acquired
PHA000132	Adenophora liliifolia	Adenophora liliifolia (L.) A.DC.	Campanulaceae	361368	PHYLOALPS	sample_acquired
PHA000134	Adenostyles alliariae	Adenostyles alliariae (Gouan) A.Kern.	Asteraceae	1346275	PHYLOALPS	sample_acquired
PHA000137	Adenostyles glabra	Adenostyles alpina (L.) Bluff & Fingerh.	Asteraceae	1395540	PHYLOALPS	sample_acquired
PHA000139	Adenostyles leucophylla	Adenostyles leucophylla (Willd.) Rchb.	Asteraceae	217500	PHYLOALPS	sample_acquired
PHA000140	Adiantum capillus-veneris	Adiantum capillus-veneris L.	Pteridaceae	13818	PHYLOALPS	sample_acquired
PHA000143	Adonis aestivalis aestivalis	Adonis aestivalis L. 	Ranunculaceae	113211	PHYLOALPS	sample_acquired
PHA000144	Adonis aestivalis squarrosa	Adonis aestivalis L. subsp. squarrosa (Steven) Nyman	Ranunculaceae	1532245	PHYLOALPS	sample_acquired
PHA000146	Adonis annua annua	Adonis annua L.	Ranunculaceae	212759	PHYLOALPS	sample_acquired
PHA000148	Adonis flammea	Adonis flammea Jacq.	Ranunculaceae	1532246	PHYLOALPS	sample_acquired
PHA000150	Adonis pyrenaica	Adonis pyrenaica DC.	Ranunculaceae	1532247	PHYLOALPS	sample_acquired
PHA000151	Adonis vernalis	Adonis vernalis L.	Ranunculaceae	46985	PHYLOALPS	sample_acquired
PHA000153	Adoxa moschatellina	Adoxa moschatellina L.	Adoxaceae	4208	PHYLOALPS	sample_acquired
FAM000155	Aechmea bromeliifolia	Aechmea bromeliifolia (Rudge) Baker	Bromeliaceae	713979	PHYLOALPS	sample_acquired
PHA000156	Aegilops cylindrica	Aegilops cylindrica Host	Poaceae	130456	PHYLOALPS	sample_acquired
PHA000159	Aegilops neglecta	Aegilops neglecta Req. ex Bertol.	Poaceae	130460	PHYLOALPS	sample_acquired
PHA000161	Aegilops ovata	Aegilops neglecta Req. ex Bertol.	Poaceae	130459	PHYLOALPS	sample_acquired
PHA000163	Aegilops triuncialis	Aegilops triuncialis L.	Poaceae	39391	PHYLOALPS	sample_acquired
PHA000167	Aegopodium podagraria	Aegopodium podagraria L.	Apiaceae	40902	PHYLOALPS	sample_acquired
PHA000168	Aesculus hippocastanum	Aesculus hippocastanum L.	Sapindaceae	43364	PHYLOALPS	sample_acquired
PHA000170	Aethionema saxatile ovalifolium	Aethionema saxatile subsp. ovalifolium (DC.) Nyman	Brassicaceae	1532248	PHYLOALPS	sample_acquired
PHA000171	Aethionema saxatile saxatile	Aethionema saxatile (L.) R. Br.	Brassicaceae	202778	PHYLOALPS	sample_acquired
PHA000173	Aethionema sp.	Aethionema sp.	Brassicaceae	72656	PHYLOALPS	sample_acquired
PHA000175	Aethionema thomasianum	Aethionema thomasianum Gay	Brassicaceae	1532249	PHYLOALPS	sample_acquired
PHA000177	Aethusa cynapium	Aethusa cynapium L.	Apiaceae	40954	PHYLOALPS	sample_acquired
FAM000178	Afrostyrax lepidophyllus	Afrostyrax lepidophyllus Mildbr.	Huaceae	324802	PHYLOALPS	sample_acquired
PHA000179	Agave americana	Agave americana L.	Asparagaceae	39510	PHYLOALPS	sample_acquired
PHT000181	Agonandra silvatica	Agonandra silvatica Ducke	Opiliaceae	1186077	PHYLOALPS	sample_acquired
PHA000183	Agrimonia eupatoria	Agrimonia eupatoria L.	Rosaceae	57912	PHYLOALPS	sample_acquired
PHA000186	Agrimonia procera	Agrimonia procera Wallr.	Rosaceae	1155245	PHYLOALPS	sample_acquired
PHA000188	Agropyron pectinatum	Agropyron cristatum (L.) Gaertn. subsp. pectinatum (M. Bieb.	Poaceae	4593	PHYLOALPS	sample_acquired
PHA000189	Agrostemma githago	Agrostemma githago L.	Caryophyllaceae	39848	PHYLOALPS	sample_acquired
PHA000194	Agrostis alpina	Agrostis alpina Scop.	Poaceae	1395541	PHYLOALPS	sample_acquired
PHA000196	Agrostis canina	Agrostis canina L.	Poaceae	218142	PHYLOALPS	sample_acquired
PHA000199	Agrostis capillaris	Agrostis capillaris L.	Poaceae	204232	PHYLOALPS	sample_acquired
PHA000202	Agrostis gigantea	Agrostis gigantea Roth	Poaceae	345916	PHYLOALPS	sample_acquired
PHA000205	Agrostis rupestris	Agrostis rupestris All.	Poaceae	1395542	PHYLOALPS	sample_acquired
PHA000207	Agrostis schleicheri	Agrostis schleicheri Jordan & Verlot	Poaceae	1532250	PHYLOALPS	sample_acquired
PHA000209	Agrostis schraderiana	Agrostis agrostiflora (Beck) Janch. & H. Neumayer	Poaceae	1395543	PHYLOALPS	sample_acquired
PHA000210	Agrostis stolonifera	Agrostis stolonifera L. 	Poaceae	63632	PHYLOALPS	sample_acquired
PHA000212	Agrostis vinealis	Agrostis vinealis Schreb.	Poaceae	247443	PHYLOALPS	sample_acquired
PHA000215	Ailanthus altissima	Ailanthus altissima (Mill.) Swingle	Simaroubaceae	23810	PHYLOALPS	sample_acquired
PHA000218	Aira elegantissima	Aira elegantissima Schur	Poaceae	1211427	PHYLOALPS	sample_acquired
PHA000219	Airopsis tenella	Airopsis tenella	Poaceae	388689	PHYLOALPS	sample_acquired
PHA000220	Ajuga chamaepitys	Ajuga chamaepitys (L.) Schreber	Lamiaceae	49984	PHYLOALPS	sample_acquired
PHA000223	Ajuga genevensis	Ajuga genevensis L.	Lamiaceae	1532251	PHYLOALPS	sample_acquired
PHA000224	Ajuga pyramidalis	Ajuga pyramidalis L.	Lamiaceae	1532252	PHYLOALPS	sample_acquired
PHA000227	Ajuga reptans	Ajuga reptans L.	Lamiaceae	38596	PHYLOALPS	sample_acquired
PHA000230	Alcea rosea	Alcea rosea L.	Malvaceae	65557	PHYLOALPS	sample_acquired
PHA000231	Alchemilla alpigena	Alchemilla alpigena Buser	Rosaceae	1532253	PHYLOALPS	sample_acquired
PHA000235	Alchemilla alpina	Alchemilla alpina L.	Rosaceae	57943	PHYLOALPS	sample_acquired
PHA000237	Alchemilla chirophylla	Alchemilla chirophylla Buser	Rosaceae	1532254	PHYLOALPS	sample_acquired
PHA000239	Alchemilla conjuncta	Alchemilla conjuncta Bab.	Rosaceae	1395544	PHYLOALPS	sample_acquired
PHA000240	Alchemilla coriacea	Alchemilla coriacea Buser	Rosaceae	478296	PHYLOALPS	sample_acquired
PHA000241	Alchemilla fallax	Alchemilla fallax Buser	Rosaceae	478307	PHYLOALPS	sample_acquired
PHA000242	Alchemilla filicaulis	Alchemilla filicaulis Buser	Rosaceae	1155247	PHYLOALPS	sample_acquired
PHA000244	Alchemilla fissa	Alchemilla fissa Günther & Schummel	Rosaceae	478309	PHYLOALPS	sample_acquired
PHA000245	Alchemilla flabellata	Alchemilla flabellata Buser	Rosaceae	478310	PHYLOALPS	sample_acquired
PHA000248	Alchemilla glabra	Alchemilla glabra Neygenf.	Rosaceae	1155248	PHYLOALPS	sample_acquired
PHA000249	Alchemilla glaucescens	Alchemilla glaucescens Wallr.	Rosaceae	667203	PHYLOALPS	sample_acquired
PHA000252	Alchemilla hybrida	Alchemilla hybrida (L.) L.	Rosaceae	1532255	PHYLOALPS	sample_acquired
PHA000253	Alchemilla incisa	Alchemilla incisa Buser	Rosaceae	478321	PHYLOALPS	sample_acquired
PHA000254	Alchemilla mollis	Alchemilla mollis (Buser) Rothm.	Rosaceae	32218	PHYLOALPS	sample_acquired
PHA000256	Alchemilla monticola	Alchemilla monticola Opiz	Rosaceae	1532256	PHYLOALPS	sample_acquired
PHA000257	Alchemilla pentaphyllea	Alchemilla pentaphyllea L.	Rosaceae	478333	PHYLOALPS	sample_acquired
PHA000259	Alchemilla saxatilis	Alchemilla saxatilis Buser	Rosaceae	478338	PHYLOALPS	sample_acquired
PHA000261	Alchemilla vetteri	Alchemilla vetteri Buser	Rosaceae	478350	PHYLOALPS	sample_acquired
PHA000263	Alchemilla xanthochlora	Alchemilla xanthochlora Rothm.	Rosaceae	1155249	PHYLOALPS	sample_acquired
PHA000264	Aldrovanda vesiculosa	Aldrovanda vesiculosa L.	Droseraceae	173386	PHYLOALPS	sample_acquired
PHT000265	Alexa wachenheimii	Alexa wachenheimii Benoist	Fabaceae	1186078	PHYLOALPS	sample_acquired
PHA000267	Alisma lanceolatum	Alisma lanceolatum With.	Alismataceae	365730	PHYLOALPS	sample_acquired
PHA000268	Alisma plantago-aquatica	Alisma plantago-aquatica L.	Alismataceae	15000	PHYLOALPS	sample_acquired
PHA000271	Alkanna tinctoria	Alkanna tinctoria (L.) Tausch	Boraginaceae	543564	PHYLOALPS	sample_acquired
PHA000272	Alliaria petiolata	Alliaria petiolata (M. Bieb.) Cavara & Grande	Brassicaceae	126270	PHYLOALPS	sample_acquired
PHA000274	Allium acutiflorum	Allium acutiflorum Loisel.	Amaryllidaceae	546488	PHYLOALPS	sample_acquired
PHA000277	Allium angulosum	Allium angulosum L.	Amaryllidaceae	105301	PHYLOALPS	sample_acquired
PHA000279	Allium carinatum carinatum	Allium carinatum L.	Amaryllidaceae	1211429	PHYLOALPS	sample_acquired
PHA000280	Allium carinatum pulchellum	Allium carinatum L. subsp. pulchellum Bonnier & Layens	Amaryllidaceae	1476993	PHYLOALPS	sample_acquired
PHA000282	Allium ericetorum	Allium ericetorum Thore	Amaryllidaceae	166970	PHYLOALPS	sample_acquired
PHA000284	Allium flavum	Allium flavum L.	Amaryllidaceae	138322	PHYLOALPS	sample_acquired
PHA000286	Allium insubricum	Allium insubricum Boiss. & Reut.	Amaryllidaceae	105304	PHYLOALPS	sample_acquired
PHA000288	Allium lineare	Allium lineare L.	Amaryllidaceae	165631	PHYLOALPS	sample_acquired
PHA000291	Allium lusitanicum	Allium lusitanicum Lam.	Amaryllidaceae	165632	PHYLOALPS	sample_acquired
PHA000293	Allium moschatum	Allium moschatum L.	Amaryllidaceae	165639	PHYLOALPS	sample_acquired
PHA000295	Allium narcissiflorum	Allium senescens L.	Amaryllidaceae	1198656	PHYLOALPS	sample_acquired
PHA000297	Allium neapolitanum	Allium neapolitanum Cirillo	Amaryllidaceae	74896	PHYLOALPS	sample_acquired
CAR000299	Allium obliquum	Allium obliquum L.	Amaryllidaceae	166816	PHYLOALPS	sample_acquired
PHA000300	Allium oleraceum	Allium oleraceum L.	Amaryllidaceae	467612	PHYLOALPS	sample_acquired
PHA000304	Allium oporinanthum	Allium oporinanthum Brullo Pavone & Salmeri	Amaryllidaceae	1532257	PHYLOALPS	sample_acquired
CAR000305	Allium paniculatum	Allium paniculatum L.	Amaryllidaceae	165646	PHYLOALPS	sample_acquired
PHA000306	Allium paradoxum	Allium paradoxum (M.Bieb.) G.Don	Amaryllidaceae	166818	PHYLOALPS	sample_acquired
PHA000308	Allium polyanthum	Allium polyanthum Schultes & Schultes fil.	Amaryllidaceae	546492	PHYLOALPS	sample_acquired
PHA000310	Allium roseum	Allium roseum L.	Amaryllidaceae	74898	PHYLOALPS	sample_acquired
PHA000313	Allium rotundum	Allium rotundum L.	Amaryllidaceae	1174972	PHYLOALPS	sample_acquired
PHA000315	Allium scaberrimum	Allium scaberrimum Serres	Amaryllidaceae	1532258	PHYLOALPS	sample_acquired
PHA000316	Allium schoenoprasum	Allium schoenoprasum L.	Amaryllidaceae	74900	PHYLOALPS	sample_acquired
PHA000318	Allium scorodoprasum	Allium scorodoprasum L.	Amaryllidaceae	166823	PHYLOALPS	sample_acquired
PHA000320	Allium sphaerocephalon	Allium sphaerocephalon L.	Amaryllidaceae	166824	PHYLOALPS	sample_acquired
PHA000322	Allium suaveolens	Allium suaveolens Jacq.	Amaryllidaceae	165663	PHYLOALPS	sample_acquired
PHA000326	Allium ursinum	Allium ursinum L.	Amaryllidaceae	4684	PHYLOALPS	sample_acquired
CAR000327	Allium ursinum ucrainicum	Allium ursinum L.	Amaryllidaceae	674071	PHYLOALPS	sample_acquired
PHA000329	Allium victorialis	Allium victorialis L.	Amaryllidaceae	88845	PHYLOALPS	sample_acquired
PHA000333	Allium vineale	Allium vineale L.	Amaryllidaceae	1053326	PHYLOALPS	sample_acquired
PHT000334	Alloteropsis paniculata	Alloteropsis paniculata (Benth.) Stapf	Poaceae	486855	PHYLOALPS	sample_acquired
FAM000335	Alluaudia humbertii	Alluaudia humbertii Choux	Didiereaceae	86290	PHYLOALPS	sample_acquired
PHT000336	Alnus alnobetula ssp. suaveolens	Alnus alnobetula (Ehrh.) K. Koch subsp. suaveolens (Req.) Lambinon & Kerguélen  	Betulaceae	1052851	PHYLOALPS	sample_acquired
PHT000337	Alnus alnobetula ssp. viridis	Alnus alnobetula (Ehrh.) K. Koch	Betulaceae	38784	PHYLOALPS	sample_acquired
PHA000338	Alnus cordata	Alnus cordata (Loisel.) Duby	Betulaceae	109058	PHYLOALPS	sample_acquired
PHT000341	Alnus crispa	Alnus alnobetula (Ehrh.) K. Koch subsp. crispa (Aiton) Raus	Betulaceae	3518	PHYLOALPS	sample_acquired
PHA000342	Alnus glutinosa	Alnus glutinosa (L.) Gaertn.	Betulaceae	3517	PHYLOALPS	sample_acquired
PHT000345	Alnus glutinosa barbata	Alnus glutinosa (L.) Gaertn. subsp. barbata (C.A. Mey.) Yalt.	Betulaceae	1671027	PHYLOALPS	sample_acquired
PHT000346	Alnus glutinosa betuloides	Alnus glutinosa (L.) Gaertn. subsp. betuloides Ansin	Betulaceae	1671028	PHYLOALPS	sample_acquired
PHA000348	Alnus incana	Alnus incana (L.) Moench	Betulaceae	3516	PHYLOALPS	sample_acquired
PHT000351	Alnus jorullensis jorullensis	Alnus jorullensis Kunth	Betulaceae	1671029	PHYLOALPS	sample_acquired
PHT000352	Alnus maritima	Alnus maritima (Marshall) Muhl. ex Nutt.	Betulaceae	21015	PHYLOALPS	sample_acquired
PHT000353	Alnus maximoweczii	Alnus maximowiczii Callier	Betulaceae	253216	PHYLOALPS	sample_acquired
PHT000354	Alnus orientalis	Alnus orientalis Decne.	Betulaceae	253218	PHYLOALPS	sample_acquired
PHT000355	Alnus rubra	Alnus rubra Bong.	Betulaceae	109069	PHYLOALPS	sample_acquired
PHA000359	Alopecurus aequalis	Alopecurus aequalis Sobol.	Poaceae	114194	PHYLOALPS	sample_acquired
PHA000361	Alopecurus alpinus	Alopecurus alpinus Vill.	Poaceae	1532259	PHYLOALPS	sample_acquired
PHA000363	Alopecurus bulbosus	Alopecurus bulbosus Gouan	Poaceae	114193	PHYLOALPS	sample_acquired
PHA000365	Alopecurus geniculatus	Alopecurus geniculatus L.	Poaceae	114195	PHYLOALPS	sample_acquired
PHA000366	Alopecurus myosuroides	Alopecurus myosuroides Hudson.	Poaceae	81473	PHYLOALPS	sample_acquired
PHA000370	Alopecurus pratensis	Alopecurus pratensis L.	Poaceae	15304	PHYLOALPS	sample_acquired
CAR000371	Alopecurus pratensis laguriformis	Alopecurus pratensis L. subsp. laguriformis (Schur) Tzvelev	Poaceae	1851329	PHYLOALPS	sample_acquired
PHA000373	Alopecurus rendlei	Alopecurus rendlei Eig	Poaceae	1532260	PHYLOALPS	sample_acquired
PHA000375	Althaea cannabina	Althaea cannabina L.	Malvaceae	446322	PHYLOALPS	sample_acquired
PHA000377	Althaea hirsuta	Althaea hirsuta L.	Malvaceae	446323	PHYLOALPS	sample_acquired
PHA000380	Alyssoides utriculata	Alyssoides utriculata (L.) Medik.	Brassicaceae	457762	PHYLOALPS	sample_acquired
PHA000382	Alyssum alpestre	Alyssum alpestre L.	Brassicaceae	226019	PHYLOALPS	sample_acquired
PHA000384	Alyssum alyssoides	Alyssum alyssoides (L.) L.	Brassicaceae	169068	PHYLOALPS	sample_acquired
PHA000386	Alyssum argenteum	Alyssum argenteum All.	Brassicaceae	226021	PHYLOALPS	sample_acquired
PHA000390	Alyssum cuneifolium	Alyssum cuneifolium Ten.	Brassicaceae	1366910	PHYLOALPS	sample_acquired
PHA000393	Alyssum ligusticum	Ptilotrichum halimifolium Boiss.	Brassicaceae	457806	PHYLOALPS	sample_acquired
PHA000396	Alyssum montanum montanum	Alyssum montanum L.	Brassicaceae	1112308	PHYLOALPS	sample_acquired
CAR000398	Alyssum murale	Alyssum murale Waldst. & Kit.	Brassicaceae	226037	PHYLOALPS	sample_acquired
PHA000399	Alyssum ovirense	Alyssum ovirense A. Kern.	Brassicaceae	1440446	PHYLOALPS	sample_acquired
CAR000401	Alyssum repens	Alyssum repens Baumg.	Brassicaceae	457773	PHYLOALPS	sample_acquired
PHA000403	Alyssum serpyllifolium	Alyssum serpyllifolium Desf.	Brassicaceae	226043	PHYLOALPS	sample_acquired
PHA000404	Alyssum simplex	Alyssum simplex Rudolph	Brassicaceae	457775	PHYLOALPS	sample_acquired
PHA000405	Alyssum wulfenianum	Alyssum wulfenianum Benth. ex Willd.	Brassicaceae	226048	PHYLOALPS	sample_acquired
PHA000409	Amaranthus albus	Amaranthus albus L.	Amaranthaceae	124760	PHYLOALPS	sample_acquired
PHA000410	Amaranthus blitoides	Amaranthus blitoides S. Watson	Amaranthaceae	124761	PHYLOALPS	sample_acquired
PHA000413	Amaranthus blitum	Amaranthus blitum L.	Amaranthaceae	338571	PHYLOALPS	sample_acquired
PHA000414	Amaranthus bouchonii	Amaranthus powellii S. Watson subsp. bouchonii (Thell.) Costea & Carretero	Amaranthaceae	1454546	PHYLOALPS	sample_acquired
PHA000415	Amaranthus cruentus	Amaranthus cruentus L.	Amaranthaceae	117272	PHYLOALPS	sample_acquired
PHA000417	Amaranthus deflexus	Amaranthus deflexus L.	Amaranthaceae	1053327	PHYLOALPS	sample_acquired
PHA000419	Amaranthus graecizans	Amaranthus graecizans L.	Amaranthaceae	1454542	PHYLOALPS	sample_acquired
PHA000420	Amaranthus hybridus	Amaranthus hybridus L.	Amaranthaceae	3565	PHYLOALPS	sample_acquired
PHA000424	Amaranthus retroflexus	Amaranthus retroflexus L.	Amaranthaceae	124763	PHYLOALPS	sample_acquired
PHT000425	Ambelania acida	Ambelania acida Aubl.	Apocynaceae	403087	PHYLOALPS	sample_acquired
PHA000426	Ambrosia artemisiifolia	Ambrosia artemisiifolia L.	Asteraceae	4212	PHYLOALPS	sample_acquired
PHA000428	Ambrosia psylostachya	Ambrosia psilostachya DC.	Asteraceae	29715	PHYLOALPS	sample_acquired
PHA000429	Ambrosia tenuifolia	Ambrosia tenuifolia Spreng.	Asteraceae	1532261	PHYLOALPS	sample_acquired
PHA000432	Amelanchier ovalis	Amelanchier ovalis Medik.	Rosaceae	1000415	PHYLOALPS	sample_acquired
PHA000437	Ammi majus	Ammi majus L.	Apiaceae	48026	PHYLOALPS	sample_acquired
PHA000439	Amorpha fruticosa	Amorpha fruticosa L.	Fabaceae	48131	PHYLOALPS	sample_acquired
PHT000440	Amphirrhox longifolia	Amphirrhox longifolia (A.St.-Hil.) Spreng.	Violaceae	597269	PHYLOALPS	sample_acquired
FAM000441	Anacampseros arachnoides	Anacampseros arachnoides (Haw.) Sims	Anacampserotaceae	1038458	PHYLOALPS	sample_acquired
PHA000442	Anacamptis pyramidalis	Anacamptis pyramidalis (L.) Rich.	Orchidaceae	59316	PHYLOALPS	sample_acquired
PHT000445	Anacardium spruceanum	Anacardium spruceanum Benth. ex Engl. 	Anacardiaceae	597270	PHYLOALPS	sample_acquired
PHA000447	Anagallis arvensis	Anagallis arvensis L.	Primulaceae	4337	PHYLOALPS	sample_acquired
PHA000448	Anagallis foemina	Anagallis arvensis L. subsp. foemina (Mill.) Schinz & Thell.	Primulaceae	357596	PHYLOALPS	sample_acquired
PHA000451	Anagallis minima	Anagallis minima (L.) E.H.L. Krause	Primulaceae	306292	PHYLOALPS	sample_acquired
PHA000453	Anagallis tenella	Anagallis tenella (L.) L.	Primulaceae	85162	PHYLOALPS	sample_acquired
PHA000455	Anarrhinum bellidifolium	Anarrhinum bellidifolium (L.) Willd.	Plantaginaceae	299799	PHYLOALPS	sample_acquired
PHT000456	Anartia meyeri	Tabernaemontana undulata Vahl	Apocynaceae	1186235	PHYLOALPS	sample_acquired
