Set	Species	Common Name	Order	Biosample	long_list	family_representative	other_priority	sequencing_status	sample_collected	sample_acquired	in_progress	insdc_open	published	publication_ID
B	Moschus moschiferus	Siberian musk deer	Cetartiodactyla	SAMN07678096	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
B	Manis tricuspis	Tree pangolin	Pholidota	SAMN07678093	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Manis tricuspis	Tree pangolin	Pholidota	SAMN07678093	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Pontoporia blainvillei	La plata dolphin	Cetartiodactyla	SAMN07678127	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Macrotus californicus	California leaf-nosed bat	Chiroptera	SAMN07678130	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Rhinolophus ferrumequinum	Greater horseshoe bat	Chiroptera	SAMN07678122	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Nycticeius humeralis	Egyptian slit-faced bat	Chiroptera	SAMN07678030	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Antrozous pallidus	Pallid bat	Chiroptera	SAMN07678034	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Pedetes capensis	South African springhare	Rodentia	SAMN07678104	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Rhizomys pruinosus	Hoary bamboo rat	Rodentia	SAMN07678150	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
A	Bradypus variegatus	Brown-throated sloth	Pilosa	SAMN07678054	ZOONOMIA			published	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	ZOONOMIA	https://doi.org/10.1038/s41586-020-2876-6
