species	family	phylum	kingdom	source	ncbi_taxon_id	proposed_sequencing_centre	target_list_status	sequencing_status	goat_stimated_genome_size_(gb)	phase	notes	comments	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Leviellus thorelli	Aranaeidae	Arthropoda	Metazoa	SloveniaHSp	1662264	TBD	other_priority	sample_collected	2,18	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Amilenus aurantiacus	Phalangiidae	Arthropoda	Metazoa	SloveniaHSp	1046855	TBD	other_priority	sample_collected	1,1	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Leiobunum rupestre	Sclerosomatidae	Arthropoda	Metazoa	SloveniaHSp	Not on NCBI	TBD	other_priority		1,1	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Lacinius dentiger	Phallangidae	Arthropoda	Metazoa	SloveniaHSp	1926191	TBD	other_priority		1,1	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Sphaerobathyscia hoffmani	Leiodidae	Arthropoda	Metazoa	SloveniaHSp	Not on NCBI	TBD	other_priority		0,802	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Spelaeobates novaki	Leiodidae	Arthropoda	Metazoa	SloveniaHSp	Not on NCBI	TBD	other_priority		0,802	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Cottus metae	Cottidae	Chordata	Metazoa	SloveniaHSp	2779018	TBD	other_priority		0,841	TBD	In contact with: VGP  waiting for response		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Erinaceus roumanicus	Erinaceidae	Chordata	Metazoa	SloveniaHSp	1052165	TBD	other_priority		3,58	TBD	In contact with: VGP  waiting for response		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Zygaena carniolica	Zygaenidae	Arthropoda	Metazoa	SloveniaHSp	287238	TBD	other_priority		0,6	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Hypoderma diana	Oestridae	Arthropoda	Metazoa	SloveniaHSp	170899	TBD	other_priority		0,691	TBD	In contact with: DTOL  waiting for response		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Melolontha hippocastani	Scarabaeidae	Arthropoda	Metazoa	SloveniaHSp	903833	TBD	other_priority		1,34	TBD	In contact with: DTOL  waiting for response		SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Octodrilus mimus	Lumbricidae	Annelida	Metazoa	SloveniaHSp	2506770	TBD	other_priority		0,841	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Erebia calcaria	Nymphalidae	Arthropoda	Metazoa	SloveniaHSp	468173	TBD	other_priority		0,479	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Gyas annulatus	Sclerosomatidae	Arthropoda	Metazoa	SloveniaHSp	Not on NCBI	TBD	other_priority		1,1	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Leiobunum subalpinum	Phallangidae	Arthropoda	Metazoa	SloveniaHSp	Not on NCBI	TBD	other_priority	sample_collected	1,1	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP	SLOVENIA-HSP								
Niphargus stygius	Niphargidae	Arthropoda	Metazoa	SloveniaHSp	556215	TBD	other_priority		4,62	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
Cicada orni	Cicadidae	Arthropoda	Metazoa	SloveniaHSp	134416	TBD	other_priority		5,85	TBD			SLOVENIA-HSP	SLOVENIA-HSP		SLOVENIA-HSP									
