ncbi_taxon_id	genus	species	family	target_list_status	sequencing_status	synonym	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
64518	Mortierella	alpina	Mortierellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
589210	Mortierella	globalpina	Mortierellaceae	ebpn_other_priority			EBPN	EBPN											
979702	Mortierella	globulifera	Mortierellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
64524	Mortierella	hyalina	Mortierellaceae	ebpn_other_priority			EBPN	EBPN											
91625	Mortierella	isabellina	Mortierellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
979764	Mortierella	zonata	Mortierellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
36080	Mucor	circinelloides	Mucoraceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
439312	Mucor	flavus	Mucoraceae	ebpn_other_priority			EBPN	EBPN											
64491	Mucor	fragilis	Mucoraceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
64493	Mucor	hiemalis	Mucoraceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
1091291	Mucor	lanceolatus	Mucoraceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
97098	Mucor	plumbeus	Mucoraceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
4841	Mucor	racemosus	Mucoraceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
279485	Myrmeleon	formicarius	Myrmeleontidae	ebpn_other_priority			EBPN	EBPN											
261864	Mysis	relicta	Mysidae	ebpn_other_priority			EBPN	EBPN											
29687	Nardus	stricta	Poaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
114204	Narthecium	ossifragum	Nartheciaceae	ebpn_other_priority			EBPN	EBPN											
2528854	Nectonema	munidae	Nectonematidae	ebpn_other_priority			EBPN	EBPN											
437603	Neoparamoeba	perurans	Paramoebidae	ebpn_other_priority			EBPN	EBPN											
1181720	Nitzschia	frigida	Bacillariaceae	ebpn_other_priority			EBPN	EBPN											
	Oenothera	muricata	Onagraceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
37176	Ovibos	moschatus	Bovidae	ebpn_other_priority			EBPN	EBPN											
20804	Oxytropis	deflexa	Fabaceae	ebpn_other_priority		Oxytropis deflexa norvegica	EBPN	EBPN											
6703	Pandalus	borealis	Pandalidae	ebpn_other_priority			EBPN	EBPN											
156354	Panurgus	calcaratus	Andrenidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
1707561	Parastichopus	tremulus	Stichopodidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
78461	Peltigera	aphthosa	Peltigeraceae	ebpn_other_priority			EBPN	EBPN											
78464	Peltigera	canina	Peltigeraceae	ebpn_other_priority			EBPN	EBPN											
185665	Phaeoceros	carolinianus	Notothyladaceae	ebpn_other_priority			EBPN	EBPN											
9720	Phoca	vitulina	Phocidae	ebpn_other_priority			EBPN	EBPN											
9182	Phylloscopus	trochilus	Phylloscopidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
34924	Pica	pica	Corvidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
221202	Pilosella	lactucella	Asteraceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
67002	Plenogemma	phyllantha	Orthotrichaceae	ebpn_other_priority			EBPN	EBPN											
64523	Podila	humilis	Mortierellaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
1891520	Potentilla	arenosa	Rosaceae	ebpn_other_priority			EBPN	EBPN											
97307	Prunus	padus	Rosaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
72548	Prymnesium	polylepis	Prymnesiaceae	ebpn_other_priority			EBPN	EBPN											
2824852	Pseudopolydora	nordica	Spionidae	ebpn_other_priority			EBPN	EBPN											
997042	Pseudopolydora	paucibranchiata	Spionidae	ebpn_other_priority			EBPN	EBPN											
6271	Pseudoterranova	decipiens	Anisakidae	ebpn_other_priority			EBPN	EBPN											
37607	Pyrrhula	pyrrhula	Fringillidae	ebpn_other_priority	sample_acquired	pyrrhula	EBPN	EBPN			EBPN	EBPN							
156871	Rana	arvalis	Ranidae	ebpn_other_priority			EBPN	EBPN											
228257	Rangifer	tarandus	Cervidae	ebpn_other_priority	in_progress	Rangifer tarandus platyrynchus	EBPN	EBPN			EBPN	EBPN	EBPN						
86329	Rangifer	tarandus	Cervidae	ebpn_other_priority	in_progress	Rangifer tarandus tarandus	EBPN	EBPN			EBPN	EBPN	EBPN						
64495	Rhizopus	arrhizus	Mucoraceae	ebpn_other_priority			EBPN	EBPN											
58291	Rhizopus	microsporus	Mucoraceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
64495	Rhizopus	oryzae	Mucoraceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
4846	Rhizopus	stolonifer	Rhizopodaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
57936	Rubus	chamaemorus	Rosaceae	ebpn_other_priority	in_progress		EBPN	EBPN			EBPN	EBPN	EBPN						
8030	Salmo	salar	Salmonidae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
406025	Saxifraga	adscendens	Saxifragaceae	ebpn_other_priority			EBPN	EBPN											
102720	Saxifraga	cotyledon	Saxifragaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
669826	Saxifraga	hyperborea	Saxifragaceae	ebpn_other_priority			EBPN	EBPN											
102733	Saxifraga	osloensis	Saxifragaceae	ebpn_other_priority			EBPN	EBPN											
406026	Saxifraga	tridactylites	Saxifragaceae	ebpn_other_priority			EBPN	EBPN											
1133313	Scapania	nimbosa	Scapaniaceae	ebpn_other_priority			EBPN	EBPN											
215256	Scapania	undulata	Scapaniaceae	ebpn_other_priority	sample_acquired		EBPN	EBPN			EBPN	EBPN							
