common_name	family	order	scientific_name	status	taxon_id	vgp_phase	long_list	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
chicken	Phasianidae	Galliformes	Gallus gallus	7-asm_curated	9031	other	VGP	VGP	VGP	VGP	VGP			
gold dust stingray	Potamotrygonidae	Myliobatiformes	Potamotrygon marinae	4-asm_progress	000000	phase1	VGP	VGP	VGP	VGP	VGP			
royal ground snake	Dipsadidae	Squamata	Erythrolamprus reginae	3-data_done	121349	phase2	VGP	VGP	VGP	VGP	VGP			
Puerto Rican coqui	Eleutherodactylidae	Anura	Eleutherodactylus coqui	1-DNA_isolation	57060	phase1	VGP	VGP	VGP	VGP	VGP			
vaquita	Phocoenidae	Artiodactyla	Phocoena sinus	8-NCBI	42100	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
great potoo	Nyctibiidae	Caprimulgiformes	Nyctibius grandis	8-NCBI	48427	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Savannah sparrow	Passerellidae	Passeriformes	Passerculus sandwichensis	2-data_progress	161624	phase2	VGP	VGP	VGP	VGP	VGP			
lesser rhea	Rheidae	Rheiformes	Rhea pennata	2-data_progress	8795	phase2	VGP	VGP	VGP	VGP	VGP			
razorbill	Alcidae	Charadriiformes	Alca torda	8-NCBI	28689	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
lance-tailed manakin	Pipridae	Passeriformes	Chiroxiphia lanceolata	8-NCBI	296741	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Clouded leopard	Felidae	Carnivora	Neofelis nebulosa	3-data_done	61452	phase3	VGP	VGP	VGP	VGP	VGP			
white-throated sparrow	Passerellidae	Passeriformes	Zonotrichia albicollis	0-data_queued	44394	phase3	VGP	VGP	VGP	VGP				
Greenland wolf	Canidae	Carnivora	Canis lupus orion	8-NCBI	2605939	phase2	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
Eurasian red squirrel	Sciuridae	Rodentia	Sciurus vulgaris	8-NCBI	55149	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
red shiner	Leuciscidae	Cypriniformes	Cyprinella lutrensis	0-data_queued	28791	phase2	VGP	VGP	VGP	VGP				
live sharksucker	Echeneidae	Carangiformes	Echeneis naucrates	8-NCBI	173247	phase1	VGP	VGP	VGP	VGP	VGP	VGP	VGP	
