species	phylum/class/family	kingdom	source	ncbi_taxon_id	proposed_sequencing_centre	target_list_status	sequencing_status	goat_stimated_genome_size_gb	phase	notes	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
Clematis elisabethae-carolae	PLANTS/Ranunculaceae	Plantae	Greece_NHMC	1857129	next	other_priority		9.330	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Crocidura zimmermanni	MAMMALS/Soricidae	Metazoa	Greece_NHMC	387912	next	other_priority		2.580	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Dianthus juniperinus	PLANTS/Caryophyllaceae	Plantae	Greece_NHMC	2614492	next	other_priority		702	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Ebenus cretica	PLANTS/Fabaceae	Plantae	Greece_NHMC	754874	next	other_priority		2.000	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Eopolita protensa	GASTROPODA/Oxychilidae	Plantae	Greece_NHMC	3034286	next	other_priority			next	not in GoaT	GREECE-HSP	GREECE-HSP		GREECE-HSP									
Eupholidoptera astyla	INSECTS/Orthoptera	Metazoa	Greece_NHMC	2787592	next	other_priority		7.440	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Horstrissea dolinicola	PLANTS/Apiaceae	Plantae	Greece_NHMC	2497455	next	other_priority		2.490	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Iurus dekanum	ARACHNIDA/Scorpiones	Metazoa	Greece_NHMC	1577152	next	other_priority		1.100	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Kretania psylorita	INSECTS/Lepidoptera	Metazoa	Greece_NHMC	2807638	next	other_priority		225	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Lindholmiola barbata	GASTROPODA/Helicodontidae	Plantae	Greece_NHMC	3034285	next	other_priority		2.440	next	not in GoaT	GREECE-HSP	GREECE-HSP		GREECE-HSP									
Macrothele cretica	ARACHNIDA/Araneae	Metazoa	Greece_NHMC	1518524	next	other_priority		1.200	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Mastus olivaceus	GASTROPODA/Enidae	Plantae	Greece_NHMC	265327	next	other_priority		2.850	next		GREECE-HSP	GREECE-HSP		GREECE-HSP									
Mediodactylus bartoni	REPTILES/Gekkonidae	Metazoa	Greece_NHMC	3034135	next	other_priority		2.530	next	not in GoaT	GREECE-HSP	GREECE-HSP		GREECE-HSP									
