	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
59	2041938	Deuterosminthurus	bicinctus	Bourletiellidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
60	1385863	Dicyrtoma	fusca	Dicyrtomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
61	1387116	Dicyrtomina	minuta	Dicyrtomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
62	438492	Dicyrtomina	saundersi	Dicyrtomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
63	NA	Disparrhopalites	patrizii	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
64	1503966	Entomobrya	corticalis	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
65	2041940	Entomobrya	muscorum	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
66	2041941	Entomobrya	nicoleti	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
67	1387109	Entomobrya	nivalis	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
68	247613	Entomobrya	multifasciata	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
69	158441	Folsomia	candida	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
70	1387114	Folsomia	fimetaria	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
71	2041942	Folsomia	inoculata	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
72	266765	Folsomia	penicula	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
73	187628	Friesea	truncata	Neanuridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
74	2449080	Gisinianus	flammeolus	Katiannidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
75	254095	Heteromurus	nitidus	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
76	301519	Hydroisotoma	schaefferi	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
77	NA	Hymenaphorura	dentifera	NA		in_assembly		metainvert			metainvert	metainvert	metainvert			
78	1725397	Hypogastrura	burkilli	Hypogastruridae		in_assembly		metainvert			metainvert	metainvert	metainvert			
79	247611	Isotoma	anglicana	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
80	308473	Isotoma	caerulea	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
81	57735	Isotoma	decorata	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
82	187635	Isotoma	viridis	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
83	370032	Isotomiella	minor	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
84	370031	Isotomiella	paraminor	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
85	1184803	Isotomurus	graminis	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
86	36143	Isotomurus	maculatus	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
87	36144	Isotomurus	palustris	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
88	1410395	Isotomurus	plumosus	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
89	36142	Isotomurus	pseudopalustris	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
90	48718	Isotomurus	unifasciatus	Isotomidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
91	247612	Lepidocyrtus	cyaneus	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
92	707889	Lepidocyrtus	lignorum	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
93	49179	Lepidocyrtus	paradoxus	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
94	707891	Lepidocyrtus	violaceus	Entomobryidae		in_assembly		metainvert			metainvert	metainvert	metainvert			
