"common_name"	"family"	"order"	"scientific_name"	"status"	"taxon_id"	"vgp_phase"
"chicken"	"Phasianidae"	"Galliformes"	"Gallus gallus"	"7-asm_curated"	"9031"	"other"
"gold dust stingray"	"Potamotrygonidae"	"Myliobatiformes"	"Potamotrygon marinae"	"4-asm_progress"	"000000"	"phase1"
"royal ground snake"	"Dipsadidae"	"Squamata"	"Erythrolamprus reginae"	"3-data_done"	"121349"	"phase2"
"Puerto Rican coqui"	"Eleutherodactylidae"	"Anura"	"Eleutherodactylus coqui"	"1-DNA_isolation"	"57060"	"phase1"
"vaquita"	"Phocoenidae"	"Artiodactyla"	"Phocoena sinus"	"8-NCBI"	"42100"	"phase1"
"great potoo"	"Nyctibiidae"	"Caprimulgiformes"	"Nyctibius grandis"	"8-NCBI"	"48427"	"phase1"
"Savannah sparrow"	"Passerellidae"	"Passeriformes"	"Passerculus sandwichensis"	"2-data_progress"	"161624"	"phase2"
"lesser rhea"	"Rheidae"	"Rheiformes"	"Rhea pennata"	"2-data_progress"	"8795"	"phase2"
"razorbill"	"Alcidae"	"Charadriiformes"	"Alca torda"	"8-NCBI"	"28689"	"phase2"
"lance-tailed manakin"	"Pipridae"	"Passeriformes"	"Chiroxiphia lanceolata"	"8-NCBI"	"296741"	"phase1"
"Clouded leopard"	"Felidae"	"Carnivora"	"Neofelis nebulosa"	"3-data_done"	"61452"	"phase3"
"white-throated sparrow"	"Passerellidae"	"Passeriformes"	"Zonotrichia albicollis"	"0-data_queued"	"44394"	"phase3"
"Greenland wolf"	"Canidae"	"Carnivora"	"Canis lupus orion"	"8-NCBI"	"2605939"	"phase2"
"Eurasian red squirrel"	"Sciuridae"	"Rodentia"	"Sciurus vulgaris"	"8-NCBI"	"55149"	"phase1"
"red shiner"	"Leuciscidae"	"Cypriniformes"	"Cyprinella lutrensis"	"0-data_queued"	"28791"	"phase2"
"live sharksucker"	"Echeneidae"	"Carangiformes"	"Echeneis naucrates"	"8-NCBI"	"173247"	"phase1"
"American pika"	"Ochotonidae"	"Lagomorpha"	"Ochotona princeps"	"2-data_progress"	"9978"	"phase1"
"American alligator"	"Alligatoridae"	"Crocodylia"	"Alligator mississippiensis"	"2-data_progress"	"8496"	"phase1"
"Swainson's thrush"	"Turdidae"	"Passeriformes"	"Catharus ustulatus"	"8-NCBI"	"91951"	"phase2"
"ermine"	"Mustelidae"	"Carnivora"	"Mustela erminea"	"8-NCBI"	"36723"	"phase3"
"southern bluefin tuna"	"Scombridae"	"Scombriformes"	"Thunnus maccoyii"	"8-NCBI"	"8240"	"phase3"
"white-throated sparrow"	"Passerellidae"	"Passeriformes"	"Zonotrichia albicollis"	"1-DNA_isolation"	"44394"	"phase4"
"North American porcupine"	"Erethizontidae"	"Rodentia"	"Erethizon dorsatum"	"7-asm_curated"	"34844"	"phase1"
"South Island takahe"	"Rallidae"	"Gruiformes"	"Porphyrio hochstetteri"	"8-NCBI"	"439704"	"phase2"
"zebra finch"	"Estrildidae"	"Passeriformes"	"Taeniopygia guttata"	"8-NCBI"	"59729"	"phase1"
"two-lined caecilian"	"Rhinatrematidae"	"Apoda"	"Rhinatrema bivittatum"	"8-NCBI"	"194408"	"phase1"
"Asian bonytongue"	"Osteoglossidae"	"Osteoglossiformes"	"Scleropages formosus"	"8-NCBI"	"113540"	"phase1"
"Masked duck"	"Anatidae"	"Anseriformes"	"Nomonyx dominicus"	"5-asm_done"	"555276"	"phase3"
"Florida worm lizard"	"Rhineuridae"	"Squamata"	"Rhineura floridana"	"2-data_progress"	"261503"	"phase1"
"fire salamander"	"Salamandridae"	"Caudata"	"Salamandra salamandra"	"2-data_progress"	"57571"	"phase1"
"flier cichlid"	"Cichlidae"	"Cichliformes"	"Archocentrus centrarchus"	"8-NCBI"	"63155"	"phase1"
"chimpanzee"	"Hominidae"	"Primates"	"Pan troglodytes"	"0-data_queued"	"9598"	"phase3"
"American robin"	"Turdidae"	"Passeriformes"	"Turdus migratorius"	"0-data_queued"	"9188"	"phase3"
"European robin"	"Turdidae"	"Passeriformes"	"Erithacus rubecula"	"8-NCBI"	"37610"	"phase3"
"song sparrow"	"Passerellidae"	"Passeriformes"	"Melospiza melodia"	"2-data_progress"	"44397"	"phase3"
"spotted scat"	"Scatophagidae"	""	"Scatophagus argus"	"8-NCBI"	"75038"	"phase1"
"epaulette shark"	"Hemiscylliidae"	"Orectolobiformes"	"Hemiscyllium ocellatum"	"8-NCBI"	"170820"	"phase1"
"black-legged kittiwake"	"Laridae"	"Charadriiformes"	"Rissa tridactyla"	"2-data_progress"	"75485"	"phase2"
"Downy woodpecker"	"Picidae"	"Piciformes"	"Dryobates pubescens"	"8-NCBI"	"118200"	"phase2"
"sterlet"	"Acipenseridae"	"Acipenseriformes"	"Acipenser ruthenus"	"8-NCBI"	"7906"	"phase1"
"tufted duck"	"Anatidae"	"Anseriformes"	"Aythya fuligula"	"8-NCBI"	"219594"	"phase1"
"Red-fronted tinkerbird"	"Lybiidae"	"Piciformes"	"Pogoniulus pusillus"	"8-NCBI"	"488313"	"phase2"
"rufous frog"	"Leptodactylidae"	"Anura"	"Leptodactylus fuscus"	"2-data_progress"	"238119"	"phase2"
"mute swan"	"Anatidae"	"Anseriformes"	"Cygnus olor"	"8-NCBI"	"8869"	"phase3"
"southern tamandua"	"Myrmecophagidae"	"Pilosa"	"Tamandua tetradactyla"	"5-asm_done"	"48850"	"phase1"
"maguari stork"	"Ciconiidae"	"Ciconiiformes"	"Ciconia maguari"	"8-NCBI"	"52777"	"phase1"
"Kauai elepaio"	"Monarchidae"	"Passeriformes"	"Chasiempis sclateri"	"2-data_progress"	"1576535"	"phase2"
"European golden plover"	"Charadriidae"	"Charadriiformes"	"Pluvialis apricaria"	"8-NCBI"	"670352"	"phase1"
"common pipistrelle"	"Vespertilionidae"	"Chiroptera"	"Pipistrellus pipistrellus"	"8-NCBI"	"59474"	"phase2"
"seaside sparrow"	"Passerellidae"	"Passeriformes"	"Ammodramus maritimus"	"2-data_progress"	"371905"	"phase3"
"Asiatic elephant"	"Elephantidae"	"Proboscidea"	"Elephas maximus"	"2-data_progress"	"9783"	"phase1"
"New Zealand spotty"	"Labridae"	"Perciformes"	"Notolabrus celidotus"	"8-NCBI"	"1203425"	"phase1"
"hourglass treefrog"	"Hylidae"	"Anura"	"Dendropsophus ebraccatus"	"7-asm_curated"	"150705"	"phase1"
"Aeolian wall lizard"	"Lacertidae"	"Squamata"	"Podarcis raffonei"	"6-asm_curation"	"65483"	"phase3"
"Norway rat"	"Muridae"	"Rodentia"	"Rattus norvegicus"	"8-NCBI"	"10116"	"phase2"
"zebrafish"	"Danionidae"	"Cypriniformes"	"Danio rerio"	"7-asm_curated"	"7955"	"phase1"
"Eurasian water vole"	"Cricetidae"	"Rodentia"	"Arvicola amphibius"	"8-NCBI"	"1047088"	"phase1"
"black rhinoceros"	"Rhinocerotidae"	"Perissodactyla"	"Diceros bicornis"	"8-NCBI"	"9805"	"phase1"
"Caribbean electric ray"	"Narcinidae"	"Torpediniformes"	"Narcine bancroftii"	"2-data_progress"	"1343680"	"phase1"
"Seychelles magpie-robin"	"Muscicapidae"	"Passeriformes"	"Copsychus sechellarum"	"2-data_progress"	"797021"	"phase2"
"zebra finch"	"Estrildidae"	"Passeriformes"	"Taeniopygia guttata"	"8-NCBI"	"59729"	"other"
"platypus"	"Ornithorhynchidae"	"Monotremata"	"Ornithorhynchus anatinus"	"8-NCBI"	"9258"	"phase1"
"John dory"	"Zeidae"	"Zeiformes"	"Zeus faber"	"2-data_progress"	"64108"	"phase1"
"rifleman"	"Acanthisittidae"	"Passeriformes"	"Acanthisitta chloris"	"8-NCBI"	"57068"	"phase1"
"pinecone soldierfish"	"Holocentridae"	"Holocentriformes"	"Myripristis murdjan"	"8-NCBI"	"586833"	"phase1"
