# project_name DToL	...2	...3	...4	...5
# subproject_name Fungi Working Group	NA	NA	NA	NA
# primary_contact Esther Gaya	NA	NA	NA	NA
# primary_contact_institution Royal Botanic Gardens Kew, Twickenham, London UK	NA	NA	NA	NA
# schema_version dtol_species_goat_2.0	NA	NA	NA	NA
# date_of_update 2021-02-11	NA	NA	NA	NA
# Genus species family status	NA	NA	NA	NA
Backusella	lamprospora	Backusellaceae	DTOL	DTOL	DTOL	NA
Backusella	oblongispora	Backusellaceae	DTOL	DTOL	DTOL	NA
Ainoa	mooreana	Baeomycetaceae	DTOL	DTOL	DTOL	NA
Baeomyces	rufus	Baeomycetaceae	DTOL	DTOL	DTOL	NA
Bankera	fuligineoalba	Bankeraceae	DTOL	DTOL	DTOL	NA
Bartalinia	robillardoides	Bartaliniaceae	DTOL	DTOL	DTOL	NA
Basidiobolus	ranarum	Basidiobolaceae	DTOL	DTOL	DTOL	NA
Beltrania	querna	Beltraniaceae	DTOL	DTOL	DTOL	NA
Bertia	moriformis	Bertiaceae	DTOL	DTOL	DTOL	NA
Biatorella	hemisphaerica	Biatorellaceae	DTOL	DTOL	DTOL	NA
Nectriopsis	sporangiicola	Bionectriaceae	DTOL	DTOL	DTOL	NA
Nectriopsis	violacea	Bionectriaceae	DTOL	DTOL	DTOL	NA
Blastocladia	globosa	Blastocladiaceae	DTOL	DTOL	DTOL	NA
Clavochytridium	emersonii	Blastocladiaceae	DTOL	DTOL	DTOL	NA
Bolbitius	titubans	Bolbitiaceae	DTOL	DTOL	DTOL	NA
Conocybe	aporos	Bolbitiaceae	DTOL	DTOL	DTOL	NA
Boletus	edulis	Boletaceae	DTOL	DTOL	DTOL	NA
Camarops	polysperma	Boliniaceae	DTOL	DTOL	DTOL	NA
Lentomitella	cirrhosa	Boliniaceae	DTOL	DTOL	DTOL	NA
Heterobasidion	annosum	Bondarzewiaceae	DTOL	DTOL	DTOL	NA
Botryobasidium	subcoronatum	Botryobasidiaceae	DTOL	DTOL	DTOL	NA
Botryosphaeria	dothidea	Botryosphaeriaceae	DTOL	DTOL	DTOL	NA
Dicellomyces	scirpi	Brachybasidiaceae	DTOL	DTOL	DTOL	NA
Brigantiaea	fuscolutea	Brigantiaeaceae	DTOL	DTOL	DTOL	NA
Bryoglossum	gracile	Bryoglossaceae	DTOL	DTOL	DTOL	NA
Bullera	armeniaca	Bulleraceae	DTOL	DTOL	DTOL	NA
Bullera	crocea	Bulleraceae	DTOL	DTOL	DTOL	NA
Hannaella	luteola	Bulleribasidiaceae	DTOL	DTOL	DTOL	NA
Fellhanera	bouteillei	Byssolomataceae	DTOL	DTOL	DTOL	NA
Leimonis	erratica	Byssolomataceae	DTOL	DTOL	DTOL	NA
Cainia	graminis	Cainiaceae	DTOL	DTOL	DTOL	NA
Calcarisporiella	thermophila	Calcarisporiellaceae	DTOL	DTOL	DTOL	NA
Calicium	viride	Caliciaceae	DTOL	DTOL	DTOL	NA
Calloria	neglecta	Calloriaceae	DTOL	DTOL	DTOL	NA
Micropodia	pteridina	Calloriaceae	DTOL	DTOL	DTOL	NA
Caloscypha	fulgens	Caloscyphaceae	DTOL	DTOL	DTOL	NA
Calosphaeria	parasitica	Calosphaeriaceae	DTOL	DTOL	DTOL	NA
Calosphaeria	wahlenbergii	Calosphaeriaceae	DTOL	DTOL	DTOL	NA
Candelaria	concolor	Candelariaceae	DTOL	DTOL	DTOL	NA
Candelariella	vitellina	Candelariaceae	DTOL	DTOL	DTOL	NA
Capnodium	salicinum	Capnodiaceae	DTOL	DTOL	DTOL	NA
Carbonicola	anthracophila	Carbonicolaceae	DTOL	DTOL	DTOL	NA
Caryospora	callicarpa	Caryosporaceae	DTOL	DTOL	DTOL	NA
Catenaria	anguillulae	Catenariaceae	DTOL	DTOL	DTOL	NA
Catenomyces	persicinus	Catenariaceae	DTOL	DTOL	DTOL	NA
Catenophlyctis	variabilis	Catenariaceae	DTOL	DTOL	DTOL	NA
Catillaria	chalybeia	Catillariaceae	DTOL	DTOL	DTOL	NA
Celothelium	ischnobelum	Celotheliaceae	DTOL	DTOL	DTOL	NA
Cenangium	ferruginosum	Cenangiaceae	DTOL	DTOL	DTOL	NA
Cephaloascus	fragrans	Cephaloascaceae	DTOL	DTOL	DTOL	NA
