species	TOLiD	ncbi_taxon_id	Long Read 	Proximity Ligation (HiC/OmniC	RNA Sequencing 	long_list	other_priority	family_representative	contributing_project_lab	sequencing_status	sample_collected	in_progress	insdc_open	published	sample_acquired
Alburnus alburnus	fAlbAlb	54556	in_progress	in_progress	in_progress	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Spinachia spinachia	fSpiSpi	206126	in_progress	in_progress	in_progress	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Pteromys volans [waiting on fresh sample]	mPteVol	55152				ERGA	ERGA		ERGA-PILOT						
Ammodytes marinus	fAmmMar	146480	in_progress	in_progress	in_progress	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Argentina silus	fArgSil	446415	in_progress	in_progress	sample_collected	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Mytilus edulis	xbMytEdul	6550	sample_collected	in_progress	sample_collected	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Bombus lapponicus | Bombus monticola | Bombus pyrrhopygus | Bombus balteatus | Bombus hyperboreus	iyBomLapp	85664	in_progress	sample_collected	in_progress	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Aglaophenia octodonta	jhAglOcto	401953	in_progress	in_progress	in_progress	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Mustela lutreola	mMusLut	9666	in_progress	in_progress	in_progress	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Phaeosaccion multiseriatum	uoPhaMult	2797544	in_progress	in_progress	in_progress	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Pollachius pollachius	fPolPol	185739				ERGA	ERGA		ERGA-PILOT						
Prunus brigantina	drPruBrig	151428	in_progress	in_progress	in_progress	ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Acrobeloides nanus	nxAcrNanu	290746	in_progress	in_progress		ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Poikilolaimus oxycerca	nxPoiOxyc	96659	in_progress			ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Megalothorax minimus	qeMegMini	438500	in_progress			ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Camptopoeum friesei	iyCamFrie	2918745	in_progress	in_progress		ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
Rhogostoma pseudocylindrica	pcRhoPscy	2691107	in_progress			ERGA	ERGA		ERGA-PILOT	in_progress	ERGA	ERGA			ERGA
