	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
0	437603	Neoparamoeba	perurans	Paramoebidae	ebpn_other_priority			EBPN		EBPN						
1	2594091	Stygocapitella	zecai	Parergodrilidae	ebpn_other_priority			EBPN		EBPN						
2	34613	Ixodes	ricinus	Ixodidae	ebpn_other_priority			EBPN		EBPN						
3	311540	Caligus	curtus	Caligidae	ebpn_other_priority			EBPN		EBPN						
4	257370	Caligus	elongatus	Caligidae	ebpn_other_priority			EBPN		EBPN						
5	2665213	Triangulus	munidae	Lernaeodiscidae	ebpn_other_priority			EBPN		EBPN						
6	6837	Calanus	finmarchicus	Calanidae	ebpn_other_priority			EBPN		EBPN						
7	134639	Amara	alpina	Carabidae	ebpn_other_priority			EBPN		EBPN						
8	395521	Bombus	distinguendus	Apidae	ebpn_other_priority			EBPN		EBPN						
9	163670	Bombus	subterraneus	Apidae	ebpn_other_priority			EBPN		EBPN						
10	88504	Lasioglossum	calceatum	Halictidae	ebpn_other_priority			EBPN		EBPN						
11	984905	Diamesa	hyperborea	Chironomidae	ebpn_other_priority			EBPN		EBPN						
12		Diamesa	saetheri	Chironomidae	ebpn_other_priority			EBPN		EBPN						
13	2578515	Diamesa	serratosioi	Chironomidae	ebpn_other_priority			EBPN		EBPN						
14	201501	Epirrita	autumnata	Geometridae	ebpn_other_priority			EBPN		EBPN						
15	6759	Carcinus	maenas	Carcinidae	ebpn_other_priority			EBPN		EBPN						
16	41210	Chionoecetes	opilio	Majidae	ebpn_other_priority			EBPN		EBPN						
17	48144	Meganyctiphanes	norvegica	Euphausiidae	ebpn_other_priority			EBPN		EBPN						
18	6703	Pandalus	borealis	Pandalidae	ebpn_other_priority			EBPN		EBPN						
19	44932	Boreogadus	saida	Gadidae	ebpn_other_priority			EBPN		EBPN						
20	8049	Gadus	morhua	Gadidae	ebpn_other_priority			EBPN		EBPN						
21	56723	Labrus	bergylta	Labridae	ebpn_other_priority			EBPN		EBPN						
22	8074	Lophius	piscatorius	Lophiidae	ebpn_other_priority			EBPN		EBPN						
23	69944	Lota	lota	Lotidae	ebpn_other_priority			EBPN		EBPN						
24	30960	Mallotus	villosus	Salangidae	ebpn_other_priority			EBPN		EBPN						
25	8030	Salmo	salar	Salmonidae	ebpn_other_priority			EBPN		EBPN						
26	13677	Scomber	scombrus	Scombridae	ebpn_other_priority			EBPN		EBPN						
27	394699	Sebastes	norvegicus	Sebastidae	ebpn_other_priority			EBPN		EBPN						
28	156871	Rana	arvalis	Ranidae	ebpn_other_priority			EBPN		EBPN						
29	8323	Triturus	cristatus	Salamandridae	ebpn_other_priority			EBPN		EBPN						
30	371907	Bubo	scandiacus	Strigidae	ebpn_other_priority			EBPN		EBPN						
31	127875	Cinclus	cinclus	Cinclidae	ebpn_other_priority			EBPN		EBPN						
32	28701	Fratercula	arctica	Alcidae	ebpn_other_priority			EBPN		EBPN						
33	52792	Luscinia	svecica	Turdidae	ebpn_other_priority			EBPN		EBPN						
34	7748	Lampetra	fluviatilis	Petromyzontidae	ebpn_other_priority			EBPN		EBPN						
35	7750	Lampetra	planeri	Petromyzontidae	ebpn_other_priority			EBPN		EBPN						
36	648166	Etmopterus	spinax	Etmopteridae	ebpn_other_priority			EBPN		EBPN						
37	9852	Alces	alces	Cervidae	ebpn_other_priority			EBPN		EBPN						
38	79949	Lemmus	lemmus	Cricetidae	ebpn_other_priority			EBPN		EBPN						
39	13125	Lynx	lynx	Felidae	ebpn_other_priority			EBPN		EBPN						
40	37176	Ovibos	moschatus	Bovidae	ebpn_other_priority			EBPN		EBPN						
41	9720	Phoca	vitulina	Phocidae	ebpn_other_priority			EBPN		EBPN						
42	228257	Rangifer	tarandus	Cervidae	ebpn_other_priority		Rangifer tarandus platyrhynchus	EBPN		EBPN						
43	9870	Rangifer	tarandus	Cervidae	ebpn_other_priority			EBPN		EBPN						
44	7769	Myxine	glutinosa	Myxinidae	ebpn_other_priority			EBPN		EBPN						
45	8524	Zootoca	vivipara	Lacertidae	ebpn_other_priority			EBPN		EBPN						
46	2697470	Synoicum	turgens	Polyclinidae	ebpn_other_priority			EBPN		EBPN						
47	174260	Lophelia	pertusa	Caryophylliidae	ebpn_other_priority		Desmophyllum pertusum	EBPN		EBPN						
48	27804	Cyanea	capillata	Cyaneidae	ebpn_other_priority			EBPN		EBPN						
49	7671	Strongylocentrotus	droebachiensis	Strongylocentrotidae	ebpn_other_priority			EBPN		EBPN						
50	1028688	Arion	vulgaris	Arionidae	ebpn_other_priority			EBPN		EBPN						
51	6269	Anisakis	simplex	Anisakidae	ebpn_other_priority			EBPN		EBPN						
52	6271	Pseudoterranova	decipiens	Anisakidae	ebpn_other_priority			EBPN		EBPN						
53	192631	Elaphostrongylus	rangiferi	Protostrongylidae	ebpn_other_priority			EBPN		EBPN						
54	2528854	Nectonema	munidae	Nectonematidae	ebpn_other_priority			EBPN		EBPN						
55	1081673	Antho	dichotoma	Microcionidae	ebpn_other_priority			EBPN		EBPN						
56	519541	Geodia	barretti	Geodiidae	ebpn_other_priority			EBPN		EBPN						
57	232323	Hypsibius	dujardini	Hypsibiidae	ebpn_other_priority			EBPN		EBPN						
58	1689870	Aurantiochytrium	sp.	Thraustochytriaceae	ebpn_other_priority			EBPN		EBPN						
59	2044469	Labyrinthulochytrium	arktikum	Thraustochytriaceae	ebpn_other_priority			EBPN		EBPN						
60	1907177	Schizochytrium	sp.	Thraustochytriaceae	ebpn_other_priority			EBPN		EBPN						
61	145168	Thraustochytrium	sp.	Thraustochytriaceae	ebpn_other_priority			EBPN		EBPN						
62	2889	Alaria	esculenta	Alariaceae	ebpn_other_priority			EBPN		EBPN						
63	52969	Ascophyllum	nodosum	Fucaceae	ebpn_other_priority			EBPN		EBPN						
