Family	Genus	Species	Status	2020	lowest_priority	2021	2022	sample_collected	other_priority	family_representative	long_list
Cephaloziellaceae	Cephaloziella	nicholsonii	dtol								DTOL
Cephaloziellaceae	Cephaloziella	rubella	dtol								DTOL
Cephaloziellaceae	Cephaloziella	spinigera	dtol								DTOL
Cephaloziellaceae	Cephaloziella	stellulifera	dtol								DTOL
Cephaloziellaceae	Cephaloziella	turneri	dtol								DTOL
Cephaloziellaceae	Obtusifolium	obtusum	dtol_family_representative							DTOL	DTOL
Cephaloziellaceae	Oleolophozia	perssonii	dtol								DTOL
Cephaloziellaceae	Protolophozia	herzogiana	dtol								DTOL
Cleveaceae	Clevea	hyalina	dtol_family_representative							DTOL	DTOL
Conocephalaceae	Conocephalum	conicum	dtol_family_representative	yes		yes		DTOL		DTOL	DTOL
Conocephalaceae	Conocephalum	salebrosum	dtol_other_priority			yes		DTOL	DTOL		DTOL
Dumortieraceae	Dumortiera	hirsuta	dtol_family_representative							DTOL	DTOL
Endogemmaceae	Endogemma	caespiticia	dtol_family_representative							DTOL	DTOL
Fossombroniaceae	Fossombronia	angulosa	dtol								DTOL
Fossombroniaceae	Fossombronia	caespitiformis	dtol								DTOL
Fossombroniaceae	Fossombronia	fimbriata	dtol								DTOL
Fossombroniaceae	Fossombronia	foveolata	dtol								DTOL
Fossombroniaceae	Fossombronia	husnotii	dtol								DTOL
Fossombroniaceae	Fossombronia	incurva	dtol								DTOL
Fossombroniaceae	Fossombronia	maritima	dtol								DTOL
Fossombroniaceae	Fossombronia	mittenii	dtol								DTOL
Fossombroniaceae	Fossombronia	pusilla	dtol_other_priority						DTOL		DTOL
Fossombroniaceae	Fossombronia	wondraczekii	dtol_family_representative							DTOL	DTOL
Frullaniaceae	Frullania	dilatata	dtol_other_priority	yes				DTOL	DTOL		DTOL
Frullaniaceae	Frullania	fragilifolia	dtol								DTOL
Frullaniaceae	Frullania	microphylla	dtol								DTOL
Frullaniaceae	Frullania	tamarisci	dtol_family_representative	yes				DTOL		DTOL	DTOL
Frullaniaceae	Frullania	teneriffae	dtol								DTOL
Geocalycaceae	Geocalyx	graveolens	dtol_family_representative							DTOL	DTOL
Gymnomitriaceae	Gymnomitrion	adustum	dtol								DTOL
Gymnomitriaceae	Gymnomitrion	alpinum	dtol								DTOL
Gymnomitriaceae	Gymnomitrion	brevissimum	dtol								DTOL
