"Order","Family","Species","Diploid.number","Fundamental.number","Sex.chromosome","Ploidy","Max.Bs","Microchromosomes","Notes","Original.listing","Citation"
"Anura","Allophrynidae","Allophryne ruthveni","20","40","","NA","NA","NA","","","Trujillo Torres, M.B., 2018. Caracterization citogenetica de Teratohyla amelie y Teratohyla midas.(Anura: Centrolenidae) (Bachelor's thesis, PUCE)."
"Anura","Alsodidae","Alsodes barrioi","34","56","","NA","NA","NA","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes coppingeri","26","52","","NA","NA","NA","","Eupsophus coppingeri","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes gargola","26","52","","NA","NA","NA","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes hugoi","26","NA","","NA","NA","NA","","","Blotto, B.L., Nunez, J.J., Basso, N.G., Ubeda, C.A., Wheeler, W.C. and Faivovich, J., 2013. Phylogenetic relationships of a Patagonian frog radiation, the Alsodes+ Eupsophus clade (Anura: Alsodidae), with comments on the supposed paraphyly of Eupsophus. Cladistics, 29(2), pp.113-131."
"Anura","Alsodidae","Alsodes igneus","26","NA","","NA","NA","NA","","","Blotto, B.L., Nunez, J.J., Basso, N.G., Ubeda, C.A., Wheeler, W.C. and Faivovich, J., 2013. Phylogenetic relationships of a Patagonian frog radiation, the Alsodes+ Eupsophus clade (Anura: Alsodidae), with comments on the supposed paraphyly of Eupsophus. Cladistics, 29(2), pp.113-131."
"Anura","Alsodidae","Alsodes montanus","26","52","","NA","NA","NA","","Telmatobius montanus","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes monticola","26","52","","NA","NA","NA","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes neuquensis","26","NA","","NA","NA","NA","","","Blotto, B.L., Nunez, J.J., Basso, N.G., Ubeda, C.A., Wheeler, W.C. and Faivovich, J., 2013. Phylogenetic relationships of a Patagonian frog radiation, the Alsodes+ Eupsophus clade (Anura: Alsodidae), with comments on the supposed paraphyly of Eupsophus. Cladistics, 29(2), pp.113-131."
"Anura","Alsodidae","Alsodes nodosus","22","44","","NA","NA","NA","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes norae","30","52","","NA","NA","NA","","","Cuevas, C.C., 2008. A new species of the genus Alsodes (Anura: Neobatrachia) from the Nothofagus forest, Coastal Range, southern Chile, identified by its karyotype.Zootaxa,1771, pp.43-53."
"Anura","Alsodidae","Alsodes pehuenche","26","52","","NA","NA","NA","","","Cuevas, C.C. and Formas, J.R., 2003. Cytogenetic analysis of four species of the genus Alsodes (Anura: Leptodactylidae) with comments about the karyological evolution of the genus. Hereditas, 138(2), pp.138-147."
"Anura","Alsodidae","Alsodes tumultuosus","26","52","","NA","NA","NA","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes vanzolinii","26","50","","NA","NA","NA","","","Cuevas, C.C. and Formas, J.R., 2003. Cytogenetic analysis of four species of the genus Alsodes (Anura: Leptodactylidae) with comments about the karyological evolution of the genus. Hereditas, 138(2), pp.138-147."
"Anura","Alsodidae","Alsodes vanzolinii","26","52","","NA","NA","NA","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Alsodes verrucosus","26","52","","NA","NA","NA","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Eupsophus calcaratus","30","46","","NA","NA","NA","","","Formas, J. R. 1980. The chromosomes of E. calcaratus and the karyological evolution of the genus Eupsophus (Anura: Leptodactylidae). Experientia 36: 1163-1164."
"Anura","Alsodidae","Eupsophus emiliopugini","28","56","","NA","NA","NA","","","Veloso, A., Celis-Diez, J.L., Guerrero, P.C., Mendez, M.A., Iturra, P. and Simonetti, J.A., 2005. Description of a new Eupsophus species (Amphibia, Leptodactylidae) from the remnants of Maulino forest, central Chile. The Herpetological Journal, 15(3), pp.159-165."
"Anura","Alsodidae","Eupsophus insularis","30","44","XY","NA","NA","NA","","","Cuevas, C.C. and Formas, J.R., 1996. Heteromorphic sex chromosomes inEupsophus insularis (Amphibia: Anura: Leptodactylidae). Chromosome Research, 4(6), pp.467-470."
"Anura","Alsodidae","Eupsophus migueli","30","44","XY","NA","NA","NA","","","King, M. 1990. Animal Cytogenetics Vol. 4, Chordata 2: Amphibia. Gerbruder Borntraeger"
"Anura","Alsodidae","Eupsophus roseus","30","44","","NA","NA","NA","","","Barrio, A. and P. Rinaldi de Chieri. 1971. Contribucion al esclarecimiento de la posicion taxofiletica de algunos batracios patagonicos de la familia Leptodactylidae mediante el analisis cariotipico. Physis 30: 673-685."
"Anura","Alsodidae","Eupsophus roseus","30","46","","NA","NA","NA","","Eupsophus contulmoensis","Veloso, A., Celis-Diez, J.L., Guerrero, P.C., Mendez, M.A., Iturra, P. and Simonetti, J.A., 2005. Description of a new Eupsophus species (Amphibia, Leptodactylidae) from the remnants of Maulino forest, central Chile. The Herpetological Journal, 15(3), pp.159-165."
"Anura","Alsodidae","Eupsophus roseus","30","44","XY","NA","NA","NA","","Eupsophus queulensis","Veloso, A., Celis-Diez, J.L., Guerrero, P.C., Mendez, M.A., Iturra, P. and Simonetti, J.A., 2005. Description of a new Eupsophus species (Amphibia, Leptodactylidae) from the remnants of Maulino forest, central Chile. The Herpetological Journal, 15(3), pp.159-165."
"Anura","Alsodidae","Eupsophus vertebralis","42","56","","3","NA","NA","polyploid found in wild population","","Schmid, M., Evans, B. J., and Bogart, J. P. (2015). Polyploidy in amphibia. Cytogenetic and genome research, 145(3-4), 315-330."
"Anura","Alsodidae","Limnomedusa macroglossa","26","NA","","NA","NA","NA","","","Barrio, A. 1971. Sobre la coespecificidad de Limnomedusa misionis Schmidt y Limnomedusa macroglossa (Dumeril et Bibron) (Anura, Letodactylidae). Physis 30: 667-672"
"Anura","Alytidae","Alytes cisternasii","38","50","","NA","NA","NA","","","Olmo, E., A. Morcscalchi, V Stingo & G. Odierna 1982: Genome characteristics and the systematics of the Discoglossidae (Amphibia Salientia). - Monitore Zool. Ital. 16: 283 - 299. "
"Anura","Alytidae","Alytes muletensis","38","60","","NA","NA","NA","","Baleaphryne muletensis","Schmid, M., L. Vitelli & R. Batistoni 1987: Chromosome handing in Amphibia. XI. Contitutive heterochromatin, nucleolus organizers, 18S + 28S and 5S ribosomal RNA genes in Ascaphiade, Pipidae. Discoglossidae and Pelobatidae. - Chromosoma 95: 271 - 284."
"Anura","Alytidae","Alytes obstetricans","38","NA","","NA","NA","NA","","","Morescalchi, A. 1966. Cariologia comparata di Alytes obstetricans (Laurent) e dei Discoglossidae europei. Revista Biol. 59: 1-24. (with English text: 25-40)"
"Anura","Alytidae","Discoglossus jeanneae","28","56","","NA","NA","NA","","Discoglossus galganoi jeanneae","Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
"Anura","Alytidae","Discoglossus montalentii","28","56","","NA","NA","NA","","","Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
"Anura","Alytidae","Discoglossus pictus","28","54","ZW","NA","2","NA","","","Olmo, E., A. Morcscalchi, V Stingo & G. Odierna 1982: Genome characteristics and the systematics of the Discoglossidae (Amphibia Salientia). - Monitore Zool. Ital. 16: 283 - 299. "
"Anura","Alytidae","Discoglossus sardus","28","56","","NA","NA","NA","","","Odierna, G., Aprea, G., Capriglione, T., Parisi, P., Arribas, O. and Morescalchi, M.A., 1999. Chromosomal and molecular analysis of some repeated families in Discoglossus Otth, 1837 (Anura, Discoglossidae): taxonomic and phylogenetic implications."
"Anura","Aromobatidae","Allobates brunneus","24","46","","NA","NA","NA","","Colostethus brunneus","Veiga-Menoncello, A.C.P., Strassmann, C., Lima, A.P. and Recco-Pimentel, S.M., 2006. Chromosomal study of Colostethus brunneus from the type locality and two related species (Anura Dendrobatidae). Genetica, 126(1-2), pp.179-187."
"Anura","Aromobatidae","Allobates caeruleodactylus","22","NA","","NA","NA","NA","","Colostethus caeruleodactylus","Menoncello, A.C.P.V., Pimentel, S.M.R. and Lima, A.P., 2003. Cytogenetic analysis of four central Amazonian species of Colostethus (Anura-Dendrobatidae) with a diploid complement of 22 cromosomes."
"Anura","Aromobatidae","Allobates chalcopis","22","44","","NA","NA","NA","","Colostethus chalcopis","Kaiser, H., Steinlein, C., Feichtinger, W. and Schmid, M., 2003. Chromosome banding of six dendrobatid frogs (Colostethus, Mannophryne). Herpetologica, 59(2), pp.203-218."
"Anura","Aromobatidae","Allobates femoralis","24","48","","NA","NA","NA","","Epipedobates femoralis","Aguiar Jr, O., Lima, A.P., Giaretta, A.A. and Recco-Pimentel, S.M., 2002. Cytogenetic analysis of four poison frogs of the Epipedobates genus (Anura: Dendrobatidae). Herpetologica, 58(3), pp.293-303."
"Anura","Aromobatidae","Allobates marchesianus","22","NA","","NA","NA","NA","","Colostethus marchesianus","Menoncello, A.C.P.V., Pimentel, S.M.R. and Lima, A.P., 2003. Cytogenetic analysis of four central Amazonian species of Colostethus (Anura-Dendrobatidae) with a diploid complement of 22 cromosomes."
"Anura","Aromobatidae","Allobates nidicola","22","44","","NA","NA","NA","","Colostethus nidicola","Veiga-Menoncello, A.C.P., Lima, A.P. and Recco-Pimentel, S.M., 2003. Cytogenetics of two central Amazonian species of Colostethus (Anura, Dendrobatidae) with nidicolous tadpoles. Caryologia, 56(3), pp.253-260."
"Anura","Aromobatidae","Allobates olfersioides","24","48","","NA","NA","NA","","Colostethus olfersioides","Bogart, J.P., 1991. The influence of life history on karyotypic evolution in frogs. Amphibian cytogenetics and evolution, pp.233-258."
