input	suggested
Bembidion quadrifoveolatum_	bembidion quadrifoveolatum
Bembidion quadrimaculatum_dubitans_	bembidion quadrimaculatum dubitans
Bembidion roosvelti_	bembidion roosevelti
Bembidion rothfelsi_	bembidion rothfelsi
Bembidion ruficorne_	bembidion ruficorne
Bembidion rufinum_	bembidion rufinum
Bembidion rufotinctum_	bembidion rufotinctum
Bembidion rusticum_lenensoides_	bembidion rusticum lenensoides
Bembidion sejunctum_semiaureum	bembidion sejunctum semiaureum
Bembidion semicinctum_	bembidion semicinctum
Bembidion sierricola_	bembidion sierricola
Bembidion simplex_	bembidion simplex
Bembidion stephensi	bembidion stephensii
Bembidion sulcipenne_hyperboroides_	bembidion sulcipenne hyperboroides
Bembidion tairuense_	bembidion tairuense
Bembidion thetys	bembidion tethys
Bembidion tricolor	bembidion iricolor	bembidion varicolor
Bembidion vandykei_	bembidion vandykei
Bembidion wickhami_	bembidion wickhami
Bembidion yukonoum	bembidion yukonum
Blethsia multipunctata	blethisa multipunctata
Brachinus cordicollis_	brachinus cordicollis
Brachinus crepitans_	brachinus crepitans
Brachinus janthinipennis_	brachinus janthinipennis
Brachinus sclopeta_	brachinus sclopeta
Calachroa sexpunctata_	calochroa sexpunctata
Calathus abaxoides_	calathus abaxoides
Calathus ascendens_	calathus ascendens
Calathus asturiensis_	calathus asturiensis
Calathus auctus_	calathus auctus
Calathus brevis_	calathus brevis
Calathus circumseptus_	calathus circumseptus
Calathus depressus_	calathus depressus
Calathus erratus_	calathus erratus
Calathus freyi_	calathus freyi
Calathus fuscipes_	calathus fuscipes
Calathus fuscipes_fuscipes_	calathus fuscipes fuscipes
Calathus fuscipes_graecus	calathus fuscipes graecus
Calathus luctosus	calathus luctuosus
Calathus melanocephalus_	calathus melanocephalus
Calathus micropterus_	calathus micropterus
Calathus mollis_	calathus mollis
Calathus rectus_	calathus rectus
Calathus rotundatus_	calathus rotundatus
Calathus vuillefroyi_	calathus vuillefroyi
Calosoma inquisitor_	calosoma inquisitor
Calosoma sycophanta_	calosoma sycophanta
Carabus abbreviatus_	carabus abbreviatus
Carabus auronitens_auronitens_	carabus auronitens auronitens
Carabus auronitens_festivus_	carabus auronitens festivus
Carabus blaptoides_	carabus blaptoides
Carabus blaptoides_blaptoides_	carabus blaptoides blaptoides
Carabus blaptoides_oxuroides_	carabus blaptoides oxuroides
Carabus blaptoides_rugipennis_	carabus blaptoides rugipennis
Carabus caelatus_	carabus caelatus
Carabus cancellatus_	carabus cancellatus
Carabus clathratus_clathratus_	carabus clathratus clathratus
Carabus coriaceus_	carabus coriaceus
Carabus coriaceus_coriaceus_	carabus coriaceus coriaceus
