family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Lycaenidae	Cyaniris	semiargus antiochena	Cyaniris semiargus antiochena	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cyaniris semiargus antiochena	NA	NA
Lycaenidae	Cyaniris	semiargus persica	Cyaniris semiargus persica	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cyaniris semiargus persica	NA	NA
Lycaenidae	Eumaeus	debora	Eumaeus debora	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Eumaeus debora	NA	NA
Lycaenidae	Evenus	mavors	Evenus mavors	24	24	Brown, K.S., Schoultz, Von, B., Saura, A.O. & Saura, A. (2012). Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea). Hereditas 149: 128–138.	3	Evenus mavors	NA	NA
Lycaenidae	Evenus	satyroides	Evenus satyroides	24	24	Brown, K.S., Schoultz, Von, B., Saura, A.O. & Saura, A. (2012). Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea). Hereditas 149: 128–138.	3	Evenus satyroides	NA	NA
Lycaenidae	Evenus	triquetra	Evenus triquetra	24	24	Brown, K.S., Schoultz, Von, B., Saura, A.O. & Saura, A. (2012). Chromosomal evolution in the South American Riodinidae (Lepidoptera: Papilionoidea). Hereditas 149: 128–138.	3	Evenus triquetra	NA	NA
Lycaenidae	Everes	amyntula	Everes amyntula	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Everes amyntula	NA	NA
Lycaenidae	Everes	decolorata	Everes decolorata	25	25	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Everes decolorata	NA	NA
Lycaenidae	Everes	minimus	Everes minimus	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Everes minimus	NA	NA
Lycaenidae	Everes	sebras	Everes sebras	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Everes sebras	NA	NA
Lycaenidae	Freyeria	trochilus	Freyeria trochilus	23	23	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Freyeria trochilus	NA	NA
Lycaenidae	Glaucopsyche	arion	Glaucopsyche arion	23	23	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Glaucopsyche arion	NA	NA
Lycaenidae	Glaucopsyche	cyllarus	Glaucopsyche cyllarus	23	23	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Glaucopsyche cyllarus	NA	NA
Lycaenidae	Heliophorus	epicles matsumurae	Heliophorus epicles matsumurae	25	25	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Heliophorus epicles matsumurae	NA	NA
Lycaenidae	Horaga	onyx moltrechti	Horaga onyx moltrechti	22	22	Maeki, K. & ae, S.A. (1968). Studies of the chromosomes of Formosan Rhopalocera 2. Pieridae, Lycaenidae and Riodinidae. Kontyu 36: 124–133.	3	Horaga onyx moltrechti	NA	NA
Lycaenidae	Lycaena	argus	Lycaena argus	23	23	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lycaena argus	NA	NA
Lycaenidae	Lycaena	arion	Lycaena arion	23	23	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lycaena arion	NA	NA
Lycaenidae	Lycaena	lampon	Lycaena lampon	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lycaena lampon	NA	NA
Lycaenidae	Lycaena	ochimus	Lycaena ochimus	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lycaena ochimus	NA	NA
Lycaenidae	Lycaena	snowi	Lycaena snowi	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lycaena snowi	NA	NA
Lycaenidae	Lysandra	argester	Lysandra argester	131-151	131	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lysandra argester	NA	NA
Lycaenidae	Lysandra	candalus	Lysandra candalus	26	26	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lysandra candalus	NA	NA
Lycaenidae	Lysandra	coeruleossmar	Lysandra coeruleossmar	84	84	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lysandra coeruleossmar	NA	NA
Lycaenidae	Lysandra	escheri	Lysandra escheri	23	23	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lysandra escheri	NA	NA
Lycaenidae	Lysandra	myrrha	Lysandra myrrha	26	26	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lysandra myrrha	NA	NA
Lycaenidae	Lysandra	nausithous	Lysandra nausithous	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lysandra nausithous	NA	NA
Lycaenidae	Lysandra	nivescens	Lysandra nivescens	190-191	190	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lysandra nivescens	NA	NA
Lycaenidae	Lysandra	thersites	Lysandra thersites	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lysandra thersites	NA	NA
Lycaenidae	Maculinea	alcon tarannis	Maculinea alcon tarannis	23	23	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Maculinea alcon tarannis	NA	NA
Lycaenidae	Meleageria	meleager	Meleageria meleager	23	23	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Meleageria meleager	NA	NA
Lycaenidae	Narathura	micale amphis	Narathura micale amphis	24	24	Maeki, K. & Ogata, M. (1971). A chromosomal study of eighteen species of butterflies from Australia (Lepidoptera, Rhopalocera). Kontyu 39: 7–14.	3	Narathura micale amphis	NA	NA
Lycaenidae	Philotes	baton	Philotes baton	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Philotes baton	NA	NA
Lycaenidae	Philotes	bavius	Philotes bavius	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Philotes bavius	NA	NA
Lycaenidae	Philotes	vicrama	Philotes vicrama	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Philotes vicrama	NA	NA
Lycaenidae	Plebeius	pylaon nicholi	Plebeius pylaon nicholi	21	21	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Plebeius pylaon nicholi	NA	NA
Lycaenidae	Plebeius	pylaon solimana	Plebeius pylaon solimana	21	21	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Plebeius pylaon solimana	NA	NA
Lycaenidae	Plebejus	eumedon	Plebejus eumedon	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Plebejus eumedon	NA	NA
Lycaenidae	Polyommatiis	argyrognomon	Polyommatiis argyrognomon	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polyommatiis argyrognomon	NA	NA
Lycaenidae	Polyommatus	actis firdussi	Polyommatus actis firdussi	31-34	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polyommatus actis firdussi	NA	NA
Lycaenidae	Polyommatus	actis pseudactis	Polyommatus actis pseudactis	24-31	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polyommatus actis pseudactis	NA	NA
Lycaenidae	Polyommatus	allivaganus pseudoxerces	Polyommatus allivaganus pseudoxerces	16	16	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polyommatus allivaganus pseudoxerces	NA	NA
Lycaenidae	Polyommatus	argus	Polyommatus argus	23	23	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polyommatus argus	NA	NA
Lycaenidae	Polyommatus	dolus virgilia	Polyommatus dolus virgilia	122	122	Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85.	3	Polyommatus dolus virgilia	NA	NA
Lycaenidae	Polyommatus	eumedon	Polyommatus eumedon	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polyommatus eumedon	NA	NA
Lycaenidae	Polyommatus	idas armoricana	Polyommatus idas armoricana	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polyommatus idas armoricana	NA	NA
Lycaenidae	Polyommatus	iphigenides ssp.	Polyommatus iphigenides ssp.	67	67	Lukhtanov, V.A., Kandul, N.P., Plotkin, J.B., Dantchenko, A.V., Haig, D. & Pierce, N.E. (2005). Reinforcement of pre-zygotic isolation and karyotype evolution in Agrodiaetus butterflies. Nature 436: 385–389.	3	Polyommatus iphigenides ssp.	NA	NA
Lycaenidae	Polyommatus	karacetinae	Polyommatus karacetinae	19	19	Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85.	3	Polyommatus karacetinae	NA	NA
Lycaenidae	Polyommatus	meleager	Polyommatus meleager	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polyommatus meleager	NA	NA
Lycaenidae	Polyommatus	phyllis vanensis	Polyommatus phyllis vanensis	78	78	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Polyommatus phyllis vanensis	NA	NA
