family	genus	species	merged_genus_species	number_chromosomes	min_k	reference	ncbi_taxon_code	name	preferred_name_at_ncbi	taxid
Lycaenidae	Turanana	panagaea	Turanana panagaea	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Turanana panagaea	NA	NA
Lycaenidae	Vacciniina	hyrcana	Vacciniina hyrcana	22	22	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Vacciniina hyrcana	NA	NA
Lycaenidae	Vacciniina	sieversi	Vacciniina sieversi	22	22	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Vacciniina sieversi	NA	NA
Lycaenidae	Virachola	isocrates	Virachola isocrates	19	19	Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193.	3	Virachola isocrates	NA	NA
Lycaenidae	Zizeeria	mafia argia	Zizeeria mafia argia	24	24	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Zizeeria mafia argia	NA	NA
Lycaenidae	Polyommatus	yeranyani	Polyommatus yeranyani	79-80	79	Vishnevskaya, M.S., Saifitdinova, A.F. & Lukhtanov, V.A. (2016). Karyosystematics and molecular taxonomy of the anomalous blue butterflies (Lepidoptera, Lycaenidae) from the Balkan Peninsula. Comp Cytogenet 10: 1–85.	3	Polyommatus yeranyani	NA	NA
Lymantriidae	Cifuna	locuples confusa	Cifuna locuples confusa	19	19	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Cifuna locuples confusa	NA	NA
Lymantriidae	Dasychira	selenitica	Dasychira selenitica	22	22	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Dasychira selenitica	NA	NA
Lymantriidae	Dicallomera	kusnezovi	Dicallomera kusnezovi	20	20	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Dicallomera kusnezovi	NA	NA
Lymantriidae	Euproctis	kogistana	Euproctis kogistana	22	22	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Euproctis kogistana	NA	NA
Lymantriidae	Euproctis	virguncula	Euproctis virguncula	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Euproctis virguncula	NA	NA
Lymantriidae	Gynaephora	pumila	Gynaephora pumila	18	18	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Gynaephora pumila	NA	NA
Lymantriidae	Gynaephora	rossi daisetsuzana	Gynaephora rossi daisetsuzana	26	26	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Gynaephora rossi daisetsuzana	NA	NA
Lymantriidae	Lymantria	mathura aurora	Lymantria mathura aurora	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lymantria mathura aurora	NA	NA
Lymantriidae	Lymantria	umida	Lymantria umida	30	30	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Lymantria umida	NA	NA
Lymantriidae	Olene	olga	Olene olga	21	21	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Olene olga	NA	NA
Lymantriidae	Orgyia	ericae	Orgyia ericae	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Orgyia ericae	NA	NA
Lymantriidae	Orgyia	gonostigma	Orgyia gonostigma	30	30	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Orgyia gonostigma	NA	NA
Megathymidae	Stallingsia	maculosa	Stallingsia maculosa	50	50	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Stallingsia maculosa	NA	NA
Noctuidae	Abrostola	aurifera	Abrostola aurifera	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Abrostola aurifera	NA	NA
Noctuidae	Abrostola	confusa	Abrostola confusa	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Abrostola confusa	NA	NA
Noctuidae	Abrostola	festucae	Abrostola festucae	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Abrostola festucae	NA	NA
Noctuidae	Abrostola	gamma	Abrostola gamma	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Abrostola gamma	NA	NA
Noctuidae	Abrostola	nigrisigna	Abrostola nigrisigna	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Abrostola nigrisigna	NA	NA
Noctuidae	Abrostola	trigemina	Abrostola trigemina	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Abrostola trigemina	NA	NA
Noctuidae	Acontia	intersepta	Acontia intersepta	31	31	Mohanty, P.K. & Nayak, B. (1983). Chromosome number of some Indian moths. Genetica 61: 147–149.	3	Acontia intersepta	NA	NA
Noctuidae	Adris	tyrannus amurensis	Adris tyrannus amurensis	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Adris tyrannus amurensis	NA	NA
Noctuidae	Agrotis	fimbria	Agrotis fimbria	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Agrotis fimbria	NA	NA
Noctuidae	Agrotis	triangulum	Agrotis triangulum	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Agrotis triangulum	NA	NA
Noctuidae	Amathes	baja	Amathes baja	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Amathes baja	NA	NA
Noctuidae	Amathes	rhomboidea	Amathes rhomboidea	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Amathes rhomboidea	NA	NA
Noctuidae	Amathes	triangulum	Amathes triangulum	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Amathes triangulum	NA	NA
Noctuidae	Amathes	xanthographa	Amathes xanthographa	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Amathes xanthographa	NA	NA
Noctuidae	Amphipoea	burrowsi	Amphipoea burrowsi	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Amphipoea burrowsi	NA	NA
Noctuidae	Apatele	alni	Apatele alni	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Apatele alni	NA	NA
Noctuidae	Apatele	incretata	Apatele incretata	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Apatele incretata	NA	NA
Noctuidae	Apatele	psi	Apatele psi	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Apatele psi	NA	NA
Noctuidae	Callogonia	virgo	Callogonia virgo	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Callogonia virgo	NA	NA
Noctuidae	Calpe	aureola	Calpe aureola	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Calpe aureola	NA	NA
Noctuidae	Caradrina	rebeli	Caradrina rebeli	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Caradrina rebeli	NA	NA
Noctuidae	Catocala	hymenaea	Catocala hymenaea	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Catocala hymenaea	NA	NA
Noctuidae	Chloridea	armigera	Chloridea armigera	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Chloridea armigera	NA	NA
Noctuidae	Cirrhia	aurago	Cirrhia aurago	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Cirrhia aurago	NA	NA
Noctuidae	Cosmia	camptostigma	Cosmia camptostigma	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Cosmia camptostigma	NA	NA
Noctuidae	Cosmophila	erosa	Cosmophila erosa	31	31	Mohanty, P.K. & Nayak, B. (1983). Chromosome number of some Indian moths. Genetica 61: 147–149.	3	Cosmophila erosa	NA	NA
Noctuidae	Daseochaeta	alpium	Daseochaeta alpium	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Daseochaeta alpium	NA	NA
Noctuidae	Dichromia	trigonalis	Dichromia trigonalis	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Dichromia trigonalis	NA	NA
Noctuidae	Eremodrina	gilva	Eremodrina gilva	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Eremodrina gilva	NA	NA
Noctuidae	Hoplodrina	alsines	Hoplodrina alsines	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Hoplodrina alsines	NA	NA
Noctuidae	Hoplotarache	lunana	Hoplotarache lunana	32	32	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Hoplotarache lunana	NA	NA
Noctuidae	Leucania	conigera	Leucania conigera	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Leucania conigera	NA	NA
Noctuidae	Leucania	favicolor	Leucania favicolor	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Leucania favicolor	NA	NA
Noctuidae	Leucania	impura	Leucania impura	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Leucania impura	NA	NA
Noctuidae	Leucania	pallens	Leucania pallens	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Leucania pallens	NA	NA
Noctuidae	Mamestra	oleracea	Mamestra oleracea	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Mamestra oleracea	NA	NA
Noctuidae	Mamestra	persicariae	Mamestra persicariae	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Mamestra persicariae	NA	NA
Noctuidae	Mamestra	pisi	Mamestra pisi	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Mamestra pisi	NA	NA
Noctuidae	Mamestra	suasa	Mamestra suasa	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Mamestra suasa	NA	NA
Noctuidae	Mamestra	thalassina	Mamestra thalassina	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Mamestra thalassina	NA	NA
Noctuidae	Ophiusa	melicerte	Ophiusa melicerte	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Ophiusa melicerte	NA	NA
Noctuidae	Orthosia	circellaris	Orthosia circellaris	30	30	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Orthosia circellaris	NA	NA
Noctuidae	Orthosia	munda	Orthosia munda	26	26	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Orthosia munda	NA	NA
Noctuidae	Orthosia	rorida	Orthosia rorida	120	120	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Orthosia rorida	NA	NA
Noctuidae	Pharetra	auricoma	Pharetra auricoma	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Pharetra auricoma	NA	NA
Noctuidae	Pharetra	rumicis	Pharetra rumicis	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Pharetra rumicis	NA	NA
Noctuidae	Plusia	chrysitis	Plusia chrysitis	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Plusia chrysitis	NA	NA
Noctuidae	Plusia	orichalceae	Plusia orichalceae	31	31	Kaur, T. (1988). Chromosome numbers of thirty-one species of Indian Lepidoptera. Genetica 76: 191–193.	3	Plusia orichalceae	NA	NA
Noctuidae	Plusia	peponis	Plusia peponis	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Plusia peponis	NA	NA
Noctuidae	Plusia	signata	Plusia signata	31	31	Mohanty, P.K. & Nayak, B. (1983). Chromosome number of some Indian moths. Genetica 61: 147–149.	3	Plusia signata	NA	NA
Noctuidae	Plusia	zosimi	Plusia zosimi	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Plusia zosimi	NA	NA
Noctuidae	Proderia	littora	Proderia littora	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Proderia littora	NA	NA
Noctuidae	Scotia	exclamationis	Scotia exclamationis	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Scotia exclamationis	NA	NA
Noctuidae	Scotia	ipsilon	Scotia ipsilon	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Scotia ipsilon	NA	NA
Noctuidae	Scotia	puta	Scotia puta	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Scotia puta	NA	NA
Noctuidae	Scotia	segetum	Scotia segetum	31	31	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Scotia segetum	NA	NA
Noctuidae	Tarache	tropica	Tarache tropica	31	31	Mohanty, P.K. & Nayak, B. (1983). Chromosome number of some Indian moths. Genetica 61: 147–149.	3	Tarache tropica	NA	NA
Noctuidae	Xylina	ingrica	Xylina ingrica	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Xylina ingrica	NA	NA
Noctuidae	Xylomyges	conspicillaris	Xylomyges conspicillaris	30	30	Werner, L. Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. (1975). Zur Evolution des Karyotyps bei den Lepidopteren. Die Chromosomenzahlen der Noctuiden. Genetica 45: 377–395.	3	Xylomyges conspicillaris	NA	NA
Noctuidae	Xylomyges	dolosa	Xylomyges dolosa	31	31	Ennis, T.J. (1976). Sex chromatin and chromosome numbers in Lepidoptera. Can. J. Genet. Cytol. 18: 119–130.	3	Xylomyges dolosa	NA	NA
Notodontidae	Cerura	vinula albanica	Cerura vinula albanica	20	20	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cerura vinula albanica	NA	NA
Notodontidae	Cerura	vinula delavoiei	Cerura vinula delavoiei	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cerura vinula delavoiei	NA	NA
Notodontidae	Cerura	vinula fennica	Cerura vinula fennica	21	21	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cerura vinula fennica	NA	NA
Notodontidae	Cerura	vinula germanica	Cerura vinula germanica	21	21	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Cerura vinula germanica	NA	NA
Notodontidae	Clostera	anastomosis tristis	Clostera anastomosis tristis	25	25	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Clostera anastomosis tristis	NA	NA
Notodontidae	Clostera	timon	Clostera timon	10	10	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Clostera timon	NA	NA
Notodontidae	Dicranura	delavoiei	Dicranura delavoiei	31	31	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Dicranura delavoiei	NA	NA
Notodontidae	Dicranura	erminea	Dicranura erminea	28	28	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Dicranura erminea	NA	NA
Notodontidae	Dicranura	felina	Dicranura felina	28	28	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Dicranura felina	NA	NA
Notodontidae	Dicranura	iberica	Dicranura iberica	24	24	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Dicranura iberica	NA	NA
Notodontidae	Dicranura	vinula	Dicranura vinula	21	21	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Dicranura vinula	NA	NA
Notodontidae	Gonoclostera	timonides	Gonoclostera timonides	23	23	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Gonoclostera timonides	NA	NA
Notodontidae	Harpyia	bicuspis	Harpyia bicuspis	30	30	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Harpyia bicuspis	NA	NA
Notodontidae	Harpyia	bifida	Harpyia bifida	49	49	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Harpyia bifida	NA	NA
Notodontidae	Harpyia	furcula	Harpyia furcula	29	29	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Harpyia furcula	NA	NA
Notodontidae	Harpyia	lanigera	Harpyia lanigera	29	29	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Harpyia lanigera	NA	NA
Notodontidae	Lophopteryx	camelina	Lophopteryx camelina	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Lophopteryx camelina	NA	NA
Notodontidae	Notodonta	phoebe	Notodonta phoebe	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Notodonta phoebe	NA	NA
Notodontidae	Odontosia	camelina	Odontosia camelina	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Odontosia camelina	NA	NA
Notodontidae	Pygaera	cupreata	Pygaera cupreata	24	24	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Pygaera cupreata	NA	NA
Notodontidae	Pygaera	fulgurita	Pygaera fulgurita	30	30	Belyakova, N.A. & Lukhtanov, V.A. (1994). Karyotypic peculiarities of several families of Lepidoptera of the noctuoid and bombycoid complexes. Entomologiches Koeob 73: 723–738.	3	Pygaera fulgurita	NA	NA
Nymphalidae	Acraea	natalica pseudegina	Acraea natalica pseudegina	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Acraea natalica pseudegina	NA	NA
Nymphalidae	Aeria	elara	Aeria elara	80	80	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Aeria elara	NA	NA
Nymphalidae	Aglais	urticae connexa	Aglais urticae connexa	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Aglais urticae connexa	NA	NA
Nymphalidae	Agraulis	juno	Agraulis juno	31	31	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Agraulis juno	NA	NA
Nymphalidae	Agrias	amydon ferdinandi	Agrias amydon ferdinandi	12	12	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Agrias amydon ferdinandi	NA	NA
Nymphalidae	Agrias	narcissus tapajonus	Agrias narcissus tapajonus	12	12	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Agrias narcissus tapajonus	NA	NA
Nymphalidae	Amauris	egialea hyalites	Amauris egialea hyalites	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Amauris egialea hyalites	NA	NA
Nymphalidae	Amauris	hecate	Amauris hecate	29	29	Robinson, R. (1971) Lepidoptera Genetics. Pergamon Press, Oxford, UK.	3	Amauris hecate	NA	NA
Nymphalidae	Anetia	thirza	Anetia thirza	31	31	Brown, K.S., Schoultz, Von, B. & Suomalainen, E. (2004). Chromosome evolution in Neotropical Danainae and Ithomiinae (Lepidoptera). Hereditas 141: 216–236.	3	Anetia thirza	NA	NA
Nymphalidae	Antirrhea	archaea	Antirrhea archaea	13	13	Brown, K., Freitas, A., Von Schuoltz, B., Saura, A., Saura, A. (2007) Chromosomal evolution of south american frugivorous butterflies in the satyroid clade (Nymphalidae : Charaxinae, morphinae and satyrinae). Biological Journal of the Linnean Society, 92: 467–481.	3	Antirrhea archaea	NA	NA
