row_number	ncbi_taxid	phylum	subphylum	class	order	family	genus_species	common_name	c_value	chromosome_number	c_value_method	cell_type	standard_species	references
1010	NA	Arthropoda	Hexapoda	Insecta	Hymenoptera	Sphecidae	Larra bicolor	Thread-waisted wasp	0.19	NA	FCM	BR	DM	705
1011	NA	Arthropoda	Hexapoda	Insecta	Hymenoptera	Sphecidae	Miscophus slossonae	Thread-waisted wasp	0.19	NA	FIA	HE	TM	705
1014	NA	Arthropoda	Hexapoda	Insecta	Hymenoptera	Sphecidae	Stictiella serrata	Thread-waisted wasp	0.78	NA	FIA	HE	TM	705
1020	NA	Arthropoda	Hexapoda	Insecta	Hymenoptera	Vespidae	Eumenes smithii	Potter wasp	0.3	NA	FIA	HE	TM	705
1021	NA	Arthropoda	Hexapoda	Insecta	Hymenoptera	Vespidae	Euodynerus cf. hidalgo	Wasp	0.3	NA	FIA	HE	TM	705
1038	NA	Arthropoda	Hexapoda	Insecta	Hymenoptera	Vespidae	Zethus slossonae	Mason wasp	0.15	NA	FIA	HE	TM	705
1048	NA	Arthropoda	Hexapoda	Insecta	Isoptera	Rhinotermitidae	Reticulitermes speratus speratus	Termite	1.01	NA	FIA	HE	DM	679
1058	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Grammea virgo	Virgin tiger moth	0.98	NA	FIA	S	DM	177
1059	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Arctiidae	Halisidota tesselaris	Tiger moth	0.61	NA	FIA	S	DM	177
1069	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Ennomine sp.	Geometer moth	0.45	NA	FIA	S	DM	177
1070	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Ennomos subsignarius	Elm spanworm moth	0.4	NA	FIA	S	DM	177
1072	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Guenovia simcloria	Geometer moth	0.4	NA	FIA	S	DM	177
1079	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Unknown sp.1	Geometer moth	0.48	NA	FIA	S	DM	177
1108	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Unknown sp.1	Owlet moth	0.64	NA	FIA	S	DM	177
1125	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Pterophoridae	Unknown sp.1	Plume moth	0.88	NA	FIA	S	DM	177
4	NA	Arthropoda	Myriapoda	Chilopoda	Geophilomorpha	Unknown	Unknown sp.1	Centipede	0.39	NA	FIA	HE	GD	575
11	NA	Arthropoda	Myriapoda	Diplopoda	Unknown	Unknown	Unknown sp.1	Millipede	0.51	NA	FIA	HE	GD	575
2384	NA	Mollusca	NA	Bivavlia	Ostreoida	Ostreidae	Unknown sp.1	Oyster	1.3	NA	BFA	S	SP	217
2559	NA	Mollusca	NA	Gastropoda	Patellogastropoda	Lottiidae	Unknown sp.1	Snail (Atlantic thermal vent)	0.94	NA	FD	NS	NS	112
2941	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.1	Polychaete	1.1	NA	FD	WB	V	95
3091	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.1	Polychaete	1.1	NA	FD	WB	V	95
1080	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Unknown sp.2	Geometer moth	0.49	NA	FIA	S	DM	177
1109	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Unknown sp.2	Owlet moth	0.9	NA	FIA	S	DM	177
1126	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Pterophoridae	Unknown sp.2	Plume moth	0.59	NA	FIA	S	DM	177
12	NA	Arthropoda	Myriapoda	Diplopoda	Unknown	Unknown	Unknown sp.2	Millipede	0.37	NA	FIA	HE	GD	575
2385	NA	Mollusca	NA	Bivavlia	Ostreoida	Ostreidae	Unknown sp.2	Oyster	0.65	NA	BFA	S	SP	217
2560	NA	Mollusca	NA	Gastropoda	Patellogastropoda	Lottiidae	Unknown sp.2	Snail (Atlantic thermal vent)	0.79	NA	FD	NS	NS	112
2942	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.2	Polychaete	1.9	NA	FD	WB	V	95
3092	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.2	Polychaete	1.9	NA	FD	WB	V	95
1081	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Unknown sp.3	Geometer moth	0.51	NA	FIA	S	DM	177
1110	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Noctuidae	Unknown sp.3	Owlet moth	0.99	NA	FIA	S	DM	177
13	NA	Arthropoda	Myriapoda	Diplopoda	Unknown	Unknown	Unknown sp.3	Millipede	0.61	NA	FIA	HE	GD	575
2561	NA	Mollusca	NA	Gastropoda	Patellogastropoda	Lottiidae	Unknown sp.3	Snail (Atlantic thermal vent)	0.55	NA	FD	NS	NS	112
2943	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.3	Polychaete	2.3	NA	FD	WB	V	95
3093	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.3	Polychaete	2.3	NA	FD	WB	V	95
1082	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Geometridae	Unknown sp.4	Geometer moth	0.84	NA	FIA	S	DM	177
14	NA	Arthropoda	Myriapoda	Diplopoda	Unknown	Unknown	Unknown sp.4	Millipede	0.41	NA	FIA	HE	GD	575
2944	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.4	Polychaete	2.8	NA	FD	WB	V	95
3094	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.4	Polychaete	2.8	NA	FD	WB	V	95
1113	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Notodontidae	Heterocampa bilineata	Prominent moth	0.6	NA	FIA	S	DM	177
1135	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Ceratoma undulosa	Waved sphinx moth	0.47	NA	FCM	BR	DM	725
1137	NA	Arthropoda	Hexapoda	Insecta	Lepidoptera	Sphingidae	Daraspsa pholus	Azalea sphinx	0.58	NA	FCM	BR	DV	725
1147	NA	Arthropoda	Hexapoda	Insecta	Mantodea	Mantidae	Litaneutria sp.	Praying mantis	3.32	NA	FCM	BR	DV	725
1151	NA	Arthropoda	Hexapoda	Insecta	Mecoptera	Panorpidae	Panorpa nuptialis	Orange-banded black scorpionfly	2.06	NA	FCM	BR	DV	725
1153	NA	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	Aeshna coerulea	Dragonfly	1.6	NA	BCA	INT	NS	658
1166	NA	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	Rhionaeschna confusa	Darner dragonfly	2.16	27	FD	S	GD	657
1167	NA	Arthropoda	Hexapoda	Insecta	Odonata	Aeshnidae	Rhionaeschna planaltica	Dragonfly	2.08	26	FD	S	GD	657
1178	NA	Arthropoda	Hexapoda	Insecta	Odonata	Coenagrionidae	Argia sedulla	Dancer damselfly	0.9	28	FIA	S	DM	689
1199	NA	Arthropoda	Hexapoda	Insecta	Odonata	Coenagrionidae	Nehalennia integricollis	Southern sprite damselfly	1.53	NA	FIA	S	DM	689
1201	NA	Arthropoda	Hexapoda	Insecta	Odonata	Cordulegastridae	Cordulegaster coronatus	Dragonfly	1.7	NA	BCA	INT	NS	658
1209	NA	Arthropoda	Hexapoda	Insecta	Odonata	Corduliidae	Neurocordulia yamaskanensis	Stygian shadowdragon	1.08	NA	FIA	S	DM	689
1216	NA	Arthropoda	Hexapoda	Insecta	Odonata	Gomphidae	Gomphus dilatatus	Blackwater clubtail dragonfly	0.76	NA	FIA	S	DM	689
1237	NA	Arthropoda	Hexapoda	Insecta	Odonata	Libellulidae	Celithemis bertha	Red-veined pennant dragonfly	0.88	NA	FIA	S	DM	689
1255	NA	Arthropoda	Hexapoda	Insecta	Odonata	Libellulidae	Orthetrum ramburi	Dragonfly	0.65	NA	BCA	INT	NS	658
1265	NA	Arthropoda	Hexapoda	Insecta	Odonata	Macromiidae	Macromia illionensis georgina	Cruiser dragonfly	1.07	NA	FIA	HE	TM	689
1269	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Austroicetes pusilla	Grasshopper	6.29	NA	FD	TS	GD	433
1271	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Campylacantha olivacea	Fuzzy olive-green grasshopper	6.57	NA	FCM	BR	GD	725
1273	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Chorthippus binotatus binotatus	Grasshopper	10.91	NA	FD	TS	GD	40
1277	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Chorthippus cf. binotatus	Grasshopper	10.35	NA	FD	TS	GD	40
1281	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Chorthippus longicornis	Grasshopper	8.58	NA	FD	TS	AC	170
1292	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Cryptobothrus chrysophorus	Grasshopper	9.37	24	FD	TS	GD	433
1296	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Heteracris adspersus	Grasshopper	6.34	NA	FD	TS	AC	170
1297	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Humbe tenuicornis	Grasshopper	8.21	24	FD	TS	LM	233
1304	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Macrotona australis	Grasshopper	8.49	24	FD	TS	GD	433
1313	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Peakesia hospita	Grasshopper	10.47	NA	FD	TS	GD	433
1320	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Schistocerca paranensis	Grasshopper	8.63	24	FD	TS	LM	233
1321	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Acrididae	Schizobothrus flavovittatus	Grasshopper	7.5	NA	FD	TS	GD	433
1339	NA	Arthropoda	Hexapoda	Insecta	Orthoptera	Tettigoniidae	Conocephalus sp.	Lesser meadow katydid	2.84	NA	FCM	BR	GD	725
1346	NA	Arthropoda	Hexapoda	Insecta	Phasmida	Phasmatidae	Bacillus atticus caprai	Stick insect	2.23	34	FCM	MG	MM	309
2787	NA	Brachiopoda	Linguliformea	Lingulata	Lingulida	Lingulidae	Lingula sp.	Brachiopod	0.38	NA	BFA	NS	NS	610
7	NA	Arthropoda	Myriapoda	Diplopoda	Polydesmida	Polydesmidae	Pseudopolydesmus sp.1	Millipede	0.31	NA	FIA	HE	GD	575
8	NA	Arthropoda	Myriapoda	Diplopoda	Polydesmida	Polydesmidae	Pseudopolydesmus sp.2	Millipede	0.49	NA	FIA	HE	GD	575
15	NA	Arthropoda	Myriapoda	Diplopoda	Unknown	Unknown	Unknown sp.5	Millipede	0.28	NA	FIA	HE	GD	575
2945	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.5	Polychaete	2.8	NA	FD	WB	V	95
3095	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.5	Polychaete	2.8	NA	FD	WB	V	95
16	NA	Arthropoda	Myriapoda	Diplopoda	Unknown	Unknown	Unknown sp.6	Millipede	0.51	NA	FIA	HE	GD	575
2946	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.6	Polychaete	2.9	NA	FD	WB	V	95
3096	NA	Annelida	NA	Polychaeta	Unknown	Unknown	Unknown sp.6	Polychaete	2.9	NA	FD	WB	V	95
17	NA	Arthropoda	Myriapoda	Diplopoda	Unknown	Unknown	Unknown sp.7	Millipede	1.4	NA	FIA	HE	GD	575
2796	NA	Brachiopoda	Rhynchonelliformea	Rhynchonellata	Terebratulida	Platidiidae	Platidia japonica	Brachiopod	0.31	NA	FCM	NS	HDH	742
5966	NA	Chordata	Vertebrata	Osteichthyes	Acipenseriformes	Acipenseridae	Acipenser brevirostrum (3x)	Shortnose sturgeon	9.32	NA	FIA	RBC	BS, GD, OM, RP	203, 204
5976	NA	Chordata	Vertebrata	Osteichthyes	Acipenseriformes	Acipenseridae	Acipenser oxyrhynchus (3x)	Atlantic sturgeon	3.36	NA	FIA	RBC	BS, GD, OM, RP	203, 204
3186	NA	Chordata	Vertebrata	Amphibia	Anura	Bufonidae	Bufo sp.	Toad	3.67	NA	FD	S	GD	324
3209	NA	Chordata	Vertebrata	Amphibia	Anura	Bufonidae	Bufo viridis (4n)	Green toad	12.03	NA	FD	RBC	V	19
3213	NA	Chordata	Vertebrata	Amphibia	Anura	Dendrobatidae	Epipedobates cf. pictus sp.1	Poison dart frog	6.55	NA	FCM	RBC	BF	288
3214	NA	Chordata	Vertebrata	Amphibia	Anura	Dendrobatidae	Epipedobates cf. pictus sp.2	Poison dart frog	8.9	NA	FCM	RBC	RP, BF	288
3242	NA	Chordata	Vertebrata	Amphibia	Anura	Hylidae	Hyla cf. lanciformis sp.1	Tree frog	5.41	NA	FCM	RBC	RP	288
3243	NA	Chordata	Vertebrata	Amphibia	Anura	Hylidae	Hyla cf. lanciformis sp.2	Tree frog	7.45	NA	FCM	RBC	RP	288
3268	NA	Chordata	Vertebrata	Amphibia	Anura	Hylidae	Hyla versicolor (4n)	Eastern gray tree frog	9.2	NA	FCM	RBC	HS, RT	542
3269	NA	Chordata	Vertebrata	Amphibia	Anura	Hylidae	Hyla versicolor (4n)	Eastern gray tree frog	10.3	48	FD	LV	HS, RT	20
3277	NA	Chordata	Vertebrata	Amphibia	Anura	Hylidae	Phyllomedusa burmeisteri (4n)	Burmeister's Monkey frog	13.02	52	FD	RBC	BI	32
3278	NA	Chordata	Vertebrata	Amphibia	Anura	Hylidae	Phyllomedusa cf. bicolor	Monkey frog	7.79	NA	FCM	RBC	RP	288
3303	NA	Chordata	Vertebrata	Amphibia	Anura	Hyperoliidae	Hyperolius sp.	Frog	1.4	NA	SCF	RBC	HS	106
3307	NA	Chordata	Vertebrata	Amphibia	Anura	Leptodactylidae	Ceratophrys aurita (8n)	Brazilian horned frog	5.99	NA	FD	RBC	BP	37
3308	NA	Chordata	Vertebrata	Amphibia	Anura	Leptodactylidae	Ceratophrys aurita (8n)	Brazilian horned frog	6.34	104	FD	RBC	BP, HS	37
3311	NA	Chordata	Vertebrata	Amphibia	Anura	Leptodactylidae	Ceratophrys ornata (8n)	Ornate horned frog	13.4	104	FD	RBC	XL	221
3332	NA	Chordata	Vertebrata	Amphibia	Anura	Leptodactylidae	Leptodactylus sp.	Frog	3.41	NA	FCM	RBC	GD	69
3376	NA	Chordata	Vertebrata	Amphibia	Anura	Myobatrachidae	Neobatrachus sudelli (4n)	Sudell's frog	5.23	48	FD	RBC	HS	295
3377	NA	Chordata	Vertebrata	Amphibia	Anura	Myobatrachidae	Neobatrachus sutor (4n)	Shoemaker frog	5.23	48	FD	RBC	HS	295
3434	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Hoplobatrachus rugulosus - group 1	Frog	3.76	NA	FCM	RBC	XL, RP	343
3435	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Hoplobatrachus rugulosus - group 2	Frog	2.43	NA	FCM	RBC	XL, RP	343
3437	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Hoplobatrachus tigerinus - group 1	Indian bullfrog	4.55	NA	FCM	RBC	RP	288
3438	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Hoplobatrachus tigerinus - group 2	Indian bullfrog	4.94	NA	FCM	RBC	RP	288
3439	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Hoplobatrachus tigerinus - group 3	Indian bullfrog	5.1	NA	FCM	RBC	RP	288
3443	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Phrynobatrachus sp.	South African puddle frog	2.58	NA	FD	RBC	XL	604
3447	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Ptychadena sp.1	Frog	2.21	NA	SCF	RBC	HS	106
3448	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Ptychadena sp.2	Frog	2.38	NA	SCF	RBC	HS	106
3485	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	5.6	26	FD	RBC	RE, HS	365
3486	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	5.6	NA	FD	RBC	NS	334
3487	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	5.6	NA	FD	RBC	BM	511
3488	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	6.29	NA	FD	RBC	BM	512
3489	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	6.5	NA	FD	RBC	RP	464
3490	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	6.7	NA	FD	RBC	XL	421
3491	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	6.75	NA	FD	LV	XL	20
3492	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	6.9	NA	NS	NS	GD	534
3493	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	7.04	NA	FCM	RBC	HS, RT	542
3494	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	7.1	NA	BCA	RBC, S	NS	308
3495	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	7.48	NA	FCM	RBC	RT	606
3496	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	8.51	NA	SCF	RBC	GD	196
3497	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana esculenta	Green frog	11.53	NA	NS	RBC	CP	152
3511	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana maosonensis - group 1	Mao-Son frog	3.28	NA	FCM	RBC	XL, RP	343
3512	NA	Chordata	Vertebrata	Amphibia	Anura	Ranidae	Rana maosonensis - group 2	Mao-Son frog	7.42	NA	FCM	RBC	XL, RP	343
3574	NA	Chordata	Vertebrata	Amphibia	Anura	Rhacophoridae	Boophis sp.1	Frog	4.95	NA	FD	LV	V	18
3575	NA	Chordata	Vertebrata	Amphibia	Anura	Rhacophoridae	Boophis sp.2	Frog	4.55	NA	FD	LV	V	18
3576	NA	Chordata	Vertebrata	Amphibia	Anura	Rhacophoridae	Boophis sp.3	Frog	3.9	NA	FD	LV	V	18
3593	NA	Chordata	Vertebrata	Amphibia	Anura	Rhacophoridae	Mantidactylus sp. 1	Frog	5.35	NA	FD	LV	V	18
3594	NA	Chordata	Vertebrata	Amphibia	Anura	Rhacophoridae	Mantidactylus sp. 2	Frog	6.45	NA	FD	LV	V	18
3595	NA	Chordata	Vertebrata	Amphibia	Anura	Rhacophoridae	Mantidactylus sp. 3	Frog	5.7	NA	FD	LV	V	18
3596	NA	Chordata	Vertebrata	Amphibia	Anura	Rhacophoridae	Mantidactylus sp. 4	Frog	6.65	NA	FD	LV	V	18
3597	NA	Chordata	Vertebrata	Amphibia	Anura	Rhacophoridae	Mantidactylus sp. 5	Frog	6.45	NA	FD	LV	V	18
5167	NA	Chordata	Vertebrata	Mammalia	Artiodactyla	Bovidae	Ovis aries aries	Sheep	3.41	NA	FCM	LK	HS, OM	598
6061	NA	Chordata	Vertebrata	Osteichthyes	Beloniformes	Hemiramphidae	Hemiramphus kurumeus	Halfbeak	0.75	40	FD	RBC	GD	98
6063	NA	Chordata	Vertebrata	Osteichthyes	Beloniformes	Hemiramphidae	Hyporhampus affinis	Long billed half beak	0.94	NA	FIA	RBC	BS, GD, OM, RP	204
6068	NA	Chordata	Vertebrata	Osteichthyes	Beryciformes	Holocentridae	Holocentrus ascensionis	Squirrelfish	0.65	NA	FD	LV, RBC	V	16
6069	NA	Chordata	Vertebrata	Osteichthyes	Beryciformes	Holocentridae	Holocentrus ascensionis	Squirrelfish	0.66	NA	FD	RBC	GD	324
6070	NA	Chordata	Vertebrata	Osteichthyes	Beryciformes	Holocentridae	Holocentrus ascensionis	Squirrelfish	0.92	NA	BFA	RBC	SP	216
4988	NA	Chordata	Vertebrata	Chondrichthyes	Carchariniformes	Triakidae	Mustelus sp.	Smooth-hound shark	4.8	NA	BFA	RBC	SP	219
5232	NA	Chordata	Vertebrata	Mammalia	Carnivora	Felidae	Panthera unica	Snow leopard	3.54	NA	FD	S	FC	576
5239	NA	Chordata	Vertebrata	Mammalia	Carnivora	Ursidae	Ursus hibetanus	Himalayan black bear	2.75	NA	FCM	LK	HS, OM	598
5241	NA	Chordata	Vertebrata	Mammalia	Cetacea	Delphinidae	Sousa chinensis chinensis	Chinese white dolphin	3.46	NA	FCM	LK	GD	637
5246	NA	Chordata	Vertebrata	Mammalia	Cetacea	Phocoenidae	Neophocaena phocaenoides asiaorientalis	Yangtze finless porpoise	3.46	NA	FCM	LK	GD	637
6096	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Anostomidae	Schizodon sp.	Headstander	1.84	NA	FD	RBC	CP, GD, OM	77
6105	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Astyanax cf. ribeirae	N/A	1.64	NA	FD	RBC	CP, GD, OM	77
6109	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Brachycalcinus copei	Mojara	1.74	NA	FD	RBC	CP, GD, OM	77
6132	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Hyphessobrycon griemi	Goldspotted tetra	1.28	48	FD	RBC	CP, GD, OM	77
6152	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Roeboides prognathus	N/A	1.54	NA	FD	RBC	CP, GD, OM	77
6156	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Serrasalmus sp.1	Piranha	1.6	62	BFA	RBC	SP	216
6157	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Characidae	Serrasalmus sp.2	Piranha	1.79	NA	FD	RBC	CP, GD, OM	77
6172	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Curimatidae	Semaprochilodus binotatus	N/A	1.86	NA	FD	RBC	CP, GD, OM	77
6181	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Gasteropelecidae	Gasteropelecus levis	Silver hatchetfish	1.4	NA	BFA	RBC	SP	216
6182	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Gasteropelecidae	Thoracocharax cf. stellatus -1	Spotfin hatchetfish	1.29	NA	FD	RBC	CP, GD, OM	77
6183	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Gasteropelecidae	Thoracocharax cf. stellatus -2	Spotfin hatchetfish	1.09	52	FD	RBC	CP, GD, OM	77
6187	NA	Chordata	Vertebrata	Osteichthyes	Characiformes	Lebiasinidae	Pyrrhulina rachoviana	Fanning pyrrhulina	1.2	42	BFA	RBC	SP	216
5258	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Molossidae	Eumops perotis perotis	Mastiff bat	2.57	NA	FD	LK	HS	304
5272	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Natalidae	Natalus sp.	Greater funnel-eared bat	2.3	NA	FIA	KC	SS, BO	708
5278	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Nycteridae	Nycteris major	Dja slit-faced bat	2.66	NA	FIA	KC	SS, BO	708
5342	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Phyllostomidae	Platyrrhinus�lineatus	White-lined broad-nosed bat	2.43	NA	FIA	LV	SS, BO	708
5343	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Phyllostomidae	Pygoderma�bilabiatum	Ipanema broad-nosed bat	2.47	NA	FIA	LV	SS, BO	708
5367	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Pteropodidae	Balionycterismaculata	Spotted-winged fruit bat	2.07	NA	FIA	LV	BO, SS	690
5371	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Pteropodidae	Cynopterusbrachyotis	Lesser short-nosed fruit bat	2.14	NA	FIA	KC, LK, LV	BO, SS	690
5375	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Pteropodidae	Eidolon sp.	Straw-colored fruit bat	1.86	NA	FIA	KC	BO, SS	690
5378	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Pteropodidae	Epomophorus sp.	Epauletted fruit bat	2.18	NA	FIA	KC	BO, SS	690
5388	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Pteropodidae	Melonycteris sp.	Fruit bat	2.27	NA	FIA	LV	BO, SS	690
5390	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Pteropodidae	Myonycteris sp.	Collared fruit bat	2.19	NA	FIA	KC	BO, SS	690
5446	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Lasionycteris�noctivagans	Silver-haired bat	2.22	NA	FIA	LV	SS, BO	708
5447	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Lasiuris borealis	Red bat	2.56	28	FCM	SP	GD, MM	66
5448	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Lasiuris cinereus	Hoary bat	2.49	NA	FIA	LK	HS	575
5449	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Lasiuris ega	Yellow bat	2.93	28	FCM	SP	GD, MM	66
5450	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Lasiuris intermedius	Hairy-tailed bat	2.91	26	FCM	SP	GD, MM	66
5451	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Lasiuris intermedius	Hairy-tailed bat	3.54	NA	FD	LV	HS	25
5465	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Myotis austroriparia	Little brown bat	3.26	NA	FD	LV	HS	25
5471	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Myotis hosonoi	Little brown bat	2.61	NA	FD	LG	HS	244
5472	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Myotis keaisy	Hairy-legged myotis	2.8	NA	FD	LK	BO, SS, MM	780
5497	NA	Chordata	Vertebrata	Mammalia	Chiroptera	Vespertilionidae	Pipistrelllus abramus	Pipistrelle	2.49	NA	FD	LG	HS	244
4170	NA	Chordata	Vertebrata	Aves	Ciconiiformes	Ciconiidae	Leptotilos crumeniferus	Marabou stork	1.34	72	FD	RBC	GD	529
6192	NA	Chordata	Vertebrata	Osteichthyes	Clupeiformes	Clupeidae	Alosa sp.	Shad	0.99	NA	FD	RBC	GD	323, 324
6201	NA	Chordata	Vertebrata	Osteichthyes	Clupeiformes	Clupeidae	Hyperlophus translucidus	Transparent sandy sprat	1.09	NA	FIA	RBC	BS, GD, OM, RP	204
6235	NA	Chordata	Vertebrata	Osteichthyes	Cypriniformes	Cobitidae	Cobitis biwae (4x)	Loach	3.4	96	FCM	RBC	MM	359
6236	NA	Chordata	Vertebrata	Osteichthyes	Cypriniformes	Cobitidae	Cobitis biwae (4x)	Loach	3.61	96	FD	RBC	CP	487
6242	NA	Chordata	Vertebrata	Osteichthyes	Cypriniformes	Cobitidae	Cobitis sp. (3x)	Triploid hybrid loach	3.01	74	FCM	RBC	MM	519
6243	NA	Chordata	Vertebrata	Osteichthyes	Cypriniformes	Cobitidae	Cobitis sp. (4x)	Tetraploid hybrid loach	3.82	98	FCM	RBC	MM	519
6253	NA	Chordata	Vertebrata	Osteichthyes	Cypriniformes	Cobitidae	Misgurnus anguillicaudatus (4x)	Oriental weatherfish	2.26	100	FD	RBC	GD	98
6254	NA	Chordata	Vertebrata	Osteichthyes	Cypriniformes	Cobitidae	Misgurnus anguillicaudatus (4x)	Oriental weatherfish	2.3	NA	FD	RBC	HS	271
