institute	id_number	project	higher_group	family	genus	species	standard	buffer	mean1	mean2	cv1	cv2	ratio	ave_sample	ave_standard	gs_pg_2c_replicate	gs_pg_2c	gs_pg_1c	x1c_gbp	cv_sample	cv_standard	sd_r_sample	stdv_gs	measured_by	date	d_to_l_specimen_id	previous_estimate_2c_prime	comments_on_d_to_l_sample	x30	x31	x32	primary
RBGE	DMR64	DTOL	Angiosperm	Scheuchzeriaceae	Scheuchzaria	palustris	<Solanum	OXPRO	241.11	385.41	3.63	2.56	1.598	261.68	409.59	NA	1.28	0.64	0.62	3.37	2.63	0.071	NA	Sahr Mian	25/06/2021	NA	-	NA	NA	NA	NA	1
RBGK	MC9230	DTOL	Angiosperm	Typhaceae	Sparghanium	erectum	<Petro	OXPRO	128.07	490.11	3.91	2.85	3.827	131.06	495.39	NA	1.19	0.6	0.58	4.15	3.13	0.044	NA	Robyn Powell	30/06/2021	KDTOL10294	-	NA	NA	NA	NA	1
RBGK	MC9220	DTOL	Angiosperm	Apiaceae	Eryngium	camptestre	<Petro	OXPRO	96.50	216.54	3.69	2.92	2.244	98.21	219.47	NA	2.01	1.01	0.98	3.9	3.04	0.017	NA	Robyn Powell	30/06/2021	KDTOL10284	-	NA	NA	NA	NA	1
RBGK	MC9223	DTOL	Angiosperm	Plumbaginaceae	Limonium	bivervosum	>Petro	OXPRO	112.90	187.18	3.64	2.21	1.658	284.32	175.24	NA	7.3	3.65	3.57	2.91	3.07	0.027	NA	Robyn Powell	30/06/2021	KDTOL10287	-	NA	NA	NA	NA	1
Wisley	NA	DTOL	Angiosperm	Rosaceae	Malus	domestica 'Bardsey'	<Petro	OXPRO	122.15	327.43	5.9	2.64	2.681	123.17	332.84	NA	1.67	0.83	0.81	5.58	3.47	0.030	NA	Robyn Powell	30/06/2021	NA	NA	NA	NA	NA	NA	1
Wisley	NA	DTOL	Angiosperm	Rosaceae	Malus	domestica 'Harvey'	<Petro	OXPRO	157.65	413.29	4.97	2.61	2.622	165	432.74	NA	1.72	0.86	0.84	3.68	2.49	0.001	NA	Robyn Powell	30/06/2021	NA	NA	NA	NA	NA	NA	1
RBGK	MC9233	DTOL	Angiosperm	NA	Arisitolochia	clematitis	<Solanum	GPB3%PVP	177.74	243.97	5.61	3.91	2.072	139.92	248.26	NA	1.13	0.56	0.55	5.24	3.07	0.004	NA	Robyn Powell	13/07/21	KDTOL10301	0.77	NA	NA	NA	NA	1
RBGE	DB1578	DTOL	Bryophyte	Hedwigiaceae	Hedwigia	stellatum	<Oryza	OXPRO	93.62	345.40	4.17	3.66	3.689	95.44	353.24	NA	0.54	0.27	0.26	3.91	3.58	0.022	NA	Sahr Mian	26/06/2021	NA	NA	NA	NA	NA	NA	1
RBGE	DB1582	DTOL	Bryophyte	Brachytheciaceae	Rhynchostegium	sp.	<Oryza	OXPRO	114.03	289.18	4.9	3.42	2.536	118.91	298.31	NA	0.8	0.4	0.39	5.25	3.71	0.025	NA	Sahr Mian	26/06/2021	NA	NA	NA	NA	NA	NA	1
RBGE	DB1586	DTOL	Bryophyte	Lepidoziaceae	Bazzania	sp.	<Solanum	OXPRO	173.10	437.40	6.17	2.96	2.527	176.59	446.14	NA	1.58	0.79	0.77	5.45	3.18	0.003	NA	Sahr Mian	26/06/2021	NA	NA	NA	NA	NA	NA	1
RBGE	DB1588	DTOL	Bryophyte	Scapaniaceae	Scapania	ornthopodioides	<Solanum	OXPRO	221.42	393.18	4.27	3.64	1.789	244.74	405.01	NA	2.42	1.21	1.18	4.58	3.81	0.009	NA	Sahr Mian	26/06/2021	NA	NA	NA	NA	NA	NA	1
RBGE	DB1593	DTOL	Bryophyte	Bartramiaceae	Bartramia	tricrenata	<Solanum	OXPRO	170.90	380.74	4.83	2.65	2.228	174.9	384.58	NA	1.82	0.91	0.89	4.95	3.03	0.040	NA	Sahr Mian	21/07/21	NA	NA	NA	NA	NA	NA	1
RBGK	MC9239	DTOL	Angiosperm	Orobanchaceae	Odontites	vernus subsp. serotinus	<Solanum	GPB3%PVP	144.60	236.37	3.44	3.18	1.635	152.74	251.81	NA	1.21	0.61	0.59	3.19	3.47	0.041	NA	Sahr Mian	27/07/21	KDTOL10307	-	NA	NA	NA	NA	1
RBGK	MC9238	DTOL	Angiosperm	Phytolaccaceae	Pytolacca	acinosa	>Petro	GPB3%PVP	265.91	376.96	3.3	3.5	1.438	392.63	283.94	NA	6.22	3.11	3.04	3.01	3.43	0.041	NA	Sahr Mian	27/07/21	KDTOL10306	2.52	polyploiid	NA	NA	NA	1
Sheffield	HHJBJMO49	DTOL	Angiosperm	Droseraceae	Drosera	rotundiflora	<Petro	GPB3%PVP	198.49	304.23	4.75	2.96	1.533	202.79	308.32	NA	2.96	1.48	1.45	4.39	2.63	0.012	NA	Sahr Mian	30/07/21	NA	-	NA	NA	NA	NA	1
RBGE	DMR95	DTOL	Angisperm	Apiaceae	Anglica	sylvestris	>Petro	GPB3%PVP	273.68	338.97	2.55	2.5	1.239	346.21	281.95	NA	5.53	2.76	2.7	2.4	2.41	0.004	NA	Sahr Mian	27/07/21	NA	-	NA	NA	NA	NA	1
RBGK	MV2411	DTOL	Angiosperm	Poaceae	Phleum	pratense subsp. bertolonii	>Solanum	GPB3%PVP	200.28	333.59	3.52	2.47	1.666	344.37	208.37	NA	3.31	1.65	1.62	2.27	3.06	0.011	NA	Sahr Mian	03/08/21	KDTOL10324	3.40	NA	NA	NA	NA	1
BUXTON	NA	DTOL	Angiosperm	Cyperaceae	Carex	pulicans	<Solanum	GPB3%PVP	168.70	438.04	3.55	2.54	2.597	173.67	445.57	NA	0.78	0.39	0.38	3.63	2.55	0.032	NA	Sahr Mian	04/08/21	NA	0.64	NA	NA	NA	NA	1
RBGE	DMR110	DTOL	Angiosperm	Asteraceae	Centauria	nigra	>Solanum	GPB3%PVP	143.68	302.84	3.33	3.39	2.108	313.24	150.36	NA	4.17	2.08	2.04	2.96	2.74	0.020	NA	Sahr Mian	10/08/21	NA	2.24	polyploid	NA	NA	NA	1
RBGE	DMR114	DTOL	Angiosperm	Asteraceae	Centaurium	erythrea	<Petro	GPB3%PVP	175.50	340.32	3.83	2.77	1.939	182.95	350.91	NA	2.35	1.17	1.15	3.34	2.53	0.018	NA	Sahr Mian	11/08/21	NA	2.50	NA	NA	NA	NA	1
RBGK	MC9267	DTOL	Angiosperm	Apiaceae	Heliosciadium	nodoflorum	<Petro	GPB3%PVP	152.42	360.24	3.59	2.7	2.363	158.26	369.27	NA	1.93	0.96	0.94	3.55	2.67	0.033	NA	Sahr Mian	16/08/21	KDTOL10349	-	NA	NA	NA	NA	1
RBGK	MC9262	DTOL	Fern	Aspleniaceae	Asplenium	trichomanes subsp quadrivalens	>Pisum	Ebihara	121.39	249.09	2.93	4.44	2.052	257.25	126.15	NA	18.54	9.27	9.06	4.75	3.17	0.018	NA	Sahr Mian	16/08/21	KDTOL10343	18.11	NA	NA	NA	NA	1
RBGE	DMR78	DTOL	Angiosperm	Juncaginceae	Juncus	trifidus	<Solanum	GPB3%PVP	115.33	325.93	3.79	2.6	2.826	118.11	330.11	NA	0.72	0.36	0.35	4.39	2.64	0.030	NA	Sahr Mian	16/08/21	NA	-	NA	NA	NA	NA	1
RBGE	DMR48	DTOL	Angiosperm	Rosaceae	Potentilla	fruticosa	<Solanum	GPB3%PVP	208.73	351.04	3.92	2.87	1.676	210.21	353.33	NA	1.19	0.59	0.58	4.47	2.93	0.011	NA	Sahr Mian	17/08/21	NA	0.80	NA	NA	NA	NA	1
RBGE	NB004	DTOL	Bryophyte	Brachytheciaceae	Sciuro	hypnum-glaciale	<Oryza	OXPRO	108.67	215.73	3.13	2.76	1.985	111.31	219.84	NA	1.01	0.51	0.5	3.4	2.9	0.016	NA	Sahr Mian	26/08/21	NA	NA	NA	NA	NA	NA	1
RBGK	SM45	DTOL	Angiosperm	Chenopodiaceae	Beta	maritima	<Petro	GPB3%PVP	197.59	275.54	2.96	2.45	1.394	222.36	308.15	NA	3.25	1.62	1.59	3.16	2.53	0.015	NA	Sahr Mian	08/09/2021	KDTOL10389	2.60	NA	NA	NA	NA	1
RBGK	MC9300	DTOL	Angiosperm	Chenopodiaceae	Salicornia	ramossisima	<Petro	GPB3%PVP	193.24	332.22	4.19	2.86	1.719	196	343.3	NA	2.57	1.28	1.26	4.42	2.43	0.045	NA	Sahr Mian	08/09/2021	KDTOL10391	(2.75) different species	NA	NA	NA	NA	1
RBGK	MC9302	DTOL	Angiosperm	Chenopodiaceae	Atriplex	portulacoides	<Petro	GPB3%PVP	200.81	311.96	3.18	2.22	1.553	206.26	321.74	NA	2.88	1.44	1.41	2.87	1.88	0.012	NA	Sahr Mian	08/09/2021	KDTOL10396	1.83	NA	NA	NA	NA	1
RBGE	DMR151	DTOL	Angiosperm	Poaceae	Ammophila	arenaria	>Petro	GPB3%PVP	221.18	441.84	3	2.56	1.998	448.33	225.58	NA	8.94	4.47	4.37	2.43	2.8	0.010	NA	Sahr Mian	14/09/2021	NA	7.80	NA	NA	NA	NA	1
RBGK	MC9261	DTOL	Angiosperm	Iridaceae	Crocosmia	Crocosmia x crocosmiiflora	<Petro	GPB3%PVP	188.74	371.74	3.29	2.46	1.097	197.24	382.33	NA	2.32	1.16	1.14	3.1	2.3	0.478	NA	Sahr Mian	14/09/2021	NA	1.12	polyploid	NA	NA	NA	1
RBGE	DB1623	DTOL	Bryophyte	Cephaloziaceae	Cephalozia	curvifolia	<Oryza	OXPRO	165.39	288.11	4.61	3.98	1.742	165.39	288.11	NA	1.15	0.57	0.56	4.61	3.98	#DIV/0!	NA	Sahr Mian	17/11/21	NA	NA	Only one repeat available	NA	NA	NA	1
RBGE	DB1636	DTOL	Bryophyte	Aongstroemiaceae	Dichodontium	pellucidium	<Oryza	GPB3%PVP	111.41	397.91	5.61	4.02	3.572	113.22	418.69	NA	0.54	0.27	0.26	5.87	3.72	0.118	NA	Sahr Mian	14/12/21	NA	NA	NA	NA	NA	NA	1
