taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
3197852	Rosenvingea sanctae-crucis Børgesen	3197854	Rosenvingea orientalis (J.Agardh) Borgesen	2	SPECIES	SYNONYM	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Scytosiphonales	1309	Scytosiphonaceae	8501	Rosenvingea	3197848	Rosenvingea orientalis	3197854	NE
3197854	Rosenvingea orientalis (J.Agardh) Borgesen	3197854	Rosenvingea orientalis (J.Agardh) Borgesen	1	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Phaeophyceae	7073593	Scytosiphonales	1309	Scytosiphonaceae	8501	Rosenvingea	3197848	Rosenvingea orientalis	3197854	NE
5178448	Gennadas capensis Calman, 1925	5178448	Gennadas capensis Calman, 1925	9	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Malacostraca	229	Decapoda	637	Benthesicymidae	8028	Gennadas	2223153	Gennadas capensis	5178448	NE
5289825	Eustachys petraea (Sw.) Desv.	5289825	Eustachys petraea (Sw.) Desv.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Eustachys	2703568	Eustachys petraea	5289825	NE
5289826	Chloris petraea Sw.	5289825	Eustachys petraea (Sw.) Desv.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Eustachys	2703568	Eustachys petraea	5289825	NE
8292425	Calidris subruficollis (Vieillot, 1819)	2481773	Tryngites subruficollis (Vieillot, 1819)	26	SPECIES	SYNONYM	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tryngites	2481772	Tryngites subruficollis	2481773	NT
2481773	Tryngites subruficollis (Vieillot, 1819)	2481773	Tryngites subruficollis (Vieillot, 1819)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Scolopacidae	5282	Tryngites	2481772	Tryngites subruficollis	2481773	NT
9803471	Anous minutus F.Boie, 1844	9803471	Anous minutus F.Boie, 1844	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Anous	9630699	Anous minutus	9803471	LC
1876941	Corcyra cephalonica (Stainton, 1866)	1876941	Corcyra cephalonica (Stainton, 1866)	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Pyralidae	5336	Corcyra	1876935	Corcyra cephalonica	1876941	NE
2256998	Stoichactis anemone (Ellis)	2256994	Stichodactyla helianthus (Ellis, 1768)	1	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Actiniaria	705	Stichodactylidae	9220	Stichodactyla	2256991	Stichodactyla helianthus	2256994	NE
2256996	Stoichactis helianthus (Ellis, 1768)	2256994	Stichodactyla helianthus (Ellis, 1768)	1	SPECIES	SYNONYM	Animalia	1	Cnidaria	43	Anthozoa	206	Actiniaria	705	Stichodactylidae	9220	Stichodactyla	2256991	Stichodactyla helianthus	2256994	NE
2256994	Stichodactyla helianthus (Ellis, 1768)	2256994	Stichodactyla helianthus (Ellis, 1768)	13	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Actiniaria	705	Stichodactylidae	9220	Stichodactyla	2256991	Stichodactyla helianthus	2256994	NE
2260356	Mussa angulosa (Pallas, 1766)	2260356	Mussa angulosa (Pallas, 1766)	2	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Faviidae	11994823	Mussa	2260355	Mussa angulosa	2260356	LC
2643307	Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.	2643307	Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.	5	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Bryopsidales	625	Halimedaceae	8778	Halimeda	2643252	Halimeda tuna	2643307	NE
2706150	Pennisetum clandestinum Hochst. ex Chiov.	5828201	Cenchrus clandestinus (Hochst. ex Chiov.) Morrone	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Cenchrus	2703201	Cenchrus clandestinus	5828201	LC
3060876	Manihot janiphoides Müll.Arg.	3060876	Manihot janiphoides Müll.Arg.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Manihot	3060685	Manihot janiphoides	3060876	NE
4375745	Gracilariopsis carolinensis L.M.Liao & Hommers., 2003	4375745	Gracilariopsis carolinensis L.M.Liao & Hommers., 2003	8	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Gracilariales	1401	Gracilariaceae	4944	Gracilariopsis	2665851	Gracilariopsis carolinensis	4375745	NE
5133088	Danaus plexippus (Linnaeus, 1758)	5133088	Danaus plexippus (Linnaeus, 1758)	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Danaus	5133087	Danaus plexippus	5133088	LC
5136681	Euploea mulciber (Cramer, 1777)	5136681	Euploea mulciber (Cramer, 1777)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Euploea	1916794	Euploea mulciber	5136681	NE
5846430	Leucophaeus pipixcan (Wagler, 1831)	5846430	Leucophaeus pipixcan (Wagler, 1831)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Leucophaeus	4352369	Leucophaeus pipixcan	5846430	NE
7341822	Setophaga palmarum (J.F.Gmelin, 1789)	7341822	Setophaga palmarum (J.F.Gmelin, 1789)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga palmarum	7341822	LC
7866156	Conasprella centurio (Born, 1778)	7866156	Conasprella centurio (Born, 1778)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Conidae	6779	Conasprella	4602193	Conasprella centurio	7866156	NE
5857051	Conus centurio Born, 1778	7866156	Conasprella centurio (Born, 1778)	9	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Conidae	6779	Conasprella	4602193	Conasprella centurio	7866156	LC
8361961	Stenophysa marmorata (Guilding, 1828)	8361961	Stenophysa marmorata (Guilding, 1828)	16	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Physidae	6798	Stenophysa	2291142	Stenophysa marmorata	8361961	NE
8352689	Physa marmorata Guilding, 1828	8361961	Stenophysa marmorata (Guilding, 1828)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Physidae	6798	Stenophysa	2291142	Stenophysa marmorata	8361961	LC
8865933	Physa sowerbyana d'Orbigny, 1841	8361961	Stenophysa marmorata (Guilding, 1828)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Physidae	6798	Stenophysa	2291142	Stenophysa marmorata	8361961	NE
