taxon_id	input	rank	suggested
183873	Cortinarius badiolilaceus	species	Cortinarius badiovinaceus
2785897	Cortinarius duramarus	species	Thaxterogaster dulcamarus
1638299	Cortinarius epipoleus	species	Cortinarius epiphaeus
165399	Cortinarius latus	species	Cortinarius laetus
	Cortinarius milvinus	species	cortinarius miltinus
	Cortinarius muricinus	species	cortinarius duracinus
	Cortinarius nitidus	species	cortinarius rigidus	cortinarius lividus
	Cortinarius nitrosus	species	cortinarius vitiosus	cortinarius intrusus
2764559	Cortinarius olivascens	species	Cortinarius udolivascens
2020562	Cortinarius plumbosus	species	Cortinarius plumulosus
47323	Cortinarius punctalis	species	Cortinarius gentilis
1245897	Cortinarius succineus	species	Cortinarius coccineus
2732395	Cortinarius violaceovelatus	species	Cortinarius violaceovolvatus
1987539	Crepidotus tubidulus	species	Crepidotus rufidulus
941912	Cyphella fulva	species	Cymbella fulva
1754158	Eccilia pusilla	species	Lucilia pusilla
2487837	Entoloma corvinum	species	Inocephalus cervinus
1473262	Entoloma griseoluridum	species	Entoloma indutoides
	Entoloma indutum	species	entoloma undatum	entoloma minutum
2762092	Entoloma scabrosum	species	Entoloma scabiosum
181160	Entoloma tortipes	species	Entoloma hirtipes
	Erastia	genus	erastria	ernstia	erasmia
38945	Flammula veluticeps	species	Flammulina velutipes
2585376	Hebeloma sordidum	species	Hebeloma sordidulum
	Hygrophorus hyacinthus	species	hygrophorus hyacinthinus
	Hygrophorus irriguus	species	hygrophorus irrigatus
1304263	Inocybe duriuscula	species	Inocybe nudiuscula
2033585	Inocybe nigridisca	species	Inocybe nigrodisca
593271	Lactarius obnubilis	species	Lactarius obscuratus
1934707	Leccinum ambiguum	species	Phrontis antillarum
	Lepista rickenii	species	lepiota rickenii
	Lycoperdon pisiforme	species	lycoperdon pyriforme	lycoperdon filiforme
646515	Marasmius subulatus	species	Marasmius tubulatus
599325	Merismodes ochracea	species	Melissodes ochraea
1117156	Moniliella acetoabutans	species	Moniliella acetoabutens
91739	Mycena agrestis	species	Aricia agestis
2569845	Mycena chlorantha	species	Mycena chloroxantha
2820540	Mycena farrea	species	Ahlbergia ferrea
1924115	Mycena nucicola	species	Mycena nivicola
68801	Odontia sulphurea	species	Dentocorticium sulphurellum
	Omphalia glaucophylla	species	omphalia leucophylla	omphalina leucophylla
2056301	Oxyporus corticola	species	Rigidoporus corticola
	Oxyporus pearsonii	species	polyporus persoonii
91092	Ozonium aureum	species	Aeonium aureum
	Peniophora avellanea	species	coniophora avellanea
187594	Poria violacea	species	Amphiporus lactifloreus
	Psathyrella hydrophora	species	psathyrella hydrophila
	Russula campestris	species	crassula alpestris	crassula campestris	russula alpestris
2487974	Russula neglecta	species	Crassula cordata
2036906	Sclerotium bullatum	species	Sclerotinia sulcata
	Sclerotium roseum	species	sclerotium griseum
	Tomentella granosa	species	tomentella granulosa	tomentella araneosa
	Tomentella microspora	species	tomentella macrospora
	Tremella fulvacea	species	tremella foliacea
181998	Tricholoma amplum	species	Leucopaxillus gentianeus
	Tricholoma frumentaceum	species	tricholoma ramentaceum
2934122	Tricholoma tigrinum	species	Tricholoma citrinum
255440	Tulasnella inclusa	species	Tulasnella albida
1091429	Puccinia intermedia	species	Coccinia intermedia
355341	Puccinia obtusa	species	Puccinia isiacae
1955466	Puccinia rugulosa	species	Puccinia tubulosa
2488355	Puccinia thymi	species	Puccinia elymi
