phylum	ECHabs92	scientific_name	subspecies	authority_subspecies
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Arenaria nevadensis		Boiss. & Reuter
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Arenaria provincialis		Chater & Halliday
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Cerastium alsinifolium		Tausch Cerastium dinaricum G. Beck & Szysz.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus arenarius	Dianthus arenarius arenarius	L. subsp. arenarius
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus arenarius	Dianthus arenarius bohemicus	(Novak) O. Schwarz
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus cintranus	Dianthus cintranus cintranus	Boiss. & Reuter subsp. cintranus Boiss. & Reuter
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus diutinus		Kit.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus lumnitzeri		Wiesb.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus marizii		(Samp.) Samp.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus moravicus		Kovanda
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus nitidus		Waldst. et Kit.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus plumarius	Dianthus plumarius regis-stephani	(Rapcs.) Baksay
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Dianthus rupicola		Biv.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Gypsophila papillosa		P. Porta
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Herniaria algarvica		Chaudhri
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Herniaria latifolia	Herniaria latifolia litardierei	Lapeyr. subsp. litardierei Gamis
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Herniaria lusitanica	Herniaria lusitanica berlengiana	(Chaudhri) subsp. berlengiana Chaudhri
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Herniaria maritima		Link
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Minuartia smejkalii		Dvorakova
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Moehringia jankae		Griseb. ex Janka
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Moehringia lateriflora		(L.) Fenzl.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Moehringia tommasinii		Marches.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Moehringia villosa		(Wulfen) Fenzl
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Petrocoptis grandiflora		Rothm.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Petrocoptis montsicciana		O. Bolos & Rivas Mart.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Petrocoptis pseudoviscosa		Fernández Casas
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene furcata	Silene furcata angustiflora	Rafin. subsp. angustiflora (Rupr.) Walters
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene hicesiae		Brullo & Signorello
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene hifacensis		Rouy ex Willk.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene holzmanii		Heldr. ex Boiss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene longicilia		(Brot.) Otth.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene mariana		Pau
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene orphanidis		Boiss
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene rothmaleri		Pinto da Silva
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Silene velutina		Pourret ex Loisel.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Bassia saxicola		(Guss.) A. J. Scott
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Cremnophyton lanfrancoi		Brullo et Pavone
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Salicornia veneta		Pignatti & Lausi
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Cistus palhinhae		Ingram
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Halimium verticillatum		(Brot.) Sennen
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Helianthemum alypoides		Losa & Rivas Goday
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Helianthemum caput-felis		Boiss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Tuberaria major		(Willk.) Pinto da Silva & Rozeira
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Anthemis glaberrima		(Rech. f.) Greuter
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Artemisia campestris	Artemisia campestris bottnica	L. subsp. bottnica A.N. Lundström ex Kindb.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Artemisia granatensis		Boiss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Artemisia laciniata		Willd.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Artemisia oelandica		(Besser) Komaror
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Artemisia pancicii		(Janka) Ronn.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Aster pyrenaeus		Desf. ex DC
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Aster sorrentinii		(Tod) Lojac.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Carlina onopordifolia		Besser
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Carduus myriacanthus		Salzm. ex DC.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea alba	Centaurea alba heldreichii	L. subsp. heldreichii (Halacsy) Dostal
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea alba	Centaurea alba princeps	L. subsp. princeps (Boiss. & Heldr.) Gugler
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea akamantis		T. Georgiadis & G. Chatzikyriakou
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea attica	Centaurea attica megarensis	Nyman subsp. megarensis (Halacsy & Hayek) Dostal
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea balearica		J.D. Rodriguez
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea borjae		Valdes-Berm. & Rivas Goday
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea citricolor		Font Quer
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea corymbosa		Pourret
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea gadorensis		G. Blanca
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea horrida		Badaro
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea immanuelis-loewii		Degen
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea jankae		Brandza
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea kalambakensis		Freyn & Sint.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea kartschiana		Scop.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea lactiflora		Halacsy
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea micrantha	Centaurea micrantha herminii	Hoffmanns. & Link subsp. herminii (Rouy) Dostál
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea niederi		Heldr.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea peucedanifolia		Boiss. & Orph.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea pinnata		Pau
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea pontica		Prodan & E.I. Nyárády
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea pulvinata		(G. Blanca) G. Blanca
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea rothmalerana		(Arènes) Dostál
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Centaurea vicentina		Mariz
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Cirsium brachycephalum		Juratzka
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Crepis crocifolia		Boiss. & Heldr.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Crepis granatensis		(Willk.) B. Blanca & M. Cueto
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Crepis pusilla		(Sommier) Merxmüller
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Crepis tectorum	Crepis tectorum nigrescens	L. subsp. nigrescens
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Erigeron frigidus		Boiss. ex DC.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Helichrysum melitense		(Pignatti) Brullo et al
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Hymenostemma pseudanthemis		(Kunze) Willd.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Hyoseris frutescens		Brullo et Pavone
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Jurinea cyanoides		(L.) Reichenb.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Jurinea fontqueri		Cuatrec.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Lamyropsis microcephala		(Moris) Dittrich & Greuter
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Leontodon microcephalus		(Boiss. ex DC.) Boiss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Leontodon boryi		Boiss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Leontodon siculus		(Guss.) Finch & Sell
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Leuzea longifolia		Hoffmanns. & Link
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Ligularia sibirica		(L.) Cass.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Palaeocyanus crassifolius		(Bertoloni) Dostal
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Santolina impressa		Hoffmanns. & Link
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Santolina semidentata		Hoffmanns. & Link
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Saussurea alpina	Saussurea alpina esthonica	(Baer ex Rupr) Kupffer
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Senecio elodes		Boiss. ex DC.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Senecio jacobea	Senecio jacobea gotlandicus	L. subsp. gotlandicus (Neuman) Sterner
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Senecio nevadensis		Boiss. & Reuter
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Serratula lycopifolia		(Vill.) A. Kern
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Tephroseris longifolia	Tephroseris longifolia moravica	(Jacq.) Griseb et Schenk subsp. moravica
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Convolvulus argyrothamnus		Greuter
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Convolvulus fernandesii		Pinto da Silva & Teles
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Alyssum pyrenaicum		Lapeyr.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Arabis kennedyae		Meikle
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Arabis sadina		(Samp.) P. Cout.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Arabis scopoliana		Boiss
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Biscutella neustriaca		Bonnet
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Biscutella vincentina		(Samp.) Rothm.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Boleum asperum		(Pers.) Desvaux
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Brassica glabrescens		Poldini
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Brassica hilarionis		Post
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Brassica insularis		Moris
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Brassica macrocarpa		Guss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Braya linearis		Rouy
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Cochlearia polonica		E. Fröhlich
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Cochlearia tatrae		Borbas
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Coincya rupestris		Rouy
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Coronopus navasii		Pau
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Crambe tataria		Sebeok
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Degenia velebitica		(Degen) Hayek
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Diplotaxis ibicensis		(Pau) Gómez-Campo
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Diplotaxis siettiana		Maire
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Diplotaxis vicentina		(P. Cout.) Rothm.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Draba cacuminum		Elis Ekman
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Draba cinerea		Adams
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Draba dorneri		Heuffel.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Erucastrum palustre		(Pirona) Vis.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Erysimum pieninicum		(Zapal.) Pawl.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Iberis arbuscula		Runemark
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Iberis procumbens	Iberis procumbens microcarpa	Lange subsp. microcarpa Franco & Pinto da Silva
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Jonopsidium acaule		(Desf.) Reichenb.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Jonopsidium savianum		(Caruel) Ball ex Arcang.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Rhynchosinapis erucastrum	Rhynchosinapis erucastrum cintrana	(L.) Dandy ex Clapham subsp. cintrana (Coutinho) Franco & P. Silva ( Coincya cintrana (P. Cout.) Pinto da Silva)
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Sisymbrium cavanillesianum		Valdés & Castroviejo
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Sisymbrium supinum		L.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Thlaspi jankae		A. Kern.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Carex holostoma		Drejer
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Carex panormitana		Guss.
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Eleocharis carniolica		Koch
