taxId	organismName	genbankAssmAccession	bioProjectAccession
1314669	Polychaeton citri CBS 116435	GCA_010093785.1	PRJNA196013;1KFG
1314798	Backusella circina FSU 941	GCA_025399235.1	PRJNA196083;1KFG
1395130	Massarina eburnea CBS 473.64	GCA_010093635.1	PRJNA217519;1KFG
1314672	Peniophora sp. CONT	GCA_001632445.1	PRJNA196016;1KFG
1314674	Cylindrobasidium torrendii FP15055 ss-10	GCA_000934385.1	PRJNA196018;1KFG
301207	Macroventuria anomochaeta	GCA_010093625.1	PRJNA234398;1KFG
1496277	Lizonia empirigonia	GCA_009982855.1	PRJNA245629;1KFG
147558	Byssothecium circinans	GCA_010015675.1	PRJNA239485;1KFG
55340	Amylostereum chailletii	GCA_022385825.1	PRJNA265560;1KFG
1280837	Meira miltonrushii	GCA_003144205.1	PRJNA247836;1KFG
1569628	Jaminaea rosea	GCA_003144245.1	PRJNA334361;1KFG
1168545	Lentithecium fluviatile CBS 122367	GCA_010405425.1	PRJNA196040;1KFG
101142	Thamnidium elegans	GCA_025201345.1	PRJNA332251;1KFG
1400700	Suillus brevipes Sb2	GCA_011800875.2	PRJNA218802;1KFG
245834	Neohortaea acidophila	GCA_010093505.1	PRJNA334188;1KFG
1314790	Basidiobolus meristosporus CBS 931.73	GCA_002104905.1	PRJNA196075;1KFG
1314670	Lepidopterella palustris CBS 459.81	GCA_001692735.1	PRJNA196014;1KFG
1314800	Rhizopogon vinicolor AM-OR11-026	GCA_001658105.1	PRJNA196085;1KFG
1314802	Melanomma pulvis-pyrius CBS 109.77	GCA_010093585.1	PRJNA196087;1KFG
1168544	Cucurbitaria berberidis CBS 394.84	GCA_010015615.1	PRJNA196042;1KFG
1150837	Didymella exigua CBS 183.55	GCA_010094145.1	PRJNA207857;1KFG
879819	Cutaneotrichosporon oleaginosum	GCA_001027345.1	PRJNA239490;1KFG
101127	Hesseltinella vesiculosa	GCA_002104935.1	PRJNA243954;1KFG
97972	Periconia macrospinosa	GCA_003073855.1	PRJNA243955;1KFG
1052685	Obba rivulosa	GCA_001687445.1	PRJNA247915;1KFG
1450536	Guyanagaster necrorhizus MCA 3950	GCA_019112545.1	PRJNA234669;1KFG
2655010	Melanogaster broomeanus	GCA_014904935.1	PRJNA234408;1KFG
64574	Radiomyces spectabilis	GCA_025331425.1	PRJNA366636;1KFG
1884261	Pterula gracilis	GCA_004369125.1	PRJNA333969;1KFG
470096	Pseudovirgaria hyperparasitica	GCA_010093815.1	PRJNA245627;1KFG
230819	Coprinopsis marcescibilis	GCA_004369085.1	PRJNA247837;1KFG
1076256	Armillaria solidipes	GCA_002307675.1	PRJNA334329;1KFG
574789	Mytilinidion resinicola	GCA_010093595.1	PRJNA334371;1KFG
139406	Kalaharituber pfeilii	GCA_015179045.1	PRJNA334362;1KFG
1314799	Neoconidiobolus thromboides FSU 785	GCA_025603075.1	PRJNA196084;1KFG
68775	Crucibulum laeve	GCA_004379715.1	PRJNA333385;1KFG
109894	Geranomyces variabilis	GCA_025399175.1	PRJNA334359;1KFG
101123	Pilobolus umbonatus	GCA_025528865.1	PRJNA331830;1KFG
378194	Epithele typhae	GCA_022376455.1	PRJNA363664;1KFG
1314780	Piedraia hortae CBS 480.64	GCA_010093745.1	PRJNA196052;1KFG
1314788	Lophiostoma macrostomum CBS 122681	GCA_010405375.1	PRJNA196073;1KFG
149040	Mollisia scopiformis	GCA_001500285.1	PRJNA262390;1KFG
1907219	Piptocephalis cylindrospora	GCA_003614145.1	PRJNA346814;1KFG
100035	Massariosphaeria phaeospora	GCA_011032825.1	PRJNA333966;1KFG
690887	Lophiotrema nucula	GCA_010015825.1	PRJNA333967;1KFG
210430	Setomelanomma holmii	GCA_010015745.1	PRJNA245746;1KFG
1048955	Tothia fuscella	GCA_010583015.1	PRJNA245630;1KFG
85948	Didymosphaeria enalia	GCA_010094045.1	PRJNA239483;1KFG
1448309	Hydnum rufescens UP504	GCA_014904985.1	PRJNA234814;1KFG
1485227	Leptodontidium sp. 2 PMI_412	GCA_021432625.1	PRJNA243948;1KFG
1486700	Clavulina sp. PMI_390	GCA_015039315.1	PRJNA243946;1KFG
47427	Armillaria gallica	GCA_002307695.1	PRJNA242129;1KFG
71717	Coprinellus micaceus	GCA_004369175.1	PRJNA247835;1KFG
378272	Irpex rosettiformis	GCA_022160335.1	PRJNA334190;1KFG
388810	Blyttiomyces helicus	GCA_003614705.1	PRJNA332782;1KFG
85980	Leucogyrophana mollusca	GCA_021014945.1	PRJNA239087;1KFG
50990	Rickenella mellea	GCA_004355085.1	PRJNA334780;1KFG
2066989	Pholiota molesta	GCA_014925825.1	PRJNA347042;1KFG
64632	Mycotypha africana	GCA_025528875.1	PRJNA332250;1KFG
4850	Blakeslea trispora	GCA_025331445.1	PRJNA334931;1KFG
1883072	Cytidiella melzeri	GCA_022592445.1	PRJNA331562;1KFG
1940300	Cristinia sonorae	GCA_021029105.1	PRJNA363661;1KFG
1340429	Rhizopus microsporus ATCC 52813	GCA_002708625.1	PRJNA205957;1KFG
1392246	Amniculicola lignicola CBS 123094	GCA_010015725.1	PRJNA217192;1KFG
1392245	Dothidotthia symphoricarpi CBS 119687	GCA_010015815.1	PRJNA217191;1KFG
1314678	Umbelopsis ramanniana AG	GCA_025399195.1	PRJNA196032;1KFG
1176127	Aplosporella prunicola CBS 121167	GCA_010093885.1	PRJNA196034;1KFG
1314807	Dendrothele bispora CBS 962.96	GCA_004369135.1	PRJNA196017;1KFG
1392243	Eremomyces bilateralis CBS 781.70	GCA_010015585.1	PRJNA217190;1KFG
682080	Polyplosphaeria fusca	GCA_010093805.1	PRJNA245626;1KFG
703511	Trichodelitschia bisporula	GCA_010356995.1	PRJNA245628;1KFG
1328760	Xylona heveae TC161	GCA_001619985.1	PRJNA200619;1KFG
1513339	Delitschia confertaspora ATCC 74209	GCA_010093945.1	PRJNA251766;1KFG
1450552	Coniochaeta sp. PMI_546	GCA_021432605.1	PRJNA234867;1KFG
1485228	Flagelloscypha sp. PMI_526	GCA_021399455.1	PRJNA243949;1KFG
304332	Ramicandelaber brevisporus	GCA_025201865.1	PRJNA251765;1KFG
5364	Heliocybe sulcata	GCA_004369045.1	PRJNA265455;1KFG
