taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2313651	Evarnella trimaculata Treadwell, 1924	2313650	Harmothoe trimaculata (Treadwell, 1924)	1	SPECIES	SYNONYM	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Polynoidae	7078	Harmothoe	2315129	Harmothoe trimaculata	2313650	NE
2643307	Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.	2643307	Halimeda tuna (J.Ellis & Sol.) J.V.Lamour.	5	SPECIES	ACCEPTED	Plantae	6	Chlorophyta	36	Ulvophyceae	195	Bryopsidales	625	Halimedaceae	8778	Halimeda	2643252	Halimeda tuna	2643307	NE
2706150	Pennisetum clandestinum Hochst. ex Chiov.	5828201	Cenchrus clandestinus (Hochst. ex Chiov.) Morrone	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Cenchrus	2703201	Cenchrus clandestinus	5828201	LC
3060876	Manihot janiphoides Müll.Arg.	3060876	Manihot janiphoides Müll.Arg.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Malpighiales	1414	Euphorbiaceae	4691	Manihot	3060685	Manihot janiphoides	3060876	NE
4375745	Gracilariopsis carolinensis L.M.Liao & Hommers., 2003	4375745	Gracilariopsis carolinensis L.M.Liao & Hommers., 2003	8	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Gracilariales	1401	Gracilariaceae	4944	Gracilariopsis	2665851	Gracilariopsis carolinensis	4375745	NE
5133088	Danaus plexippus (Linnaeus, 1758)	5133088	Danaus plexippus (Linnaeus, 1758)	14	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Danaus	5133087	Danaus plexippus	5133088	LC
5136681	Euploea mulciber (Cramer, 1777)	5136681	Euploea mulciber (Cramer, 1777)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Euploea	1916794	Euploea mulciber	5136681	NE
5724874	Bursa latitudo Garrard, 1961	11161263	Tritonoranella latitudo (Garrard, 1961)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Littorinimorpha	7390893	Bursidae	2677	Tritonoranella	4609406	Tritonoranella latitudo	11161263	NE
5846430	Leucophaeus pipixcan (Wagler, 1831)	5846430	Leucophaeus pipixcan (Wagler, 1831)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Leucophaeus	4352369	Leucophaeus pipixcan	5846430	NE
7341822	Setophaga palmarum (J.F.Gmelin, 1789)	7341822	Setophaga palmarum (J.F.Gmelin, 1789)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Parulidae	5263	Setophaga	2489984	Setophaga palmarum	7341822	LC
7648139	Carpenteria proteiformis Goës, 1882	9460711	Pseudobiarritzina proteiformis (Goës, 1882)	5	SPECIES	SYNONYM	Chromista	4	Foraminifera	8376456	Globothalamea	7434778	Rotaliida	7692889	Rosalinidae	4381485	Pseudobiarritzina	8261138	Pseudobiarritzina proteiformis	9460711	NE
7866156	Conasprella centurio (Born, 1778)	7866156	Conasprella centurio (Born, 1778)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Conidae	6779	Conasprella	4602193	Conasprella centurio	7866156	NE
7912353	Margarita asperrima Dall, 1881	2292812	Dentistyla asperrima (Dall, 1881)	2	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Seguenziida	9759304	Chilodontaidae	9760249	Dentistyla	2292811	Dentistyla asperrima	2292812	NE
8361961	Stenophysa marmorata (Guilding, 1828)	8361961	Stenophysa marmorata (Guilding, 1828)	16	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Physidae	6798	Stenophysa	2291142	Stenophysa marmorata	8361961	NE
