species	taxid	comment	synonym	family	long_list	other_priority	family_representative
Didymella macrostoma	73002	Listed as: Phoma macrostoma	Phoma macrostoma	Didymellaceae	DTOL	DTOL	DTOL
Geotrichum candidum	1173061	Listed as: Dipodascus geotrichum	Dipodascus geotrichum	Dipodascaceae	DTOL	DTOL	DTOL
Dipodascus armillariae	43962	Listed as: Geotrichum decipiens	Geotrichum decipiens	Dipodascaceae	DTOL	DTOL	DTOL
Elsinoe mattiroloanum	1978813	Listed as: Sphaceloma mattiroloanum	Sphaceloma mattiroloanum	Elsinoaceae	DTOL		
Elsinoe populi	1978820	Listed as: Sphaceloma populi	Sphaceloma populi	Elsinoaceae	DTOL	DTOL	DTOL
Jimgerdemannia flammicorona	994334	Listed as: Endogone flammicorona	Endogone flammicorona	Endogonaceae	DTOL		
Jimgerdemannia lactiflua	324621	Listed as: Endogone lactiflua	Endogone lactiflua	Endogonaceae	DTOL		
Juncorrhiza casparyana	2729607	Listed as: Entorrhiza casparyana	Entorrhiza casparyana	Entorrhizaceae	DTOL		
Gjaerumia minor	58917	Listed as: Tilletiopsis minor	Tilletiopsis minor	Entylomataceae	DTOL		
Skoua fertilis	27318	Listed as: Eremascus fertilis	Eremascus fertilis	Eremascaceae	DTOL		
Piskurozyma capsuligena	5211	Listed as: Filobasidium capsuligenum	Filobasidium capsuligenum	Filobasidiaceae	DTOL	DTOL	DTOL
Fomitopsis betulina	40450	Listed as: Piptoporus betulinus	Piptoporus betulinus	Fomitopsidaceae	DTOL	DTOL	DTOL
Sclerocystis coremioides	109457	Listed as: Glomus coremioides	Glomus coremioides	Glomeraceae	DTOL		
Colletotrichum camelliae	538528	Listed as: Glomerella cingulata	Glomerella cingulata	Glomerellaceae	DTOL	DTOL	DTOL
Gyalecta flotowii	232754	Listed as: Gyalecta flotovii	Gyalecta flotovii	Gyalectaceae	DTOL	DTOL	DTOL
Belonia nidarosiensis	glBelNida	Listed as: Gyalecta nidarosiensis	Gyalecta nidarosiensis	Gyalectaceae	DTOL		
Gymnoascus confluens	166388	Listed as: Gymnascella confluens	Gymnascella confluens	Gymnoascaceae	DTOL		
Berlesiella nigerrima	86046	Listed as: Capronia nigerrima	Capronia nigerrima	Herpotrichiellaceae	DTOL		
Exophiala castellanii	91922	Listed as: Exophiala mansonii	Exophiala mansonii	Herpotrichiellaceae	DTOL	DTOL	DTOL
Eupezizella aureliella	47748	Listed as: Hyaloscypha aureliella	Hyaloscypha aureliella	Hyaloscyphaceae	DTOL		
Haplographium delicatum	1293533	Listed as: Dematioscypha dematiicola	Dematioscypha dematiicola	Hyaloscyphaceae	DTOL		
Olla millepunctata	1071713	Listed as: Hyalopeziza millepunctata	Hyalopeziza millepunctata	Hyaloscyphaceae	DTOL		
Cuphophyllus virgineus	1398587	Listed as: Hygrocybe virginea	Hygrocybe virginea	Hygrophoraceae	DTOL		
Trichoderma citrinoviride	58853	Listed as: Hypocrea schweinitzii	Hypocrea schweinitzii	Hypocreaceae	DTOL		
Acrogenospora carmichaeliana	286007	Listed as: Acrogenospora sphaerocephala	Acrogenospora sphaerocephala	Hysteriaceae	DTOL		
Panaeolus foenisecii	34442	Listed as: Panaeolina foenisecii	Panaeolina foenisecii	Incertae sedis	DTOL		
Myxarium varium	2483279	Listed as: Stypella grilletii	Stypella grilletii	Incertae sedis	DTOL		
Sarocladium strictum	5046	Listed as: Acremonium strictum	Acremonium strictum	Incertae sedis	DTOL		
Hyaloscypha spinulosa	2052907	Listed as: Candelabrum spinulosum	Candelabrum spinulosum	Incertae sedis	DTOL		
Endococcus apiciicola	gdEndApic	Listed as: Endococcus alpestris	Endococcus alpestris	Incertae sedis	DTOL		
Normandina pulchella	869219	Listed as: Lauderlindsaya borreri	Lauderlindsaya borreri	Incertae sedis	DTOL		
Pseudopyrenochaeta lycopersici	285811	Listed as: Pyrenochaeta lycopersici	Pyrenochaeta lycopersici	Incertae sedis	DTOL		
Thermomyces dupontii	28565	Listed as: Thermomyces thermophilus	Thermomyces thermophilus	Incertae sedis	DTOL		
Pichia fermentans	53655	Listed as: Candida lambica	Candida lambica	Incertae sedis	DTOL		
Sympodiella goidanichii	2524048	Listed as: Repetophragma goidanichii	Repetophragma goidanichii	Incertae sedis	DTOL		
Chaetosphaeria decastyla	153157	Listed as: Cacumisporium capitulatum	Cacumisporium capitulatum	Incertae sedis	DTOL		
Septoriella hirta	565412	Listed as: Wojnowicia hirta	Wojnowicia hirta	Incertae sedis	DTOL		
Helminthosporium tiliae	2017527	Listed as: Exosporium tiliae	Exosporium tiliae	Incertae sedis	DTOL		
Lateriramulosa uni-inflata	gaLatUnii	Listed as: Lateriramulosa uniinflata	Lateriramulosa uniinflata	Incertae sedis	DTOL		
Monodictys cellulosa	gaMonCell	Listed as: Monodictys lepraria	Monodictys lepraria	Incertae sedis	DTOL		
Camarosporidiella elongata	45143	Listed as: Camarosporium elongatum	Camarosporium elongatum	Incertae sedis	DTOL		
Vesiculozygosporium echinosporum	2075506	Listed as: Zygosporium echinosporum	Zygosporium echinosporum	Incertae sedis	DTOL		
Ochroconis humicola	228895	Listed as: Scolecobasidium humicola	Scolecobasidium humicola	Incertae sedis	DTOL		
Endococcus apiciicola	gdEndApic	Listed as: Endococcus apicicola	Endococcus apicicola	Incertae sedis	DTOL		
Polycauliona phlogina	1301499	Listed as: Scythioria phlogina	Scythioria phlogina	Incertae sedis	DTOL		
Cephalosporium gramineum	259995	Listed as: Hymenula cerealis	Hymenula cerealis	Incertae sedis	DTOL		
Rhagadostoma lichenicola	grRhaLich	Listed as: Refractohilum lichenicola	Refractohilum lichenicola	Incertae sedis	DTOL		
Botryotrichum verrucosum	2724742	Listed as: Thermomyces verrucosus	Thermomyces verrucosus	Incertae sedis	DTOL		
Rhinocladiella anceps	470084	Listed as: Veronaea parvispora	Veronaea parvispora	Incertae sedis	DTOL		
Hyalorbilia fusarioides	1682404	Listed as: Microdochiella fusarioides	Microdochiella fusarioides	Incertae sedis	DTOL		
Harzia palmara	2036943	Listed as: Chlamydomyces palmarum	Chlamydomyces palmarum	Incertae sedis	DTOL		
Brocchiosphaera brocchiata	2052908	Listed as: Candelabrum brocchiatum	Candelabrum brocchiatum	Incertae sedis	DTOL		
Coleophoma empetri	582885	Listed as: Rhabdostromina empetri	Rhabdostromina empetri	Incertae sedis	DTOL		
Hormodochis melanochlora	1578314	Listed as: Trullula melanochlora	Trullula melanochlora	Incertae sedis	DTOL		
Neocucurbitaria unguis-hominis	555973	Listed as: Pyrenochaeta unguis-hominis	Pyrenochaeta unguis-hominis	Incertae sedis	DTOL		
Ochroconis constricta	227046	Listed as: Scolecobasidium constrictum	Scolecobasidium constrictum	Incertae sedis	DTOL		
Arbusculina moniliformis	1903040	Listed as: Dendrospora moniliformis	Dendrospora moniliformis	Incertae sedis	DTOL		
Myrothecium gramineum	226117	Listed as: Xepiculopsis graminea	Xepiculopsis graminea	Incertae sedis	DTOL		
Microthecium sepedonioides	1661795	Listed as: Papulaspora sepedonioides	Papulaspora sepedonioides	Incertae sedis	DTOL		
Ochroconis tshawytschae	262132	Listed as: Scolecobasidium tshawytschae	Scolecobasidium tshawytschae	Incertae sedis	DTOL		
Neocucurbitaria cava	798079	Listed as: Pyrenochaeta cava	Pyrenochaeta cava	Incertae sedis	DTOL		
Neocucurbitaria quercina	798143	Listed as: Pyrenochaeta quercina	Pyrenochaeta quercina	Incertae sedis	DTOL		
Remersonia thermophila	72144	Listed as: Stilbella thermophila	Stilbella thermophila	Incertae sedis	DTOL		
Phyllachora pomigena	2082065	Listed as: Gloeodes pomigena	Gloeodes pomigena	Incertae sedis	DTOL		
Gamsomyces longisporus	1150419	Listed as: Bactrodesmium longisporum	Bactrodesmium longisporum	Incertae sedis	DTOL		
Acrothecium scopulae	gaAcrScop	Listed as: Cacumisporium scopulae	Cacumisporium scopulae	Incertae sedis	DTOL		
[Arthropsis] microsperma	1341169	Listed as: Arthropsis microsperma	Arthropsis microsperma	Incertae sedis	DTOL		
Nectria balsamea	1027816	Listed as: Thyronectria balsamea	Thyronectria balsamea	Incertae sedis	DTOL		
Neospermospora avenae	2081332	Listed as: Spermospora avenae	Spermospora avenae	Incertae sedis	DTOL		
Diachea leucopodia	385471	Listed as: Diachea leucopoda	Diachea leucopoda	Incertae sedis	DTOL		
[Epicladonia] simplex	2029775	Listed as: Epicladonia simplex	Epicladonia simplex	Incertae sedis	DTOL		
Pseudosperma rimosum	217425	Listed as: Inocybe rimosa	Inocybe rimosa	Inocybaceae	DTOL		
Opegrapha prosodea	glOpePros	Listed as: Zwackhia prosodea	Zwackhia prosodea	Lecanographaceae	DTOL		
Myriolecis dispersa	39935	Listed as: Lecanora dispersa	Lecanora dispersa	Lecanoraceae	DTOL		
Lentamyces parricida	327271	Listed as: Lentamyces parricidus	Lentamyces parricidus	Lentamycetaceae	DTOL	DTOL	DTOL
Setoseptoria arundinacea	398331	Listed as: Lentithecium arundinaceum	Lentithecium arundinaceum	Lentitheciaceae	DTOL	DTOL	DTOL
Leprocaulon quisquiliare	1340012	Listed as: Leprocaulon microscopicum	Leprocaulon microscopicum	Leprocaulaceae	DTOL		
Synalissa ramulosa	glSynRamu	Listed as: Synalissa symphorea	Synalissa symphorea	Lichinaceae	DTOL		
Lipomyces lipofer	36043	Listed as: Waltomyces lipofer	Waltomyces lipofer	Lipomycetaceae	DTOL		
Ricasolia amplissima	209564	Listed as: Lobaria amplissima	Lobaria amplissima	Lobariaceae	DTOL		
Marthamyces phacidioides	gyMarPhac	Listed as: Propolis phacidioides	Propolis phacidioides	Marthamycetaceae	DTOL	DTOL	DTOL
Leptogidium dendriscum	1166704	Listed as: Polychidium dendriscum	Polychidium dendriscum	Massalongiaceae	DTOL		
Massaria anomia	703492	Listed as: Aglaospora profusa	Aglaospora profusa	Massariaceae	DTOL		
Periconia igniaria	398332	Listed as: Massarina igniaria	Massarina igniaria	Massarinaceae	DTOL		
Neovaginatispora fuckelii	2153274	Listed as: Vaginatispora fuckelii	Vaginatispora fuckelii	Massarinaceae	DTOL		
Stegonsporium pyriforme	1490971	Listed as: Prosthecium pyriforme	Prosthecium pyriforme	Melanconidaceae	DTOL		
Nigrograna fuscidula	1936018	Listed as: Melanomma fuscidulum	Melanomma fuscidulum	Melanommataceae	DTOL		
Stictographa lentiginosa	1619914	Listed as: Melaspilea lentiginosa	Melaspilea lentiginosa	Melaspileaceae	DTOL	DTOL	DTOL
Scedosporium boydii	5597	Listed as: Pseudallescheria boydii	Pseudallescheria boydii	Microascaceae	DTOL		
Pseudomicrostroma juglandis	5033	Listed as: Microstroma juglandis	Microstroma juglandis	Microstromataceae	DTOL		
Mollisia fusca	186294	Listed as: Tapesia fusca	Tapesia fusca	Mollisiaceae	DTOL		
Linnemannia elongata	310910	Listed as: Mortierella elongata	Mortierella elongata	Mortierellaceae	DTOL		
Linnemannia gamsii	64522	Listed as: Mortierella gamsii	Mortierella gamsii	Mortierellaceae	DTOL	DTOL	DTOL
Podila humilis	64523	Listed as: Mortierella humilis	Mortierella humilis	Mortierellaceae	DTOL		
Entomortierella parvispora	205924	Listed as: Mortierella parvispora	Mortierella parvispora	Mortierellaceae	DTOL	DTOL	DTOL
Cladosporium herbarum	29918	Listed as: Mycosphaerella tassiana	Mycosphaerella tassiana	Mycosphaerellaceae	DTOL		
Fusarium avenaceum	40199	Listed as: Gibberella avenacea	Gibberella avenacea	Nectriaceae	DTOL		
Tympanopsis confertula	714525	Listed as: Nitschkia confertula	Nitschkia confertula	Nitschkiaceae	DTOL		
Nitschkia grevillei	252172	Listed as: Nitschkia grevillii	Nitschkia grevillii	Nitschkiaceae	DTOL	DTOL	DTOL
Xerotrema megalospora	glXerMega	Listed as: Xerotrema megalosporum	Xerotrema megalosporum	Odontotremataceae	DTOL	DTOL	DTOL
Olpidium brassicae	70189	Listed as: Olpidiaster brassicae	Olpidiaster brassicae	Olpidiaceae	DTOL		
Myceliophthora lutea	1126944	Listed as: Chrysosporium luteum	Chrysosporium luteum	Onygenaceae	DTOL		
Malbranchea cinnamomea	5041	Listed as: Malbranchea sulfurea	Malbranchea sulfurea	Onygenaceae	DTOL		
Paraisaria gracilis	2651840	Listed as: Ophiocordyceps gracilis	Ophiocordyceps gracilis	Ophiocordycipitaceae	DTOL	DTOL	DTOL
Orbilia carpoboloides	1796056	Listed as: Habrostictis rubra	Habrostictis rubra	Orbiliaceae	DTOL		
Rigidoporus corticola	2056301	Listed as: Oxyporus corticola	Oxyporus corticola	Oxyporaceae	DTOL		
Emmia latemarginata	1931354	Listed as: Oxyporus latemarginatus	Oxyporus latemarginatus	Oxyporaceae	DTOL	DTOL	DTOL
Rigidoporus obducens	2056307	Listed as: Oxyporus obducens	Oxyporus obducens	Oxyporaceae	DTOL	DTOL	DTOL
Parmeliella triptophylla	191114	Listed as: Parmeliella thriptophylla	Parmeliella thriptophylla	Pannariaceae	DTOL		
Plasmopara nivea	369779	Listed as: Plasmopara crustosa	Plasmopara crustosa	Peronosporaceae	DTOL		
Lepra amara	1986327	Listed as: Pertusaria amara	Pertusaria amara	Pertusariaceae	DTOL	DTOL	DTOL
Peziza varia	90806	Listed as: Peziza micropus	Peziza micropus	Pezizaceae	DTOL		
Paragalactinia succosa	2806344	Listed as: Peziza succosa	Peziza succosa	Pezizaceae	DTOL		
Hymenoscyphus herbarum	253104	Listed as: Calycina herbarum	Calycina herbarum	Pezizellaceae	DTOL		
Pezizella chrysostigma	1033655	Listed as: Psilachnum chrysostigmum	Psilachnum chrysostigmum	Pezizellaceae	DTOL	DTOL	DTOL
Phacidium lauri	1659228	Listed as: Ceuthospora lauri	Ceuthospora lauri	Phacidiaceae	DTOL		
Lichenothelia rugosa	1385573	Listed as: Lichenostigma rugosum	Lichenostigma rugosum	Phaeococcomycetaceae	DTOL	DTOL	DTOL
Sphaerellopsis filum	278952	Listed as: Eudarluca caricis	Eudarluca caricis	Phaeosphaeriaceae	DTOL	DTOL	DTOL
Parastagonospora nodorum	13684	Listed as: Phaeosphaeria nodorum	Phaeosphaeria nodorum	Phaeosphaeriaceae	DTOL		
Saccosoma farinaceum	2650717	Listed as: Helicogloea farinacea	Helicogloea farinacea	Phleogenaceae	DTOL		
Bourdotigloea vestita	203527	Listed as: Helicogloea vestita	Helicogloea vestita	Phleogenaceae	DTOL		
Mucidula mucida	139077	Listed as: Oudemansiella mucida	Oudemansiella mucida	Physalacriaceae	DTOL	DTOL	DTOL
Hymenopellis radicata	937743	Listed as: Xerula radicata	Xerula radicata	Physalacriaceae	DTOL		
Sorosphaerula veronicae	167538	Listed as: Sorosphaera veronicae	Sorosphaera veronicae	Plasmodiophoridae	DTOL		
Gibellulopsis nigrescens	796325	Listed as: Verticillium nigrescens	Verticillium nigrescens	Plectosphaerellaceae	DTOL		
Stemphylium gracilariae	91368	Listed as: Pleospora herbarum	Pleospora herbarum	Pleosporaceae	DTOL	DTOL	DTOL
Alternaria infectoria	45303	Listed as: Lewia infectoria	Lewia infectoria	Pleosporaceae	DTOL		
