species	taxid	comment	synonym	family	long_list	other_priority	family_representative
Delitschia trichodelitschioides				Delitschiaceae	DTOL	DTOL	DTOL
Delitschia winteri				Delitschiaceae	DTOL		
Pezicula cinnamomea				Dermateaceae	DTOL		
Pezicula livida				Dermateaceae	DTOL		
Pezicula rubi				Dermateaceae	DTOL		
Coleophoma crateriformis				Dermateaceae	DTOL		
Coleophoma rhododendri				Dermateaceae	DTOL		
Coleophoma fusiformis				Dermateaceae	DTOL		
Coleophoma laurocerasi				Dermateaceae	DTOL		
Coleophoma taxi				Dermateaceae	DTOL		
Coleophoma prunicola				Dermateaceae	DTOL	DTOL	DTOL
Coleophoma cylindrospora				Dermateaceae	DTOL	DTOL	DTOL
Comoclathris typhicola				Diademaceae	DTOL	DTOL	DTOL
Graphyllium pentamerum				Diademaceae	DTOL	DTOL	DTOL
Dictydiaethalium plumbeum				Dianematidae	DTOL		
Calomyxa metallica				Dianematidae	DTOL		
Dianema corticatum				Dianematidae	DTOL		
Dianema depressum				Dianematidae	DTOL	DTOL	DTOL
Prototrichia metallica				Dianematidae	DTOL	DTOL	DTOL
Diaporthe eres				Diaporthaceae	DTOL	DTOL	DTOL
Diaporthe arctii				Diaporthaceae	DTOL		
Diaporthe pardalota				Diaporthaceae	DTOL		
Diaporthe samaricola				Diaporthaceae	DTOL		
Diaporthe strumella				Diaporthaceae	DTOL		
Diatrype disciformis				Diatrypaceae	DTOL	DTOL	DTOL
Diatrype stigma				Diatrypaceae	DTOL		
Diatrypella favacea				Diatrypaceae	DTOL		
Diatrypella quercina				Diatrypaceae	DTOL		
Eutypa maura				Diatrypaceae	DTOL		
Dictyosporium elegans				Dictyosporiaceae	DTOL	DTOL	DTOL
Dictyosporium foliicola				Dictyosporiaceae	DTOL		
Dictyosporium pelagicum				Dictyosporiaceae	DTOL		
Dictyosporium toruloides				Dictyosporiaceae	DTOL		
Pseudodictyosporium wauense				Dictyosporiaceae	DTOL		
Dictyostelium mucoroides				Dictyosteliaceae	DTOL	DTOL	DTOL
Dictyostelium discoideum				Dictyosteliaceae	DTOL		
Dictyostelium rosarium				Dictyosteliaceae	DTOL		
Ascochyta mercurialis				Didymellaceae	DTOL		
Boeremia hedericola				Didymellaceae	DTOL		
Epicoccum nigrum				Didymellaceae	DTOL		
Phoma herbarum				Didymellaceae	DTOL	DTOL	DTOL
Didymium clavus				Didymiidae	DTOL	DTOL	DTOL
Didymium difforme				Didymiidae	DTOL	DTOL	DTOL
Didymium melanospermum				Didymiidae	DTOL		
Didymium squamulosum				Didymiidae	DTOL		
Mucilago crustacea				Didymiidae	DTOL		
Didymosphaeria conoidea				Didymosphaeriaceae	DTOL		
Didymosphaeria futilis				Didymosphaeriaceae	DTOL		
Didymosphaeria minuta				Didymosphaeriaceae	DTOL		
Didymosphaeria oblitescens				Didymosphaeriaceae	DTOL		
Pseudopithomyces chartarum				Didymosphaeriaceae	DTOL		
Kalmusia clivensis				Didymosphaeriaceae	DTOL		
Montagnula perforans				Didymosphaeriaceae	DTOL		
Paraconiothyrium fuckelii				Didymosphaeriaceae	DTOL	DTOL	DTOL
Paraphaeosphaeria michotii				Didymosphaeriaceae	DTOL	DTOL	DTOL
Dimargaris verticillata				Dimargaritaceae	DTOL	DTOL	DTOL
Dispira cornuta				Dimargaritaceae	DTOL	DTOL	DTOL
Astraeus hygrometricus				Diplocystidiaceae	DTOL	DTOL	DTOL
Dipodascus macrosporus				Dipodascaceae	DTOL		
Geotrichum candidum				Dipodascaceae	DTOL		
Yarrowia lipolytica				Dipodascaceae	DTOL		
Gyromitra ancilis				Discinaceae	DTOL	DTOL	DTOL
Gyromitra esculenta				Discinaceae	DTOL	DTOL	DTOL
Gyromitra infula				Discinaceae	DTOL		
Hydnotrya michaelis				Discinaceae	DTOL		
Hydnotrya tulasnei				Discinaceae	DTOL		
Articulospora antipodes				Discinellaceae	DTOL		
Lemonniera aquatica				Discinellaceae	DTOL	DTOL	DTOL
Lemonniera terrestris				Discinellaceae	DTOL		
Naevala perexigua				Discinellaceae	DTOL		
Tetrachaetum elegans				Discinellaceae	DTOL	DTOL	DTOL
Varicosporium delicatum				Discinellaceae	DTOL		
Varicosporium elodeae				Discinellaceae	DTOL		
Varicosporium giganteum				Discinellaceae	DTOL		
Discosia artocreas				Discosiaceae	DTOL	DTOL	DTOL
Discosia julia				Discosiaceae	DTOL		
Discosia pleurochaeta				Discosiaceae	DTOL		
Discosia strobilina				Discosiaceae	DTOL		
Discosia vagans				Discosiaceae	DTOL		
Doassansia alismatis				Doassansiaceae	DTOL	DTOL	DTOL
Doassansia limosellae				Doassansiaceae	DTOL		
Doassansia sagittariae				Doassansiaceae	DTOL		
Nannfeldtiomyces sparganii				Doassansiaceae	DTOL		
Tracya hydrocharidis				Doassansiaceae	DTOL		
Doassansiopsis hydrophila				Doassansiopsidaceae	DTOL	DTOL	DTOL
Dothidea sambuci				Dothideaceae	DTOL	DTOL	DTOL
Scirrhia agrostidis				Dothideaceae	DTOL		
Scirrhia aspidiorum				Dothideaceae	DTOL		
Scirrhia rimosa				Dothideaceae	DTOL		
Stylodothis puccinioides				Dothideaceae	DTOL		
Dothidotthia celtidis				Dothidotthiaceae	DTOL	DTOL	DTOL
Dothidotthia ramulicola				Dothidotthiaceae	DTOL	DTOL	DTOL
Dothiora ribesia				Dothioraceae	DTOL		
Dothiora taxicola				Dothioraceae	DTOL	DTOL	DTOL
Kabatia periclymeni				Dothioraceae	DTOL		
Kabatina juniperi				Dothioraceae	DTOL		
Sydowia polyspora				Dothioraceae	DTOL	DTOL	DTOL
Diplocarpon earlianum				Drepanopezizaceae	DTOL	DTOL	DTOL
Diplocarpon rosae				Drepanopezizaceae	DTOL		
Leptotrochila ranunculi				Drepanopezizaceae	DTOL		
Leptotrochila verrucosa				Drepanopezizaceae	DTOL		
Spilopodia melanogramma				Drepanopezizaceae	DTOL		
Pseudopeziza medicaginis				Drepanopezizaceae	DTOL	DTOL	DTOL
Pseudopeziza trifolii				Drepanopezizaceae	DTOL		
Amylostereum areolatum				Echinodontiaceae	DTOL		
Amylostereum chailletii				Echinodontiaceae	DTOL	DTOL	DTOL
Amylostereum laevigatum				Echinodontiaceae	DTOL	DTOL	DTOL
Echinostelium minutum				Echinostelidae	DTOL	DTOL	DTOL
Echinostelium brooksii				Echinostelidae	DTOL		
Echinostelium colliculosum				Echinostelidae	DTOL		
Echinostelium corynophorum				Echinostelidae	DTOL		
Echinostelium fragile				Echinostelidae	DTOL		
Elaphomyces aculeatus				Elaphomycetaceae	DTOL	DTOL	DTOL
Elaphomyces anthracinus				Elaphomycetaceae	DTOL		
Elaphomyces asperulus				Elaphomycetaceae	DTOL	DTOL	DTOL
Elaphomyces granulatus				Elaphomycetaceae	DTOL		
Elaphomyces muricatus				Elaphomycetaceae	DTOL		
Elixia flexella				Elixiaceae	DTOL	DTOL	DTOL
Elsinoe quercus-ilicis				Elsinoaceae	DTOL		
Elsinoe rosarum				Elsinoaceae	DTOL		
Elsinoe veneta				Elsinoaceae	DTOL	DTOL	DTOL
Canteria apophysata				Endochytriaceae	DTOL		
Diplophlyctis buttermerensis				Endochytriaceae	DTOL	DTOL	DTOL
Diplophlyctis chitinophila				Endochytriaceae	DTOL	DTOL	DTOL
Diplophlyctis sarcoptoides				Endochytriaceae	DTOL		
Nephrochytrium aurantium				Endochytriaceae	DTOL		
Endogone pisiformis				Endogonaceae	DTOL	DTOL	DTOL
Endomyces coprophilus				Endomycetaceae	DTOL	DTOL	DTOL
Schiffnerula corni				Englerulaceae	DTOL	DTOL	DTOL
Schiffnerula pulchra				Englerulaceae	DTOL	DTOL	DTOL
Clitopilus prunulus				Entolomataceae	DTOL	DTOL	DTOL
Entoloma conferendum				Entolomataceae	DTOL	DTOL	DTOL
Entoloma rhodopolium				Entolomataceae	DTOL		
Entoloma sericellum				Entolomataceae	DTOL		
Entoloma sericeum				Entolomataceae	DTOL		
Entomophthora muscae				Entomophthoraceae	DTOL	DTOL	DTOL
Entomophthora planchoniana				Entomophthoraceae	DTOL		
Erynia rhizospora				Entomophthoraceae	DTOL		
Pandora dipterigena				Entomophthoraceae	DTOL		
Zoophthora aphidis				Entomophthoraceae	DTOL		
Entorrhiza aschersoniana				Entorrhizaceae	DTOL	DTOL	DTOL
Entorrhiza scirpicola				Entorrhizaceae	DTOL	DTOL	DTOL
Entyloma microsporum				Entylomataceae	DTOL	DTOL	DTOL
Entyloma bellidis				Entylomataceae	DTOL		
Entyloma ficariae				Entylomataceae	DTOL		
Entyloma helosciadii				Entylomataceae	DTOL		
Entyloma ranunculi-repentis				Entylomataceae	DTOL		
Tilletiopsis washingtonensis				Entylomataceae	DTOL		
Eocronartium muscicola				Eocronartiaceae	DTOL	DTOL	DTOL
Herpobasidium filicinum				Eocronartiaceae	DTOL	DTOL	DTOL
Epibryon plagiochilae				Epibryaceae	DTOL	DTOL	DTOL
Epibryon bryophilum				Epibryaceae	DTOL		
Epibryon diaphanum				Epibryaceae	DTOL	DTOL	DTOL
Epibryon interlamellare				Epibryaceae	DTOL		
Epibryon pogonati-urnigeri				Epibryaceae	DTOL	DTOL	DTOL
Epigloea grummannii				Epigloeaceae	DTOL	DTOL	DTOL
Epigloea medioincrassata				Epigloeaceae	DTOL	DTOL	DTOL
Epigloea soleiformis				Epigloeaceae	DTOL		
Epigloea urosperma				Epigloeaceae	DTOL		
Eremascus albus				Eremascaceae	DTOL	DTOL	DTOL
Arthrographis sulphurea				Eremomycetaceae	DTOL	DTOL	DTOL
Erysiphe alphitoides				Erysiphaceae	DTOL	DTOL	DTOL
Erysiphe heraclei				Erysiphaceae	DTOL		
Golovinomyces cichoracearum				Erysiphaceae	DTOL		
Neoerysiphe galeopsidis				Erysiphaceae	DTOL	DTOL	DTOL
Sawadaea bicornis				Erysiphaceae	DTOL		
Antennatula pinophila				Euantennariaceae	DTOL	DTOL	DTOL
Hormisciella atra				Euantennariaceae	DTOL	DTOL	DTOL
Strigopodia resinae				Euantennariaceae	DTOL		
Euzodiomyces lathrobii				Euceratomycetaceae	DTOL	DTOL	DTOL
Exobasidium vaccinii				Exobasidiaceae	DTOL	DTOL	DTOL
Exobasidium japonicum				Exobasidiaceae	DTOL		
Exobasidium karstenii				Exobasidiaceae	DTOL		
Exobasidium myrtilli				Exobasidiaceae	DTOL		
Exobasidium rostrupii				Exobasidiaceae	DTOL		
Fenestella bipapillata				Fenestellaceae	DTOL	DTOL	DTOL
Fenestella fenestrata				Fenestellaceae	DTOL		
Fenestella salicis				Fenestellaceae	DTOL		
Fenestella vestita				Fenestellaceae	DTOL		
Lojkania decorticata				Fenestellaceae	DTOL	DTOL	DTOL
Filobasidium uniguttulatum				Filobasidiaceae	DTOL		
Heterocephalacria bachmannii				Filobasidiaceae	DTOL		
Heterocephalacria physciacearum				Filobasidiaceae	DTOL		
Syzygospora mycophaga				Filobasidiaceae	DTOL		
Syzygospora pallida				Filobasidiaceae	DTOL	DTOL	DTOL
Syzygospora tumefaciens				Filobasidiaceae	DTOL		
Antherospora hortensis				Floromycetaceae	DTOL		
Antherospora scillae				Floromycetaceae	DTOL		
Antherospora tractemae				Floromycetaceae	DTOL	DTOL	DTOL
Antherospora vaillantii				Floromycetaceae	DTOL	DTOL	DTOL
Daedalea quercina				Fomitopsidaceae	DTOL	DTOL	DTOL
Fuscidea kochiana				Fuscideaceae	DTOL		
Fuscidea lightfootii				Fuscideaceae	DTOL		
Fuscidea lygaea				Fuscideaceae	DTOL	DTOL	DTOL
Fuscidea mollis				Fuscideaceae	DTOL	DTOL	DTOL
Fuscidea praeruptorum				Fuscideaceae	DTOL		
Gastrosporium simplex				Gastrosporiaceae	DTOL	DTOL	DTOL
Geastrum fimbriatum				Geastraceae	DTOL		
Geastrum rufescens				Geastraceae	DTOL		
Geastrum striatum				Geastraceae	DTOL	DTOL	DTOL
Geastrum triplex				Geastraceae	DTOL	DTOL	DTOL
Sphaerobolus stellatus				Geastraceae	DTOL		
Ascocoryne cylichnium				Gelatinodiscaceae	DTOL	DTOL	DTOL
Ascocoryne sarcoides				Gelatinodiscaceae	DTOL	DTOL	DTOL
Ascotremella faginea				Gelatinodiscaceae	DTOL		
Neobulgaria lilacina				Gelatinodiscaceae	DTOL		
Neobulgaria pura				Gelatinodiscaceae	DTOL		
Geoglossum cookeanum				Geoglossaceae	DTOL	DTOL	DTOL
Geoglossum fallax				Geoglossaceae	DTOL	DTOL	DTOL
Geoglossum umbratile				Geoglossaceae	DTOL		
Glutinoglossum glutinosum				Geoglossaceae	DTOL		
Trichoglossum hirsutum				Geoglossaceae	DTOL		
Jamesdicksonia dactylidis				Georgefischeriaceae	DTOL	DTOL	DTOL
Jamesdicksonia irregularis				Georgefischeriaceae	DTOL	DTOL	DTOL
Gloeophyllum sepiarium				Gloeophyllaceae	DTOL	DTOL	DTOL
Gloeophyllum abietinum				Gloeophyllaceae	DTOL		
Gloeophyllum odoratum				Gloeophyllaceae	DTOL		
Gloeophyllum trabeum				Gloeophyllaceae	DTOL		
Veluticeps abietina				Gloeophyllaceae	DTOL		
Glomus macrocarpum				Glomeraceae	DTOL	DTOL	DTOL
Glomus fuegianum				Glomeraceae	DTOL		
Glomus microcarpum				Glomeraceae	DTOL		
Rhizophagus fasciculatus				Glomeraceae	DTOL		
Colletotrichum coccodes				Glomerellaceae	DTOL		
Colletotrichum dematium				Glomerellaceae	DTOL		
Colletotrichum liliacearum				Glomerellaceae	DTOL		
Colletotrichum trichellum				Glomerellaceae	DTOL		
Thecaphora lathyri				Glomosporiaceae	DTOL	DTOL	DTOL
Thecaphora seminis-convolvuli				Glomosporiaceae	DTOL		
Thecaphora trailii				Glomosporiaceae	DTOL	DTOL	DTOL
Thecaphora ulicis				Glomosporiaceae	DTOL		
Cenococcum geophilum				Gloniaceae	DTOL	DTOL	DTOL
Cenococcum graniforme				Gloniaceae	DTOL		
Glonium graphicum				Gloniaceae	DTOL		
Glonium lineare				Gloniaceae	DTOL	DTOL	DTOL
Glonium nitidum				Gloniaceae	DTOL		
Apiognomonia errabunda				Gnomoniaceae	DTOL	DTOL	DTOL
Cryptosporella suffusa				Gnomoniaceae	DTOL	DTOL	DTOL
Gnomonia cerastis				Gnomoniaceae	DTOL		
Ophiognomonia setacea				Gnomoniaceae	DTOL		
Plagiostoma salicellum				Gnomoniaceae	DTOL		
Godronia callunigena				Godroniaceae	DTOL		
Godronia cassandrae				Godroniaceae	DTOL		
Godronia ribis				Godroniaceae	DTOL		
Gremmeniella abietina				Godroniaceae	DTOL		
Topospora obturata				Godroniaceae	DTOL	DTOL	DTOL
Ramaria botrytis				Gomphaceae	DTOL		
Ramaria formosa				Gomphaceae	DTOL		
Ramaria stricta				Gomphaceae	DTOL	DTOL	DTOL
Ramaria decurrens				Gomphaceae	DTOL	DTOL	DTOL
Gomphidius glutinosus				Gomphidiaceae	DTOL	DTOL	DTOL
Chroogomphus rutilus				Gomphidiaceae	DTOL		
Gomphidius maculatus				Gomphidiaceae	DTOL		
Gomphidius roseus				Gomphidiaceae	DTOL		
Gomphidius viscidus				Gomphidiaceae	DTOL		
Gyalidea lecideopsis				Gomphillaceae	DTOL	DTOL	DTOL
Gyalidea rivularis				Gomphillaceae	DTOL		
Gyalidea roseola				Gomphillaceae	DTOL	DTOL	DTOL
Gyalideopsis muscicola				Gomphillaceae	DTOL		
Jamesiella anastomosans				Gomphillaceae	DTOL		
Corticifraga fuckelii				Gomphillaceae	DTOL		
Corticifraga peltigerae				Gomphillaceae	DTOL		
Gonapodya polymorpha				Gonapodyaceae	DTOL	DTOL	DTOL
Monoblepharella taylorii				Gonapodyaceae	DTOL	DTOL	DTOL
Graphis scripta				Graphidaceae	DTOL	DTOL	DTOL
Urceolaria tenuicorticata				Graphidaceae	DTOL		
Urceolaria scotica				Graphidaceae	DTOL		
Diploschistes scruposus				Graphidaceae	DTOL		
Graphis elegans				Graphidaceae	DTOL		
Phaeographis dendritica				Graphidaceae	DTOL		
Thelotrema lepadinum				Graphidaceae	DTOL		
Opegrapha vulgata				Graphidaceae	DTOL		
Graphiola phoenicis				Graphiolaceae	DTOL	DTOL	DTOL
Biscogniauxia anceps				Graphostromataceae	DTOL	DTOL	DTOL
Biscogniauxia marginata				Graphostromataceae	DTOL		
Biscogniauxia mediterranea				Graphostromataceae	DTOL		
Biscogniauxia nummularia				Graphostromataceae	DTOL	DTOL	DTOL
Nummularia gigas				Graphostromataceae	DTOL		
Grifola frondosa				Grifolaceae	DTOL	DTOL	DTOL
Pocheina rosea				Guttulinaceae	DTOL	DTOL	DTOL
Cryptolechia carneolutea				Gyalectaceae	DTOL		
Gyalecta truncigena				Gyalectaceae	DTOL	DTOL	DTOL
Pachyphiale carneola				Gyalectaceae	DTOL		
Gymnoascus reessii				Gymnoascaceae	DTOL	DTOL	DTOL
Arachniotus candidus				Gymnoascaceae	DTOL		
Arachniotus ruber				Gymnoascaceae	DTOL		
Gymnoascus californiensis				Gymnoascaceae	DTOL		
Gyroporus cyanescens				Gyroporaceae	DTOL	DTOL	DTOL
Gyroporus castaneus				Gyroporaceae	DTOL		
Haematomma sorediatum				Haematommataceae	DTOL	DTOL	DTOL
Ceriosporopsis halima				Halosphaeriaceae	DTOL		
Cirrenalia lignicola				Halosphaeriaceae	DTOL		
Clavatospora longibrachiata				Halosphaeriaceae	DTOL	DTOL	DTOL
Corollospora maritima				Halosphaeriaceae	DTOL	DTOL	DTOL
Remispora hamata				Halosphaeriaceae	DTOL		
Hamatocanthoscypha laricionis				Hamatocanthoscyphaceae	DTOL	DTOL	DTOL
Ciliolarina laricina				Hamatocanthoscyphaceae	DTOL		
Microscypha cejpii				Hamatocanthoscyphaceae	DTOL		
Microscypha grisella				Hamatocanthoscyphaceae	DTOL		
Haptoglossa dickii				Haptoglossaceae	DTOL	DTOL	DTOL
Haptoglossa erumpens				Haptoglossaceae	DTOL	DTOL	DTOL
Harknessia eucalypti				Harknessiaceae	DTOL	DTOL	DTOL
Harknessia araucariae				Harknessiaceae	DTOL		
Harknessia arctostaphyli				Harknessiaceae	DTOL		
Harpella melusinae				Harpellaceae	DTOL	DTOL	DTOL
Harpellomyces eccentricus				Harpellaceae	DTOL	DTOL	DTOL
Harpochytrium hedenii				Harpochytriaceae	DTOL	DTOL	DTOL
Helicobasidium purpureum				Helicobasidiaceae	DTOL	DTOL	DTOL
Helicobasidium longisporum				Helicobasidiaceae	DTOL		
Tuberculina maxima				Helicobasidiaceae	DTOL		
Tuberculina persicina				Helicobasidiaceae	DTOL		
Tuberculina sbrozzii				Helicobasidiaceae	DTOL		
Helicocephalum sarcophilum				Helicocephalidaceae	DTOL	DTOL	DTOL
Rhopalomyces candidus				Helicocephalidaceae	DTOL		
Rhopalomyces magnus				Helicocephalidaceae	DTOL		
Eleutheromyces subulatus				Helicogoniaceae	DTOL		
Geltingia associata				Helicogoniaceae	DTOL		
Helicogonium mollisiophilum				Helicogoniaceae	DTOL	DTOL	DTOL
Helicogonium orbiliarum				Helicogoniaceae	DTOL	DTOL	DTOL
Helicogonium vogesiacum				Helicogoniaceae	DTOL		
Helminthosphaeria clavariarum				Helminthosphaeriaceae	DTOL	DTOL	DTOL
Echinosphaeria canescens				Helminthosphaeriaceae	DTOL		
Echinosphaeria strigosa				Helminthosphaeriaceae	DTOL		
Endophragmiella boothii				Helminthosphaeriaceae	DTOL		
Helminthosphaeria corticiorum				Helminthosphaeriaceae	DTOL		
Hymenoscyphus fructigenus				Helotiaceae	DTOL		
Hymenoscyphus scutula				Helotiaceae	DTOL	DTOL	DTOL
Bisporella citrina				Helotiaceae	DTOL	DTOL	DTOL
Bisporella sulfurina				Helotiaceae	DTOL		
Helvella crispa				Helvellaceae	DTOL	DTOL	DTOL
Helvella elastica				Helvellaceae	DTOL		
Helvella lacunosa				Helvellaceae	DTOL		
Helvella macropus				Helvellaceae	DTOL	DTOL	DTOL
Hericium coralloides				Hericiaceae	DTOL	DTOL	DTOL
Dentipellis fragilis				Hericiaceae	DTOL		
Hericium cirrhatum				Hericiaceae	DTOL		
Hericium erinaceus				Hericiaceae	DTOL		
Laxitextum bicolor				Hericiaceae	DTOL		
Capronia pilosella				Herpotrichiellaceae	DTOL		
Capronia pulcherrima				Herpotrichiellaceae	DTOL		
Exophiala calicioides				Herpotrichiellaceae	DTOL		
Racodium rupestre				Herpotrichiellaceae	DTOL	DTOL	DTOL
Heterogastridium pycnidioideum				Heterogastridiaceae	DTOL	DTOL	DTOL
Krieglsteinera lasiosphaeriae				Heterogastridiaceae	DTOL		
Heterosphaeria patella				Heterosphaeriaceae	DTOL	DTOL	DTOL
Heterosphaeria linariae				Heterosphaeriaceae	DTOL		
Heterosphaeria nitella				Heterosphaeriaceae	DTOL		
Hyaloscypha hyalina				Hyaloscyphaceae	DTOL	DTOL	DTOL
Hyaloscypha leuconica				Hyaloscyphaceae	DTOL		
Amicodisca virella				Hyaloscyphaceae	DTOL		
Dematioscypha delicata				Hyaloscyphaceae	DTOL	DTOL	DTOL
Haplographium bicolor				Hyaloscyphaceae	DTOL		
Hyalopeziza ciliata				Hyaloscyphaceae	DTOL		
Hyalopeziza niveocincta				Hyaloscyphaceae	DTOL		
Unguiculella foliicola				Hyaloscyphaceae	DTOL		
Unguiculella hamulata				Hyaloscyphaceae	DTOL		
Unguiculella tityri				Hyaloscyphaceae	DTOL		
Hydnum repandum				Hydnaceae	DTOL	DTOL	DTOL
Cantharellus cibarius				Hydnaceae	DTOL		
Clavulina cinerea				Hydnaceae	DTOL		
Clavulina coralloides				Hydnaceae	DTOL		
Clavulina rugosa				Hydnaceae	DTOL		
Laccaria amethystina				Hydnangiaceae	DTOL		
Laccaria bicolor				Hydnangiaceae	DTOL		
Laccaria laccata				Hydnangiaceae	DTOL	DTOL	DTOL
Laccaria proxima				Hydnangiaceae	DTOL		
Laccaria tortilis				Hydnangiaceae	DTOL	DTOL	DTOL
Brevicellicium olivascens				Hydnodontaceae	DTOL		
Subulicystidium longisporum				Hydnodontaceae	DTOL		
Trechispora cohaerens				Hydnodontaceae	DTOL	DTOL	DTOL
Trechispora farinacea				Hydnodontaceae	DTOL		
Trechispora mollusca				Hydnodontaceae	DTOL	DTOL	DTOL
Hygrocybe conica				Hygrophoraceae	DTOL	DTOL	DTOL
Gliophorus psittacinus				Hygrophoraceae	DTOL		
Hygrocybe chlorophana				Hygrophoraceae	DTOL		
Hygrocybe pratensis				Hygrophoraceae	DTOL		
Cuphophyllus flavipes				Hygrophoraceae	DTOL		
Cuphophyllus fornicatus				Hygrophoraceae	DTOL		
Hygrophoropsis aurantiaca				Hygrophoropsidaceae	DTOL	DTOL	DTOL
Hygrophoropsis fuscosquamula				Hygrophoropsidaceae	DTOL		
Hygrophoropsis macrospora				Hygrophoropsidaceae	DTOL		
Leucogyrophana mollusca				Hygrophoropsidaceae	DTOL		
Leucogyrophana sororia				Hygrophoropsidaceae	DTOL		
Hymenelia epulotica				Hymeneliaceae	DTOL		
Hymenelia heteromorpha				Hymeneliaceae	DTOL	DTOL	DTOL
Ionaspis lacustris				Hymeneliaceae	DTOL	DTOL	DTOL
Ionaspis odora				Hymeneliaceae	DTOL		
Tremolecia atrata				Hymeneliaceae	DTOL		
Hymenochaete rubiginosa				Hymenochaetaceae	DTOL	DTOL	DTOL
Fuscoporia ferrea				Hymenochaetaceae	DTOL		
Fuscoporia ferruginosa				Hymenochaetaceae	DTOL		
Inonotus hispidus				Hymenochaetaceae	DTOL		
Mensularia radiata				Hymenochaetaceae	DTOL		
Phellinus igniarius				Hymenochaetaceae	DTOL		
Gymnopilus junonius				Hymenogastraceae	DTOL	DTOL	DTOL
Gymnopilus penetrans				Hymenogastraceae	DTOL		
Hebeloma crustuliniforme				Hymenogastraceae	DTOL		
Hebeloma mesophaeum				Hymenogastraceae	DTOL		
Psilocybe semilanceata				Hymenogastraceae	DTOL		
Gymnopilus dilepis				Hymenogastraceae	DTOL	DTOL	DTOL
Hyphochytrium catenoides				Hyphochytriaceae	DTOL	DTOL	DTOL
Venturiocistella diversipila				Hyphodiscaceae	DTOL	DTOL	DTOL
Venturiocistella heterotricha				Hyphodiscaceae	DTOL	DTOL	DTOL
Hypomyces aurantius				Hypocreaceae	DTOL		
Hypomyces chrysospermus				Hypocreaceae	DTOL	DTOL	DTOL
Hypomyces rosellus				Hypocreaceae	DTOL	DTOL	DTOL
Trichoderma pulvinatum				Hypocreaceae	DTOL		
Hyponectria buxi				Hyponectriaceae	DTOL	DTOL	DTOL
Exarmidium inclusum				Hyponectriaceae	DTOL		
Hyponectria cookeana				Hyponectriaceae	DTOL		
Physalospora alpestris				Hyponectriaceae	DTOL		
Physalospora scirpi				Hyponectriaceae	DTOL		
Annulohypoxylon multiforme				Hypoxylaceae	DTOL		
Daldinia concentrica				Hypoxylaceae	DTOL	DTOL	DTOL
Hypoxylon fragiforme				Hypoxylaceae	DTOL	DTOL	DTOL
Hypoxylon fuscum				Hypoxylaceae	DTOL		
Hypoxylon rubiginosum				Hypoxylaceae	DTOL		
Hysterangium clathroides				Hysterangiaceae	DTOL	DTOL	DTOL
Hysterangium coriaceum				Hysterangiaceae	DTOL		
Hysterangium nephriticum				Hysterangiaceae	DTOL		
Hysterangium thwaitesii				Hysterangiaceae	DTOL		
Hysterium pulicare				Hysteriaceae	DTOL	DTOL	DTOL
Acrogenospora megalospora				Hysteriaceae	DTOL		
Gloniopsis praelonga				Hysteriaceae	DTOL		
Hysterium angustatum				Hysteriaceae	DTOL		
Dibaeis baeomyces				Icmadophilaceae	DTOL	DTOL	DTOL
Icmadophila ericetorum				Icmadophilaceae	DTOL		
Siphula ceratites				Icmadophilaceae	DTOL	DTOL	DTOL
Panaeolus acuminatus				Incertae sedis	DTOL		
Panaeolus fimicola				Incertae sedis	DTOL		
Panaeolus papilionaceus				Incertae sedis	DTOL		
Panaeolus semiovatus				Incertae sedis	DTOL		
Bactrospora corticola				Incertae sedis	DTOL		
Bactrospora homalotropa				Incertae sedis	DTOL		
Felipes leucopellaeus				Incertae sedis	DTOL		
Guepinia helvelloides				Incertae sedis	DTOL		
Pseudohydnum gelatinosum				Incertae sedis	DTOL		
Stypella dubia				Incertae sedis	DTOL		
Stypella subhyalina				Incertae sedis	DTOL		
Mollisiopsis dennisii				Incertae sedis	DTOL		
Trichaptum abietinum				Incertae sedis	DTOL		
Trichaptum fuscoviolaceum				Incertae sedis	DTOL		
Calcarisporium arbuscula				Incertae sedis	DTOL		
Illosporiopsis christiansenii				Incertae sedis	DTOL		
Ilyonectria destructans				Incertae sedis	DTOL		
Trichothecium roseum				Incertae sedis	DTOL		
Bachmanniomyces uncialicola				Incertae sedis	DTOL		
Bactridium flavum				Incertae sedis	DTOL		
Bispora antennata				Incertae sedis	DTOL		
Botryosporium pulchrum				Incertae sedis	DTOL		
Buelliella physciicola				Incertae sedis	DTOL		
Camarographium stephensii				Incertae sedis	DTOL		
Camposporium pellucidum				Incertae sedis	DTOL		
Catinella olivacea				Incertae sedis	DTOL		
Cercidospora cladoniicola				Incertae sedis	DTOL		
Cercidospora epipolytropa				Incertae sedis	DTOL		
Cercidospora macrospora				Incertae sedis	DTOL		
Cercidospora parva				Incertae sedis	DTOL		
Cercidospora punctillata				Incertae sedis	DTOL		
Cercidospora stereocaulorum				Incertae sedis	DTOL		
Cladoniicola staurospora				Incertae sedis	DTOL		
Cornutispora lichenicola				Incertae sedis	DTOL		
Cornutispora triangularis				Incertae sedis	DTOL		
Cryptocoryneum condensatum				Incertae sedis	DTOL		
Culicidospora aquatica				Incertae sedis	DTOL		
Cyrtidula hippocastani				Incertae sedis	DTOL		
Cyrtidula quercus				Incertae sedis	DTOL		
Dendrospora erecta				Incertae sedis	DTOL		
Dendrospora tenella				Incertae sedis	DTOL		
