taxon	est_size_mb	length_mb
2655036	547	563
934908	438	446
1100938	387	391
190337	268	279
596548	466	486
1458189	542	570
572840	425	471
753177	680	NA
1100976	496	504
190347	366	359
1100987	669	707
1100988	550	634
104503	710	717
328891	601	616
987955	944	NA
29057	470	497
1660671	771	NA
326947	358	368
934819	369	369
934957	321	NA
929971	370	379
1101149	512	525
1858066	466	469
572892	589	645
1002972	705	703
934902	302	325
1101070	654	681
1667454	377	577
1170485	193	178
88512	336	311
1190792	342	342
2777158	NA	1150
1553513	322	NA
934869	534	NA
2795674	589	NA
1391526	829	NA
1676147	595	NA
881727	457	NA
2795676	213	NA
1262239	421	NA
1667470	307	NA
1352472	789	NA
1045598	223	NA
988043	716	NA
494743	221	NA
495356	501	NA
346699	450	NA
1553234	407	NA
2776077	481	NA
1594449	309	333
1594449	438	NA
1002954	500	NA
1594324	275	308
1594324	278	310
1542598	373	NA
1858070	602	NA
347271	353	NA
199129	477	NA
1870251	748	767
1101044	782	792
237230	317	325
226158	656	764
433030	429	365
253475	509	459
76820	643	647
433179	106	190
433179	132	209
1870728	390	423
988009	565	629
1393966	NA	698
470272	255	356
2866285	171	193
295833	929	913
1660661	295	321
385270	947	1283
709496	44	47
1280453	406	500
877746	356	425
1660620	518	830
687316	433	494
1178141	561	888
60803	493	505
347334	947	1091
878372	138	160
1202164	393	453
420099	139	142
226154	856	865
1806719	432	480
2795682	463	508
2867260	371	361
1678817	207	217
1545128	NA	1016
1545365	804	863
446513	647	644
185833	311	457
934820	290	297
758708	403	471
1100902	606	622
1073575	540	549
997526	610	616
934931	348	353
1804828	652	698
572747	870	876
934814	423	427
2566568	895	946
934860	501	500
938192	472	484
2769477	394	419
987992	522	547
934885	557	575
988148	684	699
326962	327	345
689108	356	359
887762	609	625
362093	173	200
465457	358	341
67767	268	299
1045623	590	579
1124896	228	272
63136	14	30
2589382	755	812
55634	570	NA
880653	858	NA
1507109	184	NA
160511	147	NA
1545100	785	NA
192233	302	NA
21020	330	NA
1425550	473	NA
559664	884	NA
294607	582	NA
1822530	785	NA
1870422	924	NA
113168	437	NA
97200	781	NA
2922910	749	NA
878080	996	NA
323314	671	NA
997513	890	NA
1302610	949	NA
1918141	284	NA
346861	191	NA
392043	237	NA
346870	464	NA
1118048	863	NA
877726	578	NA
307046	326	NA
987860	472	NA
226138	491	716
2163046	903	NA
34253	81	NA
305608	446	NA
158538	349	NA
264192	632	NA
1101036	394	NA
1545368	897	NA
105913	442	NA
79772	359	NA
343672	974	NA
1553210	60	NA
2081491	38	NA
47247	733	NA
3652	671	NA
204401	115	NA
98504	499	NA
160936	0	NA
2794000	NA	676
1545377	531	NA
1594225	594	NA
988077	441	NA
1144650	463	NA
987033	473	NA
721166	605	NA
560898	944	NA
1799775	246	NA
7725	393	NA
4733	273	NA
874270	856	NA
584776	505	NA
2171618	627	NA
156283	490	NA
2746506	927	NA
387771	884	NA
327065	184	NA
220483	715	NA
1124539	659	NA
1871940	869	NA
52757	NA	1023
1545235	682	NA
1100960	415	NA
1594312	529	NA
116148	840	NA
1335492	415	NA
63592	266	NA
128161	NA	2136
1585357	471	NA
987901	659	NA
104470	447	NA
3107	910	NA
987420	935	NA
214030	498	NA
1594339	740	NA
753194	843	NA
226180	578	NA
599746	266	NA
226145	588	NA
405010	496	NA
132600	350	NA
3712	674	NA
1309588	505	NA
1191083	987	NA
475346	822	NA
154015	407	NA
337391	874	NA
81491	975	NA
479185	94	NA
2881928	973	NA
2867261	465	NA
878127	885	NA
1588409	814	NA
1101067	776	NA
2795672	889	NA
1825021	867	NA
988048	773	NA
1830392	639	NA
1806703	687	NA
987903	793	NA
295702	505	NA
29786	332	NA
1351858	543	NA
1155751	871	NA
1126395	651	NA
878349	522	NA
1436830	808	NA
1870097	666	NA
1101143	757	NA
873510	455	NA
34588	613	NA
2126142	578	NA
2724438	349	NA
758714	736	NA
484362	586	NA
295815	650	NA
226174	476	NA
1124549	750	NA
1511241	NA	1232
347710	482	NA
242269	856	NA
132697	534	NA
987999	492	NA
30200	433	321
62006	261	NA
13221	605	NA
3082	88	NA
1608261	810	NA
752065	386	NA
4606	137	NA
52153	164	NA
89686	189	NA
254778	552	NA
1553471	359	NA
107885	849	NA
110027	392	NA
65466	534	NA
559660	814	NA
446444	622	NA
249498	335	NA
111886	455	NA
986958	399	NA
2561279	564	NA
1660634	540	NA
572788	500	NA
934889	984	NA
1101050	832	NA
753423	408	NA
997289	354	NA
465493	394	NA
10212	255	NA
875924	429	NA
326965	527	NA
1281420	497	NA
722665	705	NA
2769	145	NA
280203	545	NA
442086	612	NA
312236	892	NA
65147	770	NA
189839	279	NA
247947	505	NA
347477	325	NA
1869417	551	NA
3116	245	NA
2801	329	NA
753213	319	NA
1507147	291	NA
13632	506	NA
107782	700	NA
1178152	708	NA
1100904	571	NA
2567737	621	NA
466568	593	NA
1594247	620	NA
585852	341	NA
309358	691	NA
152008	966	NA
63410	472	NA
143736	550	NA
240811	492	NA
27933	706	NA
227532	358	408
242262	480	934
292571	NA	1752
624169	532	472
214181	NA	1390
115357	454	739
938226	422	437
233164	547	478
753202	569	590
311328	493	432
721163	313	466
116126	825	871
9662	NA	2490
9662	NA	2503
