Species_name_Stace4,#BSBI_name,Family_number,Family,Vernacular,Distribution_number_hectads,Distribution_UK,Ploidy_inferred,"Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]",Frieda cytology notes,Annual_perennial,GS_1C_pg_min,GS_1C_pg_max,GS_counts,GB status,UoE_prioritisation,Earlham_prioritisation,RBGE_prioritization,York_prioritisation,UoCam comments,Kew priorities,RBGE,Kew living collection,Kew living collection status,MSB,Wytham,Other collection,Easy_availability_living_cols_or_ubiquitous,Species_name_Stace4,Family_number,Family,YEAR 1,YEAR 2,Notes,Buxton PRIORITY
Hymenophyllum tunbrigense,Hymenophyllum tunbrigense,7,Hymenophyllaceae,Tunbridge Filmy-fern,314,Common,,26,,,P,,,,native,,,,,,,,,,,,,Y,Hymenophyllum tunbrigense,7,Hymenophyllaceae,,1,,
Hymenophyllum wilsonii,Hymenophyllum wilsonii,7,Hymenophyllaceae,Wilson's Filmy-fern,No info,,,36,,,P,,,,native,,,,,,,Y,,,,,,Y,Hymenophyllum wilsonii,7,Hymenophyllaceae,,,,
Trichomanes speciosum,Trichomanes speciosum,7,Hymenophyllaceae,,12,Very rare,,144,,,P,10.73,10.73,1,native,,,,,,,Y,,,,,,Y,Trichomanes speciosum,7,Hymenophyllaceae,,1,,
Pilularia globulifera,Pilularia globulifera,8,Marsileaceae,Pillwort,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,,26,,,P,0.784897368,0.784897368,1,native,,,,,,,Y,,,,,,Y,Pilularia globulifera,8,Marsileaceae,1,,,
Azolla filiculoides,0,9,Salviniaceae,Water Fern,698,Common,,,"44, 66",,,,,,neophyte,,,,,,,,,,,,,Y,Azolla filiculoides,9,Salviniaceae,,1,,
Pteridium aquilinum,Pteridium aquilinum,11,Dennstaedtiaceae,Bracken,3663,Ubiquitous,,"104, 156",104,,P,6.849403124,6.849403124,1,native,,,,,,,Y,Y,Restricted by Agreement--,,Y,,Y,Pteridium aquilinum,11,Dennstaedtiaceae,1,,,
Adiantum capillus-veneris,Adiantum capillus-veneris,12,Pteridaceae,Maidenhair Fern,183,Infrequent,,60,,,P,,,,native,,,,,,,,,,,,,,Adiantum capillus-veneris,12,Pteridaceae,,1,,
Anogramma leptophylla,Anogramma leptophylla,12,Pteridaceae,Jersey Fern,3,Very rare,,58,,,A,,,,native,,,,,,,,,,,,,,Anogramma leptophylla,12,Pteridaceae,,1,,
Cryptogramma crispa,Cryptogramma crispa,12,Pteridaceae,Parsley Fern,499,Common,,120,,,P,10.09015257,10.09015257,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Cryptogramma crispa,12,Pteridaceae,,,,
Cystopteris alpina,Cystopteris alpina,13,Cystopteridaceae,Alpine Bladder-fern,#N/A,,,252,,,P,,,,native,,,,,,,,,,,,,,Cystopteris alpina,13,Cystopteridaceae,,,,
Cystopteris diaphana,Cystopteris diaphana,13,Cystopteridaceae,Diaphanous Bladder-fern,#N/A,,,252,,,P,,,,native,,,,,,,,,,,,,,Cystopteris diaphana,13,Cystopteridaceae,,,,
Cystopteris dickieana,Cystopteris dickieana,13,Cystopteridaceae,Dickie's Bladder-fern,#N/A,,,168,,,P,,,,native (inferred),,,,,,,Y,Y,Unrestricted--,,,,Y,Cystopteris dickieana,13,Cystopteridaceae,,,,
Cystopteris fragilis,Cystopteris fragilis,13,Cystopteridaceae,Brittle Bladder-fern,1336,Abundant,,"168, 252",,,P,6.539500768,6.539500768,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Spain;Unrestricted-Natural Source-Morocco;Unrestricted-Natural Source-Italy;Unrestricted-Natural Source-Sweden;Restricted by Agreement-Natural Source-Spain;Unrestricted-Natural Source-California,,,,Y,Cystopteris fragilis,13,Cystopteridaceae,,,,
Cystopteris montana,Cystopteris montana,13,Cystopteridaceae,Mountain Bladder-fern,22,Very rare,,"84, 168",,,P,,,,native,,,,,,,Y,,,,,,Y,Cystopteris montana,13,Cystopteridaceae,,1,,
Gymnocarpium dryopteris,Gymnocarpium dryopteris,13,Cystopteridaceae,Oak Fern,982,Abundant,,160,,,P,6.734411798,6.734411798,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Italy;Restricted by Agreement--;Unrestricted-Natural Source-Great Britain,,,,Y,Gymnocarpium dryopteris,13,Cystopteridaceae,,,,
