Species_name_Stace4,#BSBI_name,Family_number,Family,Vernacular,Distribution_number_hectads,Distribution_UK,Ploidy_inferred,"Chromosome_numbers","Chromosome_numbers (Stace index, counts made on non-BI material) [other sources]",Frieda cytology notes,Annual_perennial,GS_1C_pg_min,GS_1C_pg_max,GS_counts,GB status,UoE_prioritisation,Earlham_prioritisation,RBGE_prioritization,York_prioritisation,UoCam comments,Kew priorities,RBGE,Kew living collection,Kew living collection status,MSB,Wytham,Other collection,Easy_availability_living_cols_or_ubiquitous,Species_name_Stace4,Family_number,Family,YEAR 1,YEAR 2,Notes,Buxton PRIORITY
Alnus glutinosa,Alnus glutinosa,59,Betulaceae,Alder,3430,Ubiquitous,2,28,,,P,0.457819704,1.005,3,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Spain;Unrestricted--;Unrestricted-Natural Source-Turkey,FOR DISTRIBUTION-NV,Y,,Y,Alnus glutinosa,59,Betulaceae,1,,,
Alnus incana,0,59,Betulaceae,Grey Alder,814,Abundant,,,28,,,,,,neophyte,,,,,,,,Y,Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Washington,,,,Y,Alnus incana,59,Betulaceae,,,,
Betula nana,Betula nana,59,Betulaceae,Dwarf Birch,131,Infrequent,2,28,,,P,0.52,0.52,1,native,,,,,,We would like to supply the specimen for this,Y,Y,Restricted-Natural Source-Great Britain;Restricted by Agreement-Natural Source-Norway,FOR DISTRIBUTION-VV,,,Y,Betula nana,59,Betulaceae,,1,,
Betula pendula,Betula pendula,59,Betulaceae,Silver Birch,2788,Ubiquitous,2,28,,,P,0.406837288,0.406837288,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--Great Britain;Unrestricted-Natural Source-Austria;Unrestricted-Natural Source-Bulgaria;Unrestricted-Natural Source-Spain;Restricted by Agreement-Natural Source-Switzerland;Unrestricted--;Unrestricted-Natural Source-Sweden;Unrestricted-Natural Source-France;Restricted by Agreement--Finland;Unrestricted-Natural Source-Czechoslovakia;Restricted by Agreement-Natural Source-Norway;Unrestricted-Natural Source-Portugal;Unrestricted-Natural Source-Siberia;Unrestricted-Natural Source-Irkutsk;Unrestricted-Natural Source-Kazakhstan,FOR DISTRIBUTION-NV,Y,,Y,Betula pendula,59,Betulaceae,,,,
Betula pubescens,Betula pubescens,59,Betulaceae,Downy Birch,3213,Ubiquitous,4,56,,,P,0.841888024,0.841888024,1,native,,,,,,,Y,Y,Unrestricted--;Unrestricted-Natural Source-Italy;Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Iceland;Unrestricted-Natural Source-Switzerland;Unrestricted-Natural Source-Great Britain;Unrestricted-Natural Source-Finland;Restricted by Agreement--Norway;Unrestricted-Natural Source-Netherlands,FOR DISTRIBUTION-VV,Y,,Y,Betula pubescens,59,Betulaceae,,,,
Carpinus betulus,Carpinus betulus,59,Betulaceae,Hornbeam,1562,Abundant,,,"16,32,64",,P,1.03,1.785,3,native,,,,,,,,Y,Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Iran;Restricted--;Unrestricted-Natural Source-Turkey;Unrestricted--;Unrestricted-Natural Source-Gruziya,FOR DISTRIBUTION-VV,Y,,Y,Carpinus betulus,59,Betulaceae,,,,
Corylus avellana,Corylus avellana,59,Betulaceae,Hazel,3377,Ubiquitous,2,22,,,P,0.362723896,0.362723896,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Turkey;Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Corylus avellana,59,Betulaceae,,,,
Bryonia dioica,Bryonia dioica,60,Cucurbitaceae,White Bryony,#N/A,,2,20,,,P,1.6,2.822898497,2,native,,,,,,,,Y,Unrestricted-Natural Source-France,,Y,,Y,Bryonia dioica,60,Cucurbitaceae,1,,,
Euonymus europaeus,Euonymus europaeus,61,Celastraceae,Spindle,1828,Ubiquitous,2,32,,,P,0.94,0.94,1,native,,,,,,,,Y,Unrestricted-Natural Source-North Caucasus;Unrestricted-Natural Source-Turkey;Unrestricted-Natural Source-Greece;Unrestricted--;Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Euonymus europaeus,61,Celastraceae,1,,,
Parnassia palustris,Parnassia palustris,61,Celastraceae,Grass-of-Parnassus,1393,Abundant,"2, 4","18, 36",,,P,1.01409647,1.01409647,1,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Parnassia palustris,61,Celastraceae,1,,,
Oxalis acetosella,Oxalis acetosella,63,Oxalidaceae,Wood-sorrel,3193,Ubiquitous,2,22,,,P,2.457128073,2.457128073,1,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,Y,,Y,Oxalis acetosella,63,Oxalidaceae,1,,,
Hypericum androsaemum,Hypericum androsaemum,64,Hypericaceae,Tutsan,2205,Ubiquitous,4,40,,,P,1.085,1.085,1,native,,,,,,,,Y,Unrestricted-Natural Source-Spain;Unrestricted-Natural Source-Turkey;Unrestricted-Natural Source-France;Unrestricted-Natural Source-Iran;Unrestricted--,FOR DISTRIBUTION-NV,,,Y,Hypericum androsaemum,64,Hypericaceae,,,,
Hypericum elodes,Hypericum elodes,64,Hypericaceae,Marsh St John's-wort,847,Abundant,,"16, 32",,,P,0.64,0.64,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-VV,,,Y,Hypericum elodes,64,Hypericaceae,,,,
Hypericum hirsutum,Hypericum hirsutum,64,Hypericaceae,Hairy St John's-wort,1301,Abundant,2,18,,,P,0.15,0.356415532,2,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Hypericum hirsutum,64,Hypericaceae,,,,
Hypericum humifusum,Hypericum humifusum,64,Hypericaceae,Trailing St John's-wort,2180,Ubiquitous,2,16,,,P,0.343915468,0.343915468,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Hypericum humifusum,64,Hypericaceae,,,,
Hypericum linariifolium,Hypericum linariifolium,64,Hypericaceae,Toadflax-leaved St John's-wort,23,Very rare,2,16,,,P,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Hypericum linariifolium,64,Hypericaceae,,,,
Hypericum maculatum,Hypericum maculatum,64,Hypericaceae,Imperforate St John's-wort,1491,Abundant,,"16,32",,,P,0.34783549,0.34783549,1,native,,,,,,,,Y,Unrestricted-Natural Source-Austria;Unrestricted-Natural Source-Finland,MANAGEMENT DECISION-VV,Y,,Y,Hypericum maculatum,64,Hypericaceae,,,,
Hypericum montanum,Hypericum montanum,64,Hypericaceae,Pale St John's-wort,276,Common,,,16,,P,0.339871292,0.339871292,1,native,,,,,,,,,,MANAGEMENT DECISION-VV,,,Y,Hypericum montanum,64,Hypericaceae,,,,
Hypericum perforatum,Hypericum perforatum,64,Hypericaceae,Perforate St John's-wort,2321,Ubiquitous,4,32,,,P,0.690697919,0.690697919,1,native,,,,York-RCP British Medicinal Plant List Category 1,,,,Y,Restricted by Agreement-Natural Source-France;Unrestricted-Natural Source-Great Britain;Unrestricted--;Restricted by Agreement-Natural Source-Pakistan,FOR DISTRIBUTION-VV,Y,,Y,Hypericum perforatum,64,Hypericaceae,1,,,
Hypericum pulchrum,Hypericum pulchrum,64,Hypericaceae,Slender St John's-wort,3320,Ubiquitous,2,18,,,P,0.445,0.445,1,native,,,,,,,Y,Y,Restricted-Natural Source-New Zealand South,FOR DISTRIBUTION-VV,Y,,Y,Hypericum pulchrum,64,Hypericaceae,1,,,Y
Hypericum tetrapterum,Hypericum tetrapterum,64,Hypericaceae,Square-stalked St John's-wort,2968,Ubiquitous,2,16,,,P,0.374210072,0.374210072,1,native,,,,,,,,Y,Restricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Hypericum tetrapterum,64,Hypericaceae,,,,
Hypericum undulatum,Hypericum undulatum,64,Hypericaceae,Wavy St John's-wort,84,Infrequent,2,16,,,P,,,,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-VV,,,Y,Hypericum undulatum,64,Hypericaceae,,,,
Elatine hexandra,Elatine hexandra,65,Elatinaceae,Six-stamened Waterwort,286,Common,,,72,,A,0.870836669,0.870836669,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Elatine hexandra,65,Elatinaceae,,,,
Elatine hydropiper,Elatine hydropiper,65,Elatinaceae,Eight-stamened Waterwort,53,Rare,,,40,,A,0.288811356,0.288811356,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Elatine hydropiper,65,Elatinaceae,,,,
Viola arvensis,Viola arvensis,66,Violaceae,Field Pansy,2416,Ubiquitous,2,26,,,A,,,,archaeophyte,,In the list of top 2 arable weeds,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Viola arvensis,66,Violaceae,,,,
Viola canina,Viola canina,66,Violaceae,Heath Dog-violet,1218,Abundant,4,40,,,P,1.120727367,1.120727367,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,Y,,,Viola canina,66,Violaceae,,,,
Viola hirta,Viola hirta,66,Violaceae,Hairy Violet,991,Abundant,2,20,,,P,0.67428765,1.511,2,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Viola hirta,66,Violaceae,,,,
Viola kitaibeliana,Viola kitaibeliana,66,Violaceae,Dwarf Pansy,9,Very rare,,48,,,A,1.099282531,1.099282531,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Viola kitaibeliana,66,Violaceae,,,,
Viola lactea,Viola lactea,66,Violaceae,Pale Dog-violet,202,Infrequent,2,58,,,P,,,,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Viola lactea,66,Violaceae,,,,
Viola lutea,Viola lutea,66,Violaceae,Mountain Pansy,554,Common,5,50,,,P,3.13,3.13,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain;Restricted--,FOR DISTRIBUTION-NV,,,Y,Viola lutea,66,Violaceae,,,,
Viola odorata,Viola odorata,66,Violaceae,Sweet Violet,1830,Ubiquitous,2,20,,,P,0.671237515,0.671237515,1,native,,,,York-RCP British Medicinal Plant List Category 2,,,,Y,Unrestricted--;Unrestricted-Natural Source-,FOR DISTRIBUTION-NV,Y,,Y,Viola odorata,66,Violaceae,1,,,
Viola palustris,Viola palustris,66,Violaceae,Marsh Violet,2443,Ubiquitous,,48,,,P,1.964083336,1.964083336,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain;Restricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Viola palustris,66,Violaceae,,,,
Viola reichenbachiana,Viola reichenbachiana,66,Violaceae,Early Dog-violet,1437,Abundant,2,20,,,P,0.590795077,0.590795077,1,native,,,,,,,,Y,Unrestricted-Natural Source-Asia-Temperate,MANAGEMENT DECISION-VV,Y,,Y,Viola reichenbachiana,66,Violaceae,,,,
Viola riviniana,Viola riviniana,66,Violaceae,Common Dog-violet,3718,Ubiquitous,"4, 4, 5 (-2), 5","40, 40, 48, 50",,,P,1.45,1.45,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Viola riviniana,66,Violaceae,,1,,Y
Viola rupestris,Viola rupestris,66,Violaceae,Teesdale Violet,8,Very rare,2,20,,,P,0.499546748,0.499546748,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,MANAGEMENT DECISION-NV,,,Y,Viola rupestris,66,Violaceae,,,,
Viola stagnina,Viola persicifolia,66,Violaceae,Fen Violet,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,,,20,,,0.568827844,0.568827844,1,native,,,,,,,,,,,,,,Viola stagnina,66,Violaceae,,,,
Viola tricolor,Viola tricolor,66,Violaceae,Wild Pansy,1971,Ubiquitous,2,26,,,A,2.0175,2.0175,1,native,,,,,,,Y,Y,Unrestricted--,MANAGEMENT DECISION-NV,Y,,Y,Viola tricolor,66,Violaceae,,,,
Populus tremula,Populus tremula,68,Salicaceae,Aspen,2723,Ubiquitous,2,38,,,P,0.54,0.54,1,native,,,,,,,Y,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Populus tremula,68,Salicaceae,,,,
Salix alba,Salix alba,68,Salicaceae,White Willow,2346,Ubiquitous,4,76,,,P,,,,archaeophyte,,,,York-RCP British Medicinal Plant List Category 1,,,,Y,Unrestricted--,,Y,,Y,Salix alba,68,Salicaceae,1,,,
Salix arbuscula,Salix arbuscula,68,Salicaceae,Mountain Willow,48,Rare,2,38,,,P,,,,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Salix arbuscula,68,Salicaceae,,,,
Salix aurita,Salix aurita,68,Salicaceae,Eared Willow,2953,Ubiquitous,4,76,,,P,0.422742759,0.99,2,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Salix aurita,68,Salicaceae,,,,
Salix caprea,Salix caprea,68,Salicaceae,Goat Willow,3055,Ubiquitous,2,38,,,P,0.398651779,0.398651779,1,native,,,,,,,,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Salix caprea,68,Salicaceae,,,,
Salix cinerea,Salix cinerea,68,Salicaceae,Grey Willow,2429,Ubiquitous,4,76,,,P,0.92,0.92,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Salix cinerea,68,Salicaceae,,,,
Salix euxina,Salix fragilis,68,Salicaceae,,TO BE RESOLVED: PROBABLY SYNONYM MISMATCH,,4,,76,,,,,,archaeophyte,,,,,,,,Y,Unrestricted--,,,,Y,Salix euxina,68,Salicaceae,,,,
Salix herbacea,Salix herbacea,68,Salicaceae,Dwarf Willow,457,Common,2,38,,,P,0.416873727,0.416873727,1,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Salix herbacea,68,Salicaceae,,,,
Salix lanata,Salix lanata,68,Salicaceae,Woolly Willow,16,Very rare,2,38,,,P,,,,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Salix lanata,68,Salicaceae,1,,,
Salix lapponum,Salix lapponum,68,Salicaceae,Downy Willow,105,Infrequent,"2, 2, 4","38, 38, 76",,,P,0.398363077,0.398363077,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Sweden,MANAGEMENT DECISION-VV,,,Y,Salix lapponum,68,Salicaceae,,,,
Salix myrsinifolia,Salix myrsinifolia,68,Salicaceae,Dark-leaved Willow,317,Common,6,114,,,P,1.023435707,1.023435707,1,native,,,,,,,Y,Y,Restricted-Natural Source-Poland;Unrestricted-Natural Source-Norway,MANAGEMENT DECISION-NV,,,Y,Salix myrsinifolia,68,Salicaceae,,,,
Salix myrsinites,Salix myrsinites,68,Salicaceae,Whortle-leaved Willow,80,Rare,2,38,,,P,,,,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Salix myrsinites,68,Salicaceae,,,,
Salix pentandra,Salix pentandra,68,Salicaceae,Bay Willow,1306,Abundant,4,76,,,P,0.68,0.68,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-North Caucasus,FOR DISTRIBUTION-VV,Y,,Y,Salix pentandra,68,Salicaceae,,,,
Salix phylicifolia,Salix phylicifolia,68,Salicaceae,Tea-leaved Willow,472,Common,,88,144,,P,,,,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,,,Y,Salix phylicifolia,68,Salicaceae,,,,
Salix purpurea,Salix purpurea,68,Salicaceae,Purple Willow,1581,Abundant,2,38,,,P,0.416147907,0.416147907,1,native,,,,,,,,Y,Unrestricted--,MANAGEMENT DECISION-VV,,,Y,Salix purpurea,68,Salicaceae,,,,
Salix repens,Salix repens,68,Salicaceae,Creeping Willow,2076,Ubiquitous,2,36,,,P,0.385495651,0.385495651,1,native,,,,,,,Y,Y,Restricted by Agreement-Natural Source-Great Britain;Unrestricted-Natural Source-Great Britain;Unrestricted--,FOR DISTRIBUTION-VV,,,Y,Salix repens,68,Salicaceae,,,,
Salix reticulata,Salix reticulata,68,Salicaceae,Net-leaved Willow,25,Very rare,2,38,,,P,,,,native,,,,,,,Y,,,,,,Y,Salix reticulata,68,Salicaceae,,,,
Salix triandra,Salix triandra,68,Salicaceae,Almond Willow,973,Abundant,2,38,,,P,,,,archaeophyte,,,,,,,,Y,Unrestricted--,,Y,,Y,Salix triandra,68,Salicaceae,,,,
Salix viminalis,Salix viminalis,68,Salicaceae,Osier,2990,Ubiquitous,2,38,,,P,,,,archaeophyte,,,,,,,,Y,Unrestricted--,,Y,,Y,Salix viminalis,68,Salicaceae,,,,
Euphorbia amygdaloides,Euphorbia amygdaloides,69,Euphorbiaceae,Wood Spurge,784,Abundant,2,20,,,P,2.860575112,2.860575112,1,native,,,,,,,,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain;Unrestricted-Natural Source-Austria;Unrestricted-Natural Source-Turkey,FOR DISTRIBUTION-NV,Y,,Y,Euphorbia amygdaloides,69,Euphorbiaceae,,,,
Euphorbia exigua,Euphorbia exigua,69,Euphorbiaceae,Dwarf Spurge,1163,Abundant,3,24,,,A,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,Y,,,Euphorbia exigua,69,Euphorbiaceae,,,,
Euphorbia helioscopia,Euphorbia helioscopia,69,Euphorbiaceae,Sun Spurge,2771,Ubiquitous,,42,,,A,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-VV,Y,,,Euphorbia helioscopia,69,Euphorbiaceae,,,,
Euphorbia lathyris,Euphorbia lathyris,69,Euphorbiaceae,Caper Spurge,1003,Abundant,2,20,,,B,,,,archaeophyte,,,,York-RCP British Medicinal Plant List Category 2,,,,,,FOR DISTRIBUTION-NV,Y,,,Euphorbia lathyris,69,Euphorbiaceae,,1,,
Euphorbia paralias,Euphorbia paralias,69,Euphorbiaceae,Sea Spurge,258,Common,2,16,,,P,,,,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Euphorbia paralias,69,Euphorbiaceae,,,,
Euphorbia peplis,Euphorbia peplis,69,Euphorbiaceae,Purple Spurge,#N/A,,2,16,,,A,,,,native,,,,,,,,,,,,,,Euphorbia peplis,69,Euphorbiaceae,,,,
Euphorbia peplus,Euphorbia peplus,69,Euphorbiaceae,Petty Spurge,2453,Ubiquitous,2,16,,,A,,,,archaeophyte,,,,York-RCP British Medicinal Plant List Category 1,,,,,,FOR DISTRIBUTION-VV,,,,Euphorbia peplus,69,Euphorbiaceae,,1,,
Euphorbia platyphyllos,Euphorbia platyphyllos,69,Euphorbiaceae,Broad-leaved Spurge,245,Common,3,30,,,A,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Euphorbia platyphyllos,69,Euphorbiaceae,,,,
Euphorbia portlandica,Euphorbia portlandica,69,Euphorbiaceae,Portland Spurge,250,Common,"2, 2, 5","16, 16, 40",,,P,,,,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,,,Y,Euphorbia portlandica,69,Euphorbiaceae,,,,
Euphorbia stricta,Euphorbia serrulata,69,Euphorbiaceae,Upright Spurge,44,Rare,,,"20, 28",,,,,,native or alien (inferred),,,,,,,,,,MANAGEMENT DECISION-NV,,,,Euphorbia stricta,69,Euphorbiaceae,,,,
Mercurialis annua,Mercurialis annua,69,Euphorbiaceae,Annual Mercury,866,Abundant,,,16,,A,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Mercurialis annua,69,Euphorbiaceae,,1,,
Mercurialis perennis,Mercurialis perennis,69,Euphorbiaceae,Dog's Mercury,2271,Ubiquitous,8,64,,,P,1.525,3.220034146,2,native,,,,,,,Y,,,FOR DISTRIBUTION-NV,Y,,Y,Mercurialis perennis,69,Euphorbiaceae,,,,
Linum bienne,Linum bienne,70,Linaceae,Pale Flax,499,Common,2,30,,,B,0.585,0.585,1,native,,,"focal plant for Adrian Brennan, U of Durham",,,,,,,FOR DISTRIBUTION-VV,,,Y,Linum bienne,70,Linaceae,,1,,
Linum catharticum,Linum catharticum,70,Linaceae,Fairy Flax,3482,Ubiquitous,2,16,,,B,0.603267066,0.603267066,1,native,,,,,,,Y,,,FOR DISTRIBUTION-VV,Y,,Y,Linum catharticum,70,Linaceae,1,,,Y
Linum perenne,Linum perenne,70,Linaceae,Perennial Flax,79,Rare,2,36,,,P,,,,native,,,,,,,,Y,Unrestricted--,MANAGEMENT DECISION-VV,,,Y,Linum perenne,70,Linaceae,,,,
Linum radiola,Radiola linoides,70,Linaceae,Allseed,663,Common,,18,,,,,,,native,,,,,,,,,,,,,Y,Linum radiola,70,Linaceae,,,,
Erodium aethiopicum,Erodium lebelii,71,Geraniaceae,Sticky Stork's-bill,#N/A,,,20,,,,,,,native,,,,,,,,,,,,,,Erodium aethiopicum,71,Geraniaceae,,,,
Erodium cicutarium,Erodium cicutarium,71,Geraniaceae,,1041,Abundant,"4, 4, 2","40, 40, 20",,,A,0.938188865,0.938188865,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-VV,Y,,Y,Erodium cicutarium,71,Geraniaceae,,,,
Erodium maritimum,Erodium maritimum,71,Geraniaceae,Sea Stork's-bill,255,Common,,20,,,A,,,,native,,,,,,,Y,,,MANAGEMENT DECISION-NV,,,Y,Erodium maritimum,71,Geraniaceae,,1,,
Erodium moschatum,Erodium moschatum,71,Geraniaceae,Musk Stork's-bill,429,Common,2,20,,,A,,,,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,,,Y,Erodium moschatum,71,Geraniaceae,,,,
Geranium columbinum,Geranium columbinum,71,Geraniaceae,Long-stalked Crane's-bill,951,Abundant,2,18,,,A,0.714487499,0.714487499,1,native,,,,,,,,Y,Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Geranium columbinum,71,Geraniaceae,1,,,
Geranium dissectum,Geranium dissectum,71,Geraniaceae,Cut-leaved Crane's-bill,3083,Ubiquitous,2,22,,,A,,,,archaeophyte,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,,Geranium dissectum,71,Geraniaceae,,,,
Geranium lucidum,Geranium lucidum,71,Geraniaceae,Shining Crane's-bill,1796,Ubiquitous,"2, 4","20, 40",,,A,0.695040887,0.695040887,1,native,,,,,,,,Y,Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,,,Y,Geranium lucidum,71,Geraniaceae,,,,
Geranium molle,Geranium molle,71,Geraniaceae,Dove's-foot Crane's-bill,3043,Ubiquitous,2,26,,,A,0.51,0.885,2,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Geranium molle,71,Geraniaceae,,,,
Geranium pratense,Geranium pratense,71,Geraniaceae,Meadow Crane's-bill,1893,Ubiquitous,2,28,,,P,2.055621368,2.055621368,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--;Unrestricted-Natural Source-Pakistan;Restricted by Agreement-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Geranium pratense,71,Geraniaceae,,,,
Geranium purpureum,Geranium purpureum,71,Geraniaceae,Little-Robin,63,Rare,2,32,,,A,0.545,0.545,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Geranium purpureum,71,Geraniaceae,,,,
Geranium pusillum,Geranium pusillum,71,Geraniaceae,Small-flowered Crane's-bill,1284,Abundant,,,26,,A,0.404570394,0.89,2,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,,Geranium pusillum,71,Geraniaceae,,,,
Geranium robertianum,Geranium robertianum,71,Geraniaceae,Herb-Robert,3511,Ubiquitous,"4, 4, 2","64, 64, 32",,,B,1.069790714,1.069790714,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-Great Britain;Unrestricted--;Unrestricted-Natural Source-Denmark,FOR DISTRIBUTION-VV,Y,,Y,Geranium robertianum,71,Geraniaceae,,,,
Geranium rotundifolium,Geranium rotundifolium,71,Geraniaceae,Round-leaved Crane's-bill,593,Common,,,26,,A,0.57,0.57,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,Y,,Y,Geranium rotundifolium,71,Geraniaceae,,,,
Geranium sanguineum,Geranium sanguineum,71,Geraniaceae,Bloody Crane's-bill,614,Common,4,84,,,P,4.51,4.51,1,native,,,,,,,Y,Y,Unrestricted--;Unrestricted-Natural Source-Great Britain,FOR DISTRIBUTION-NV,Y,,Y,Geranium sanguineum,71,Geraniaceae,,,,
Geranium sylvaticum,Geranium sylvaticum,71,Geraniaceae,Wood Crane's-bill,736,Abundant,2,28,,,P,2.025920405,2.025920405,1,native,,,,,,,Y,Y,Unrestricted-Natural Source-France;Unrestricted-Natural Source-Yugoslavia;Unrestricted--,MANAGEMENT DECISION-NV,,,Y,Geranium sylvaticum,71,Geraniaceae,,,,
Lythrum hyssopifolia,Lythrum hyssopifolia,72,Lythraceae,Grass-poly,116,Infrequent,,,20,,A,0.677711261,0.677711261,1,archaeophyte,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Lythrum hyssopifolia,72,Lythraceae,,,,
Lythrum portula,Lythrum portula,72,Lythraceae,Water-purslane,1562,Abundant,,10,,,A,0.29,0.29,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Lythrum portula,72,Lythraceae,1,,,
Lythrum salicaria,Lythrum salicaria,72,Lythraceae,Purple-loosestrife,2556,Ubiquitous,,60,,,P,1.49282205,1.49282205,1,native,,,,,,,,Y,Unrestricted--,FOR DISTRIBUTION-NV,Y,,Y,Lythrum salicaria,72,Lythraceae,,,,
Chamaenerion angustifolium,Chamerion angustifolium,73,Onagraceae,Rosebay Willowherb,3266,Ubiquitous,2,36,,,,0.4,0.4,1,native,,,,,,,,,,,,,,Chamaenerion angustifolium,73,Onagraceae,,1,,
Circaea alpina,Circaea alpina,73,Onagraceae,Alpine Enchanter's-nightshade,40,Rare,2,22,,,P,0.66,0.66,1,native,,,,,,,,,,MANAGEMENT DECISION-NV,,,,Circaea alpina,73,Onagraceae,,,,
Circaea lutetiana,Circaea lutetiana,73,Onagraceae,Enchanter's-nightshade,2822,Ubiquitous,2,22,,,P,0.527103372,0.527103372,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Circaea lutetiana,73,Onagraceae,,1,,
Epilobium alsinifolium,Epilobium alsinifolium,73,Onagraceae,Chickweed Willowherb,221,Infrequent,2,36,,,P,0.386506507,0.386506507,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,,Epilobium alsinifolium,73,Onagraceae,,,,
Epilobium anagallidifolium,Epilobium anagallidifolium,73,Onagraceae,Alpine Willowherb,243,Common,2,36,,,P,,,,native,,,,,,,,,,FOR DISTRIBUTION-NV,,,Y,Epilobium anagallidifolium,73,Onagraceae,,,,
Epilobium hirsutum,Epilobium hirsutum,73,Onagraceae,Great Willowherb,2863,Ubiquitous,2,36,,,P,0.45,0.45,1,native,,,,,,,Y,,,FOR DISTRIBUTION-VV,Y,,Y,Epilobium hirsutum,73,Onagraceae,,,,
Epilobium lanceolatum,Epilobium lanceolatum,73,Onagraceae,Spear-leaved Willowherb,400,Common,2,36,,,P,0.329522751,0.329522751,1,native,,,,,,,,,,FOR DISTRIBUTION-VV,,,Y,Epilobium lanceolatum,73,Onagraceae,,,,
Epilobium montanum,Epilobium montanum,73,Onagraceae,Broad-leaved Willowherb,3535,Ubiquitous,2,36,,,P,0.353109796,0.353109796,1,native,,,,,,,,,,FOR DISTRIBUTION-NV,Y,,,Epilobium montanum,73,Onagraceae,,,,
