Order	Family	Genus	Species	species author	infraspecific	common name	Hybrid	Sexual system	selfing	Growth Form	Woodiness count	Life_Form	gametophytic	gametophytic_min	sporophytic	sporophytic_min	karyotype	mol_basis	genotypic
Sapindales	Sapindaceae	Acer	huangpingense	T.Z.Hsu															
Sapindales	Sapindaceae	Acer	hyrcanum		subsp. hyrcanum														
Sapindales	Sapindaceae	Acer	hyrcanum	Fisch. & C.A.Mey.											26	26			
Sapindales	Sapindaceae	Acer	ibericum	M.Bieb.															
Sapindales	Sapindaceae	Acer	japonicum	Thunb.		(full-moon maple)		monoecy		tree	0;0;3		12	12					
Sapindales	Sapindaceae	Acer	jingdongense	T.Z.Hsu															
Sapindales	Sapindaceae	Acer	komarovii	Pojark.						tree									
Sapindales	Sapindaceae	Acer	kungshanense	W.P.Fang & C.Y.Chang						tree	0;0;1								
Sapindales	Sapindaceae	Acer	kweilinense	W.P.Fang & M.Y.Fang				monoecy		tree	0;0;1								
Sapindales	Sapindaceae	Acer	laevigatum	Wall.				monoecy		tree	0;0;2		13	13					
Sapindales	Sapindaceae	Acer	laisuense	W.P.Fang & W.K.Hu															
Sapindales	Sapindaceae	Acer	lanpingense	W.P.Fang & M.Y.Fang															
Sapindales	Sapindaceae	Acer	lanum																
Sapindales	Sapindaceae	Acer	laurinum	Hassk.				dioecy		tree	0;0;2								
Sapindales	Sapindaceae	Acer	lauyuense	W.P.Fang ex C.C.Fu															
Sapindales	Sapindaceae	Acer	laxiflorum	Pax						tree									
Sapindales	Sapindaceae	Acer	legonsanicum	Y.K.Li															
Sapindales	Sapindaceae	Acer	leipoense	W.P.Fang & Soong						tree									
Sapindales	Sapindaceae	Acer	leptophyllum	W.P.Fang															
Sapindales	Sapindaceae	Acer	lichuanense	C.D.Chu & G.G.Tang															
Sapindales	Sapindaceae	Acer	linganense	W.P.Fang & P.L.Chiu						tree									
Sapindales	Sapindaceae	Acer	lobelii	Ten.				monoecy			0;0;1								
Sapindales	Sapindaceae	Acer	longipedicellatum	C.Y.Wu															
Sapindales	Sapindaceae	Acer	longipes	Franch. ex Rehder						tree									
Sapindales	Sapindaceae	Acer	lucidum	Metcalf						tree	0;0;1								
Sapindales	Sapindaceae	Acer	macrophyllum	Pursh		(big-leaf maple)		monoecy			0;0;14								
Sapindales	Sapindaceae	Acer	mairei	H.Lév.															
Sapindales	Sapindaceae	Acer	mandshuricum	Maxim.						tree	0;0;4				26;26	26			
Sapindales	Sapindaceae	Acer	mapienense	W.P.Fang															
Sapindales	Sapindaceae	Acer	maximowiczianum	Miq.		(Nikko maple)		other			0;0;1								
Sapindales	Sapindaceae	Acer	maximowiczii	Pax						tree									
Sapindales	Sapindaceae	Acer	medogense	T.Z.Hsu & Z.K.Zhou															
Sapindales	Sapindaceae	Acer	miaoshanicum	W.P.Fang						tree									
Sapindales	Sapindaceae	Acer	miaotaiense	P.C.Tsoong						tree									
Sapindales	Sapindaceae	Acer	micranthum	Siebold & Zucc.				other			0;0;1								
Sapindales	Sapindaceae	Acer	mirabile	Hand.-Mazz.															
Sapindales	Sapindaceae	Acer	miyabei	Maxim.		(Miyabe maple)		monoecy			0;0;1								
Sapindales	Sapindaceae	Acer	mono	(Schwer.) Kitam.	subsp. mayrii														
Sapindales	Sapindaceae	Acer	mono		subsp. mono														
Sapindales	Sapindaceae	Acer	mono	(Nakai) P.C.DeJong	subsp. okamotoanum														
Sapindales	Sapindaceae	Acer	mono	(Nakai) T.Z.Hsu	subsp. trichobasis														
Sapindales	Sapindaceae	Acer	mono	Maxim.				monoecy			0;0;21				26;26;26	26			
Sapindales	Sapindaceae	Acer	mono × truncatum				1												
Sapindales	Sapindaceae	Acer	monspessulanum		subsp. monspessulanum														
Sapindales	Sapindaceae	Acer	monspessulanum	L.				monoecy			0;0;25				26;26; 52;26;26	26			
Sapindales	Sapindaceae	Acer	morifolium	Koidz.							0;0;2								
Sapindales	Sapindaceae	Acer	morrisonense	Hayata						tree									
Sapindales	Sapindaceae	Acer	nayongense	W.P.Fang															
Sapindales	Sapindaceae	Acer	negundo	L.		(box elder)		dioecy		tree	0;0;34				26;26;42;26;26;26	26			
Sapindales	Sapindaceae	Acer	ningpoense	(Hance) W.P.Fang															
Sapindales	Sapindaceae	Acer	nipponicum	H.Hara				monoecy			0;0;1								
Sapindales	Sapindaceae	Acer	oblongum	Wall. ex DC.				monoecy		tree	0;0;3		13;13; 26	13					
Sapindales	Sapindaceae	Acer	obtusifolium	Sm.							0;0;1								
Sapindales	Sapindaceae	Acer	okamotoi	Nakai															
Sapindales	Sapindaceae	Acer	oligocarpum	W.P.Fang & L.C.Hu						tree									
Sapindales	Sapindaceae	Acer	olivaceum	W.P.Fang & P.L.Chiu															
Sapindales	Sapindaceae	Acer	oliverianum		subsp. oliverianum														
Sapindales	Sapindaceae	Acer	oliverianum	Pax						tree									
Sapindales	Sapindaceae	Acer	opalus	(Boiss.) Font Quer & Rothm.	subsp. granatense														
