Species_name	NCBI_TXID	species_name_status	Class	Order	Suborder	Family	chromosome_number_female	ploidy_of_female	heterogametic_chromosomes_female-male	sexual_system	programmed_DNA_elimination_present	alternate_karyotypes	reference
Steinernema carpocapsae	34508		CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema feltiae	52066	revised	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema glaseri	37863		CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema sp. C-Zuhai		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema sp. C2B2		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema sp. C85011		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema sp. CWL05		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema sp. ED1		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema sp. NC270		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema sp. NC513_NC17A		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema sp. Q1		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Steinernema sp. Q617		n.res.	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	10	2		m/f			39
Stephanurus dentatus	321369		CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	12	2					118
Strongyloides papillosus	174720		CHROMADOREA	RHABDITIDA	TYLENCHINA	STRONGYLOIDIDAE	4	2	XX/XY	m/f | p-mi	yes+Y		119
Strongyloides ransomi	553534		CHROMADOREA	RHABDITIDA	TYLENCHINA	STRONGYLOIDIDAE	4	2	XX/XY	m/f | p			30
Strongyloides ratti	34506		CHROMADOREA	RHABDITIDA	TYLENCHINA	STRONGYLOIDIDAE	6	2	XX/X0	m/f | p			120
Strongyloides stercoralis	6248		CHROMADOREA	RHABDITIDA	TYLENCHINA	STRONGYLOIDIDAE	6	2	XX/X0	m/f | p			121
Strongylus edentatus	40346		CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	12	2	XX/X0	m/f			26
Strongylus equinus	40347	revised	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	12	2	XX/X0	m/f			26
Strongylus tetracanthus		revised	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	12	2					26
Strongylus vulgaris	40348		CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	12	2	XX/X0	m/f			26
Syphacia obvelata	412127		CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	16	2	XX/X0	m/f			27
Tachygonetria conica			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Tachygonetria dentata			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Tachygonetria longicollis			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Tachygonetria macrolaimus			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Tachygonetria numidica			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Tachygonetria pusilla			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Tachygonetria setosa			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Tachygonetria vivipara			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	6	2	h-d	m/f			40
Thelandros alatus	2982512		CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Thelastoma sp.		n.res.	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	8	2	h-d	m/f			40
Thelazia callipaeda	103827		CHROMADOREA	RHABDITIDA	SPIRURINA	THELAZIIDAE	8	2	XX/X0	m/f			122
Toxascaris leonina	59264		CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	40	2					71
Toxocara canis	6265		CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	36	2	X8X8/X8O	m/f	yes+8	44,46,48	79
Toxocara cati	6266		CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	18	2	X6X6/X6O	m/f	yes+?	20,22	79
Toxocara vitulorum	62080	revised	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	18	2					104
Trichinella nativa	6335		DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHINELLIDAE	6	2	XX/X0	m/f			123
Trichinella nelsoni	6336		DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHINELLIDAE	6	2	XX/X0	m/f			124
Trichinella pseudospiralis	6337		DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHINELLIDAE	6	2	XX/X0	m/f			123
Trichinella spiralis	6334		DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHINELLIDAE	6	2	XX/X0	m/f			123
Trichosomoides crassicauda	2358201		DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHOSOMOIDIDAE	8	2	XX/X0	m/f			79
Trichostrongylus tenuis	40351		CHROMADOREA	RHABDITIDA	RHABDITINA	TRICHOSTRONGYLIDAE	12	2	XX/X0	m/f			26
Trichuris muris	70415		DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHIURIDAE	6	2	XX/XY	m/f			125
Trichuris trichiura	36087		DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHIURIDAE	8	2	XX/X0	m/f			30
Trichuris vulpis	219738	revised	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	24	2					79
Wuchereria bancrofti	6293		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/XY	m/f			41
Xiphinema diversicaudatum	191820		DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	10	2		p-me			126
Xiphinema elongatum	243736		DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	10	2		m/f			126
Xiphinema index	46003		DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	10	2		p-me*			126
Xiphinema mediterraneum			DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	10	2					126
Xiphinema vanderlindei			DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	10	2		m/f			126
