Species_name	NCBI_TXID	species_name_status	Class	Order	Suborder	Family	chromosome_number_female	ploidy_of_female	heterogametic_chromosomes_female-male	sexual_system	programmed_DNA_elimination_present	alternate_karyotypes	reference
Ditylenchus gigas	989177		CHROMADOREA	RHABDITIDA	TYLENCHINA	ANGUINIDAE	60	2		m/f		48, 50, 54	53
Filaroides mustelarum			CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	16	2					26
Foleyella agamae			CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	4	2					82
Ganguleterakis spumosa			CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	12	2					27
Globodera mexicana	182293	revised	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Globodera pallida	36090		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2					83
Globodera rostochiensis	31243	revised	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Gongylonema pulchrum	637853		CHROMADOREA	RHABDITIDA	SPIRURINA	GONGYLONEMATIDAE	10	2	XX/X0	m/f		10, 11, 12	84
Gyrinicola batrachiensis			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	8	2	h-d	m/f			40
Haemonchus contortus	6289		CHROMADOREA	RHABDITIDA	RHABDITINA	TRICHOSTRONGYLIDAE	12	2	XX/X0	m/f			85
Hammerschmidtiella andersoni			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Hammerschmidtiella diesingi	509722		CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Heligmosomoides bakeri	375939		CHROMADOREA	RHABDITIDA	RHABDITINA	HELIGMOSOMIDAE	12	2	XX/X0	m/f			63
Heligmosomoides polygyrus	6339		CHROMADOREA	RHABDITIDA	RHABDITINA	HELIGMOSOMIDAE	12	2	XX/X0	m/f			63
Heligmosomoides turgidus		revised	CHROMADOREA	RHABDITIDA	RHABDITINA	HELIGMOSOMIDAE	12	2		m/f			79
Heterakis dispar	596441		CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	10	2					26
Heterakis gallinarum	65465		CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	10	2					71
Heterakis papillosa	596456		CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	10	2	XX/X0	m/f			26
Heterakis sp.	2731334	n.res.	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	10	2					79
Heterakis spumosa	596462		CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	10	2					79
Heterakis vesicularis			CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	10	2					27
Heterodera avenae	34510		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Heterodera carotae	157847		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Heterodera cruciferae	157849		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Heterodera glycines	51029		CHROMADOREA	RHABDITIDA	TYLENCHINA	HETERODERIDAE	18	2		m/f		36, 28	86
Heterodera goettingiana	57557		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Heterodera oryzae	2759895		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Heterodera schachtii	97005		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Heterodera tabacum			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18	2		m/f			76
Heterorhabditis bacteriophora	37862		CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis heliothidis			CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis megidis	52065		CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. D1		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. HW79		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. NC162		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. NZ		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Heterorhabditis sp. V16		n.res.	CHROMADOREA	RHABDITIDA	RHABDITINA	HETERORHABDITIDAE	14	2		h | m/f/h			39
Hexamermis albicans	1437454		DORYLAIMIA	MERMITHIDA	MERMITHINA	MERMITHIDAE	16	2		m/f			30
Hexametra sp.		n.res.	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	22	2					71
Hysterothylacium aduncum	118886	revised	CHROMADOREA	RHABDITIDA	SPIRURINA	ANISAKIDAE	24	2					26
Litomosoides galizai	221929		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	12	2	XX/X0	m/f			41
Litomosoides sigmodontis	42156		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	10	2	XX/X0	m/f		12	41
Loa loa	7209		CHROMADOREA	RHABDITIDA	SPIRURINA	ONCHOCERCINAE	12	2	XX/X0	m/f			41
Longidorus elongatus	70231		DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	14	2		m/f			87
Longidorus macrosoma	188093		DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	14	2		m/f			87
Longidorus vineacola	241698		DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	14	2		m/f			87
Mastophorus muris	1499391		CHROMADOREA	RHABDITIDA	SPIRURINA	SPIROCERCIDAE	10	2	XX/X0	m/f			31
Mehdiella microstoma			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Mehdiella uncinata			CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	10	2	h-d	m/f			40
Meloidogyne africana	1965296		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	21	3		p-mi			88
Meloidogyne ardenensis	288492		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	51	3		p-mi		51-54	88
Meloidogyne arenaria	6304		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p-mi		30-38, 40-48, 51-56	38
Meloidogyne carolinensis			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	2		m/f			38
Meloidogyne chitwoodi	59747		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p- me*		28	38
Meloidogyne cruciani	1154578		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	42	polyploid		p-mi		42-44	38
Meloidogyne enterolobii	390850		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	42	polyploid		p-mi		42-46	89
Meloidogyne ethiopica	325748		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	42	polyploid		p-mi		36-44	90
Meloidogyne exigua	186942		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p-me*			38
Meloidogyne fallax	71801		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p-me*			90
Meloidogyne floridensis	298350		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	2, 3		p-me* or p			91,92
Meloidogyne graminicola	189291		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p-me*			38
Meloidogyne graminis	299423		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p-me*			76
Meloidogyne hapla	6305		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	34	2		p-me* or p-mi		28,34, 30-32, 43-48	38
Meloidogyne hispanica	520120		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p-mi		33-36	38
Meloidogyne incognita	6306		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	34	polyploid		p-mi		32-38, 41-46	38
Meloidogyne inornata	1453326		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	54	polyploid		p-mi		54-58	90
Meloidogyne izalcoensis	1154580		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	44	polyploid		p-mi		44-48	93
Meloidogyne javanica	6303		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	42	polyploid		p-mi		42-48	38
Meloidogyne kikuyensis	2664144		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	14	2		m/f			94
Meloidogyne konaensis	189292		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	44	polyploid		p-mi			95
Meloidogyne mali	537484		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	24	2		m/f			88
Meloidogyne megatyla			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	2		m/f			38
Meloidogyne microcephala			CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	polyploid		p		36-38	38
Meloidogyne microtyla	191635		CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	36	2		m/f		36-38	38
