distribution,max,median,minimum,resolved_name
10-11,11,11,10,Abietinella abietina
10,10,10,10,Abietinella abietina var. hystricosa
11-20,20,11,11,Acanthocladium extenuatum
26,26,26,26,Acaulon muticum
26,26,26,26,Acaulon muticum var. rufescens
12,12,12,12,Achrophyllum dentatum
9,9,9,9,Acrobolbus ciliatus
11,11,11,11,Acrocladium auriculatum
11,11,11,11,Acrocladium chlamydophyllum
21,21,21,21,Acrocladium cordifolium
11,11,11,11,Acrocladium cuspidatum
9,9,9,9,Acrolejeunea emergens
11,11,11,11,Aerobryidium filamentosum
11,11,11,11,Aerobryopsis parisii
11,11,11,11,Aerobryopsis subdivergens
11,11,11,11,Aerobryopsis wallichii
26,26,26,26,Aloina aloides
25,25,25,25,Aloina aloides var. ambigua
24-28,28,24,24,Aloina brevirostris
24-26-48,48,26,24,Aloina rigida
9-14-18-20,20,14,9,Amblyodon dealbatus
11,11,11,11,Amblystegium compactum
21-36-40,40,21,21,Amblystegium riparium
10,10,10,10,Amblystegium rivicola
7-9-10-11-12-13-20-21-22-40,40,12,7,Amblystegium serpens
20,20,20,20,Amblystegium serpens var. rigidiusculum
11,11,11,11,Amblystegium sparsile
10,10,10,10,Amblystegium subtile
20,20,20,20,Amblystegium tenax
10,10,10,10,Amblystegium tibetanum
10-11-12-19-20-21-40,40,11,10,Amblystegium varium
13-16,16,16,13,Amphidium lapponicum
13,13,13,13,Amphidium mougeotii
16,16,16,16,Amphidium tortuosum
11,11,11,11,Anacamptodon splachnoides
8,8,8,8,Anacolia menziesii
7,7,7,7,Anacolia menziesii var. baueri
6,6,6,6,Anacolia sinensis
8,8,8,8,Anastrepta orcadensis
9,9,9,9,Anastrophyllum bidens
8,8,8,8,Anastrophyllum michauxii
9,9,9,9,Anastrophyllum minutum
10,10,10,10,Andreaea australis
10,10,10,10,Andreaea depressinervis
10,10,10,10,Andreaea gainii
10,10,10,10,Andreaea nivalis
10-11,11,10,10,Andreaea rothii
9-10-11,11,10,9,Andreaea rupestris
10-20,20,10,10,Aneura cochleata
8,8,8,8,Aneura latissima
8-10,10,10,8,Aneura maxima
