ncbi_taxon_id	species	family	target_list_status	sequencing_status	publication_id	taxonomic_group	project	long_list	family_representative	other_priority	sample_collected	sample_acquired	in_progress	data_generation	in_assembly	insdc_submitted	open	insdc_open	published
252938	Grimothea monodon	Munididae	long_list			Marine invertebrate	1000GCH	1000GCH											
252929	Grimothea johni	Munididae	long_list			Marine invertebrate	1000GCH	1000GCH											
	Chaceon chilensis		long_list			Marine invertebrate	1000GCH	1000GCH											
150432	Panulirus pascuensis	Palinuridae	long_list			Marine invertebrate	1000GCH	1000GCH											
1104392	Parribacus perlatus	Scyllaridae	long_list			Marine invertebrate	1000GCH	1000GCH											
174405	Paralomis granulosa	Lithodidae	long_list			Marine invertebrate	1000GCH	1000GCH											
110923	Jasus frontalis	Palinuridae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
1593418	Primnoella chilensis	Primnoidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
500494	Echiniscoides sigismundi	Echiniscoididae	long_list			Marine invertebrate	1000GCH	1000GCH											
	Ctenocheilocaris galvarini		long_list			Marine invertebrate	1000GCH	1000GCH											
2183134	Pharyngocirrus sonomacus	Saccocirridae	long_list			Marine invertebrate	1000GCH	1000GCH											
	Onyx septempapilatus		long_list			Marine invertebrate	1000GCH	1000GCH											
	Bunodactis hermaphtoditica		other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
990308	Perinereis gualpensis	Nereididae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
	Urechis chilensis		other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
1550649	Acanthocyclus albatrossis	Belliidae	long_list			Marine invertebrate	1000GCH	1000GCH											
538204	Hemigrapsus crenulatus	Varunidae	long_list			Marine invertebrate	1000GCH	1000GCH											
656072	Anthothoe chilensis	Sagartiidae	long_list			Marine invertebrate	1000GCH	1000GCH											
2751892	Anthopleura hermaphroditica	Actiniidae	long_list			Marine invertebrate	1000GCH	1000GCH											
2022723	Phymactis clematis	Actiniidae	long_list			Marine invertebrate	1000GCH	1000GCH											
6560721	Anthothoe chilensis	Sagartiidae	long_list			Marine invertebrate	1000GCH	1000GCH											
1378246	Pyura chilensis	Pyuridae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
174394	Lithodes santolla	Lithodidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
123883	Petrolisthes laevigatus	Porcellanidae	other_priority			Marine invertebrate	1000GCH	1000GCH		1000GCH									
290260	Jubaea chilensis	Arecaceae	long_list			Vascular plant	1000GCH	1000GCH											
63806	Gomortega keule	Gomortegaceae	long_list			Vascular plant	1000GCH	1000GCH											
292645	Juania australis	Arecaceae	long_list			Vascular plant	1000GCH	1000GCH											
2878393	Atacamallium minutiflorum	Amaryllidaceae	long_list			Vascular plant	1000GCH	1000GCH											
171774	Archidasyphyllum excelsum	Asteraceae	long_list			Vascular plant	1000GCH	1000GCH											
85172	Berberidopsis corallina	Berberidopsidaceae	long_list			Vascular plant	1000GCH	1000GCH											
432474	Browningia candelaris	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
1677701	Copiapoa cinerea	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
267733	Leucostele atacamensis	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
1913614	Rimacactus laui	Cactaceae	long_list			Vascular plant	1000GCH	1000GCH											
2732847	Rayenia malalcurensis	Escalloniaceae	long_list			Vascular plant	1000GCH	1000GCH											
178792	Valdivia gayana	Escalloniaceae	long_list			Vascular plant	1000GCH	1000GCH											
