Institute	ID Number	Project	Higher Group	Family	Genus	Species	Standard	Buffer	mean1	mean2	cv1	cv2	ratio	ave.sample	ave.standard	GS (2C)	GS (1C)	1C/Gbp	cv.sample	cv.standard	SD(R).sample	measured by	Date	DToL Specimen ID	Previous estimate (2C) (prime*)	Comments on DToL sample					
RBGK	MC9162	DTOL	Angiosperm	Euphorbiaceae	Mercurialis	perennis (female)	>Petro	OXPRO	229.09	316.34	3.23	3.95	1.423	323.36	239.97	6.06	3.03	2.97	4.06	3.50	0.035	Sahr Mian	06/05/2021	KDTOL10180	3.05	Tetraploid					
RBGK	MC9163	DTOL	Angiosperm	Rhamnaceae	Rhamnus	cathartica	<Petro	OXPRO	97.98	384.86	4.64	3.1	3.928	100.08	395.28	1.14	0.57	0.56	4.59	3.45	0.004	Robyn Powell	06/05/2021	KDTOL10181	1.15						
RBGK	MC9164	DTOL	Angiosperm	Rubiaceae	Cruciata	laevipes	<Petro	OXPRO	91.96	544.19	4.67	2.15	5.918	94.04	557.26	0.76	0.38	0.37	4.13	2.60	0.004	Robyn Powell	06/05/2021	KDTOL10182	0.72 (different species)						
RBGK	MC9165	DTOL	Angiosperm	Thymelaeaceae	Daphne	laureola	<Pisum	Galbraith	276.15	373.01	3.62	3.58	1.351	279.84	380.08	6.69	3.35	3.27	3.56	3.27	0.007	Sahr Mian	07/05/2021	KDTOL10183	5.97						
RBGK	MC9166	DTOL	Angiosperm	Colchicaceae	Colchicum	autumnale	>Pisum	OXPRO	235.41	318.82	3.47	3.78	1.354	331.7533333	246.68	12.22	6.11	5.98	3.61	3.32	0.010	Sahr Mian	07/05/2021	KDTOL10184	5.89	Tetraploid					
RBGK	MC9167	DTOL	Angiosperm	Grossulariaceae	Ribes	rubrum	<Petro	OXPRO	122.82	267.84	4.5	3.06	2.181	133.78	290.26	2.07	1.04	1.01	3.98	2.64	0.004	Sahr Mian	07/05/2021	KDTOL10185	1.94						
RBGK	MC9168	DTOL	Angiosperm	Euphorbiaceae	Euphorbia	amygdaloides	>Petro	OXPRO	217.98	343.24	2.27	2.27	1.575	356.78	226.95	7.07	3.54	3.46	2.40	2.29	0.004	Sahr Mian	06/05/2021	KDTOL10186	7.02						
RBGK	MC9169	DTOL	Angiosperm	Dioscoreaceae	Dioscorea	communis	<Petro	OXPRO	126.27	252.08	5.89	3.53	1.996	131.13	272.65	2.16	1.08	1.06	5.55	3.38	0.004	Sahr Mian	07/05/2021	KDTOL10187	1.66						
RBGK	MC9170	DTOL	Angiosperm	Cucurbitaceae	Bryonia	dioica	<Petro	OXPRO	125.5	186.93	3.9	3.9	1.489	116.66	171.56	3.06	1.53	1.50	3.95	4.44	0.004	Robyn Powell	06/05/2021	KDTOL10188	3.30						
RBGK	MC9171	DTOL	Angiosperm	Fagaceae	Fagus	sylvatica	<Petro	OXPRO	108.96	380.88	4.51	3.07	3.496	113.72	390.92	1.31	0.65	0.64	4.38	3.48	0.004	Robyn Powell	06/05/2021	KDTOL10189	1.08						
RBKG	MC9083	DTOL	Angiosperm	Fabaceae	Lathyrus	linifolius	>Pisum	GPB3%PVPBmet	240.28	312.95	2.14	1.68	1.302	320.0866667	246.9866667	11.78	5.89	5.76	1.73	2.11	0.007	Sahr Mian	4/9/2020	KDTOL10088	24.4 in lit search						
RGBE	DB1491	DTOL	Bryophyte		Brachythecium	rutabulum	<Solanum	OXPRO	205.58	414.22	5.07	2.41	2.015	216.23	427.7	2.00	1.00	0.98	4.69	2.72	0.040	Sahr Mian	24/03/2021		1.84						
RGBE	ZAG1905	DTOL	Angiosperm	Fabaceae	Lathyrus	japonicus	>Pisum	GPB3%PVPBmet	320.68	453.45	1.72	1.85	1.414	460.1033333	326.8966667	12.79	6.40	6.26	1.84	1.90	0.007	Sahr Mian	26/08/2020		no previous estimate						
YORK	BJ1	DTOL	Angiosperm	Amaryllidaceae	Narcissus	pseudonarcissus	<Allium	GPB3%PVPBmet	211.58	295.11	2.63	3.63	1.206	214.6566667	298.3433333	25.10	12.55	12.28	2.54	3.26	0.010	Sahr Mian	3/9/2021	KDTOL10132	23.5						
