Institution	Collector_ID	Higher_Group	Family	Genus	Species	GS_2C_pg	GS_1C_pg	GS_Gb	GAL_ID_NO
KEW	MC9084	Angiosperm	Sarraceniaceae	Sarracenia	purpurea	8.12	4.06	3.97068	KDTOL10090/91
KEW	MC9070	Angiosperm	Cyperaceae	Schoenoplectus	lacustris	1.34	0.67	0.65526	KDTOL10074
KEW	MC9087	Angiosperm	Scrophulariaceae	Scrophularia	nodosa	3.2	1.6	1.5648	KDTOL10093
KEW	SM20	Angiosperm	Lamiaceae	Scutellaria	galericulata	0.8	0.4	0.3912	KDTOL10114
KEW	SM21	Angiosperm	Lamiaceae	Scutellaria	minor	0.84	0.42	0.41076	KDTOL10113
KEW	MC9032	Angiosperm	Solanaceae	Solanum	dulcamara	2.47	1.24	1.21272	KDTOL10035
KEW	MC9034	Angiosperm	Lamiaceae	Stachys	palustris	3.52	1.76	1.72128	KDTOL10037
KEW	MC9027	Angiosperm	Caryophyllaceae	Stellaria	media	2.32	1.16	1.13448	KDTOL10030
KEW	MC9106	Angiosperm	Chenopodiaceae	Suaeda	vera	2.51	1.26	1.23228	KDTOL10112
KEW	MC9065	Angiosperm	Asteraceae	Tanacetum	vulgare	10.4	5.2	5.0856	KDTOL10069
KEW	MC9076	Angiosperm	Lamiaceae	Thymus	serpyllum	2.54	1.27	1.24206	KDTOL10081
KEW	MC9085	Angiosperm	Typhaceae	Typha	latifolia	0.6	0.3	0.2934	KDTOL10089
KEW	MC9012	Angiosperm	Urticaceae	Urtica	dioica	2.45	1.23	1.20294	KDTOL10015
KEW	MC9011	Angiosperm	Urticaceae	Urtica	urens	1.02	0.51	0.49878	KDTOL10014
KEW	MC9017	Angiosperm	Verbenaceae	Verbena	officinalis	0.72	0.36	0.35208	KDTOL10020
KEW	MC9028	Angiosperm	Plantaginaceae	Veronica	chamaedrys	3.89	1.94	1.89732	KDTOL10031
KEW	MC9081	Angiosperm	Plantaginaceae	Veronica	spicata	3.33	1.66	1.62348	KDTOL10086
KEW	MC9033	Angiosperm	Fabaceae	Vicia	cracca	17.61	8.81	8.61618	KDTOL10036
KEW	MC9078	Angiosperm	Violaceae	Viola	riviniana	2.73	1.36	1.33008	KDTOL10083
KEW	MC9090	Angiosperm	Viscaceae	Viscum	album	177.8	88.9	86.9442	KDTOL10096
RBGE	ZAG1882	Angiosperm	Plumbaginaceae	Armeria	maritima	9.25	4.62	4.51836	
RBGE	ZAG1896	Monilophyte	Athyriaceae	Athyrium	distentifolium	15.82	7.91	7.73598	
RBGE	ZAG1891	Angiosperm	Betulaceae	Betula	nana	1.09	0.54	0.52812	
RBGE	ZAG1890	Monilophyte	Blechnaceae	Blechnum	spicant	15.11	7.56	7.39368	
RBGE	ZAG1885	Angiosperm	Poaceae	Briza	media	6.71	3.36	3.28608	
RBGE	ZAG1892	Angiosperm	Ericaceae	Calluna	vulgaris	1.26	0.63	0.61614	
RBGE	ZAG1907	Angiosperm	Asteraceae	Cicerbita	alpina	12	6	5.868	
RBGE	ZAG1901	Angiosperm	Cornaceae	Cornus	sanguinea	2.61	1.3	1.2714	
RBGE	ZAG1883	Angiosperm	Poaceae	Danthonia	decumbens	4.59	2.3	2.2494	
RBGE	ZAG1874	Angiosperm	Caryophyllaceae	Dianthus	deltoides	0.97	0.48	0.46944	
RBGE	ZAG1913	Monilophyte	Equisetaceae	Equisetum	hyemale	60.84	30.42	29.75076	
RBGE	ZAG1904	Angiosperm	Geraniaceae	Erodium	maritimum	1.89	0.95	0.9291	
RBGE	ZAG1894	Angiosperm	Rhamnaceae	Frangula	alnus	1.05	0.53	0.51834	
RBGE	ZAG1918	Angiosperm	Oleaceae	Fraxinus	excelsior	1.86	0.93	0.90954	
RBGE	ZAG1880	Angiosperm	Cistaceae	Helianthemum	nummularium	6.49	3.24	3.16872	
RBGE	ZAG1873	Angiosperm	Elaeagnaceae	Hippophae	rhamnoides	2.99	1.49	1.45722	
RBGE	RG1	Lycophyte	Lycopodiaceae	Huperzia	selago	21.33	10.66	10.42548	
RBGE	ZAG1877	Angiosperm	Iridaceae	Iris	pseudacorus	12.15	6.07	5.93646	
RBGE	ZAG1886	Gymnosperm	Cupressaceae	Juniperus	communis	22.45	11.23	10.98294	
RBGE	ZAG1893	Angiosperm	Oleaceae	Ligustrum	vulgare	3.42	1.71	1.67238	
RBGE	ZAG1906	Angiosperm	Caprifoliaceae	Linnaea	borealis	2	1	0.978	
RBGE	ZAG1884	Angiosperm	Fabaceae	Lotus	corniculatus	2.73	1.36	1.33008	
RBGE	ZAG1900	Angiosperm	Juncaceae	Luzula	sylvatica	0.53	0.26	0.25428	
RBGE	ZAG1887	Lycophyte	Lycopodiaceae	Lycopodium	clavatum	5.85	2.93	2.86554	
RBGE	ZAG1908	Angiosperm	Orobanchaceae	Melampyrum	sylvaticum	7.64	3.82	3.73596	
RBGE	ZAG1878	Angiosperm	Myricaceae	Myrica	gale	0.61	0.3	0.2934	
RBGE	ZAG1879	Angiosperm	Oxalidaceae	Oxalis	acetosella	5.71	2.86	2.79708	
RBGE	ZAG1916	Monilophyte	Marsileaceae	Pilularia	globulifera	2.08	1.04	1.01712	
RBGE	ZAG1876	Gymnosperm	Pinaceae	Pinus	sylvestris	46.51	23.26	22.74828	
RBGE	ZAG1917	Angiosperm	Lamiaceae	Prunella	vulgaris	1.44	0.72	0.70416	
RBGE	ZAG1875	Monilophyte	Dennstaedtiaceae	Pteridium	aquilinum	17.2	8.6	8.4108	
RBGE	ZAG1902	Angiosperm	Fagaceae	Quercus	petraea	2.02	1.01	0.98778	
RBGE	ZAG1889	Angiosperm	Salicaceae	Salix	lanata	0.9	0.45	0.4401	
RBGE	ZAG1881	Angiosperm	Saxifragaceae	Saxifraga	oppositifolia	3.15	1.57	1.53546	
RBGE	ZAG1909	Angiosperm	Rosaceae	Sorbus	aucuparia	1.18	0.59	0.57702	
RBGE	ZAG1909	Angiosperm	Rosaceae	Sorbus	aucuparia	1.23	0.61	0.59658	
RBGE	ZAG1903	Angiosperm	Caprifoliaceae	Succisa	pratensis	5.56	2.78	2.71884	
RBGE	ZAG1895	Gymnosperm	Taxaceae	Taxus	baccata	25.03	12.52	12.24456	
RBGE	ZAG1888	Angiosperm	Ranunculaceae	Trollius	europaeus	9.97	4.98	4.87044	
RBGE	ZAG1897	Angiosperm	Ulmaceae	Ulmus	glabra	4.3	2.15	2.1027	
RGBE	ZAG1905	Angiosperm	Fabaceae	Lathyrus	japonicus	12.79	6.4	6.2592	
