Institution	Collector_ID	Higher_Group	Family	Genus	Species	GS_2C_pg	GS_1C_pg	GS_Gb	GAL_ID_NO
KEW	MC9097	Angiosperm	Sapindaceae	Acer	campestre	1.62	0.81	0.79218	KDTOL10103
KEW	MC9091	Monilophyte	Aspleniaceae	Asplenium	ruta-muraria	13.07	6.54	6.39612	KDTOL10097
KEW	MC9006	Angiosperm	Solanaceae	Atropa	belladonna	4.29	2.15	2.1027	KDTOL10009
KEW	MC9060	Angiosperm	Asteraceae	Cicerbita	muralis	4	2	1.956	KDTOL10064
KEW	MC9025	Angiosperm	Asteraceae	Eupatorium	cannabinum	5.49	2.74	2.67972	KDTOL10028
KEW	MC9101	Angiosperm	Geraniaceae	Geranium	robertianum	2.64	1.32	1.29096	KDTOL10107
KEW	MC9001	Angiosperm	Fabaceae	Ononis	repens	2.86	1.43	1.39854	KDTOL10003
KEW	MC9036	Angiosperm	Polygonaceae	Rumex	hydrolapathum	12.5	6.25	6.1125	KDTOL10039
KEW	MC9022	Monilophyte	Pteridaceae	Adiantum	capillus-veneris	11.81	5.91	5.77998	KDTOL10025
KEW	MC9059	Angiosperm	Simaroubaceae	Ailanthus	altissima	2.4	1.2	1.1736	KDTOL10063
KEW	MC9038	Angiosperm	Betulaceae	Alnus	glutinosa	1.14	0.57	0.55746	KDTOL10041
RBGE	ZAG1898	Angiosperm	Betulaceae	Alnus	glutinosa	1.08	0.54	0.52812	
KEW	MC9067	Angiosperm	Aponogetonaceae	Aponogeton	distachyos	10.59	5.3	5.1834	KDTOL10071
KEW	MC9041	Angiosperm	Brassicaceae	Arabidopsis	thaliana	0.36	0.18	0.17604	KDTOL10045
KEW	MC9018	Angiosperm	Asteraceae	Arctium	minus	4.23	2.11	2.06358	KDTOL10022
KEW	MC9023	Monilophyte	Aspleniaceae	Asplenium	scolopendrium	17.39	8.69	8.49882	KDTOL10026
KEW	MC9072	Angiosperm	Lamiaceae	Ballota	nigra	2.91	1.45	1.4181	KDTOL10077
KEW	MC9061	Angiosperm	Asteraceae	Bellis	perennis	3.56	1.78	1.74084	KDTOL10065
KEW	MC9020	Angiosperm	Boraginaceae	Borago	officinalis	3.27	1.64	1.60392	KDTOL10023
KEW	MC9000	Angiosperm	Brassicaceae	Brassica	oleracea	1.44	0.72	0.70416	KDTOL10002
KEW	MC9030	Angiosperm	Cucurbitaceae	Bryonia	dioica	3.26	1.63	1.59414	KDTOL10033
KEW	MC9096	Angiosperm	Scrophulariaceae	Buddleja	davidii	3.16	1.58	1.54524	KDTOL10102
KEW	MC9069	Angiosperm	Butomaceae	Butomus	umbellatus	8.69	4.35	4.2543	KDTOL10073
KEW	MC9100	Angiosperm	Buxaceae	Buxus	sempervirens	1.82	0.91	0.88998	KDTOL10106
KEW	MC9048	Angiosperm	Brassicaceae	Cakile	maritima	1.73	0.87	0.85086	KDTOL10052
KEW	MC9014	Angiosperm	Convolvulaceae	Calystegia	sepium	1.48	0.74	0.72372	KDTOL10017
KEW	MC9082	Angiosperm	Cyperaceae	Carex	depauperata	1.77	0.88	0.86064	KDTOL10087
KEW	MC9043	Angiosperm	Plantaginaceae	Chaenorhinum	minus	0.91	0.46	0.44988	KDTOL10047
KEW	MC9042	Angiosperm	Asteraceae	Chamaemelum	nobile	9.86	4.93	4.82154	KDTOL10046
KEW	MC9103	Angiosperm	Onagraceae	Chamaenerion	angustifolium	1.71	0.85	0.8313	KDTOL10109
KEW	MC9086	Angiosperm	Papaveraceae	Chelidonium	majus	2.53	1.26	1.23228	KDTOL10092
KEW	MC9005	Angiosperm	Onagraceae	Circaea	lutetiana	1.23	0.61	0.59658	KDTOL10008
KEW	MC9093	Angiosperm	Ranunculaceae	Clematis	vitalba	19.09	9.54	9.33012	KDTOL10099
KEW	MC9074	Angiosperm	Rosaceae	Comarum	palustre	1.4	0.7	0.6846	KDTOL10079
KEW	MC9026	Angiosperm	Convolvulaceae	Convolvulus	arvensis	1.31	0.66	0.64548	KDTOL10029
KEW	M9050	Angiosperm	Apiaceae	Crithmum	maritimum	5.11	2.55	2.4939	KDTOL10054
KEW	MC9054	Angiosperm	Apiaceae	Daucus	carota	1.13	0.56	0.54768	KDTOL10058
KEW	MC9045	Angiosperm	Dioscoreaceae	Dioscorea	communis	2.64	1.32	1.29096	KDTOL10049
KEW	MC9088	Monilophyte	Equisetaceae	Equisetum	arvense	28.89	14.44	14.12232	KDTOL10094
RBGE	ZAG1912	Monilophyte	Equisetaceae	Equisetum	arvense	28.68	14.34	14.02452	
KEW	MC9089	Monilophyte	Equisetaceae	Equisetum	palustre	27.97	13.99	13.68222	KDTOL10095
KEW	MC9046	Monilophyte	Equisetaceae	Equisetum	telmateia	28.79	14.39	14.07342	KDTOL10050
KEW	MC9080	Angiosperm	Ericaceae	Erica	ciliaris	1.05	0.53	0.51834	KDTOL10085
KEW	MC9104	Angiosperm	Celastraceae	Euonymus	europaeus	1.19	0.59	0.57702	KDTOL10110
KEW	1994-2809	Angiosperm	Euphorbiaceae	Euphorbia	lathyris	2.52	1.26	1.23228	KDTOL10006
KEW	MC9009	Angiosperm	Euphorbiaceae	Euphorbia	peplus	0.8	0.4	0.3912	KDTOL10012
KEW	MC9031	Angiosperm	Polygonaceae	Fallopia	convolvulus	1.39	0.7	0.6846	KDTOL10034
KEW	MC9037	Angiosperm	Rosaceae	Filipendula	ulmaria	0.8	0.4	0.3912	KDTOL10040
KEW	MC9008	Angiosperm	Papaveraceae	Fumaria	officinalis	1.29	0.64	0.62592	KDTOL10011
KEW	MC9094	Angiosperm	Rubiaceae	Galium	aparine	2.16	1.08	1.05624	KDTOL10100
KEW	MC9077	Angiosperm	Rosaceae	Geum	rivale	2.58	1.29	1.26162	KDTOL10082
KEW	MC9055	Angiosperm	Rosaceae	Geum	urbanum	3.29	1.64	1.60392	KDTOL10059
KEW	MC9099	Angiosperm	Araliaceae	Hedera	helix	3.17	1.59	1.55502	KDTOL10105
KEW	MC9079	Angiosperm	Cistaceae	Helianthemum	apenninum	6.34	3.17	3.10026	KDTOL10084
KEW	MC9010	Angiosperm	Poaceae	Holcus	mollis	7.63	3.81	3.72618	KDTOL10013
KEW	MC9049	Angiosperm	Caryophyllaceae	Honckenya	peploides	8.4	4.2	4.1076	KDTOL10053
KEW	MC9035	Angiosperm	Cannabaceae	Humulus	lupulus	5.86	2.93	2.86554	KDTOL10038
KEW	MC9064	Angiosperm	Hypericaceae	Hypericum	perforatum	1.62	0.81	0.79218	KDTOL10068
KEW	MC9098	Angiosperm	Aquifoliaceae	Ilex	aquifolium	2.07	1.04	1.01712	KDTOL10104
KEW	MC9095	Angiosperm	Balsaminaceae	Impatiens	glandulifera	2.04	1.02	0.99756	KDTOL10101
KEW	MC9004	Angiosperm	Balsaminaceae	Impatiens	noli-tangere	1.54	0.77	0.75306	KDTOL10007
KEW	MC9019	Angiosperm	Juncaceae	Juncus	effusus	0.6	0.3	0.2934	KDTOL10021
KEW	MC9071	Angiosperm	Lamiaceae	Lamium	album	1.94	0.97	0.94866	KDTOL10076
KEW	MC9083	Angiosperm	Fabaceae	Lathyrus	linifolius	11.78	5.89	5.76042	KDTOL10088
KEW	MC9063	Angiosperm	Plantaginaceae	Linaria	vulgaris	1.93	0.96	0.93888	KDTOL10067
KEW	MC9016	Angiosperm	Lamiaceae	Lycopus	europaeus	NO DATA	RECOLLECT	#VALUE!	KDTOL10019
KEW	MC9073	Angiosperm	Primulaceae	Lysimachia	vulgaris	4.61	2.31	2.25918	KDTOL10078
KEW	MC9015	Angiosperm	Lythraceae	Lythrum	salicaria	3.24	1.62	1.58436	KDTOL10018
KEW	MC9024	Angiosperm	Fabaceae	Medicago	arabica	1.24	0.62	0.60636	KDTOL10027
KEW	MC9051	Angiosperm	Euphorbiaceae	Mercurialis	annua	1.41	0.71	0.69438	KDTOL10055
KEW	MC9021	Angiosperm	Plantaginaceae	Misopates	orontium	1	0.5	0.489	KDTOL10024
KEW	MC9066	Angiosperm	Menyanthaceae	Nymphoides	peltata	1.76	0.88	0.86064	KDTOL10070
KEW	MC9058	Angiosperm	Fabaceae	Onobrychis	viciifolia	2.91	1.46	1.42788	KDTOL10062
KEW	MC9002	Angiosperm	Orobanchaceae	Orobanche	hederae	5.65	2.83	2.76774	KDTOL10004/5
KEW	MC9029	Monilophyte	Osmundaceae	Osmunda	regalis	29.05	14.53	14.21034	KDTOL10032
KEW	MC9007	Angiosperm	Papaveraceae	Papaver	dubium	4.84	2.42	2.36676	KDTOL10010
KEW	MC9057	Angiosperm	Urticaceae	Parietaria	judaica	1.53	0.77	0.75306	KDTOL10061
KEW	MC9013	Angiosperm	Polygonaceae	Persicaria	maculosa	3.46	1.73	1.69194	KDTOL10016
KEW	MC9062	Angiosperm	Plantaginaceae	Plantago	lanceolata	2.92	1.46	1.42788	KDTOL10066
RBGE	ZAG1899	Angiosperm	Plantaginaceae	Plantago	lanceolata	2.94	1.47	1.43766	
KEW	MC9102	Angiosperm	Polygonaceae	Polygonum	aviculare	1.86	0.93	0.90954	KDTOL10108
KEW	MC9092	Monilophyte	Polipodiaceae	Polypodium	vulgare	46.01	23	22.494	KDTOL10098
KEW	MC9068	Angiosperm	Pontederiaceae	Pontederia	cordata	1.4	0.7	0.6846	KDTOL10072
KEW	MC9040	Angiosperm	Rosaceae	Potentilla	anserina	1.12	0.56	0.54768	KDTOL10043
KEW	MC9039	Angiosperm	Asteraceae	Pulicaria	dysenterica	2.19	1.1	1.0758	KDTOL10042
KEW	MC9075	Angiosperm	Ranunculaceae	Pulsatilla	vulgaris	25.96	12.98	12.69444	KDTOL10080
KEW	MC9105	Angiosperm	Ranunculaceae	Ranunculus	acris	9.88	4.94	4.83132	KDTOL10111
KEW	MC9047	Angiosperm	Polygonaceae	Reynoutria	japonica	9.93	4.96	4.85088	KDTOL10051
KEW	MC9056	Angiosperm	Polygonaceae	Rumex	sanguineus	1.77	0.88	0.86064	KDTOL10060
KEW	MC9053	Angiosperm	Adoxaceae	Sambucus	nigra	27.39	13.69	13.38882	KDTOL10057
