Order	Family	Genus	species	Sexual System	Karyotype	Genotypic	Haplodiploidy	Predicted ploidy	Chromosome_number_female_2N	Chromosome_number_male_2N
Acariformes	Acaridae	Acarus	siro	gonochorous	XO				18	
Acariformes	Acaridae	Caloglyphus	berlesei	gonochorous	XO				18	
Acariformes	Acaridae	Caloglyphus	michaeli	gonochorous	XO				16	
Acariformes	Acaridae	Rhizoglyphus	echinopus	gonochorous	XY				10	
Acariformes	Acaridae	Rhizoglyphus	robini	gonochorous						
Acariformes	Acaridae	Sancassania	berlesei	gonochorous	XO				18	
Acariformes	Acaridae	Sancassania	michaeli	gonochorous	XO				16	
Acariformes	Acaridae	Schwiebea	elongata	parthenogenetic						
Acariformes	Acaridae	Tyrophagus	casei	gonochorous	XY				10	
Acariformes	Acaridae	Tyrophagus	neiswanderi	gonochorous	XY				12	
Acariformes	Acaridae	Tyrophagus	putrescentiae	gonochorous	XO				16	
Acariformes	Achipteriidae	Achipteria	coleoptrata	gonochorous						
Acariformes	Achipteriidae	Achipteria	punctata	gonochorous					18	
Acariformes	Anystidae	Anystis	baccarum	parthenogenetic						
Acariformes	Anystidae	Anystis	salicinus	parthenogenetic						
Acariformes	Arrenuridae	Arrenurus	bicuspidator	gonochorous					20	
Acariformes	Arrenuridae	Arrenurus	pustulator	gonochorous					23	
Acariformes	Astegistidae	Cultroribula	bicultrata	parthenogenetic						
Acariformes	Atopochthoniidae	Atopochthonius	artiodactylus	parthenogenetic						
Acariformes	Brachychthoniidae	Brachychthonius	berlesei	parthenogenetic						
Acariformes	Brachychthoniidae	Eobrachychthonius	latior	parthenogenetic						
Acariformes	Brachychthoniidae	Liochthonius	brevis	parthenogenetic						
Acariformes	Brachychthoniidae	Liochthonius	sellnicki	parthenogenetic						
Acariformes	Brachychthoniidae	Liochthonius	strenzkei	parthenogenetic						
Acariformes	Brachychthoniidae	Poecilochthonius	spiciger	parthenogenetic						
Acariformes	Brachychthoniidae	Sellnickochthonius	immaculatus	parthenogenetic						
Acariformes	Brachychthoniidae	Sellnickochthonius	zelawaiensis	parthenogenetic						
Acariformes	Brachychthoniidae	Synchthonius	crenulatus	parthenogenetic						
Acariformes	Camisiidae	Camisia	horrida	parthenogenetic						
Acariformes	Camisiidae	Camisia	invenusta	parthenogenetic						
Acariformes	Camisiidae	Camisia	segnis	parthenogenetic						
Acariformes	Camisiidae	Camisia	spinifer	parthenogenetic						
Acariformes	Camisiidae	Heminothrus	longisetosus	parthenogenetic						
Acariformes	Camisiidae	Heminothrus	ornatissimus	parthenogenetic						
Acariformes	Camisiidae	Heminothrus	paolianus	parthenogenetic						
Acariformes	Camisiidae	Heminothrus	targionii	parthenogenetic						
Acariformes	Camisiidae	Platynothrus	peltifer	parthenogenetic						
Acariformes	Camisiidae	Platynothrus	punctatus	parthenogenetic						
Acariformes	Camisiidae	Platynothrus	septentrionalis	parthenogenetic						
Acariformes	Camisiidae	Platynothrus	sibiricus	parthenogenetic						
Acariformes	Camisiidae	Platynothrus	thori	parthenogenetic						
Acariformes	Carabodidae	Carabodes	femoralis	gonochorous						
Acariformes	Carabodidae	Carabodes	granulatus	parthenogenetic						
Acariformes	Ceratoppiidae	Ceratoppia	bipilis	gonochorous						
Acariformes	Ceratozetidae	Ceratozetes	cuspidatus	parthenogenetic						
Acariformes	Ceratozetidae	Ceratozetes	gracilis	gonochorous						
Acariformes	Ceratozetidae	Ceratozetes	parvulus	parthenogenetic						
Acariformes	Chamobatidae	Chamobates	borealis	gonochorous						
Acariformes	Chamobatidae	Chamobates	voigtsi	gonochorous						
Acariformes	Cheyletidae	Acaropsellina	docta	gonochorous			other		10	
Acariformes	Cheyletidae	Cheyletus	malaccensis	gonochorous			other		4	
Acariformes	Cheyletidae	Cheletogenes	ornatus	gonochorous			other		4	
Acariformes	Cheyletidae	Cheyletus	eruditus	parthenogenetic					4	
Acariformes	Cosmochthoniidae	Gozmanyina	majesta	parthenogenetic						
Acariformes	Crotoniidae	Crotonia	brachyrostrum	gonochorous						
Acariformes	Damaeidae	Damaeobelba	minutissima	parthenogenetic						
Acariformes	Damaeidae	Damaeus	verticillipes	gonochorous					18	
Acariformes	Eniochthoniidae	Eniochthonius	minutissimus	parthenogenetic						
Acariformes	EPILOHMANNIIDAE	Epilohmannia	cylindrica	parthenogenetic						
Acariformes	EPILOHMANNIIDAE	Epilohmannia	pallida	parthenogenetic						
Acariformes	Eremobelbidae	Eremobelba	gracilior	gonochorous						
Acariformes	Eriophyidae	Abacarus	hystrix	gonochorous			other			
Acariformes	Eriophyidae	Aceria	ficus	gonochorous			other			
Acariformes	Eriophyidae	Aceria	guerreronis	gonochorous			other			
Acariformes	Eriophyidae	Aceria	sheldoni	gonochorous			other		4	
Acariformes	Eriophyidae	Aculops	lycopersici	gonochorous			other		4	
Acariformes	Eriophyidae	Aculops	pelekassi	gonochorous			other			
Acariformes	Eriophyidae	Aculus	schlechtendali	gonochorous			other		4	
Acariformes	Eriophyidae	Phyllocoptruta	oleivora	gonochorous			other		4	
Acariformes	Eriophyidae	Epitrimerus	pyri	gonochorous			other			
Acariformes	Eriophyidae	Eriophyes	laevis	gonochorous			other			
Acariformes	Eriophyidae	Eriophyes	tiliae	gonochorous			other		4	
Acariformes	Eriophyidae	Rhyncaphytoptus	ficifoliae	gonochorous			other			
Acariformes	Erythraeidae	Balaustium	sp.	parthenogenetic						
Acariformes	Erythraeidae	Erythraeus	sp.	gonochorous					16	
Acariformes	Eulohmanniidae	Eulohmannia	ribagai	parthenogenetic						
Acariformes	Euphthiracaridae	Microtritia	minima	parthenogenetic						
Acariformes	Eupodidae	Claveupodes	delicatus	parthenogenetic						
Acariformes	Eupodidae	Linopodes	sp.	gonochorous			other		18	
Acariformes	Eutegaeidae	Eutegaeus	curviseta	gonochorous						
Acariformes	EUZETIDAE	Euzetes	globulus	gonochorous					18	
Acariformes	Galumnidae	Pergalumna	emarginata	gonochorous						
Acariformes	Gehypochthoniidae	Gehypochthonius	rhadamanthus	parthenogenetic						
Acariformes	Gehypochthoniidae	Gehypochthonius	urticinus	parthenogenetic						
Acariformes	Glycyphagidae	Glycyphagus	domesticus	gonochorous	XO				18	
Acariformes	Haplozetidae	Protoribates	capucinus	parthenogenetic						
Acariformes	Haplozetidae	Protoribates	lophotrichus	parthenogenetic						
Acariformes	Haplozetidae	Rostrozetes	foveolatus	parthenogenetic						
Acariformes	Haplozetidae	Xylobates	capucinus	parthenogenetic						
Acariformes	Hermanniidae	Hermannia	gibba	gonochorous					16	
Acariformes	Histiostomatidae	Histiostoma	feroniarum	gonochorous			other		14	
Acariformes	Histiostomatidae	Histiostoma	julorum	gonochorous			other			
Acariformes	Humerobatidae	Humerobates	rostrolamellatus	gonochorous			other		16	
Acariformes	Hydrachnidae	Hydrachna	globosa	gonochorous					12	
Acariformes	Hydrachnidae	Hydrachna	leegei	gonochorous					20	
Acariformes	Hydrachnidae	Hydrachna	uniscutata	gonochorous					12	
Acariformes	Hydrodromidae	Hydrodroma	despiciens	gonochorous					6	
Acariformes	Hydryphantidae	Hydryphantes	bayeri	gonochorous					10	
Acariformes	Hydryphantidae	Hydryphantes	ruber	gonochorous					12	
Acariformes	Hydryphantidae	Parathyas	dirempta	gonochorous					18	
Acariformes	Hygrobatidae	Hygrobates	calliger	gonochorous					14	
Acariformes	Hypochthoniidae	Hypochthonius	luteus	parthenogenetic						
Acariformes	Hypochthoniidae	Hypochthonius	rufulus	gonochorous					18	
Acariformes	Hypochthoniidae	Malacoangelia	remigera	parthenogenetic						
Acariformes	Labidostommatidae	Labidostomma	luteum	parthenogenetic						
Acariformes	Lebertiidae	Lebertia	porosa	gonochorous					16	
Acariformes	Lebertiidae	Lebertia	stackelbergi	gonochorous					18	
Acariformes	Liacaridae	Liacarus	coracinus	gonochorous						
Acariformes	Liacaridae	Liacarus	subterraneus	gonochorous						
Acariformes	Limnesiidae	Limnesia	maculata	gonochorous					18	
Acariformes	Limnesiidae	Limnesia	undulata	gonochorous					18	
Acariformes	Limnocharidae	Limnochares	aquatica	gonochorous					6	
Acariformes	Lohmanniidae	Lohmannia	banksi	parthenogenetic						
Acariformes	Malaconothridae	Malaconothrus	gracilis	parthenogenetic						
Acariformes	Malaconothridae	Trimalaconothrus	glaber	parthenogenetic						
Acariformes	Malaconothridae	Trimalaconothrus	novus	parthenogenetic						
Acariformes	Mochlozetidae	Podoribates	pratensis	gonochorous						
Acariformes	Mycobatidae	Punctoribates	punctum	gonochorous						
Acariformes	Nanhermanniidae	Nanhermannia	comitalis	parthenogenetic						
Acariformes	Nanhermanniidae	Nanhermannia	coronata	parthenogenetic						
Acariformes	Nanhermanniidae	Nanhermannia	dorsalis	parthenogenetic						
Acariformes	Nanhermanniidae	Nanhermannia	elegantula	parthenogenetic						
Acariformes	Nanhermanniidae	Nanhermannia	nana	parthenogenetic						
Acariformes	Nothridae	Nothrus	anauniensis	parthenogenetic						
Acariformes	Nothridae	Nothrus	borussicus	parthenogenetic						
Acariformes	Nothridae	Nothrus	palustris	parthenogenetic						
Acariformes	Nothridae	Nothrus	pratensis	parthenogenetic						
Acariformes	Nothridae	Nothrus	silvestris	parthenogenetic						
Acariformes	Nothridae	Nothrus	silvicus	parthenogenetic						
Acariformes	Nothridae	Nothrus	truncatus	parthenogenetic						
Acariformes	Nothridae	Novonothrus	flagellatus	gonochorous						
Acariformes	Oppiidae	Microppia	minus	parthenogenetic						
Acariformes	Oppiidae	Oppia	nitens	parthenogenetic						
Acariformes	Oppiidae	Oppiella	nova	parthenogenetic						
Acariformes	Oppiidae	Quadroppia	quadricarinata	parthenogenetic						
Acariformes	Oribatellidae	Oribatella	calcarata	gonochorous						
Acariformes	Oribatellidae	Oribatella	quadricornuta	gonochorous						
Acariformes	Oribatulidae	Oribatula	sakamorii	parthenogenetic						
Acariformes	Oribatulidae	Oribatula	tibialis	gonochorous						
Acariformes	Palaeacaridae	Palaeacarus	hystricinus	parthenogenetic						
Acariformes	Palaeacaridae	Palaeacarus	kamenskii	parthenogenetic						
Acariformes	Penthaleidae	Halotydeus	destructor	gonochorous						
