taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
2138241	Mesorhabditis belari	CHROMADOREA	RHABDITIDA	RHABDITINA	MESORHABDITIDAE	10	2	XX/XY		parthenogenesis autopseudogamy	https://science.sciencemag.org/content/363/6432/1210	
44603	Dictyocaulus filaria	CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	6	2	XX/X0		male | female | amphimixis	Struckmann, 1906, Walton, 1940 	
29172	Dictyocaulus viviparus	CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	6	2	XX/X0		male | female | amphimixis	Walton, 1940	
1705085	Metastrongylus apri	CHROMADOREA	RHABDITIDA	RHABDITINA	METASTRONGYLIDAE	6	2	XX/X0			Gulick, 1911, Walton, 1940	
174716	Rhabdias bufonis	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	6	2	XX/X0		amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Walton 1940, Runey 1978	
174716	Rhabdias bufonis	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	6	2	XX/X0		hermaphrodite	Schleip, 1911	
1492862	Rhabdias elegans	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	6	2	XX/X0			Nigon & Dougherty 1949	
357927	Rhabdias ranae	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDIASIDAE	6	2	XX/X0		heterogony-amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics; Walton 1940, Runey 1978	
473160	Auanema rhodensis	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	7	2	XX/X0		male | female | hermaphrodite	Tandonnet S., Farrell M.C., Koutsovoulos G.D., Blaxter M.L., Parihar M., et al., 2018 Sex- and gamete-specific patterns of X chromosome segregation in a trioecious nematode. Curr Biol 28: 93–99 e93.	
6238	Caenorhabditis briggsae	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	XX/X0		male | protandrous hermaphrodite	Mitreva et al. (2005)	
6239	Caenorhabditis elegans	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	XX/X0		male | protandrous hermaphrodite	Mitreva et al. (2005)	
281687	Caenorhabditis japonica	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	XX/X0			Mitreva et al. (2005)	
31234	Caenorhabditis remanei	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	XX/X0			Mitreva et al. (2005)	
288516	Diploscapter coronatus	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	1	2			parthenogenesis 	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Hechler 1968	
367193	Diploscapter lycostoma	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	1	2			parthenogenesis 	Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
2018661	Diploscapter pachys	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	1	2			parthenogenesis 	Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
141969	Oscheius tipulae	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	XX/X0	yes		Besnard et al	
96659	Poikilolaimus oxycercus	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	5	2				Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
281684	Prodontorhabditis wirthi	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2				Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
473172	Protorhabditis sp. 4 JB122	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	1	2			pseudogamous	Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
321369	Stephanurus dentatus	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	6	2				Tromba & Stecke, 1957	
40346	Strongylus edentatus	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	6	2	XX/X0			Kúhtz, 1913, Walton, 1940	
40347	Strongylus equinus	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	6	2	XX/X0			Kúhtz, 1913, Walton, 1940	
40348	Strongylus vulgaris	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	6	2	XX/X0			Kúhtz, 1913, Walton, 1940	
6289	Haemonchus contortus	CHROMADOREA	RHABDITIDA	RHABDITINA	TRICHOSTRONGYLIDAE	6	2	XX/X0		male | female | amphimixis	Bremner, 1955 	
40351	Trichostrongylus tenuis	CHROMADOREA	RHABDITIDA	RHABDITINA	TRICHOSTRONGYLIDAE	6	2	XX/X0		male | female | amphimixis	Gulick, 1911, Walton, 1940	
2710681	Dispharynx nasuta	CHROMADOREA	RHABDITIDA	SPIRURINA	ACUARIIDAE	6	2	XX/X0			Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	
292499	Contracaecum spiculigerum	CHROMADOREA	RHABDITIDA	SPIRURINA	ANISAKIDAE	8	2	XX/X0			Gulick, 1911, Walton, 1940 Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	5
118886	Hysterothylacium aduncum	CHROMADOREA	RHABDITIDA	SPIRURINA	ANISAKIDAE	12	2	XX/X0			Walton, 1940	
544313	Ascaridia compar	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	5	2	XX/X0			Mutafova (1995)	
6252	Ascaris lumbricoides	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	24	2	X5X5/X50	yes +12 chr	male | female | amphimixis	Homedes, 1933	
6253	Ascaris suum	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	24	2	X5X5/X50	yes	male | female | amphimixis	Homedes, 1933	
6260	Baylisascaris transfuga	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	18	2				Mutafova (1995)	
