taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
244176	Meloidogyne naasi	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	18				automixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
107756	Meloidogyne nataliei	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	4		XX/XY		amphimixis	Triantaphyllou AC: Gametogenesis and the Chromosomes of Meloidogyne nataliei: Not Typical of Other Root-knot Nematodes. J Nematol 1985, 17:1–5.                                                                                                                                                                          	
325757	Meloidogyne oryzae	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	51				apomixis	Triantaphyllou AC: Cytogenetics, cytotaxonomy and phylogeny of root-knot nematodes. In An advanced treatise on Meloidogyne vol. I. Biology and control. Edited by J. N. Sasser ACCC. Raleigh: North Carolina State University; 1985.                                                                                     	
189293	Meloidogyne paranaensis	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	50				apomixis	Carneiro RM, Carneiro RG, Abrantes IM, Santos MS, Almeida MR: Meloidogyne paranaensis n. sp. (Nemata: Meloidogynidae), a Root-Knot Nematode Parasitizing Coffee in Brazil. J Nematol 1996, 28:177–189.	
285957	Meloidogyne partityla	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	40				apomixis	Marais M, DE W. KRUGER JC: THE CYTOGENETICS OF SOME SOUTH AFRICAN ROOT ·KNOT NEMATODES (HETERODERIDAE: NEMATODA). Phytophylactica 1991, 23:265–272.                                                                                                                                                                      	
436084	Meloidogyne spartinae	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	7	2			amphimixis	Tylenchida Parasites of Plants and Insects By Mohammad Rafiq Siddiqi · 2000	
6233	Panagrellus redivivus	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	5	2	XX/X0			Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X Hechler https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2618770/pdf/355.pdf	
277884	Panagrolaimus davidi	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	10	2			meiotic parthenogenetic	PhD Thesis Georgina O'Mahony Zamora,	7
591433	Panagrolaimus rigidus	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	4	2	XX/X0		amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics; Nigon 1949	
591445	Panagrolaimus sp. DAWI	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	4	2			male | female	Schiffer et al https://doi.org/10.1016/j.isci.2019.10.041	
55785	Panagrolaimus sp. PS1159	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	4	3			parthenogenesis 	Schiffer et al https://doi.org/10.1016/j.isci.2019.10.039	
310962	Panagrolaimus sp. PS1579	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	4	3			parthenogenesis 	Schiffer et al https://doi.org/10.1016/j.isci.2019.10.042	
310955	Panagrolaimus superbus	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	4	2			male | female	PhD Thesis Georgina O'Mahony Zamora,	
591449	Propanagrolaimus sp. JU765	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	5	2			male | female	Schiffer et al https://doi.org/10.1016/j.isci.2019.10.044	
6326	Bursaphelenchus xylophilus	CHROMADOREA	RHABDITIDA	TYLENCHINA	PARASITAPHELENCHIDAE	6	2				Hasengawa et al. (2006)	
46008	Nacobbus aberrans			TYLENCHINA	PRATYLENCHIDAE	7	2			amphimixis	Anthoine G, Mugniéry D. Obligatory amphimixis and variation in chromosome number within and among South American populations of Nacobbus aberrans (Thorne, 1935) Thorne & Allen, 1944 (Nematoda: Pratylenchidae). Nematology. 2005;7: 783–787. doi:10.1163/156854105775143008	
45937	Pratylenchus coffeae	CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	7	2			amphimixis	Roman and Triantaphyllou J Nem 1 357-364	
45929	Pratylenchus penetrans	CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	5	2			amphimixis	Roman and Triantaphyllou J Nem 1 357-362	
45936	Pratylenchus scribneri	CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	6	2			meiotic parthenogen	Roman and Triantaphyllou J Nem 1 357-365	
45931	Pratylenchus vulnus	CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	6	2			amphimixis	Roman and Triantaphyllou J Nem 1 357-363	
46012	Radopholus similis	CHROMADOREA	RHABDITIDA	TYLENCHINA	PRATYLENCHIDAE	5	2			protandrous hermarphroditism	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2620439/	
162469	Steinernema affine	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
52070	Steinernema anomali	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
34508	Steinernema carpocapsae	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
52066	Steinernema feltiae	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
37863	Steinernema glaseri	CHROMADOREA	RHABDITIDA	TYLENCHINA	STEINERNEMATIDAE	5	2				https://core.ac.uk/download/pdf/39865835.pdf	
174720	Strongyloides papillosus	CHROMADOREA	RHABDITIDA	TYLENCHINA	STRONGYLOIDIDAE	2	2	XX/XY			Triantaphyllou & Moncol 1977 in Streit	
553534	Strongyloides ransomi	CHROMADOREA	RHABDITIDA	TYLENCHINA	STRONGYLOIDIDAE	2	2	XX/XY		heterogony-gynogenesis + parthenogenesis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics	
34506	Strongyloides ratti	CHROMADOREA	RHABDITIDA	TYLENCHINA	STRONGYLOIDIDAE	3	2	XX/X0		male | female | amphimixis & parthenogenesis	Nigon & Roman, 1952	
6248	Strongyloides stercoralis	CHROMADOREA	RHABDITIDA	TYLENCHINA	STRONGYLOIDIDAE	3	2	XX/X0		male | female | amphimixis & parthenogenesis	Harvey & Viney (2001)	
6335	Trichinella nativa	DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHINELLIDAE	3	2	XX/X0		male | female | amphimixis	Mutafova et al. (1982)	
6336	Trichinella nelsoni	DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHINELLIDAE	3	2	XX/X0		male | female | amphimixis	Mutafova & Komandarev (1976)	
6337	Trichinella pseudospiralis	DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHINELLIDAE	3	2	XX/X0		male | female | amphimixis	Mutafova et al. (1982)	
6334	Trichinella spiralis	DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHINELLIDAE	3	2	XX/X0		male | female | amphimixis	Mutafova et al. (1982)	
36087	Trichuris trichiura	DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHIURIDAE	4	2	XX/X0		amphimixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics	
2358201	Trichosomoides crassicauda	DORYLAIMIA	TRICHOCEPHALIDA	[TRICHOCEPHALIDA]	TRICHOSOMOIDIDAE	4	2	XX/X0			Walton, 1924	
	Xiphinema mediterraneum	DORYLAIMIA	DORYLAIMIDA	DORYLAIMINA	LONGIDORIDAE	5	2				https://www.tandfonline.com/doi/pdf/10.1080/02541858.1988.11448122?needAccess=true	
	Mesorhabditis monhystera	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	7	2			parthenogenesis 	Nigon, 1947	
	Strongylus tetracanthus	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	6	2	XX/X0			Walton, 1940	
	Heterakis vesicularis	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2				Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	
	Passalurus ambigua	CHROMADOREA	RHABDITIDA	SPIRURINA	OXYURIDAE	3	2	hd			Adamson Adv Para https://doi.org/10.1016/S0065-308X(08)60333-4	
	Seinura steineri	CHROMADOREA	RHABDITIDA	TYLENCHINA	APHELENCHOIDIDAE	6	2			automixis	A.C Triantaphyllou (1983) Cytogenetic aspects of nematode evolution pp55-71 in Stone et al Concepts in nematode Systematics Hechler & Taylor 1966	
	Cactodera weissi	CHROMADOREA	RHABDITIDA	TYLENCHINA	MELOIDOGYNIDAE	9	2			amphimixis	Triantaphyllou J Nem 2 26-32	
	Panagrolaimus sp. ES5	CHROMADOREA	RHABDITIDA	TYLENCHINA	PANAGROLAIMIDAE	4	3			parthenogenesis 	Schiffer et al https://doi.org/10.1016/j.isci.2019.10.043	
