"distribution","max","median","minimum","resolved_name"
"10-11","11","11","10","Abietinella abietina"
"26","26","26","26","Acaulon muticum"
"12","12","12","12","Achrophyllum dentatum"
"9","9","9","9","Acrobolbus ciliatus"
"11","11","11","11","Acrocladium auriculatum"
"11","11","11","11","Acrocladium chlamydophyllum"
"11","11","11","11","Acrocladium cuspidatum"
"9","9","9","9","Acrolejeunea emergens"
"11","11","11","11","Aerobryidium filamentosum"
"11","11","11","11","Aerobryopsis subdivergens"
"11","11","11","11","Aerobryopsis wallichii"
"26","26","26","26","Aloina aloides"
"24-28","28","24","24","Aloina brevirostris"
"24-26-48","48","26","24","Aloina rigida"
"9-14-18-20","20","14","9","Amblyodon dealbatus"
"21-36-40","40","21","21","Amblystegium riparium"
"7-9-10-11-12-13-20-21-22-40","40","12","7","Amblystegium serpens"
"10","10","10","10","Amblystegium subtile"
"20","20","20","20","Amblystegium tenax"
"10-11-12-19-20-21-40","40","11","10","Amblystegium varium"
"13-16","16","16","13","Amphidium lapponicum"
"13","13","13","13","Amphidium mougeotii"
"16","16","16","16","Amphidium tortuosum"
"11","11","11","11","Anacamptodon splachnoides"
"8","8","8","8","Anacolia menziesii"
"8","8","8","8","Anastrepta orcadensis"
"9","9","9","9","Anastrophyllum bidens"
"8","8","8","8","Anastrophyllum michauxii"
"9","9","9","9","Anastrophyllum minutum"
"10","10","10","10","Andreaea australis"
"10","10","10","10","Andreaea nivalis"
"10-11","11","10","10","Andreaea rothii"
"9-10-11","11","10","9","Andreaea rupestris"
"8","8","8","8","Aneura latissima"
"8-10","10","10","8","Aneura maxima"
"6-9-10-11-20","20","10","6","Aneura pinguis"
"13","13","13","13","Anoectangium aestivum"
"13","13","13","13","Anoectangium thomsonii"
"10","10","10","10","Anomobryum auratum"
"10","10","10","10","Anomobryum filiforme"
"10-11","11","10","10","Anomodon attenuatus"
"11","11","11","11","Anomodon giraldii"
"11","11","11","11","Anomodon longifolius"
"10-11","11","10","10","Anomodon minor"
"10-11-12","12","11","10","Anomodon rostratus"
"11","11","11","11","Anomodon rugelii"
"11","11","11","11","Anomodon thraustus"
"10-11","11","11","10","Anomodon viticulosus"
"9","9","9","9","Anthelia julacea"
"4-5","5","5","4","Anthoceros agrestis"
"5","5","5","5","Anthoceros caucasicus"
"6","6","6","6","Anthoceros formosae"
"6","6","6","6","Anthoceros laevis"
"4-5-6","6","4","4","Anthoceros punctatus"
"27","27","27","27","Aphanorrhegma serratum"
"8-9","9","8","8","Apometzgeria pubescens"
"9","9","9","9","Apotreubia nana"
"13-26","26","13","13","Archidium alternifolium"
"26","26","26","26","Archidium hallii"
"13","13","13","13","Archidium stellatum"
"26","26","26","26","Archidium tenerrimum"
"8-9","9","8","8","Archilejeunea autoica"
"9","9","9","9","Archilejeunea elobulata"
"9","9","9","9","Archilejeunea kiushiana"
"13-14","14","13","13","Arctoa fulvella"
"6","6","6","6","Arnellia fennica"
"4","4","4","4","Aspiromitus cavernosus"
"9","9","","9","Asterella blumeana"
"16","16","16","16","Asterella gracilis"
"8-9","9","8","8","Asterella lindenbergiana"
"8","8","8","8","Asterella mussuriensis"
"18","18","18","18","Asterella syngenesica"
"13","13","13","13","Astomum crispum"
"9","9","9","9","Athalamia hyalina"
"9","9","9","9","Athalamia spathysii"
"7-14","14","14","7","Atrichum altecristatum"
"14","14","14","14","Atrichum androgynum"
"7-8","8","7","7","Atrichum angustatum"
"7","7","7","7","Atrichum crispulum"
"7","7","7","7","Atrichum crispum"
"7-14-21","21","14","7","Atrichum flavisetum"
"7","7","7","7","Atrichum selwynii"
"7-14","14","14","7","Atrichum tenellum"
"7-14-21","21","21","7","Atrichum undulatum"
"12","12","12","12","Aulacomnium acuminatum"
"10-11-12","12","11","10","Aulacomnium androgynum"
"11-12","12","12","11","Aulacomnium heterostichum"
"10-12","12","12","10","Aulacomnium palustre"
"12","12","12","12","Aulacomnium turgidum"
"9","9","9","9","Balantiopsis cancellata"
"10","10","10","10","Barbella flagellifera"
"10","10","10","10","Barbella pendula"
"8-9","9","9","8","Barbilophozia attenuata"
"9","9","9","9","Barbilophozia barbata"
"8","8","8","8","Barbilophozia floerkei"
"8","8","8","8","Barbilophozia hatcheri"
"10","10","10","10","Barbilophozia lycopodioides"
"9","9","9","9","Barbilophozia quadriloba"
"13","13","13","13","Barbula bolleana"
"7-13-14","14","13","7","Barbula constricta"
"10-11-13-14","14","11","10","Barbula convoluta"
"14","14","14","14","Barbula gregaria"
"15","15","15","15","Barbula hiroshii"
"13","13","13","13","Barbula recurvirostris"
"12-13","13","13","12","Barbula rigidula"
"11-13-14-16-24","24","13","11","Barbula unguiculata"
"6","6","6","6","Bartramia breviseta"
"8-9-12","12","9","8","Bartramia halleriana"
"6-8-12-36","36","12","6","Bartramia ithyphylla"
"11-16","16","16","11","Bartramia patens"
"8-12","12","8","8","Bartramia pomiformis"
"16","16","16","16","Bartramia stricta"
"6","6","6","6","Bartramidula bartramioides"
"7","7","7","7","Bartramiopsis lescurii"
"10","10","10","10","Bazzania adnexa"
"9","9","9","9","Bazzania fauriana"
"9","9","9","9","Bazzania japonica"
"9","9","9","9","Bazzania praerupta"
"10","10","10","10","Bazzania tricrenata"
"9-10","10","9","9","Bazzania tridens"
"9","9","9","9","Bazzania trilobata"
"10","10","10","10","Bescherellia elegantissima"
"9","9","9","9","Blasia pusilla"
"8-9","9","8","8","Blepharidophyllum densifolium"
"18","18","18","18","Blepharostoma minus"
"9","9","9","9","Blepharostoma trichophyllum"
"13-14","14","13","13","Blindia acuta"
"14","14","14","14","Blindia japonica"
"10-11","11","11","10","Boulaya mittenii"
"11","11","11","11","Brachydontium trichodes"
"10-11","11","10","10","Brachymenium acuminatum"
"10-11-20","20","11","10","Brachymenium exile"
"10","10","10","10","Brachymenium longicolle"
"11-12-20-22","22","12","11","Brachymenium nepalense"
"22-30","30","22","22","Brachymenium preissianum"
"6-7-9","9","7","6","Brachythecium albicans"
"10","10","10","10","Brachythecium austrosalebrosum"
"6-10-11-14","14","10","6","Brachythecium buchananii"
"7-11-12-16-17","17","16","7","Brachythecium campestre"
"11","11","11","11","Brachythecium coreanum"
"6","6","6","6","Brachythecium frigidum"
"10","10","10","10","Brachythecium garovaglioides"
"10","10","10","10","Brachythecium geheebii"
"8","8","8","8","Brachythecium glaciale"
"6-9-10-14","14","9","6","Brachythecium glareosum"
"8-11-18","18","11","8","Brachythecium helminthocladum"
"10","10","10","10","Brachythecium kuroishicum"
"10","10","10","10","Brachythecium leibergii"
"13-14","14","14","13","Brachythecium mildeanum"
"18","18","18","18","Brachythecium piligerum"
"10-11-15","15","11","10","Brachythecium plumosum"
"9-10-11","11","10","9","Brachythecium populeum"
"10-11-12-20","20","10","10","Brachythecium reflexum"
"6-11-12-13-16","16","6","6","Brachythecium rivulare"
"5-9-10-11-12-20","20","11","5","Brachythecium rutabulum"
"10-11-12-13","13","13","10","Brachythecium salebrosum"
"6-10-20","20","10","6","Brachythecium starkii"
"13","13","13","13","Brachythecium subplicatum"
"14","14","14","14","Brachythecium turgidum"
"1-10-11-12-18","18","10","1","Brachythecium velutinum"
"10","10","10","10","Braithwaitea sulcata"
"6","6","6","6","Breutelia affinis"
"6","6","6","6","Breutelia arundinifolia"
"6","6","6","6","Breutelia chrysocoma"
"6","6","6","6","Breutelia integrifolia"
"6","6","6","6","Breutelia pendula"
"12","12","12","12","Brothera leana"
"10","10","10","10","Brotherella complanata"
"10","10","10","10","Brotherella erythrocaulis"
"10","10","10","10","Brotherella falcata"
"8","8","8","8","Brotherella fauriei"
"9-10","10","10","9","Brotherella henonii"
"7","7","7","7","Brotherella herbacea"
"6-7","7","6","6","Brotherella recurvans"
"28-30","30","28","28","Bruchia drummondii"
"14-15-16-28","28","14","14","Bruchia flexuosa"
"11","11","11","11","Bryhnia hultenii"
"11","11","11","11","Bryhnia noesica"
"11","11","11","11","Bryhnia novae-angliae"
"10","10","10","10","Bryhnia tokubuchii"
"11","11","11","11","Bryhnia trichomitria"
"12","12","12","12","Bryoandersonia illecebra"
"13-14-26-52","52","14","13","Bryobrittonia longipes"
"13","13","13","13","Bryoerythrophyllum atrorubens"
"13","13","13","13","Bryoerythrophyllum caledonicum"
"13","13","13","13","Bryoerythrophyllum recurvirostrum"
"13-26","26","13","13","Bryoerythrophyllum wallichii"
"22","22","22","22","Bryonoguchia molkenboeri"
"11","11","11","11","Bryosedgwickia aurea"
"14","14","14","14","Bryoxiphium norvegicum"
"20","20","20","20","Bryum arcticum"
"10-11-12-20","20","10","10","Bryum argenteum"
"10","10","10","10","Bryum atrovirens"
"10-20","20","10","10","Bryum billarderi"
"10-11-20","20","10","10","Bryum caespiticium"
"40","40","40","40","Bryum calophyllum"
"10-11","11","10","10","Bryum cellulare"
"10-20","20","10","10","Bryum coronatum"
"10-22-30","30","10","10","Bryum creberrimum"
"10","10","10","10","Bryum cyclophyllum"
"10-24","24","10","10","Bryum dichotomum"
"10","10","10","10","Bryum elegans"
"10","10","10","10","Bryum gemmiferum"
"10","10","10","10","Bryum gemmiparum"
"20-24","24","20","20","Bryum intermedium"
"11","11","11","11","Bryum knowltonii"
"33","33","33","33","Bryum kunzei"
"10","10","10","10","Bryum mildeanum"
"10","10","10","10","Bryum pachytheca"
"10-20","20","10","10","Bryum pallens"
"10-11-12-20-22","22","11","10","Bryum pallescens"
"10","10","10","10","Bryum paradoxum"
"5-10-11-12-20","20","11","5","Bryum pseudotriquetrum"
"10","10","10","10","Bryum turbinatum"
"10-11","11","10","10","Bryum uliginosum"
"15","15","15","15","Bryum warneum"
"20-50","50","20","20","Bryum wrightii"
"8-9","9","8","8","Bucegia romanica"
"13-14","14","13","13","Bucklandiella heterosticha"
"7-14","14","7","7","Bucklandiella microcarpa"
"14","14","14","14","Bucklandiella sudetica"
"8","8","8","8","Buxbaumia aphylla"
"8","8","8","8","Buxbaumia piperi"
"8","8","8","8","Buxbaumia viridis"
"11-22","22","22","11","Callicladium haldanianum"
"10-20-21-22","22","20","10","Calliergon cordifolium"
"11-12","12","12","11","Calliergon giganteum"
"11","11","","11","Calliergon richardsonii"
"11","11","11","11","Calliergon stramineum"
"10-11","11","11","10","Calliergonella cuspidata"
"10","10","10","10","Calliergonella lindbergii"
"8-9","9","9","8","Calycularia crispula"
"9","9","9","9","Calypogeia arguta"
"18","18","18","18","Calypogeia fissa"
"9","9","9","9","Calypogeia granulata"
"9","9","9","9","Calypogeia integristipula"
"16-18","18","16","16","Calypogeia muelleriana"
"8","8","8","8","Calypogeia neesiana"
"18","18","18","18","Calypogeia sphagnicola"
"9","9","9","9","Calypogeia suecica"
"9","9","9","9","Calypogeia tosana"
"8","8","8","8","Calyptothecium hookeri"
"8","8","8","8","Calyptothecium pinnatum"
"10","10","10","10","Calyptrochaeta japonica"
"11","11","11","11","Camptochaete vaga"
"8-10-11-12-14","14","10","8","Camptothecium lutescens"
"9-10-20","20","10","9","Campyliadelphus chrysophyllus"
"11","11","11","11","Campyliadelphus elodes"
"11","11","","11","Campyliadelphus stellatus"
"11","11","11","11","Campylium calcareum"
"10","10","10","10","Campylium chrysophyllum"
"11-14","14","11","11","Campylium hispidulum"
"11-20","20","11","11","Campylium polygamum"
"10-20","20","20","10","Campylium sommerfeltii"
"22","22","22","22","Campylium stellatum"
"11","11","11","11","Campylopus atrovirens"
"10-11-12","12","11","10","Campylopus flexuosus"
"12-13","13","12","12","Campylopus fragilis"
"13-15","15","13","13","Campylopus gracilis"
"12","12","12","12","Campylopus introflexus"
"10","10","10","10","Campylopus pyriformis"
"11-12","12","12","11","Campylopus savannarum"
"12","12","12","12","Campylopus schmidii"
"18","18","18","18","Campylopus tallulensis"
"13-14","14","13","13","Catoscopium nigritum"
"8-9","9","9","8","Cavicularia densa"
"9","9","9","9","Cephalozia ambigua"
"18","18","18","18","Cephalozia bicuspidata"
"18","18","18","18","Cephalozia hamatiloba"
"27","27","27","27","Cephalozia lammersiana"
"9","9","9","9","Cephalozia otaruensis"
"18","18","18","18","Cephalozia pleniceps"
"9-16","16","9","9","Cephaloziella arctica"
"16","16","16","16","Cephaloziella varians"
"13","13","13","13","Ceratodon heterophyllus"
"11-13","13","13","11","Ceratodon purpureus"
"9","9","9","9","Chandonanthus hirtellus"
"9","9","9","9","Chandonanthus setiformis"
"9","9","9","9","Chandonanthus squarrosus"
"9","9","9","9","Cheilolejeunea imbricata"
"13","13","13","13","Cheilothela chilensis"
"9","9","9","9","Chiastocaulon dendroides"
"18","18","18","18","Chiloscyphus pallescens"
"8-9-10","10","9","8","Chiloscyphus polyanthos"
"9","9","9","9","Chiloscyphus profundus"
"12-14","14","12","12","Chorisodontium aciphyllum"
"10","10","10","10","Chryso-hypnum diminutivum"
"13","13","13","13","Chrysoblastella chilensis"
"11","11","11","11","Chrysocladium retrorsum"
"7","7","7","7","Cinclidium arcticum"
"7","7","7","7","Cinclidium latifolium"
"7-14","14","14","7","Cinclidium stygium"
"14","14","14","14","Cinclidium subrotundum"
"13","13","13","13","Cinclidotus aquaticus"
"12","12","12","12","Cinclidotus danubicus"
"13","13","13","13","Cinclidotus fontinaloides"
"13","13","13","13","Cinclidotus riparius"
"11","11","11","11","Cirriphyllum crassinervium"
"11","11","11","11","Cirriphyllum flotowianum"
"6-7-11","11","11","6","Cirriphyllum piliferum"
"9","9","9","9","Cladopodiella fluitans"
"11","11","11","11","Claopodium aciculum"
"11","11","11","11","Claopodium assurgens"
"11-12","12","12","11","Claopodium crispifolium"
"11","11","11","11","Claopodium pellucinerve"
"11","11","11","11","Claopodium whippleanum"
"9","9","9","9","Clasmatocolea humilis"
"10-11","11","11","10","Clasmatodon parvulus"
"10","10","10","10","Clastobryella kusatsuensis"
"11","11","11","11","Climacium americanum"
"11","11","11","11","Climacium dendroides"
"11","11","11","11","Climacium japonicum"
"12-13-14","14","12","12","Codriophorus aciculare"
"13","13","13","13","Codriophorus fascicularis"
"12-13","13","12","12","Codriophorus varius"
"9","9","9","9","Cololejeunea calcarea"
"8","8","8","8","Cololejeunea goebelii"
"8","8","8","8","Cololejeunea ornata"
"8-9","9","8","8","Cololejeunea raduliloba"
"8-9","9","8","8","Conocephalum conicum"
"8","8","8","8","Conocephalum japonicum"
"8-9","9","8","8","Conostomum pentastichum"
"16","16","16","16","Conostomum tetragonum"
"8-9-11-12-16-18","18","12","8","Corsinia coriandrina"
"26","26","26","26","Coscinodon calyptratus"
"12","12","12","12","Craspedophyllum marginatum"
"10","10","10","10","Cratoneuron commutatum"
"7-10-11","11","10","7","Cratoneuron falcatum"
"10-20-30","30","10","10","Cratoneuron filicinum"
"8","8","8","8","Cronisia fimbriata"
"9","9","9","9","Cronisia weddellii"
"10-11","11","10","10","Cryphaea glomerata"
"10","10","10","10","Cryphaea heteromalla"
"10","10","10","10","Cryphaea tasmanica"
"10","10","10","10","Cryptothallus mirabilis"
"11","11","11","11","Ctenidium capillifolium"
"11","11","11","11","Ctenidium hastile"
"8","8","8","8","Ctenidium homalophyllum"
"8-11","11","8","8","Ctenidium malacodes"
"7-8-10","10","8","7","Ctenidium molluscum"
"11","11","11","11","Ctenidium percrassum"
"11","11","11","11","Ctenidium pinnatum"
"8","8","8","8","Ctenidium pubescens"
"11","11","11","11","Ctenidium serratifolium"
"9","9","9","9","Cyathodium smaragdinum"
"5","5","5","5","Cyathophorum bulbosum"
"13-14-15","15","14","13","Cynodontium bruntonii"
"14","14","14","14","Cynodontium fallax"
"14","14","14","14","Cynodontium jenneri"
"14","14","14","14","Cynodontium polycarpum"
"11-14-15","15","14","11","Cynodontium strumiferum"
"11","11","11","11","Cyptodontopsis leveillei"
"9-11","11","9","9","Cyrto-hypnum minutulum"
"6-7","7","6","6","Cyrtomnium hymenophylloides"
"7","7","7","7","Cyrtomnium hymenophyllum"
"10","10","10","10","Daltonia semitorta"
"7","7","7","7","Dawsonia beccarii"
"7","7","7","7","Dawsonia polytrichoides"
"5","5","5","5","Dendroceros crispus"
"6","6","6","6","Dendroceros japonicus"
"7","7","7","7","Dendroligotrichum dendroides"
"7","7","7","7","Dendroligotrichum squamosum"
"25-26","26","26","25","Desmatodon cernuus"
"6","6","6","6","Desmotheca apiculata"
"11","11","11","11","Diaphanodon blandus"
"10","10","10","10","Dichelyma falcatum"
"7-14","14","14","7","Dichodontium pellucidum"
"13-14-15","15","14","13","Dicranella cerviculata"
"14-15","15","15","14","Dicranella crispa"
"11-13-14","14","13","11","Dicranella heteromalla"
"26","26","26","26","Dicranella hookeri"
"15","15","15","15","Dicranella palustris"
"10-14","14","10","10","Dicranella rufescens"
"7-14-15","15","14","7","Dicranella schreberiana"
"13-14","14","14","13","Dicranella subulata"
"7-14-15","15","14","7","Dicranella varia"
"11-12","12","11","11","Dicranodontium denudatum"
"14","14","14","14","Dicranoloma brevisetum"
"7","7","7","7","Dicranoloma dicarpum"
"8","8","8","8","Dicranoloma menziesii"
"7","7","7","7","Dicranoloma robustum"
"11-13-14","14","11","11","Dicranoweisia cirrata"
"11-14","14","14","11","Dicranoweisia crispula"
"11-12-13-14","14","12","11","Dicranum bonjeanii"
"11","11","11","11","Dicranum caesium"
"12","12","12","12","Dicranum condensatum"
"13","13","13","13","Dicranum elongatum"
"12-23","23","12","12","Dicranum flagellare"
"7-8-9-10-12-24","24","10","7","Dicranum fuscescens"
"12","12","12","12","Dicranum groenlandicum"
"11","11","11","11","Dicranum japonicum"
"11-12-13","13","12","11","Dicranum majus"
"12","12","12","12","Dicranum montanum"
"7","7","7","7","Dicranum muehlenbeckii"
"11","11","11","11","Dicranum nipponense"
"12-14","14","12","12","Dicranum polysetum"
"10-11-12-14","14","12","10","Dicranum scoparium"
"8-12","12","8","8","Dicranum scottianum"
"7-12","12","12","7","Dicranum spurium"
"12","12","12","12","Dicranum strictum"
"12-14","14","12","12","Dicranum tauricum"
"10-11-12-13","13","12","10","Dicranum undulatum"
"12","12","12","12","Didymodon brachyphyllus"
"10-12-13-14","14","13","10","Didymodon fallax"
"13","13","13","13","Didymodon ferrugineus"
"12-13","13","13","12","Didymodon giganteus"
"13-14","14","14","13","Didymodon recurvus"
"12-13","13","13","12","Didymodon rigidulus"
"12-13","13","13","12","Didymodon tophaceus"
"13-14","14","13","13","Didymodon vinealis"
"8-9","9","8","8","Diphyscium foliosum"
"8","8","8","8","Diphyscium fulvifolium"
"8-9","9","9","8","Diplophyllum albicans"
"8","8","8","8","Diplophyllum apiculatum"
"8-9","9","9","8","Diplophyllum plicatum"
"8-9","9","9","8","Diplophyllum serrulatum"
"8-9","9","8","8","Diplophyllum taxifolium"
"11-13","13","13","11","Discelium nudum"
"7-13-14-28","28","14","7","Distichium capillaceum"
"42","42","42","42","Distichium hagenii"
"13-14","14","13","13","Distichium inclinatum"
"10","10","10","10","Distichophyllum collenchymatosum"
"10","10","10","10","Distichophyllum maibarae"
"13","13","13","13","Ditrichum difficile"
"13-14","14","13","13","Ditrichum flexicaule"
"13","13","13","13","Ditrichum gracile"
"13-14","14","13","13","Ditrichum heteromallum"
"13-14","14","13","13","Ditrichum lineare"
"13","13","13","13","Ditrichum montanum"
"13-26","26","26","13","Ditrichum pallidum"
"13-14","14","13","13","Ditrichum pusillum"
"13","13","13","13","Ditrichum rhynchostegium"
"14","14","14","14","Ditrichum subulatum"
"11","11","11","11","Dolichomitra cymbifolia"
"10","10","10","10","Dolichomitriopsis crenulata"
"10-11","11","10","10","Dolichomitriopsis diversiformis"
"9","9","9","9","Douinia ovata"
"10-11-12-20","20","11","10","Drepanocladus aduncus"
"11-12","12","12","11","Drepanocladus exannulatus"
"10-20-22-24","24","20","10","Drepanocladus fluitans"
"10-20-22-23","23","10","10","Drepanocladus revolvens"
"33","33","33","33","Drepanocladus sendtneri"
"7-9-10-11-12-20","20","11","7","Drepanocladus uncinatus"
"9","9","9","9","Drepanolejeunea vesiculosa"
"9-18-27","27","9","9","Dumortiera hirsuta"
"11","11","11","11","Duthiella flaccida"
"10-11","11","10","10","Duthiella speciosissima"
"11","11","11","11","Duthiella wallichii"
"10","10","10","10","Echinodium hispidum"
"10","10","10","10","Ectropothecium umbilicatum"
"13-14","14","14","13","Encalypta alpina"
"13","13","13","13","Encalypta ciliata"
"12","12","12","12","Encalypta mutica"
"26-27","27","26","26","Encalypta procera"
"13","13","13","13","Encalypta rhaptocarpa"
"13","13","13","13","Encalypta streptocarpa"
"13-14-26-39","39","14","13","Encalypta vulgaris"
"11","11","11","11","Entodon beyrichii"
"10","10","10","10","Entodon brevisetus"
"11","11","11","11","Entodon challengeri"
"20","20","20","20","Entodon cladorrhizans"
"11","11","11","11","Entodon concinnus"
"10-11-22","22","11","10","Entodon flavescens"
"11","11","11","11","Entodon jamesonii"
"11","11","11","11","Entodon luridus"
"10-11","11","11","10","Entodon macropodus"
"9-10-11-22","22","11","9","Entodon myurus"
"11","11","11","11","Entodon plicatus"
"11","11","11","11","Entodon rubicundus"
"11","11","11","11","Entodon seductrix"
"11","11","11","11","Entodon sullivantii"
"28","28","28","28","Entosthodon attenuatus"
"27","27","27","27","Entosthodon drummondii"
"26-27","27","26","26","Entosthodon fascicularis"
"22-54-56","56","22","22","Entosthodon hungaricus"
"22-52-54-56","56","52","22","Entosthodon muhlenbergii"
"27","27","27","27","Ephemerum cohaerens"
"27","27","27","27","Ephemerum crassinervium"
"27","27","27","27","Ephemerum serratum"
"27","27","27","27","Ephemerum spinulosum"
"11","11","11","11","Epipterygium tozeri"
"13","13","13","13","Eucladium verticillatum"
"10","10","10","10","Eumyurium sinicum"
"10","10","10","10","Euptychium robustum"
"20","20","11","20","Eurhynchiadelphus eustegia"
"6-11-12","12","11","6","Eurhynchium angustirete"
"11","11","11","11","Eurhynchium arbuscula"
"10-11-12","12","11","10","Eurhynchium confertum"
"7","7","7","7","Eurhynchium dumosum"
"11","11","11","11","Eurhynchium eustegium"
"7-10-11","11","7","7","Eurhynchium hians"
"6-7-8-9-10-11-12","12","9","6","Eurhynchium praelongum"
"7-9-10-11-20","20","10","7","Eurhynchium pulchellum"
"11","11","11","11","Eurhynchium pumilum"
"11","11","11","11","Eurhynchium striatulum"
"6-11-12","12","11","6","Eurhynchium striatum"
"15","15","15","15","Eustichia longirostris"
"16","16","16","16","Exormotheca pustulosa"
"11","11","11","11","Fabronia ciliaris"
"10-11","11","11","10","Fabronia pusilla"
"11","11","11","11","Fauriella tenuis"
"21-24","24","24","21","Fissidens adianthoides"
"12","12","12","12","Fissidens anomalus"
"12-13","13","12","12","Fissidens asplenioides"
"10","10","10","10","Fissidens beckettii"
"12","12","12","12","Fissidens biformis"
"10","10","10","10","Fissidens bogoriensis"
"5-10-12-13","13","10","5","Fissidens bryoides"
"12","12","12","12","Fissidens bryoides var. gymnandrus"
"12","12","12","12","Fissidens crispulus"
"5","5","5","5","Fissidens crispus"
"10-13","13","13","10","Fissidens curvatus"
"12-13-16","16","12","12","Fissidens dubius"
"12","12","12","12","Fissidens exilis"
"12","12","12","12","Fissidens geminiflorus"
"10-12-14-16","16","14","10","Fissidens grandifrons"
"12","12","12","12","Fissidens gymnogynus"
"10","10","10","10","Fissidens hyalinus"
"12","12","12","12","Fissidens involutus"
"12-16","16","12","12","Fissidens nobilis"
"12","12","12","12","Fissidens oblongifolius"
"12","12","12","12","Fissidens obscurus"
"6","6","6","6","Fissidens obtusifolius"
"12-16","16","12","12","Fissidens osmundoides"
"6-12-16","16","12","6","Fissidens polypodioides"
"10","10","10","10","Fissidens protonematicola"
"10","10","10","10","Fissidens serratus"
"8-12","12","8","8","Fissidens subbasilaris"
"9-12","12","12","9","Fissidens taxifolius"
"8-12","12","12","8","Fissidens teysmannianus"
"5-10","10","5","5","Fissidens tosaensis"
"12","12","12","12","Fissidens zollingeri"
"6","6","6","6","Fleischerobryum longicolle"
"11","11","11","11","Floribundaria floribunda"
"11","11","11","11","Floribundaria pseudofloribunda"
"8-11","11","8","8","Fontinalis antipyretica"
"10","10","10","10","Fontinalis neomexicana"
"11","11","11","11","Fontinalis squamosa"
"11","11","11","11","Forsstroemia cryphaeoides"
"11","11","11","11","Forsstroemia neckeroides"
"10","10","10","10","Forsstroemia trichomitria"
"9","9","9","9","Fossombronia alaskana"
"9","9","9","9","Fossombronia angulosa"
"8-9","9","9","8","Fossombronia caespitiformis"
"4-9","9","9","4","Fossombronia cristula"
"9","9","9","9","Fossombronia foveolata"
"8","8","8","8","Fossombronia husnotii"
"8","8","8","8","Fossombronia incurva"
"8","8","8","8","Fossombronia longiseta"
"8-9","9","8","8","Fossombronia pusilla"
"8-9","9","8","8","Fossombronia wondraczekii"
"8-9","9","8","8","Frullania amplicrania"
"9","9","9","9","Frullania apiculata"
"9","9","9","9","Frullania asagrayana"
"9","9","9","9","Frullania bolanderi"
"8-9","9","8","8","Frullania brittoniae"
"9","9","9","9","Frullania californica"
"9","9","9","9","Frullania catalinae"
"8-9","9","8","8","Frullania dilatata"
"9","9","9","9","Frullania diversitexta"
"8-9","9","8","8","Frullania eboracensis"
"8-9","9","8","8","Frullania ericoides"
"9","9","9","9","Frullania fengyangshanensis"
"9","9","9","9","Frullania fragilifolia"
"9","9","9","9","Frullania franciscana"
"9-10","10","9","9","Frullania inflata"
"9","9","9","9","Frullania intumescens"
"17","17","17","17","Frullania jackii"
"9","9","9","9","Frullania kunzei"
"9","9","9","9","Frullania meyeniana"
"9","9","9","9","Frullania moniliata"
"8-9-10","10","9","8","Frullania muscicola"
"8-9","9","8","8","Frullania nepalensis"
"9","9","9","9","Frullania nisquallensis"
"9","9","9","9","Frullania nodulosa"
"9","9","9","9","Frullania oakesiana"
"9","9","9","9","Frullania obcordata"
"9","9","9","9","Frullania obscurifolia"
"8-9","9","9","8","Frullania pedicellata"
"10","10","10","10","Frullania plana"
"9","9","9","9","Frullania repandistipula"
"9","9","9","9","Frullania riojaneirensis"
"9","9","9","9","Frullania riparia"
"8","8","8","8","Frullania serrata"
"9","9","9","9","Frullania squarrosa"
"8-9","9","9","8","Frullania tamarisci"
"9","9","9","9","Frullania taradakensis"
"8-9","9","8","8","Frullania usamiensis"
"28","28","28","28","Funaria arctica"
"10","10","10","10","Funaria flavicans"
"14-26-28-56","56","28","14","Funaria hygrometrica"
"14","14","14","14","Funaria hygrometrica var. calvescens"
"28","28","28","28","Funaria muhlenbergii"
"26","26","26","26","Funaria obtusa"
"28","28","28","28","Funaria polaris"
"26","26","26","26","Funaria pulchella"
"5","5","5","5","Funariella curviseta"
"9","9","9","9","Gackstroemia magellanica"
"12","12","12","12","Garckea phascoides"
"10","10","10","10","Gemmabryum apiculatum"
"9","9","9","9","Geothallus tuberosus"
"7","7","7","7","Glyphothecium sciuroides"
"10","10","10","10","Gollania philippinensis"
"10-11","11","10","10","Gollania ruginosa"
"10-11","11","10","10","Gollania varians"
"9","9","9","9","Gongylanthus ericetorum"
"13","13","13","13","Grimmia alpestris"
"13-14-26","26","14","13","Grimmia anodon"
"13","13","13","13","Grimmia atrata"
"12-13","13","13","12","Grimmia donniana"
"13","13","13","13","Grimmia elatior"
"10-13","13","13","10","Grimmia funalis"
"13","13","13","13","Grimmia fuscolutea"
"13","13","13","13","Grimmia hartmanii"
"13-26","26","13","13","Grimmia laevigata"
"12-13-14","14","13","12","Grimmia longirostris"
"13","13","13","13","Grimmia mollis"
"14","14","14","14","Grimmia muehlenbeckii"
"26","26","26","26","Grimmia orbicularis"
"10-13-22","22","13","10","Grimmia ovalis"
"9","9","9","9","Grimmia pilifera"
"26","26","26","26","Grimmia plagiopodia"
"13-14-26","26","26","13","Grimmia pulvinata"
"22","22","22","22","Grimmia ramondii"
"13","13","13","13","Grimmia reflexidens"
"13","13","13","13","Grimmia tergestina"
"13-26","26","13","13","Grimmia trichophylla"
"20","20","20","20","Grimmia unicolor"
"8-9","9","9","8","Gymnocolea inflata"
