taxid	resolved_species_name	Class	Order	Suborder	Family	female_haploid_K	ploidy	Chromosome_number	sex_determination_mechanism	diminution	sexual_system	Reference	Alternate_karyotypes
96659	Poikilolaimus oxycercus	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	5	2	10				Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
281684	Prodontorhabditis wirthi	CHROMADOREA	RHABDITIDA	RHABDITINA	RHABDITIDAE	6	2	12				Fradin et al https://www.cell.com/current-biology/fulltext/S0960-9822%2817%2931076-X	
321369	Stephanurus dentatus	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	6	2	12				Tromba & Stecke, 1957	
40346	Strongylus edentatus	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	6	2	12	XX/X0			Kúhtz, 1913, Walton, 1940	
40347	Strongylus equinus	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	6	2	12	XX/X0			Kúhtz, 1913, Walton, 1940	
40348	Strongylus vulgaris	CHROMADOREA	RHABDITIDA	RHABDITINA	STRONGYLIDAE	6	2	12	XX/X0			Kúhtz, 1913, Walton, 1940	
6289	Haemonchus contortus	CHROMADOREA	RHABDITIDA	RHABDITINA	TRICHOSTRONGYLIDAE	6	2	12	XX/X0		male | female | amphimixis	Bremner, 1955 	
40351	Trichostrongylus tenuis	CHROMADOREA	RHABDITIDA	RHABDITINA	TRICHOSTRONGYLIDAE	6	2	12	XX/X0		male | female | amphimixis	Gulick, 1911, Walton, 1940	
2710681	Dispharynx nasuta	CHROMADOREA	RHABDITIDA	SPIRURINA	ACUARIIDAE	6	2	12	XX/X0			Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	
292499	Contracaecum spiculigerum	CHROMADOREA	RHABDITIDA	SPIRURINA	ANISAKIDAE	8	2	16	XX/X0			Gulick, 1911, Walton, 1940 Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	5
118886	Hysterothylacium aduncum	CHROMADOREA	RHABDITIDA	SPIRURINA	ANISAKIDAE	12	2	24	XX/X0			Walton, 1940	
544313	Ascaridia compar	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	5	2	10	XX/X0			Mutafova (1995)	
6252	Ascaris lumbricoides	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	24	2	48	X5X5/X50	yes +12 chr	male | female | amphimixis	Homedes, 1933	
6253	Ascaris suum	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	24	2	48	X5X5/X50	yes	male | female | amphimixis	Homedes, 1933	
6260	Baylisascaris transfuga	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	18	2	36				Mutafova (1995)	
2511119	Ophidascaris filaria	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	7	2	14				Homedes, 1933	
6256	Parascaris equorum	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	1	2	2		yes		Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.; Walton, 1924; Li, 1934; Li, 1937	2, 3, 4, 5, 6, 9
59264	Toxascaris leonina	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	20	2	40				Mutafova (1995)	
6265	Toxocara canis	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	18	2	36	X8X8/X80	yes +8 chr		Walton, 1924; Mutafova (1995); Makino, S. (1951). An atlas of the chromosome numbers in animals. Iowa State College Press, Ames.	11, 12, 22, 23, 24
6266	Toxocara cati	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	9	2	18	X6X6/X60	yes		Walton, 1924	10, 11
62080	Toxocara vitulorum	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	9	2	18				Homedes, 1933	
219738	Trichuris vulpis	CHROMADOREA	RHABDITIDA	SPIRURINA	ASCARIDIDAE	12	2	24				Walton, 1924	
378086	Camallanus lacustris	CHROMADOREA	RHABDITIDA	SPIRURINA	CAMALLANIDAE	6	2	12				Walton, 1940	
637853	Gongylonema pulchrum	CHROMADOREA	RHABDITIDA	SPIRURINA	GONGYLONEMATIDAE	5	2	10	XX/X0			Valero et al, 1982 http://dx.doi.org/10.1051/parasite/2000073180	
46685	Ascaridia galli	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2	10	XX/X0		male | female | amphimixis	Walton, 1940 	4
596441	Heterakis dispar	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2	10				Gulick, 1911, Walton, 1940	
65465	Heterakis gallinarum	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2	10				Mutafova (1995)	
596456	Heterakis papillosa	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2	10	XX/X0			Gulick, 1911, Walton, 1940	
2731334	Heterakis sp.	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2	10				Walton, 1924	
596462	Heterakis spumosa	CHROMADOREA	RHABDITIDA	SPIRURINA	HETERAKIDAE	5	2	10				Walton, 1924	
