taxon	est_size_mb	length_mb
753282	468	587
1545217	677	772
98853	914	524
863632	481	393
1487353	842	1186
878198	238	191
426094	622	652
63597	25	109
173376	205	140
880217	222	327
2969	50	133
1649312	473	587
76438	342	390
51316	64	372
75521	770	992
310628	710	671
1918022	589	639
1572538	229	205
344637	656	739
254778	548	NA
279646	556	640
1000418	783	943
666329	161	608
311941	324	572
164258	394	338
442086	662	606
268643	546	NA
268652	619	NA
1091428	NA	950
33433	272	386
948063	NA	3418
398450	196	335
2561093	421	0
173286	244	NA
304557	331	337
331309	357	357
471079	321	341
2054275	81	80
322858	404	984
6082	1	NA
204324	509	587
242715	354	412
641091	973	857
126659	578	NA
1436028	505	NA
1128088	598	641
2003426	164	NA
868023	78	NA
494601	960	NA
52153	405	NA
191314	280	NA
442101	461	NA
1845063	502	NA
121826	553	NA
122183	579	NA
237230	317	325
237230	277	NA
75150	416	NA
568533	227	NA
295815	568	NA
160936	80	NA
223089	434	NA
326028	288	NA
210730	240	NA
49825	855	NA
97441	372	NA
165339	299	NA
74635	480	NA
756618	83	NA
1060937	406	NA
2751900	313	NA
82086	397	NA
1586622	660	NA
71498	234	NA
337392	774	NA
251531	423	NA
301481	436	NA
3516	370	NA
226180	559	NA
254780	622	NA
2892552	440	NA
84072	697	NA
2518962	150	NA
53005	380	NA
152966	37	NA
1569481	212	NA
3262	114	NA
176818	59	NA
2720607	49	NA
79235	770	NA
207804	570	NA
414120	588	427
51315	36	54
1971888	345	NA
33422	372	NA
265377	579	NA
270988	229	NA
3003710	460	NA
1903275	23	NA
147635	464	NA
244460	582	NA
281731	206	NA
287380	372	NA
190902	417	NA
669858	525	NA
878967	847	922
241230	403	389
2881718	97	NA
3722	134	NA
2886754	390	NA
715714	650	NA
253017	854	NA
30200	159	321
9986	260	NA
1336846	319	NA
375146	268	NA
1088918	495	NA
230577	106	NA
8323	425	NA
234464	444	NA
2784888	260	NA
2741452	857	781
1034830	58	NA
105906	869	NA
59316	146	NA
55409	73	NA
63592	505	NA
13221	708	NA
555749	47	NA
231678	669	NA
945964	980	NA
241200	363	NA
46325	540	NA
259844	NA	2109
644195	572	NA
1491185	534	NA
15193	NA	315
2952	NA	1052
36748	360	NA
323314	NA	953
29728	339	NA
1472349	622	7
1053393	728	NA
153785	570	NA
560974	739	NA
4470	208	NA
34253	432	NA
51265	430	NA
81491	714	NA
4164	815	NA
53176	359	NA
35712	383	NA
196703	160	NA
581250	518	NA
267229	716	NA
1918153	591	NA
1268897	292	NA
689280	398	NA
878979	251	NA
137457	444	NA
2998540	938	NA
1594228	559	NA
100464	325	NA
1980877	368	NA
2561392	637	NA
1070333	351	NA
560979	295	NA
1518534	153	234
1518534	249	259
62324	214	229
7165	246	262
7165	247	271
7165	237	268
162636	245	256
162636	235	252
186751	213	230
70327	223	214
7175	495	682
559673	915	NA
1425550	473	NA
154015	407	NA
29656	153	NA
167799	817	NA
1249516	923	NA
2823190	355	NA
1342089	722	NA
29652	820	NA
197009	581	NA
175095	133	NA
35899	324	NA
470272	255	356
988087	739	NA
28525	804	NA
400014	326	NA
46056	605	NA
880653	832	NA
3879	799	NA
1155462	995	NA
446528	223	NA
559684	654	NA
86092	197	NA
1425595	613	NA
131097	633	NA
868040	542	NA
683962	327	NA
322843	878	840
2961	97	NA
50207	712	1159
219664	NA	859
1676545	NA	904
2773495	723	873
753195	214	NA
208863	107	NA
133487	25	23
31467	316	NA
49614	725	NA
51314	40	NA
305562	265	NA
561864	14	NA
47519	602	NA
203015	614	NA
433595	873	NA
413988	62	NA
181291	97	NA
473660	860	NA
302032	227	NA
1008855	286	NA
39448	112	NA
154638	67	NA
268080	520	NA
2047258	463	NA
2081491	36	NA
52688	717	NA
2508993	226	NA
218141	466	NA
216479	774	NA
1824600	695	NA
339964	629	NA
310247	NA	2991
767568	476	457
147940	111	NA
33642	559	NA
379955	503	NA
268683	615	NA
304554	619	NA
206348	NA	2370
2777158	NA	1150
58325	996	NA
443713	858	NA
82655	957	NA
123330	978	NA
443714	963	NA
27697	705	NA
7748	945	NA
1297906	110	114
1353343	77	143
2883163	116	174
434416	524	NA
1088795	NA	904
89882	500	503
51056	489	572
109353	27	NA
262287	484	533
1499518	286	NA
242718	390	NA
204328	383	488
2751898	332	362
281041	244	447
1917265	370	NA
72671	253	NA
2705341	90	NA
287906	478	NA
644239	983	NA
1009717	294	NA
472225	145	NA
67444	452	579
94606	341	354
2792841	572	697
304249	244	NA
202448	375	NA
346772	793	767
202166	411	436
1445822	500	502
81723	NA	1507
1859539	417	525
221790	494	NA
1162327	473	515
381337	896	1106
623212	526	571
1100900	567	608
191396	411	407
2655036	547	563
1100938	387	391
190337	268	279
596548	466	486
1458189	542	570
572840	425	471
1100976	496	504
190347	366	359
1100987	669	707
104503	710	717
328891	601	616
987955	944	NA
29057	470	497
1660671	771	NA
326947	358	368
934957	321	NA
1101149	512	525
1858066	466	469
572892	589	645
1002972	705	703
934902	302	325
1101070	654	681
1667454	377	577
1170485	193	178
88512	336	311
1190792	342	342
1869911	405	NA
2173307	580	NA
1178097	363	NA
877843	663	NA
198966	324	494
2922062	656	NA
190335	454	NA
1553513	322	NA
2795674	589	NA
1391526	829	NA
2795676	213	NA
1262239	421	NA
1352472	789	NA
5801	53	NA
44415	64	NA
908350	41	48
346746	238	NA
1042629	650	NA
878387	507	NA
346699	450	NA
1553234	407	NA
1594324	275	308
1594324	278	310
347271	353	NA
226158	656	764
433030	429	365
253475	509	459
76820	643	647
1393966	NA	698
1660661	295	321
385270	947	1283
1280453	406	500
877746	356	425
1660620	518	830
60803	493	505
347334	947	1091
878372	138	160
420099	139	142
226154	856	865
1806719	432	480
2795682	463	508
2867260	371	361
1678817	207	217
1545128	NA	1016
1545365	804	863
446513	647	644
185833	311	457
934820	290	297
758708	403	471
1100902	606	622
1073575	540	549
572747	870	876
934814	423	427
2566568	895	946
938192	472	484
2769477	394	419
934885	557	575
988148	684	699
326962	327	345
689108	356	359
887762	609	625
362093	173	200
465457	358	341
67767	268	299
1045623	590	579
1124896	228	272
878419	884	NA
94722	936	NA
55634	570	NA
160511	147	NA
192233	302	NA
21020	330	NA
559664	884	NA
294607	582	NA
1822530	785	NA
1870422	924	NA
113168	437	NA
2922910	749	NA
878080	996	NA
997513	890	NA
1302610	949	NA
1918141	284	NA
346861	191	NA
392043	237	NA
346870	464	NA
1118048	863	NA
877726	578	NA
307046	326	NA
987860	472	NA
226138	491	716
2163046	903	NA
158538	349	NA
264192	632	NA
1101036	394	NA
1545368	897	NA
105913	442	NA
343672	974	NA
1553210	60	NA
47247	733	NA
3652	671	NA
2794000	NA	676
1545377	531	NA
1594225	594	NA
988077	441	NA
1144650	463	NA
987033	473	NA
721166	605	NA
560898	944	NA
1799775	246	NA
7725	393	NA
4733	273	NA
874270	856	NA
156283	490	NA
2746506	927	NA
387771	884	NA
327065	184	NA
1124539	659	NA
1871940	869	NA
52757	NA	1023
1545235	682	NA
1100960	415	NA
1594312	529	NA
116148	840	NA
1335492	415	NA
1585357	471	NA
987901	659	NA
104470	447	NA
3107	910	NA
987420	935	NA
214030	498	NA
1594339	740	NA
753194	843	NA
599746	266	NA
405010	496	NA
132600	350	NA
3712	674	NA
1191083	987	NA
475346	822	NA
337391	874	NA
479185	94	NA
2881928	973	NA
2867261	465	NA
2795672	889	NA
987965	893	NA
878127	885	NA
1588409	814	NA
1101067	776	NA
1825021	867	NA
