"Order","Suborder","Family","species","Reproductive mode","Meioformula","Sex chromosome system","Ploidy level","B chromosomes","Notes","Citation","Ploidy","Chrnum","Haploid_autosome_num","Sex_chromosomes","estimated_haploid"
"Coleoptera","Polyphaga","Chrysomelidae","Galerucella lineola","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Galerucella placida","Sexual diplodiploidy","2n=38M 18+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","38","18","Xyp","19/19"
"Coleoptera","Polyphaga","Chrysomelidae","Galerucella pusilla","Sexual diplodiploidy","2n=16M 7+NeoXY","NeoXY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","16","7","NeoXY","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Galerucella tenella","Sexual diplodiploidy","2n=26M 12+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","26","12","Xyp","13/13"
"Coleoptera","Polyphaga","Chrysomelidae","Gastrophysa cyanea","Sexual diplodiploidy","2n=30M 14+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","30","14","Xyp","15/15"
"Coleoptera","Polyphaga","Chrysomelidae","Gastrophysa viridula","Sexual diplodiploidy","2n=28M 13+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","28","13","Xyp","14/14"
"Coleoptera","Polyphaga","Chrysomelidae","Helocassis clavata","Sexual diplodiploidy","2n=18M 8+XY","XY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","18","8","XY","9/9"
"Coleoptera","Polyphaga","Chrysomelidae","Helocassis clavata","Sexual diplodiploidy","2n=18M 8+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","18","8","Xyp","9/9"
"Coleoptera","Polyphaga","Chrysomelidae","Hermaeophaga cicatrix","Sexual diplodiploidy","2n=17M 7+XXY","XXY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","17","7","XXY","9/8"
"Coleoptera","Polyphaga","Chrysomelidae","Hispa atra","Sexual diplodiploidy","2n=16M 7+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","16","7","Xyp","8/8"
"Coleoptera","Polyphaga","Chrysomelidae","Hydrothassa glabra","Sexual diplodiploidy","2n=34M 16+Xyp","Xyp","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","34","16","Xyp","17/17"
"Coleoptera","Polyphaga","Chrysomelidae","Hypocassida subferruginea","Sexual diplodiploidy","2n=38M 18+NeoXY","NeoXY","NA","","","Petitpierre,Segarra,Yadav,and Virkki (1988)","2","38","18","NeoXY","19/19"
