phylum	echabs92	scientific_name	genus	subspecies	comment	alt_taxon_id
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Euphrasia genargentea	Euphrasia		(Feoli) Diana	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Ferula latipinna	Ferula		Santos	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Festuca brigantina	Festuca		(Markgr.-Dannenb.) Markgr.-Dannenb.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Festuca henriquesii	Festuca		Hack.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Galium cracoviense	Galium		Ehrend.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Galium litorale	Galium		Guss.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Galium moldavicum	Galium		(Dobrescu) Franco	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Galium sudeticum	Galium		Tausch	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Gymnigritella runei	Gymnigritella		Teppner & Klein	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Halimium verticillatum	Halimium		(Brot.) Sennen	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Herniaria algarvica	Herniaria		Chaudhri	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Herniaria lusitanica	Herniaria	Herniaria lusitanica subsp. berlengiana	Listed as: Herniaria lusitanica (Chaudhri) subsp. berlengiana Chaudhri	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Herniaria maritima	Herniaria		Link	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Hymenophyllum maderensis	Hymenophyllum		Gibby & Lovis	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Hyoseris frutescens	Hyoseris		Brullo et Pavone	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Hypericum aciferum	Hypericum		(Greuter) N.K.B. Robson	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Jasione lusitanica	Jasione		A. DC.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Jonopsidium savianum	Jonopsidium		(Caruel) Ball ex Arcang.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Juncus valvatus	Juncus		Link	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Laserpitium longiradium	Laserpitium		Boiss.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Limonium insulare	Limonium		(Beg. & Landi) Arrig. & Diana	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Limonium pseudolaetum	Limonium		Arrig. & Diana	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Limonium strictissimum	Limonium		(Salzmann) Arrig.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Linaria pseudolaxiflora	Linaria		Lojacono	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Linum dolomiticum	Linum		Borbas	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Lythrum flexuosum	Lythrum		Lag.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Marsilea batardae	Marsilea		Launert	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Micromeria taygetea	Micromeria		P.H. Davis	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Micropyropsis tuberosa	Micropyropsis		Romero - Zarco & Cabezudo	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Muscari gussonei	Muscari		(Parl.) Tod.	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Myosotis lusitanica	Myosotis		Schuster	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Myosotis retusifolia	Myosotis		R. Afonso	
Streptophyta	ECHabs92_Annex_IIb,ECHabs92_Annex_IVb	Najas tenuissima	Najas		(A. Braun) Magnus	
