input	suggested
Phyllosticta citrichinensis	phyllosticta citrichinaensis
Lachnum tenue	splachnum tenue
Epichloë baconii	epichloe baconii
Epichloë festucae	epichloe festucae
Rhystidhysteron rufulum	rhytidhysteron rufulum
Hyalinia rosella	hyalinia roseola
Scutellinia ceijpii	scutellinia cejpii
Phellinus ialni	phellinus alni
Glomus intraradice	glomus intraradices
