phylum	ECHabs92	scientific_name	subspecies	authority_subspecies
Streptophyta	ECHabs92_Annex_IVb	Argyranthemum pinnatifidum	Argyranthemum pinnatifidum succulentum	(L.f.) Lowe subsp. succulentum (Lowe) C. J. Humphries
Streptophyta	ECHabs92_Annex_IVb	Senecio caespitosus		Brot.
Streptophyta	ECHabs92_Annex_IVb	Senecio lagascanus	Senecio lagascanus lusitanicus	DC. subsp. lusitanicus (P. Cout.) Pinto da Silva
Streptophyta	ECHabs92_Annex_IVb	Wagenitzia lancifolia		(Sieber ex Sprengel) Dostal
Streptophyta	ECHabs92_Annex_IVb	Murbeckiella sousae		Rothm.
Streptophyta	ECHabs92_Annex_IVb	Jankaea heldreichii		(Boiss.) Boiss.
Streptophyta	ECHabs92_Annex_IVb	Iris marisca		Ricci & Colasante
Streptophyta	ECHabs92_Annex_IVb	Rosmarinus tomentosus		Huber-Morath & Maire
Streptophyta	ECHabs92_Annex_IVb	Teucrium charidemi		Sandwith
Streptophyta	ECHabs92_Annex_IVb	Thymus capitellatus		Hoffmanns. & Link
Streptophyta	ECHabs92_Annex_IVb	Thymus villosus	Thymus villosus villosus	L. subsp. villosus L.
Streptophyta	ECHabs92_Annex_IVb	Bellevalia hackelli		Freyn
Streptophyta	ECHabs92_Annex_IVb	Colchicum cousturieri		Greuter
Streptophyta	ECHabs92_Annex_IVb	Fritillaria rhodocanakis		Orph. ex Baker
Streptophyta	ECHabs92_Annex_IVb	Scilla beirana		Samp.
Streptophyta	ECHabs92_Annex_IVb	Scilla odorata		Link
Streptophyta	ECHabs92_Annex_IVb	Orchis scopulorum		Simsmerh.
Streptophyta	ECHabs92_Annex_IVb	Thymelaea broterana		P. Cout.
Streptophyta	ECHabs92_Annex_IVb	Bunium brevifolium		Lowe
