taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
2286638	Carditamera gracilis (Shuttleworth, 1856)	2286638	Carditamera gracilis (Shuttleworth, 1856)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Bivalvia	137	Carditida	9280416	Carditidae	3459	Carditamera	2286636	Carditamera gracilis	2286638	NE
2306455	Ceratozona squalida (C.B.Adams, 1845)	2306455	Ceratozona squalida (C.B.Adams, 1845)	14	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Polyplacophora	346	Chitonida	8278247	Callistoplacidae	4305072	Ceratozona	2306454	Ceratozona squalida	2306455	NE
4876524	Palaeobrissus hilgardi A.Agassiz, 1880	4876524	Palaeobrissus hilgardi A.Agassiz, 1880	2	SPECIES	ACCEPTED	Animalia	1	Echinodermata	50	Echinoidea	221	Spatangoida	1471	Palaeotropidae	5964262	Palaeobrissus	4341666	Palaeobrissus hilgardi	4876524	NE
5275251	Thelypteris guadalupensis (Wikstr.) Proctor	4079748	Goniopteris domingensis (Spreng.) Pic.Serm.	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Thelypteridaceae	6618	Goniopteris	7321096	Goniopteris domingensis	4079748	NE
10704733	Lucidella barbadensis (L.Pfeiffer, 1854)	10704733	Lucidella barbadensis (L.Pfeiffer, 1854)	12	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Cycloneritida	9680972	Helicinidae	7054	Lucidella	2291371	Lucidella barbadensis	10704733	NE
9068917	Helicina barbadensis L.Pfeiffer, 1854	10704733	Lucidella barbadensis (L.Pfeiffer, 1854)	6	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Cycloneritida	9680972	Helicinidae	7054	Lucidella	2291371	Lucidella barbadensis	10704733	NE
2299045	Varicopeza crystallina (Dall, 1881)	2299045	Varicopeza crystallina (Dall, 1881)	38	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225			Cerithiidae	6760	Varicopeza	2299044	Varicopeza crystallina	2299045	NE
6497588	Cerithiopsis crystallina Dall, 1881	2299045	Varicopeza crystallina (Dall, 1881)	3	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225			Cerithiidae	6760	Varicopeza	2299044	Varicopeza crystallina	2299045	NE
2661627	Hypoglossum tenuifolium (Harv.) J.Agardh	2661627	Hypoglossum tenuifolium (Harv.) J.Agardh	1	SPECIES	ACCEPTED	Plantae	6	Rhodophyta	106	Florideophyceae	342	Ceramiales	665	Delesseriaceae	4894	Hypoglossum	2661571	Hypoglossum tenuifolium	2661627	NE
2964054	Lupinus laevigatus Benth.	2964054	Lupinus laevigatus Benth.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Lupinus	2963774	Lupinus laevigatus	2964054	NE
5716275	Phyllodoce oculata Ehlers, 1887	6453842	Phyllodoce erythrophylla (Schmarda, 1861)	1	SPECIES	SYNONYM	Animalia	1	Annelida	42	Polychaeta	256	Phyllodocida	1079	Phyllodocidae	6973	Phyllodoce	8132035	Phyllodoce erythrophylla	6453842	NE
6487252	Reteporellina directa Winston & Woollacott, 2009	6487252	Reteporellina directa Winston & Woollacott, 2009	1	SPECIES	ACCEPTED	Animalia	1	Bryozoa	53	Gymnolaemata	252	Cheilostomatida	467	Phidoloporidae	5836	Reteporellina	1005062	Reteporellina directa	6487252	NE
7434516	Triceratium castellatum T.West	7434516	Triceratium castellatum T.West	4	SPECIES	ACCEPTED	Chromista	4	Ochrophyta	98	Bacillariophyceae	7947184	Triceratiales	1151	Triceratiaceae	3306	Triceratium	3191777	Triceratium castellatum	7434516	NE
8764086	Sphenotrochus fragarioides Wells, 1945	8764086	Sphenotrochus fragarioides Wells, 1945	1	SPECIES	ACCEPTED	Animalia	1	Cnidaria	43	Anthozoa	206	Scleractinia	714	Turbinoliidae	3354	Sphenotrochus	2259307	Sphenotrochus fragarioides	8764086	NE
10051692	Truncadaphne chrysoleuca (Melvill, 1923)	11144333	Caribedaphne chrysoleuca (Melvill, 1923)	1	SPECIES	SYNONYM	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Raphitomidae	5857134	Caribedaphne	11124520	Caribedaphne chrysoleuca	11144333	NE
2346420	Snyderidia canina Gilbert, 1905	2346420	Snyderidia canina Gilbert, 1905	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Ophidiiformes	1308	Carapidae	8475	Snyderidia	2346419	Snyderidia canina	2346420	LC
