common_name	scientific_name	uk_status	order	uk_cetacea
Sperm whale	Physeter macrocephalus	Regular (off shelf)	Artiodactyla	GB
Sperm whale	Physeter macrocephalus		Artiodactyla	GB
Bottlenose dolphin	Tursiops truncates		Artiodactyla	GB
