input	suggested
Amitermes eucalipti	amitermes eucalypti
Perla immarginata	perla marginata
Perlodes jurassica	perlodes jurassicus
Perlodes microcephala	perlodes microcephalus
Aleuas gracilis	agelas gracilis
Dichroplus bergi	dichroplus bergii
Dichroplus obsurus	dichroplus obscurus
Dichroplus vittigerum	dichroplus vittiger
Paraorphula graminea	parorphula graminea
Eutropidacris collares	tropidacris collaris
Microcerotermes fuscotibiatis	microcerotermes fuscotibialis
Reticutitermes santonensis	reticulitermes santonensis
Isophya hospodat	isophya hospodar
Isophya krausii	isophya kraussii
Blaberus cranifer	blaberus craniifer
Phortioica phoraspoides	phortioeca phoraspoides
Oligotoma saundersi	oligotoma saundersii
Grylloblatta campodeioformis	grylloblatta campodeiformis
Gongylus gongyloides	gongylus gongylodes
Apterornantis bolivari	apteromantis bolivari
Iris aratoria	iris oratoria
Kongobatha diadernata	kongobatha diademata
Sphodrornantis viridis	sphodromantis viridis
Vates pectinicornis	vates pectinacornis
Orxines macklotti	orxines macklottii
Tropiderus childrenii	tropidoderus childrenii
