"Order","Family","Genus","Species","femalediploidnumber","malediploidnumber","haploidnumber","reproductivemode","sexchromosome","notes","citation"
"Isoptera","Termitidae","Amitermes","Amitermes eucalipti","42","NA","21","","","","Bergamaschi S, Dawes-Gromadzki TZ, Scali V, Marini M, Mantovani B (2007) Karyology, mitochondrial DNA and the phylogeny of Australian termites. Chromosome Res 15: 735-753."
"Phasmatodea","Phylliidae","Leptynia","Leptynia sp.","40","39","20","gonochorous","XO","","Bianchi AP, Meliado P (1998) Analysis of the karyotypes of four species of the Leptynia attenuata complex (Insecta Phasmatodea). Caryologia 51: 207-219."
"Orthoptera","Gryllotalpidae","Gryllotalpa","Gryllotalpa marismortui","24","23","12","gonochorous","XO","","Broza, M., Blondheim, S., & Nevo, E. (1998). New species of mole crickets of the Gryllotalpa gryllotalpa group (Orthoptera: Gryllotalpidae) from Israel, based on morphology, song recordings, chromosomes and cuticular hydrocarbons, with comments on the distribution of the group in Europe and the Mediterranean region.Systematic Entomology,23(2), 125-135."
"Orthoptera","Gryllotalpidae","Gryllotalpa","Gryllotalpa tali","20","19","10","gonochorous","XO","","Broza, M., Blondheim, S., & Nevo, E. (1998). New species of mole crickets of the Gryllotalpa gryllotalpa group (Orthoptera: Gryllotalpidae) from Israel, based on morphology, song recordings, chromosomes and cuticular hydrocarbons, with comments on the distribution of the group in Europe and the Mediterranean region.Systematic Entomology,23(2), 125-135."
"Orthoptera","Acrididae","Dichromatos","Dichromatos corupa","22","21","11","gonochorous","XXY","X1X1X2X2/X1X2Y","Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231."
"Orthoptera","Acrididae","Dichromatos","Dichromatos montanus","22","21","11","gonochorous","XXY","X1X1X2X2/X1X2Y","Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231."
"Orthoptera","Acrididae","Leiotettix","Leiotettix politus","14","14","7","gonochorous","XY","","Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231."
"Orthoptera","Acrididae","Leiotettix","Leiotettix politus","14","13","7","gonochorous","XXY","X1X1X2X2/X1X2Y","Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231."
"Orthoptera","Acrididae","Paratylotropidia","Paratylotropidia morsei","NA","NA","NA","gonochorous","XXY","X1X1X2X2/X1X2Y","Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231."
"Orthoptera","Acrididae","Ronderosia","Ronderosia dubius","22","21","11","gonochorous","XXY","X1X1X2X2/X1X2Y","Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231."
"Orthoptera","Acrididae","Ronderosia","Ronderosia robustus","22","21","11","gonochorous","XXY","X1X1X2X2/X1X2Y","Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231."
"Orthoptera","Lentulidae","Karruacris","Karruacris browni","NA","NA","NA","gonochorous","XXY","X1X1X2X2/X1X2Y","Castillo, E. R., Marti, D. A., & Bidau, C. J. (2010). Sex and neo-sex chromosomes in Orthoptera: a review.Journal of Orthoptera Research, 213-231."
"Orthoptera","Gryllotalpidae","Gryllotalpa","Gryllotalpa stepposa","12","12","6","gonochorous","XY","1-2 additional autosomes in some populations","Fyodorova, M. V., Zhantiev, R. D., & Gokhman, V. E. (1991). KARYOTYPES OF THE MOLE-CRICKETS (ORTHOPTERA, GRYLLOTALPIDAE) OF THE EUROPEAN PART OF THE USSR AND THE CAUCASUS.Zoologichesky Zhurnal,70(7), 43-50."
"Dermaptera","Forficulidae","Apterygida","Apterygida albipennis","24","24","12","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Forficulidae","Forficula","Forficula smyrnensis","22","21","11","gonochorous","XXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Forficulidae","Forficula","Forficula smyrnensis","29","21","15","gonochorous","XXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Forficulidae","Pseudochelidura","Pseudochelidura sinuata","26","25","13","gonochorous","XXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Hemimeridae","Hemimerus","Hemimerus bouvieri","8","7","4","gonochorous","XXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Anisolabis","Anisolabis marginalis","26","25","13","gonochorous","XXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Anisolabis","Anisolabis sp","44","42","22","gonochorous","XXXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Euborellia","Euborellia stali","26","25","13","gonochorous","XXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Gonolabis","Gonolabis brunneri","24","24","12","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Labidura","Labidura bidens","12","12","6","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiduridae","Notolabis","Notolabis occidentalis","24","24","12","gonochorous","XY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiidae","Chaetospania","Chaetospania brunner","34","31","17","gonochorous","XXXXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiidae","Chaetospania","Chaetospania sp.1","22","21","11","gonochorous","XXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
"Dermaptera","Labiidae","Chaetospania","Chaetospania sp.2","22","21","11","gonochorous","XXY","","Hewitt, G. M. (1979). Grasshoppers and crickets. Animal Cytogenetics. Vol. 3: Insecta 1 Orthoptera."
