superorder	orders_latin_name	species_sequenced	status	main_project	second_project	phylum	phase1	sample_collected	sample_acquired	in_progress	insdc_submitted	insdc_open	published
Actinopterygii (Ray-finned Fishes)	Labriformes sensu stricto	Tautogolabrus adspersus		VGP		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Perciformes (Bovichtidae)	Cottoperca gobio	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Perciformes (Sparidae)	Acanthopagrus latus		VGP		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Perciformes (Pholidae)	Pholis gunnellus		DToL		Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Perciformes (Zoarcidae)	Lycodopsis pacificus				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Lobotiformes	Pacificus surinamensis				Chordata	VGP						
Actinopterygii (Ray-finned Fishes)	Gobiesociformes	Gouania willdenowi	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Trachiniformes	Echiichthys vipera	in_progress			Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Scorpaeniformes (Cyclopteridae)	Cyclopterus lumpus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Scorpaeniformes (Sebastidae)	Sebastes umbosus	in_progress	VGP		Chordata	VGP	VGP	VGP	VGP			
Actinopterygii (Ray-finned Fishes)	Scorpaeniformes (Cottidae)	Taurulus bubalis		DToL		Chordata	VGP						
Chondrichthyes (Cartilaginous Fishes)	Orectolobiformes (Stegostomatidae)	Stegostoma tigrinum				Chordata	VGP						
Chondrichthyes (Cartilaginous Fishes)	Echinorhiniformes	Echinorhinus cookei 				Chordata	VGP						
Chondrichthyes (Cartilaginous Fishes)	Myliobatiformes (Dasyatidae)	Hypanus sabinus	in_progress			Chordata	VGP	VGP	VGP	VGP			
Chondrichthyes (Cartilaginous Fishes)	Myctophiformes (Potamotrygonidae)	Potamotrygon marinae				Chordata	VGP						
Chondrichthyes (Cartilaginous Fishes)	Myliobatiformes (Mobulidae)	Manta giorna				Chordata	VGP						
Sarcopterygii (Lobe-finned fishes)	Coelacanthiformes (Latimeriidae)	Latimeria chalumnae				Chordata	VGP						
Sarcopterygii (Lobe-finned fishes)	Ceratodontiformes (Lepidosirenidae)	Protopterus dolloi	in_progress			Chordata	VGP	VGP	VGP	VGP			
Deuterostomes	Enteropneusta	Saccoglossus kowalewski	in_progress			Chordata	VGP	VGP	VGP	VGP			
Tunicata	Enterogona	Ciona intestinalis	in_progress			Chordata	VGP	VGP	VGP	VGP			
