"taxonID","parentNameUsageID","acceptedNameUsageID","datasetID","scientificName","scientificNameAuthorship","taxonRank","taxonConceptID","taxonomicStatus","nomenclaturalStatus","genus","family","order","class","phylum","kingdom","long_list"
"NHMSYS0020752355","NBNSYS0000182109","","UKSI","Forcepia (Forcepia) forcipis","(Bowerbank, 1866)","Species","NBNORG0000103909","accepted","","Forcepia","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752356","NBNSYS0000182109","","UKSI","Forcepia (Forcepia) fragilis","Stephens, 1917","Species","NBNORG0000103910","accepted","","Forcepia","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752357","NBNSYS0000182109","","UKSI","Forcepia (Forcepia) psammophila","(Cabioch, 1968)","Species","NBNORG0000103911","accepted","","Forcepia","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752358","NBNSYS0000182109","","UKSI","Forcepia (Leptolabis) luciensis","(Topsent, 1888)","Species","NBNORG0000103912","accepted","","Forcepia","Coelosphaeridae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752360","NBNSYS0000175613","","UKSI","Halichondria (Halichondria) agglomerans","Cabioch, 1968","Species","NBNORG0000103914","accepted","","Halichondria","Halichondriidae","Halichondrida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752362","NBNSYS0000175613","","UKSI","Halichondria (Halichondria) genitrix","(Schmidt, 1870)","Species","NBNORG0000103916","accepted","","Halichondria","Halichondriidae","Halichondrida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752364","NHMSYS0021057241","","UKSI","Haliclona (Gellius) angulata","(Bowerbank, 1866)","Species","NBNORG0000103918","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752365","NHMSYS0021057241","","UKSI","Haliclona (Gellius) fibulata","(Schmidt, 1862)","Species","NBNORG0000103919","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752366","NHMSYS0021057241","","UKSI","Haliclona (Halichoclona) fistulosa","(Bowerbank, 1866)","Species","NBNORG0000103920","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752368","NHMSYS0021057241","","UKSI","Haliclona (Haliclona) simulans","(Johnston, 1842)","Species","NBNORG0000103922","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752369","NHMSYS0021057241","","UKSI","Haliclona (Haliclona) urceolus","(Rathke & Vahl, 1806)","Species","NBNORG0000103923","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752370","NHMSYS0021057241","","UKSI","Haliclona (Reniera) cinerea","(Grant, 1826)","Species","NBNORG0000103924","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752371","NHMSYS0021057241","","UKSI","Haliclona (Rhizoniera) indistincta","(Bowerbank, 1866)","Species","NBNORG0000103925","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752372","NHMSYS0021057241","","UKSI","Haliclona (Rhizoniera) rosea","(Bowerbank, 1866)","Species","NBNORG0000103926","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752373","NHMSYS0021057241","","UKSI","Haliclona (Rhizoniera) viscosa","(Topsent, 1888)","Species","NBNORG0000103927","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752374","NHMSYS0021057241","","UKSI","Haliclona (Soestella) xena","de Weerdt, 1986","Species","NBNORG0000103928","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752375","NHMSYS0021057241","","UKSI","Haliclona (Gellius) rava","(Stephens, 1912)","Species","NBNORG0000103929","accepted","","Haliclona","Chalinidae","Haplosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752377","NHMSYS0021057331","","UKSI","Hamacantha (Hamacantha) johnsoni","(Bowerbank, 1864)","Species","NBNORG0000103931","accepted","","Hamacantha","Hamacanthidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752378","NHMSYS0021057331","","UKSI","Hamacantha (Vomerula) falcula","(Bowerbank, 1874)","Species","NBNORG0000103932","accepted","","Hamacantha","Hamacanthidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752382","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) baculifera","(Topsent, 1901)","Species","NBNORG0000103936","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752383","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) crux","(Schmidt, 1875)","Species","NBNORG0000103937","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752384","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) curvichela","Lundbeck, 1910","Species","NBNORG0000103938","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752385","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) digitata","Lundbeck, 1910","Species","NBNORG0000103939","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
"NHMSYS0020752386","NHMSYS0021057373","","UKSI","Hymedesmia (Hymedesmia) helgae","Stephens, 1921","Species","NBNORG0000103940","accepted","","Hymedesmia","Hymedesmiidae","Poecilosclerida","Demospongiae","Porifera","Animalia","DTOL"
