	Species_name	Subspecies	Common Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
3442	Enicurus velatus		Sunda Forktail	Muscicapidae		nan	nan	nan	nan	nan	B10K		
3477	Eremomela atricollis		Black-necked Eremomela	Cisticolidae		nan	nan	nan	nan	nan	B10K		
3478	Eremomela badiceps		Rufous-crowned Eremomela	Cisticolidae		nan	nan	nan	nan	nan	B10K		
3479	Eremomela flavicrissalis		Yellow-vented Eremomela	Cisticolidae		nan	nan	nan	nan	nan	B10K		
3480	Eremomela gregalis	gregalis	Karoo Eremomela	Cisticolidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
3481	Eremomela icteropygialis		Yellow-bellied Eremomela	Cisticolidae		nan	nan	nan	nan	nan	B10K		
3483	Eremomela scotops		Green-capped Eremomela	Cisticolidae		nan	nan	nan	nan	nan	B10K		
3484	Eremomela turneri		Turner's Eremomela	Cisticolidae		nan	nan	nan	nan	nan	B10K		
3493	Eremopterix hova		Madagascar Sparrow Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
3495	Eremopterix leucotis		Chestnut-backed Sparrow Lark	Alaudidae		nan	nan	nan	nan	nan	B10K		
3514	Erythrocercus holochlorus		Little Yellow Flycatcher Warbler	Scotocercidae		nan	nan	nan	nan	nan	B10K		
3517	Erythrogenys erythrocnemis		Spot-breasted Scimitar Babbler	Timaliidae		nan	nan	nan	nan	nan	B10K		
3519	Erythrogenys hypoleucos		Large Scimitar Babbler	Timaliidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
3524	Erythrura cyaneovirens		Red-headed Parrotfinch	Estrildidae		nan	nan	nan	nan	nan	B10K		
3526	Erythrura kleinschmidti		Pink-billed Parrotfinch	Estrildidae		nan	nan	nan	nan	nan	B10K		
3535	Esacus recurvirostris		Great Thick-knee	Burhinidae		nan	nan	nan	nan	nan	B10K		
