number	field trip	taxon_ID	species	family	sample_collected	collected_by	project
FTOL_1147	STRATHPEFFER		Laccaria rufus	Russulaceae	collected	BMS,RBGK	DTOL
FTOL_1208	STRATHPEFFER		Pseudoboletus luridiformis?	Boletaceae	collected	BMS,RBGK	DTOL
FTOL_1250	BELLINGHAM (NOT MADE YET)		Hyphophorus pustulans	Hygrophoraceae	collected	BMS,RBGK	DTOL
FTOL_1423	BELLINGHAM (NOT MADE YET)		Lepista endota	Incertae sedis	collected	BMS,RBGK	DTOL
FTOL_1424	BELLINGHAM (NOT MADE YET)		Leucocybe cf. connatum	Incertae sedis	collected	BMS,RBGK	DTOL
FTOL_1169	STRATHPEFFER		Cortinarius citreisporus	Cortinariaceae	collected	BMS,RBGK	DTOL
FTOL_1433	BELLINGHAM (NOT MADE YET)		Amanita excelsa var. excelsa	Amanitaceae	collected	BMS,RBGK	DTOL
