ncbi_taxon_id	species	subspecies	family	target_list_status	sequencing_status	synonym	publication_id	long_list	other_priority	translate_status	sample_collected	sample_acquired	in_progress	insdc_open	published
	Mesaphorura halophila		Tullbergiidae	other_priority	in_assembly			LOEWE-TBG	LOEWE-TBG	in_progress	LOEWE-TBG	LOEWE-TBG	LOEWE-TBG		
	Mesaphorura critica		Tullbergiidae	other_priority	in_assembly			LOEWE-TBG	LOEWE-TBG	in_progress	LOEWE-TBG	LOEWE-TBG	LOEWE-TBG		
	Eudorylaimus bombilectus		Dorylaimidae	other_priority	in_assembly			LOEWE-TBG	LOEWE-TBG	in_progress	LOEWE-TBG	LOEWE-TBG	LOEWE-TBG		
