	Species_name	Subspecies	Common_Name	Family	Phase	sample_collected	sample_acquired	in_progress	insdc_submitted	sequencing_status	long_list	other_priority	family_representative
6591	Oriolus kundoo		Indian Golden Oriole	Oriolidae							B10K		
6592	Oriolus larvatus		Eastern Black-headed Oriole	Oriolidae							B10K		
6593	Oriolus melanotis		Olive-brown Oriole	Oriolidae							B10K		
6594	Oriolus mellianus		Silver Oriole	Oriolidae							B10K		
6595	Oriolus monacha		Abyssinian Black-headed Oriole	Oriolidae							B10K		
6596	Oriolus nigripennis		Black-winged Oriole	Oriolidae							B10K		
6597	Oriolus oriolus		Eurasian Golden Oriole	Oriolidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
6598	Oriolus percivali		Mountain Oriole	Oriolidae							B10K		
6599	Oriolus phaeochromus		Dusky-brown Oriole	Oriolidae							B10K		
6600	Oriolus sagittatus		Olive-backed Oriole	Oriolidae							B10K		
6601	Oriolus steerii		Philippine Oriole	Oriolidae							B10K		
6602	Oriolus szalayi		Brown Oriole	Oriolidae							B10K		
6603	Oriolus tenuirostris		Slender-billed Oriole	Oriolidae							B10K		
6604	Oriolus traillii		Maroon Oriole	Oriolidae							B10K		
6605	Oriolus xanthonotus		Dark-throated Oriole	Oriolidae							B10K		
6606	Oriolus xanthornus		Black-hooded Oriole	Oriolidae							B10K		
6613	Orochelidon andecola		Andean Swallow	Hirundinidae							B10K		
6614	Orochelidon flavipes		Pale-footed Swallow	Hirundinidae							B10K		
6616	Orospingus goeringi		Slaty-backed Hemispingus	Thraupidae							B10K		
6617	Orospingus rufosuperciliaris		Rufous-browed Hemispingus	Thraupidae							B10K		
6618	Ortalis araucuan		East Brazilian Chachalaca	Cracidae							B10K		
6621	Ortalis columbiana		Colombian Chachalaca	Cracidae							B10K		
6629	Ortalis squamata		Scaled Chachalaca	Cracidae							B10K		
6630	Ortalis superciliaris		Buff-browed Chachalaca	Cracidae							B10K		
6633	Orthogonys chloricterus		Olive-green Tanager	Mitrospingidae							B10K		
6653	Ortygospiza fuscocrissa		African Quailfinch	Estrildidae							B10K		
6654	Ortygospiza gabonensis		Black-chinned Quailfinch	Estrildidae							B10K		
6655	Ortyxelos meiffrenii		Quail-plover	Turnicidae							B10K		
6658	Otocichla mupinensis		Chinese Thrush	Turdidae		B10K	B10K	B10K		in_progress	B10K		
6659	Otus alfredi		Flores Scops Owl	Strigidae							B10K		
6660	Otus alius		Nicobar Scops Owl	Strigidae							B10K		
6663	Otus balli		Andaman Scops Owl	Strigidae							B10K		
6664	Otus beccarii		Biak Scops Owl	Strigidae							B10K		
6665	Otus brookii		Rajah Scops Owl	Strigidae							B10K		
6668	Otus collari		Sangir Scops Owl	Strigidae							B10K		
6671	Otus fuliginosus		Palawan Scops Owl	Strigidae							B10K		
6673	Otus icterorhynchus		Sandy Scops Owl	Strigidae							B10K		
6677	Otus magicus		Moluccan Scops Owl	Strigidae							B10K		
6678	Otus manadensis		Sulawesi Scops Owl	Strigidae							B10K		
6679	Otus mantananensis		Mantanani Scops Owl	Strigidae							B10K		
6682	Otus mentawi		Mentawai Scops Owl	Strigidae							B10K		
6686	Otus nigrorum		Visayan Lowland Scops Owl	Strigidae							B10K		
6691	Otus sagittatus		White-fronted Scops Owl	Strigidae							B10K		
6694	Otus silvicola		Wallace's Scops Owl	Strigidae							B10K		
6697	Otus thilohoffmanni		Serendib Scops Owl	Strigidae							B10K		
6698	Otus umbra		Simeulue Scops Owl	Strigidae							B10K		
6701	Oxyruncus cristatus		Sharpbill	Oxyruncidae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
6758	Pachyramphus aglaiae		Rose-throated Becard	Tityridae							B10K		
6759	Pachyramphus albogriseus	salvini	Black-and-white Becard	Tityridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
6760	Pachyramphus castaneus		Chestnut-crowned Becard	Tityridae							B10K		
6761	Pachyramphus cinnamomeus		Cinnamon Becard	Tityridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
6762	Pachyramphus homochrous	homochrous	One-colored Becard	Tityridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
6763	Pachyramphus major		Gray-collared Becard	Tityridae							B10K		
6764	Pachyramphus marginatus	nanus	Black-capped Becard	Tityridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
6765	Pachyramphus minor		Pink-throated Becard	Tityridae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
6766	Pachyramphus minor		Pink-throated Becard	Tityridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6767	Pachyramphus niger		Jamaican Becard	Tityridae							B10K		
6768	Pachyramphus polychopterus		White-winged Becard	Tityridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
6769	Pachyramphus rufus		Cinereous Becard	Tityridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
6770	Pachyramphus spodiurus		Slaty Becard	Tityridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
6771	Pachyramphus surinamus		Glossy-backed Becard	Tityridae							B10K		
6772	Pachyramphus validus	audax	Crested Becard	Tityridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6773	Pachyramphus versicolor		Barred Becard	Tityridae							B10K		
6774	Pachyramphus viridis		Green-backed Becard	Tityridae							B10K		
6775	Pachyramphus xanthogenys		Yellow-cheeked Becard	Tityridae							B10K		
6780	Paludipasser locustella		Locust Finch	Estrildidae							B10K		
6784	Panurus biarmicus		Bearded Reedling	Panuridae	Phase Family	B10K	B10K	B10K	B10K	insdc_submitted	B10K		B10K
6785	Panurus biarmicus		Bearded Reedling	Panuridae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6786	Panyptila cayennensis		Lesser Swallow-tailed Swift	Apodidae		B10K	B10K	B10K		in_progress	B10K		
6787	Panyptila sanctihieronymi		Great Swallow-tailed Swift	Apodidae							B10K		
6799	Paradoxornis flavirostris		Black-breasted Parrotbill	Sylviidae							B10K		
6800	Paradoxornis guttaticollis		Spot-breasted Parrotbill	Sylviidae							B10K		
6801	Paradoxornis heudei		Reed Parrotbill	Sylviidae							B10K		
6815	Pareudiastes silvestris		Makira Moorhen	Rallidae							B10K		
6829	Paroaria nigrogenis		Masked Cardinal	Thraupidae							B10K		
6846	Passer cinnamomeus		Russet Sparrow	Passeridae							B10K		
6847	Passer cordofanicus		Kordofan Sparrow	Passeridae							B10K		
6852	Passer euchlorus		Arabian Golden Sparrow	Passeridae							B10K		
6854	Passer griseus	diffusus	Northern Grey-headed Sparrow	Passeridae	Phase Genus	B10K	B10K	B10K		in_progress	B10K	B10K	
6866	Passer pyrrhonotus		Sind Sparrow	Passeridae							B10K		
6868	Passer yatii		Afghan Sparrow	Passeridae							B10K		
6869	Passer zarudnyi		Sarudny's Sparrow	Passeridae							B10K		
6902	Pauxi koepckeae		Sira Curassow	Cracidae							B10K		
6932	Pellorneum fuscocapillus		Brown-capped Babbler	Pellorneidae							B10K		
6948	Penelope ortoni		Baudo Guan	Cracidae							B10K		
6949	Penelope perspicax		Cauca Guan	Cracidae							B10K		
6954	Penelopides panini	manillae	Tarictic Hornbill	Bucerotidae	Phase Genus	B10K				sample_collected	B10K	B10K	
6963	Perdicula argoondah		Rock Bush Quail	Phasianidae							B10K		
6976	Pericrocotus flammeus	fraterculus	Scarlet Minivet	Campephagidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6986	Perisoreus canadensis	griseus	Gray Jay	Corvidae	Phase Genus	B10K	B10K	B10K	B10K	insdc_submitted	B10K	B10K	
6999	Petrochelidon perdita		Red Sea Swallow	Hirundinidae							B10K		
7001	Petrochelidon pyrrhonota	pyrrhonota	Cliff Swallow	Hirundinidae	Phase Genus						B10K	B10K	
7020	Peucaea aestivalis		Bachman's Sparrow	Passerellidae							B10K		
