"lfd. Nr","Überfamilie","Familie","Unterfamilie","Tribus","Subtribus","Gattung","Art","Autoren","Trivialnamen (meist deutsche Namen)","KR-Nr.","GUID","Anmer-kung zum Artstatus","zu löschen!","Änderungs-Datum","Kommentar Änderung gegenüber Version 1 vom 4. Februar 2017","Anmerkung Faunistik Europa","Vorkommen in Europa sensu Fauna Europaea","Vorkommen in Europa i.w.S.","D","CH","A","Hinweis auf eingeschränkte Verbreitung","Anzahl Länder mit Nachweisen","Lebendbild","Diagnosebild"
"1","Micropterigoidea","Micropterigidae","","","","Micropterix","aglaella","(Duponchel, [1840])","","4","9eaf1ed4-f90a-4e42-80f1-91622f0a2d3c","","","22/12/2018","1838 ==> [1840] (Jahr angepasst und in eckige Klammern gesetzt)","D-CH-A","etabliert","etabliert","D","C","A","","6","Ja","Ja"
"3","Micropterigoidea","Micropterigidae","","","","Micropterix","amsella","Heath, 1975","","6","f2c9e5c1-4aa8-4ffe-a752-f3029477b2db","","","","","","etabliert","etabliert","","","","nur Balkan erweitert","3","Ja","Ja"
"8","Micropterigoidea","Micropterigidae","","","","Micropterix","completella","Staudinger, 1871","","11","0706df59-d91a-4bdf-98d0-8be207d60f45","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","2","","Ja"
"9","Micropterigoidea","Micropterigidae","","","","Micropterix","corcyrella","Walsingham, 1919","","12","308097ca-dc4f-463e-8ce6-af5b9cd3f512","","","","","","etabliert","etabliert","","","","","5","Ja","Ja"
"10","Micropterigoidea","Micropterigidae","","","","Micropterix","jeanneli","Viette, 1949","","00012a","ddf7ff55-8374-4d77-881e-4d72b3bfc461","","","","","","etabliert","etabliert","","","","nur Montenegro","1","Ja",""
"11","Micropterigoidea","Micropterigidae","","","","Micropterix","croatica","Heath & Kaltenbach, 1984","","13","659c0bf9-8144-4800-bb4a-32dfb9b95829","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","3","Ja","Ja"
"12","Micropterigoidea","Micropterigidae","","","","Micropterix","cypriensis","Heath, 1985","","[non-KR]","9ce2dd4c-46ed-47a9-82b2-34be5fe6d226","","","","","Zypern","etabliert: nur Zypern","etabliert: nur Zypern","","","","nur Zypern","1","Ja","Ja"
"13","Micropterigoidea","Micropterigidae","","","","Micropterix","emiliensis","Viette, 1950","","14","8c1eff93-20ff-46d1-a4d9-acc7cae693cb","","","","","","etabliert","etabliert","","","","nur Italien","1","Ja","Ja"
"16","Micropterigoidea","Micropterigidae","","","","Micropterix","fenestrellensis","Heath & Kaltenbach, 1984","","17","54a2dfa5-38bc-474d-a7d6-e3e3b9766b77","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","2","Ja","Ja"
"17","Micropterigoidea","Micropterigidae","","","","Micropterix","garganoensis","Heath, 1960","","18","551b2a98-b49e-45a2-b86f-80dc19f41f48","","","","","","etabliert","etabliert","","","","nur Italien","1","","Ja"
"18","Micropterigoidea","Micropterigidae","","","","Micropterix","granatensis","Heath, 1981","","19","80edc5c1-5378-4dc6-8387-866dc23a4d1a","","","","","","etabliert","etabliert","","","","nur Iberische Halbinsel","2","Ja","Ja"
"20","Micropterigoidea","Micropterigidae","","","","Micropterix","ibericella","Caradja, 1920","","21","b37ce6dc-6dc7-4995-8b5f-1d1779bc7bb2","","","","","","etabliert","etabliert","","","","nur Iberische Halbinsel","2","Ja","Ja"
"21","Micropterigoidea","Micropterigidae","","","","Micropterix","igaloensis","(Amsel, 1951)","","22","4d87b07c-671a-4423-a28c-f09d47eb1227","","","","","","etabliert","etabliert","","","","nur Balkan erweitert","3","",""
"22","Micropterigoidea","Micropterigidae","","","","Micropterix","imperfectella","Staudinger, 1859","","23","b63148bd-25d6-44e5-9ed6-2c0db3ead166","","","","","","etabliert","etabliert","","","","nur Spanien","1","Ja",""
"23","Micropterigoidea","Micropterigidae","","","","Micropterix","isobasella","Staudinger, 1871","","24","1f890e70-7dd6-4f7f-835f-fb2aa66215fa","","","","","D-CH-A","etabliert","etabliert","","C","","nur Alpen (ch, it)","2","","Ja"
"24","Micropterigoidea","Micropterigidae","","","","Micropterix","stuebneri","Zeller, Werno & Kurz, 2013","","00024a","ad44a4de-d2f5-47b6-a61d-595f8648d7e8","","","","","","etabliert","etabliert","","","","nur Spanien","1","","Ja"
"25","Micropterigoidea","Micropterigidae","","","","Micropterix","gaudiella","Zeller & Huemer, 2015","","00024b","5b9876df-d886-4072-b022-acc7920349c1","","","","","","etabliert","etabliert","","","","nur Italien","1","Ja","Ja"
"26","Micropterigoidea","Micropterigidae","","","","Micropterix","italica","Heath, 1981","","25","b7222383-824d-4c6c-b4d4-0c39507a3d9b","","","","","","etabliert","etabliert","","","","nur Italien","1","","Ja"
"27","Micropterigoidea","Micropterigidae","","","","Micropterix","kardamylensis","Rebel, 1903","","26","247c025c-51d1-412c-a541-c9e599b3fbd8","","","","","","etabliert","etabliert","","","","nur Balkan","6","Ja","Ja"
"29","Micropterigoidea","Micropterigidae","","","","Micropterix","lakoniensis","Heath, 1985","","27","4e89cfea-8840-49a4-80d9-19e1d9e0740e","","","","","","etabliert","etabliert","","","","nur Griechenland","1","",""
"31","Micropterigoidea","Micropterigidae","","","","Micropterix","maschukella","Alphéraky, 1876","","29","b6562efd-5405-4623-90e4-8bb17c4e6cdd","","","","","","etabliert","etabliert","","","","nur Nordkaukasus/Krim","2","Ja","Ja"
"32","Micropterigoidea","Micropterigidae","","","","Micropterix","minimella","Heath, 1973","","30","ccaef708-b03d-4002-8cd5-d72680d970eb","","","","","","etabliert","etabliert","","","","nur Balearen","1","","Ja"
"33","Micropterigoidea","Micropterigidae","","","","Micropterix","montanella","Zagulajev, 1983","","00030a","ab06fbad-0505-4181-a599-80bb083a4b6a","","","05/10/2020","neu für Europa s.l. aufgenommen (Nordkaukasus)","Nordkaukasus","[nein]","etabliert: nur Nordkaukasus","","","","nur Nordkaukasus","1","",""
"34","Micropterigoidea","Micropterigidae","","","","Micropterix","monticolella","Kozlov, 1982","","00030b","10e69292-7c42-49c1-8ad2-c4c5e9c85b45","","","05/10/2020","neu für Europa s.l. aufgenommen (Nordkaukasus)","Nordkaukasus","[nein]","etabliert: nur Nordkaukasus","","","","nur Nordkaukasus","1","",""
"35","Micropterigoidea","Micropterigidae","","","","Micropterix","montosiella","Zagulajev, 1983","","00030c","46ae7fa3-9edd-4d61-97bb-3c28c12b38c3","","","05/10/2020","neu für Europa s.l. aufgenommen (Nordkaukasus)","Nordkaukasus","[nein]","etabliert: nur Nordkaukasus","","","","nur Nordkaukasus","1","",""
"38","Micropterigoidea","Micropterigidae","","","","Micropterix","paykullella","(Fabricius, 1794)","","33","f00c9b32-64df-4380-9a85-eb27dd902ffa","","","","","D-CH-A","etabliert","etabliert","","C","A","","5","","Ja"
"40","Micropterigoidea","Micropterigidae","","","","Micropterix","renatae","Kurz, Kurz & Zeller-Lukashort, 1997","","00034a","2d91e78c-1607-49a9-a8a0-92abdae8f8f5","","","","","","etabliert","etabliert","","","","nur Italien","1","","Ja"
"42","Micropterigoidea","Micropterigidae","","","","Micropterix","huemeri","Kurz, Kurz & Zeller-Lukashort, 2004","","00035a","2057e014-d77b-4551-b9fd-e4f073f48e62","","","","","","etabliert","etabliert","","","","nur Frankreich","1","Ja",""
"46","Micropterigoidea","Micropterigidae","","","","Micropterix","trifasciella","Heath, 1965","","39","3c0b77b6-28a0-4c77-884c-26590d663cd6","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","2","Ja","Ja"
"47","Micropterigoidea","Micropterigidae","","","","Micropterix","trinacriella","Kurz, Zeller-Lukashort & Kurz, 1997","","00039a","f6a895b8-668f-4e88-93d4-4c7c1a63806c","","","02/01/2023","Jahr und Autoren korrigiert","","etabliert","etabliert","","","","nur Sizilien","1","","Ja"
"48","Micropterigoidea","Micropterigidae","","","","Micropterix","tuscaniensis","Heath, 1960","","40","84e5e9c2-4de0-40c0-b443-15654935241f","","","","","","etabliert","etabliert","","","","nur Italien","1","","Ja"
"49","Micropterigoidea","Micropterigidae","","","","Micropterix","cassinella","Kurz, Kurz & Zeller, 2010","","00040a","60fd127b-920a-4004-a2df-a5d8f3fbdcd8","","","","","","etabliert","etabliert","","","","nur Italien","1","","Ja"
"50","Micropterigoidea","Micropterigidae","","","","Micropterix","uxoria","Walsingham, 1919","","41","92be1620-7955-4a03-8e41-c34c1ca2f7cf","","","","","","etabliert","etabliert","","","","nur Sizilien","1","","Ja"
"54","Micropterigoidea","Micropterigidae","","","","Micropterix","herminiella","Corley, 2007","","00044a","eeafd4b8-c2b5-4896-8591-764965c49daf","","","","","","etabliert","etabliert","","","","nur Iberische Halbinsel","2","Ja","Ja"
"61","Eriocranioidea","Eriocraniidae","","","","Eriocrania","alpinella","Burmann, 1958","Grünerlen-Trugfalter","54","9122a99a-e13b-4a21-8679-99b0f9f0fd8e","","","","","D-CH-A","etabliert","etabliert","D","C","A","","4","","Ja"
"64","Neopseustoidea","Acanthopteroctetidae","","","","Catapterix","crimaea","Zagulajev & Sinev, 1988","","00056a","34ae22d3-40a8-4b6d-847e-4b2f9658aec7","","","03/01/2023","Überfamilie geändert","","etabliert","etabliert","","","","","2","",""
"67","Hepialoidea","Hepialidae","","","","Gazoryctra","uralensis","(Grum-Grshimailo, 1899)","","00061a","196a716b-7b0a-48cb-911a-1e0f112b95d0","","","26/05/2021","Ersatzseite für Gazoryctra fuscoargenteus","","etabliert","etabliert","","","","nur Nordeuropa (fi, no, se, ru-eu)","4","","Ja"
"70","Hepialoidea","Hepialidae","","","","Triodia","amasinus","(Herrich-Schäffer, [1851])","Pontischer Wurzelbohrer","65","41fdb094-2b33-42a8-ac0e-dce05d18dc38","","","","","","etabliert","etabliert","","","","","6","Ja","Ja"
"72","Hepialoidea","Hepialidae","","","","Korscheltellus","castillanus","(Oberthür, 1883)","Kastilianischer Wurzelbohrer","76","16bd9aa9-03e0-49d1-9193-5e0040d9507b","","","11.11.2018 und 19.01.2021","Neukombination: Pharmacis ==> Korscheltellus; falsche KR-Nr. korrigiert (00075 ==> 00076)","","etabliert","etabliert","","","","nur Spanien","1","","Ja"
"78","Hepialoidea","Hepialidae","","","","Pharmacis","pyrenaicus","(Donzel, 1838)","Pyrenäen-Wurzelbohrer","75","083a9849-7894-488c-9444-963c06d4ef5c","","","","","","etabliert","etabliert","","","","","3","","Ja"
"79","Hepialoidea","Hepialidae","","","","Pharmacis","aemilianus","(Costantini, 1911)","Apenninen-Wurzelbohrer","71","753dd159-e185-4e96-bcfa-41ea6139c588","","","","","","etabliert","etabliert","","","","","2","Ja","Ja"
"80","Hepialoidea","Hepialidae","","","","Pharmacis","cantabricus","Kallies & Farino, 2018","Kantabrischer Wurzelbohrer","00071a","1a1fa15e-7b57-448b-a127-a4ffb8ec6646","","","11/11/2018","neu beschriebene Art","","etabliert","etabliert","","","","nur Spanien","1","Ja",""
"83","Hepialoidea","Hepialidae","","","","Zenophassus","schamyl","(Christoph, 1888)","","00080a","f3d5f1d8-d07a-4d90-a1c5-4ec7f5456f2a","","","","","Nordkaukasus","[nein]","etabliert: nur Nordkaukasus","","","","nur Nordkaukasus","1","","Ja"
"84","Hepialoidea","Hepialidae","","","","Palpifer","sexnotatus","(Moore, 1879)","","00080v","93ce2f24-6ca4-484c-ae75-74144cd7d3c5","","","22/01/2022","neue Artseite wegen Verschleppung nach GB","In Europa nicht etabliert (einmal nach GB verschleppt)!","nicht etabliert: nur verschleppte Einzeltiere","nicht etabliert: nur verschleppte Einzeltiere","","","","nur Großbritannien","1","",""
"93","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","kazakhstanica","Puplesis, 1991","","115","12bc4c04-71f5-4470-983e-cdcad3b1f08f","","","","","","etabliert","etabliert","","","","nur Russland/Kasachstan","2","",""
"95","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","paliurella","Gerasimov, 1937","","94","255ef49b-34fd-434c-af13-699d71317457","","","","","","etabliert","etabliert","","","","","8","","Ja"
"96","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","ficulnea","Puplesis & Krasilnikova, 1994","","[non-KR]","c4dd3fcb-edeb-4a8f-a9bc-284c8cc1d213","","","","","Zypern","etabliert: nur Zypern","etabliert: nur Zypern","","","","nur Zypern","1","",""
"101","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","thibaulti","Varenne & Nel, 2019","","00096a","8b516361-2b92-498c-85a7-c7542c1d1dbf","Artberechtigung unklar!","zu löschen!","16.05.2019 und 09.03.2021","neu beschriebene Art; zu streichen: Synonym zu Stigmella nivenburgensis","","[-]","[-]","","","","","","[-]","[-]"
"108","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","rhamnella","(Herrich-Schäffer, 1860)","Grauer Kreuzdorn-Zwergminierfalter","106","8cc349e0-6d46-4b05-b89c-633e089da980","","","","","D-CH-A","etabliert","etabliert","D","C","A","","18","Ja","Ja"
"109","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","rhamnophila","(Amsel, 1935)","","107","8e5c0850-67cf-4139-b541-552a0cc027d9","","","","","","etabliert","etabliert","","","","","5","","Ja"
"110","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","alaternella","(Le Marchand, 1937)","","108","788b8065-6038-4200-a0b5-0498d6fc2668","","","","","","etabliert","etabliert","","","","","5","","Ja"
"112","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","crenulatae","(Klimesch, 1975)","","00185b","79a48f55-aa50-49a5-b8c7-a596fa9c4fd3","","","","","","etabliert","etabliert","","","","","3","","Ja"
"113","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","pyrellicola","(Klimesch, 1978)","","00185g","131574c6-7a33-49d7-b3f6-68b5de7ce2fe","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","2","","Ja"
"117","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","cyrneorolandi","Nel & Varenne, 2013","","00119a","f692b272-6607-4fd9-a00a-d2020e7ebf7a","Artberechtigung umstritten!","zu löschen!","13.08.2018 und 09.03.2021","""Artberechtigung umstritten!"" ergänzt; Art zu streichen, jetzt Synonym zu Stigmella rolandi","","[-]","[-]","","","","","","[-]","[-]"
"129","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","pallidiciliella","Klimesch, 1946","","145","dbebaf9a-4396-415e-8bae-6a3dd58394e9","","","22/07/2019","D-Fähnchen gehisst","D-CH-A","etabliert","etabliert","D","C","A","","8","","Ja"
"141","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","pyrivora","Gustafsson, 1981","","[non-KR]","46be4706-2d6f-4b0f-9098-e1694c04bf51","","","","","Zypern","etabliert: nur Zypern","etabliert: nur Zypern","","","","nur Zypern","1","",""
"144","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","azaroli","(Klimesch, 1978)","","167","feeb8a90-bc8b-4b3d-842d-425b8a3ebf6c","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","3","","Ja"
"146","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","aurora","Puplesis, 1984","","124","4bf29005-6e1c-4552-b04b-78290ab67e8e","","","","","","etabliert","etabliert","","","","nur Russland","1","",""
"149","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","hahniella","(Wörz, 1937)","","127","a759828a-c6d8-470e-8dba-aaf7402e7032","","","","","D-CH-A","etabliert","etabliert","D","","A","","7","","Ja"
"157","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","styracicolella","(Klimesch, 1978)","","185","3c295b99-c398-4ffa-979e-8c34260a3504","","","","","","etabliert","etabliert","","","","nur Griechenland (inkl. Inseln)","2","","Ja"
"164","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","geimontani","(Klimesch, 1940)","","156","299d6854-5d7b-4362-9d71-c0be65579bee","","","","","D-CH-A","etabliert","etabliert","","","A","","2","","Ja"
"167","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","stelviana","(Weber, 1938)","","159","f18ce445-aac0-4e13-8533-d7273d46da89","","","","","D-CH-A","etabliert","etabliert","","C","A","","5","","Ja"
"169","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","tatrica","Tokár, Laštůvka & van Nieukerken, 2017","","00160a","028a935a-4393-44ff-83ad-fa87fbc5390c","","","10.08.2017 und 02.05.2021","neu beschriebene Art; D-Fähnchen gehisst","D-CH-A","etabliert","etabliert","D","","","nur Mitteleuropa","2","",""
"179","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","zagulaevi","Puplesis, 1994","","00150a","f0b7e600-6a93-4472-a521-f4b548f16a70","","","","","Nordkaukasus","[nein]","etabliert: nur Nordkaukasus","","","","nur Nordkaukasus","1","",""
"190","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","macrolepidella","(Klimesch, 1978)","","177","f0ea5c99-7ba4-46e8-9827-5503226d3a7a","","","","","","etabliert","etabliert","","","","nur Griechenland (inkl. Inseln)","2","",""
"198","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","cocciferae","van Nieukerken & Johansson, 2003","","00185a","1cecc3a0-16a2-4e7a-b2c4-46e4c188e1ab","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","5","",""
"200","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","ilicifoliella","(Mendes, 1918)","","00185d","d90a281a-4a9d-4857-b9d8-73d0ef0dffd8","","","","","","etabliert","etabliert","","","","","4","",""
"201","Nepticuloidea","Nepticulidae","Nepticulinae","Nepticulini","","Stigmella","trojana","Laštůvka & Laštůvka, 1998","","00185i","b34a4f25-6d1b-4ad0-81a8-88491e6bee26","","","","","","etabliert","etabliert","","","","nur Griechenland","1","",""
"207","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","globulariae","(Klimesch, 1975)","","195","5b35d101-1551-4770-840f-7b9ccc49de72","","","","","","etabliert","etabliert","","","","nur Nordmazedonien","1","",""
"210","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","saturejae","(Parenti, 1963)","","197","d928bef2-d059-4dd7-8a59-cb4437dbe924","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","8","","Ja"
"221","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","siciliae","(Laštůvka, Laštůvka & van Nieukerken, 2013)","","00204c","fcc40a4f-88ce-4f2a-9dc5-c324cb80c02d","","","","","","etabliert","etabliert","","","","nur Sizilien","1","",""
"222","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","bleonella","(Chrétien, 1904)","","205","f6e57226-ded9-4a05-8822-758ed0fa6031","","","","","D-CH-A","etabliert","etabliert","","","A","","8","",""
"223","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","albiflorella","(Klimesch, 1978)","","00205a","eaef04b5-d25e-4c16-be64-adf3cde1ffad","","","","","","etabliert","etabliert","","","","nur Griechenland","1","",""
"226","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","liskai","(Laštůvka & Laštůvka, 2000)","","00205d","8183f456-2e35-42f9-a612-a0497e57d32f","","","","","D-CH-A","etabliert","etabliert","","","A","","3","",""
"230","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","corleyi","(Laštůvka & Laštůvka, 2007)","","00205g","392512de-7aa9-4fde-bc74-3139b4f5c417","","","","","","etabliert","etabliert","","","","nur Iberische Halbinsel","2","",""
"231","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","pederi","(Laštůvka & Laštůvka, 2007)","","00205h","ed4d71ff-a2e8-4b7c-b5f7-15c9d1eeaef3","","","","","","etabliert","etabliert","","","","nur Spanien","1","",""
"232","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","andalusica","(Laštůvka & Laštůvka, 2007)","","00205i","23ce8254-eb54-4024-a91f-f96a6839ce33","","","","","","etabliert","etabliert","","","","nur Spanien","1","",""
"234","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","salvifoliae","(Laštůvka & Laštůvka, 2007)","","00205l","959e021d-86a9-47b4-9338-b60dd919deea","","","","","","etabliert","etabliert","","","","nur Spanien","1","",""
"235","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","lavandulae","(Laštůvka & Laštůvka, 2007)","","00205m","515d1407-53dd-4313-b1a9-1bee939824b2","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","2","",""
"236","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Glaucolepis","micromeriae","(Walsingham, 1908)","","[non-KR]","83e5a16f-fd75-4650-8f5a-61558dde3bf0","","","","","Kanaren","etabliert: nur Kanaren/ Madeira/ Azoren","etabliert: nur Kanaren/ Madeira/ Azoren","","","","nur Kanaren","1","","Ja"
"244","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","ridiculosa","(Walsingham, 1908)","","[non-KR]","4a9de073-e012-4bff-b144-f23b7ba7aab0","","","","","Kanaren","etabliert: nur Kanaren/ Madeira/ Azoren","etabliert: nur Kanaren/ Madeira/ Azoren","","","","","2","","Ja"
"245","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","peloponnesica","van Nieukerken, 2007","","00210d","bbd34973-8f02-4544-9f93-3821741d1e8d","","","16/05/2019","versehentlich vergebene doppelte KR-Nr. korrigiert: 00230d ==> 00210d","","etabliert","etabliert","","","","nur Griechenland","1","",""
"247","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","luteola","van Nieukerken, 1990","","213","23fdd35a-11e0-4bb8-91ec-f61d954186a9","","","","","","etabliert","etabliert","","","","nur Frankreich","1","",""
"248","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","luteloides","Nel & Varenne, 2020","","00213a","70b4ac3e-26cd-4aac-be1a-7802a300cc81","","","31/10/2020","neu beschriebene Art","","etabliert","etabliert","","","","nur Frankreich","1","",""
"249","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","puplesisi","van Nieukerken, 1990","","214","bd67eeb2-6f79-400b-878d-e2ec071aba63","","","","","","etabliert","etabliert","","","","nur Russland/Nordkaukasus","2","",""
"251","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","victoris","van Nieukerken, 1990","","216","60110d07-630e-479c-a4d8-59bf8fe9c0bb","","","","","","etabliert","etabliert","","","","nur Spanien","1","",""
"253","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","savoureyi","Nel & Varenne, 2020","","00217a","5ad13f43-e7fb-4f0a-a467-9b56a35f2b34","","","31/10/2020","neu beschriebene Art","","etabliert","etabliert","","","","nur Frankreich","1","",""
"254","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","josefklimeschi","van Nieukerken, 1990","","218","98e0f9ca-6632-4f38-8cde-50a7a77a9232","","","","","D-CH-A","etabliert","etabliert","","","A","","12","Ja","Ja"
"255","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","iberica","van Nieukerken, 1990","","219","4f60b15e-688e-4f7d-a1b7-afc245514c4a","","","","","","etabliert","etabliert","","","","nur Spanien","1","",""
"257","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","etnensis","Laštůvka & Laštůvka, 2005","","00205n","238db3c6-b001-41d2-b66f-2e758eef8c39","","","","","","etabliert","etabliert","","","","nur Sizilien","1","",""
"258","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","cytisanthi","Laštůvka & Laštůvka, 2005","","00205o","0ed863a4-97a8-4628-933b-47278c814182","","","","","D-CH-A","etabliert","etabliert","","","A","","3","",""
"259","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","baldensis","Laštůvka & Laštůvka, 2005","","00205p","7a717f8a-ec3a-414e-a04c-df0885452b85","","","","","","etabliert","etabliert","","","","","3","",""
"260","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","trasaghica","Laštůvka & Laštůvka, 2005","","00205q","fe20f7af-3be4-45c0-bd7f-01d6ab34ab32","","","","","","etabliert","etabliert","","","","nur Italien","1","","Ja"
"261","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","austriaca","van Nieukerken, 1990","","212","c5d30f36-38f8-4410-b8e8-5039991ef8cc","","","","","D-CH-A","etabliert","etabliert","","","A","","6","",""
"262","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","nieukerkeni","Varenne & Nel, 2020","","00212a","9222a187-e6ec-47ae-b9fb-da88bbdd0d7b","","zu löschen!","31.10.2020 und 14.04.2021","neu beschriebene Art; zu streichen: jetzt Synonym zu Trifurcula austriaca","","[-]","[-]","","","","","","[-]","[-]"
"270","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","chamaecytisi","Laštůvka & Laštůvka, 1994","","225","f48cc78c-455a-42e8-8c27-3caf071e1d31","","","","","D-CH-A","etabliert","etabliert","","","A","","5","","Ja"
"272","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","orientella","Klimesch, 1953","","227","092b77c6-23a7-4427-9fcd-698f0e80b5f7","","","","","","etabliert","etabliert","","","","","8","",""
"276","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","calycotomella","Laštůvka & Laštůvka, 1997","","00230a","868dabf1-49ac-44e8-8240-869dda18db35","","","","","","etabliert","etabliert","","","","nur Mittelmeerraum","9","",""
"277","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","graeca","Laštůvka & Laštůvka, 1998","","00230b","d8120893-ae63-40f9-86e6-390be5da7f94","","","","","","etabliert","etabliert","","","","nur Griechenland","1","",""
"278","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Trifurcula","macedonica","Laštůvka & Laštůvka, 1998","","00230c","0f52a6b7-4259-4ff3-a0a5-3ae09db7df1c","","","","","","etabliert","etabliert","","","","","2","",""
"281","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Fomoria","aegaeica","Laštůvka, Laštůvka & Johansson, 1998","","00258a","427a7b8a-ef97-4292-a9d4-fc452d95bc07","","","","","","etabliert","etabliert","","","","nur Griechenland (inkl. Inseln)","3","",""
"284","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Fomoria","deschkai","(Klimesch, 1978)","","255","77f3e7d2-8606-4c3f-8642-69553dd6dea5","","","","","","etabliert","etabliert","","","","nur Griechenland (inkl. Inseln)","3","","Ja"
"285","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Fomoria","luisae","Klimesch, 1978","","256","5033861c-37b9-4d89-b2d1-da9642120942","","","08/08/2018","Klammern um Autor und Jahr entfernt","","etabliert","etabliert","","","","nur europ. Türkei","1","",""
"286","Nepticuloidea","Nepticulidae","Nepticulinae","Trifurculini","","Fomoria","empetrifolii","(Laštůvka & Laštůvka, 2000)","","00258b","2a532305-525f-4225-aef0-98d5dce32b47","","","09/03/2021","bisher vergessene Klammern um Autor und Jahr","","etabliert","etabliert","","","","nur Griechenland","1","",""
