nOrder	ARK	Superorder	Family	Accession	VGP_accession	Class	SpeciesE	Genus	Species	long_list
Myxiniformes		-	Myxinidae		fRubLak	Myxini	-	Rubicundus	lakeside	VGP
Petromyzontiformes		-	Petromyzontidae		fEntFol	Petromyzonti	-	Entosphenus	folletti	VGP
Petromyzontiformes		-	Petromyzontidae		fEntMac	Petromyzonti	-	Entosphenus	macrostoma	VGP
Petromyzontiformes		-	Petromyzontidae		fTetSpa	Petromyzonti	-	Tetrapleurodon	spadiceus	VGP
Anura		Batrachia	Bufonidae		aSclLan	Amphibia	-	Sclerophrys	langanoensis	VGP
Anura		Batrachia	Dendrobatidae		aAllMan	Amphibia	-	Allobates	mandelorum	VGP
Anura		Batrachia	Hyperoliidae		aHypSea	Amphibia	-	Hyperolius	seabrai	VGP
Anura		Batrachia	Megophryidae		aLepDri	Amphibia	-	Leptobrachella	dringi	VGP
Anura		Batrachia	Dendrobatidae		aHylLit	Amphibia	-	Hyloxalus	littoralis	VGP
Anura		Batrachia	Hemiphractidae		aGasMeg	Amphibia	-	Gastrotheca	megacephala	VGP
Anura		Batrachia	Microhylidae		aXenArf	Amphibia	-	Xenorhina	arfakiana	VGP
Anura		Batrachia	Ranidae		aMerPen	Amphibia	-	Meristogenys	penrissenensis	VGP
Anura		Batrachia	Strabomantidae		aNobDue	Amphibia	-	Noblella	duellmani	VGP
Anura		Batrachia	Arthroleptidae		aLepBla	Amphibia	-	Leptodactylodon	blanci	VGP
Anura		Batrachia	Bufonidae		aMelCam	Amphibia	-	Melanophryniscus	cambaraensis	VGP
Anura		Batrachia	Hyperoliidae		aHypShe	Amphibia	-	Hyperolius	sheldricki	VGP
Anura		Batrachia	Megophryidae		aLepFir	Amphibia	-	Leptobrachella	firthi	VGP
Anura		Batrachia	Microhylidae		aBarChe	Amphibia	-	Barygenys	cheesmanae	VGP
Anura		Batrachia	Microhylidae		aXenArn	Amphibia	-	Xenorhina	arndti	VGP
Anura		Batrachia	Microhylidae		aKalMac	Amphibia	-	Kaloula	macrocephala	VGP
Anura		Batrachia	Rhacophoridae		aPseZal	Amphibia	-	Pseudophilautus	zal	VGP
Anura		Batrachia	Strabomantidae		aPriSar	Amphibia	Sarisari̱ama Rain Frog, Ranita de Neblina de Sarisari̱ama	Pristimantis	sarisarinama	VGP
Apoda		Gymnophiona	Ichthyophiidae		aIchWeb	Amphibia	Malatgan River Caecilian	Ichthyophis	weberi	VGP
Anura		Batrachia	Bufonidae		aAnsPhu	Amphibia	-	Ansonia	phuketensis	VGP
Anura		Batrachia	Bufonidae		aMelCup	Amphibia	-	Melanophryniscus	cupreuscapularis	VGP
Anura		Batrachia	Ceratobatrachidae		aPlaBia	Amphibia	-	Platymantis	biak	VGP
Anura		Batrachia	Dendrobatidae		aAllMcd	Amphibia	-	Allobates	mcdiarmidi	VGP
Anura		Batrachia	Dendrobatidae		aHylMaq	Amphibia	-	Hyloxalus	maquipucuna	VGP
Anura		Batrachia	Hyperoliidae		aHypSor	Amphibia	-	Hyperolius	soror	VGP
Anura		Batrachia	Leptodactylidae		aPseMot	Amphibia	-	Pseudopaludicola	motorzinho	VGP
Anura		Batrachia	Megophryidae		aLepFri	Amphibia	Twittering Litter Frog	Leptobrachella	fritinniens	VGP
Anura		Batrachia	Microhylidae		aXenBid	Amphibia	-	Xenorhina	bidens	VGP
Anura		Batrachia	Rhacophoridae		aPseZim	Amphibia	-	Pseudophilautus	zimmeri	VGP
Caudata		Batrachia	Hynobiidae		aHynMik	Amphibia	Mikawa-sansyou-uwo	Hynobius	mikawaensis	VGP
Caudata		Batrachia	Plethodontidae		aEurRob	Amphibia	Blanco Blind Salamander	Eurycea	robusta	VGP
Anura		Batrachia	Bufonidae		aAnsPil	Amphibia	-	Ansonia	pilokensis	VGP
Anura		Batrachia	Dendrobatidae		aHylMar	Amphibia	-	Hyloxalus	marmoreoventris	VGP
Anura		Batrachia	Megophryidae		aLepFul	Amphibia	-	Leptobrachella	fuliginosa	VGP
Anura		Batrachia	Strabomantidae		aNobLyn	Amphibia	-	Noblella	lynchi	VGP
Anura		Batrachia	Strabomantidae		aPriFar	Amphibia	-	Pristimantis	farisorum	VGP
Anura		Batrachia	Ceratobatrachidae		aPlaBro	Amphibia	-	Platymantis	browni	VGP
Anura		Batrachia	Dendrobatidae		aHylMit	Amphibia	-	Hyloxalus	mittermeieri	VGP
Anura		Batrachia	Microhylidae		aXenBra	Amphibia	-	Xenorhina	brachyrhyncha	VGP
Anura		Batrachia	Strabomantidae		aPriFas	Amphibia	-	Pristimantis	fasciatus	VGP
Apoda		Gymnophiona	Ichthyophiidae		aUraInt	Amphibia	-	Uraeotyphlus	interruptus	VGP
Anura		Batrachia	Bufonidae		aMelEst	Amphibia	-	Melanophryniscus	estebani	VGP
Anura		Batrachia	Dendrobatidae		aHylMys	Amphibia	-	Hyloxalus	mystax	VGP
Anura		Batrachia	Leptodactylidae		aPsePar	Amphibia	-	Pseudopaludicola	parnaiba	VGP
Anura		Batrachia	Megophryidae		aLepHam	Amphibia	-	Leptobrachella	hamidi	VGP
Anura		Batrachia	Microhylidae		aXenEip	Amphibia	-	Xenorhina	eiponis	VGP
Anura		Batrachia	Eleutherodactylidae		aEleApo	Amphibia	Tiburon Burrowing Frog	Eleutherodactylus	aporostegus	VGP
Anura		Batrachia	Hemiphractidae		aGasOre	Amphibia	-	Gastrotheca	oresbios	VGP
Anura		Batrachia	Hyperoliidae		aHypSte	Amphibia	-	Hyperolius	stenodactylus	VGP
Anura		Batrachia	Microhylidae		aBarPar	Amphibia	-	Barygenys	parvula	VGP
Caudata		Batrachia	Plethodontidae		aEurSub	Amphibia	Ouachita Streambed Salamander	Eurycea	subfluvicola	VGP
Apoda		Gymnophiona	Ichthyophiidae		aUraMen	Amphibia	-	Uraeotyphlus	menoni	VGP
Anura		Batrachia	Dendrobatidae		aHylPar	Amphibia	-	Hyloxalus	parcus	VGP
Anura		Batrachia	Microhylidae		aXenGig	Amphibia	-	Xenorhina	gigantea	VGP
Anura		Batrachia	Bufonidae		aMelKra	Amphibia	-	Melanophryniscus	krauczuki	VGP
Anura		Batrachia	Dendrobatidae		aHylPat	Amphibia	-	Hyloxalus	patitae	VGP
Anura		Batrachia	Hemiphractidae		aGasOss	Amphibia	-	Gastrotheca	ossilaginis	VGP
Anura		Batrachia	Megophryidae		aLepKaj	Amphibia	-	Leptobrachella	kajangensis	VGP
Anura		Batrachia	Microhylidae		aCalBoe	Amphibia	-	Callulops	boettgeri	VGP
