	NCBI_taxon_id	Genus	species	family	target_list_status	sequencing_status	synonym	project	data_generation	in_assembly	sample_acquired	family_representative	long_list
9		Parasyscia	sp.	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
19		Colobopsis	minus	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
44		Leptanilla	sp.	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
76		Megalomyrmex	milenae	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
111		Tetramorium	polymorphum	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
112		Tetramorium	fouqueti	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
116		Buniapone	amblyops	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
127		Neoponera	goeldii	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
134		Proceratium	bruelheidei	Formicidae	long_list	in_assembly		GAGA	GAGA	GAGA	GAGA		GAGA
