Species	Phylum	Kingdom	Source Hotspot	NCBI taxon ID	Proposed sequencing centre	Sequencing status	Phase	Coordinators	Coordinators institute	Sample embassador  name	Sample embassador Institution	notes	long_list	other_priority	family_representative	goat_status	sample_acquired	published	insdc_open	in_progress	sample_collected
Adelopsella bosnica	Arthropoda	Metazoa	Slovenia		ITALIA	Samples being collected	1B					no genus in NCBI, but present in GBIF	ERGA-BGE	ERGA-BGE							
Bathyscidius tristiculus	Arthropoda	Metazoa	Slovenia		ITALIA	Samples being collected	1B					no genus in NCBI, but present in GBIF	ERGA-BGE	ERGA-BGE							
Leonhardella angulicollis	Arthropoda	Metazoa	Slovenia		ITALIA	Samples being collected	1B					genus but not species in NCBI, present in GBIF	ERGA-BGE	ERGA-BGE							
