ncbi_taxon_id	species	family	target_list_status	sequencing_status	synonym	publication_id	long_list	family_representative	other_priority	goat_status	sample_acquired	in_progress	sample_collected	insdc_open	published
	Dysdera catalonica	Dysderidae	long_list	in_assembly			CBP			in_progress	CBP	CBP	CBP		
	Eukoenenia zariquieyi	Eukoeneniidae	family_representative	sample_acquired			CBP	CBP		sample_acquired	CBP		CBP		
